date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,36,23,0.0,11.6,7,31,10:04 AM,10:18 PM,06:32 AM,06:17 PM,17,30,30,29,10,13,57,0.1,1010,36,9,159,6,Cote_d'Ivoire
2009-01-02,36,21,0.0,11.6,7,38,10:43 AM,11:03 PM,06:33 AM,06:17 PM,18,29,29,28,9,18,61,0.0,1010,36,9,169,5,Cote_d'Ivoire
2009-01-03,35,22,0.0,11.6,7,45,11:23 AM,11:50 PM,06:33 AM,06:18 PM,19,30,30,28,8,18,64,0.2,1011,35,10,157,5,Cote_d'Ivoire
2009-01-04,36,23,0.0,11.6,7,52,12:05 PM,No moonset,06:34 AM,06:18 PM,20,31,31,29,8,22,63,0.2,1010,36,10,172,5,Cote_d'Ivoire
2009-01-05,36,25,0.0,11.6,7,60,12:50 PM,12:39 AM,06:34 AM,06:19 PM,19,31,31,29,8,20,60,0.1,1010,36,10,182,5,Cote_d'Ivoire
2009-01-06,38,23,0.0,11.6,7,67,01:41 PM,01:33 AM,06:34 AM,06:19 PM,18,30,30,29,7,8,59,0.0,1009,38,10,186,4,Cote_d'Ivoire
2009-01-07,37,23,0.0,11.6,7,74,02:37 PM,02:31 AM,06:35 AM,06:20 PM,16,29,29,28,8,7,54,0.0,1008,37,10,193,5,Cote_d'Ivoire
2009-01-08,37,22,0.0,11.6,7,82,03:40 PM,03:35 AM,06:35 AM,06:20 PM,19,30,30,29,8,16,61,0.0,1009,37,9,214,5,Cote_d'Ivoire
2009-01-09,34,23,0.0,10.2,7,89,04:46 PM,04:41 AM,06:36 AM,06:21 PM,20,30,30,28,9,30,66,0.9,1011,34,10,223,7,Cote_d'Ivoire
2009-01-10,36,22,0.0,11.6,7,96,05:54 PM,05:47 AM,06:36 AM,06:21 PM,18,29,29,28,6,16,61,0.0,1012,36,10,227,4,Cote_d'Ivoire
2009-01-11,38,22,0.0,11.6,7,100,06:58 PM,06:49 AM,06:36 AM,06:22 PM,16,30,30,29,9,10,54,0.0,1010,38,10,179,5,Cote_d'Ivoire
2009-01-12,37,22,0.0,11.6,7,89,07:59 PM,07:47 AM,06:36 AM,06:22 PM,18,31,31,29,8,23,59,0.0,1010,37,9,205,5,Cote_d'Ivoire
2009-01-13,36,23,0.0,11.6,7,82,08:54 PM,08:38 AM,06:37 AM,06:23 PM,18,30,30,29,7,23,58,0.0,1010,36,9,159,5,Cote_d'Ivoire
2009-01-14,36,22,0.0,11.6,7,75,09:46 PM,09:25 AM,06:37 AM,06:23 PM,12,28,28,28,9,18,44,0.0,1010,36,10,157,5,Cote_d'Ivoire
2009-01-15,36,20,0.0,11.6,7,68,10:35 PM,10:09 AM,06:37 AM,06:24 PM,4,26,26,27,9,7,27,0.0,1009,36,10,196,6,Cote_d'Ivoire
