date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,6,0.0,11.6,4,31,10:05 AM,10:15 PM,06:40 AM,06:17 PM,1,17,17,17,12,1,35,0.0,1016,24,10,84,8,Ethiopia
2009-01-02,24,7,0.0,11.6,4,38,10:43 AM,11:02 PM,06:41 AM,06:17 PM,1,17,17,17,14,0,35,0.0,1015,24,10,87,10,Ethiopia
2009-01-03,22,7,0.0,11.6,4,45,11:22 AM,11:49 PM,06:41 AM,06:18 PM,1,15,15,15,13,1,40,0.0,1017,22,10,91,9,Ethiopia
2009-01-04,23,5,0.0,11.6,4,52,12:02 PM,No moonset,06:42 AM,06:19 PM,-5,15,15,15,12,0,26,0.0,1017,23,10,83,8,Ethiopia
2009-01-05,24,5,0.0,11.6,4,60,12:46 PM,12:39 AM,06:42 AM,06:19 PM,-3,16,16,16,11,0,27,0.0,1016,24,10,89,7,Ethiopia
2009-01-06,23,6,0.0,11.6,4,67,01:35 PM,01:33 AM,06:42 AM,06:20 PM,1,16,16,16,12,1,38,0.0,1015,23,10,87,8,Ethiopia
2009-01-07,23,6,0.0,11.6,4,74,02:30 PM,02:31 AM,06:43 AM,06:20 PM,1,15,15,15,15,1,41,0.0,1015,23,10,84,10,Ethiopia
2009-01-08,22,6,0.0,11.6,4,82,03:31 PM,03:35 AM,06:43 AM,06:21 PM,-1,15,15,15,14,0,36,0.0,1016,22,10,83,10,Ethiopia
2009-01-09,23,6,0.0,11.6,4,89,04:37 PM,04:41 AM,06:43 AM,06:21 PM,0,15,16,15,14,0,38,0.0,1017,23,10,84,9,Ethiopia
2009-01-10,24,6,0.0,11.6,4,96,05:45 PM,05:48 AM,06:44 AM,06:22 PM,1,16,16,16,13,1,40,0.0,1016,24,10,81,9,Ethiopia
2009-01-11,24,6,0.0,11.6,4,100,06:51 PM,06:50 AM,06:44 AM,06:22 PM,2,16,16,16,11,1,41,0.0,1016,24,10,92,7,Ethiopia
2009-01-12,23,7,0.0,11.6,4,89,07:53 PM,07:47 AM,06:44 AM,06:23 PM,2,16,16,16,13,1,41,0.0,1016,23,10,93,8,Ethiopia
2009-01-13,23,7,0.0,11.6,4,82,08:50 PM,08:38 AM,06:44 AM,06:23 PM,4,15,15,15,13,5,53,0.0,1017,23,10,93,9,Ethiopia
2009-01-14,23,8,0.0,11.6,4,75,09:44 PM,09:25 AM,06:45 AM,06:24 PM,6,15,15,15,15,6,56,0.0,1017,23,10,90,10,Ethiopia
2009-01-15,21,8,0.0,11.6,4,68,10:34 PM,10:08 AM,06:45 AM,06:24 PM,6,14,15,14,16,8,59,0.0,1017,21,10,88,11,Ethiopia
2009-01-16,20,8,0.0,11.6,4,60,11:23 PM,10:49 AM,06:45 AM,06:25 PM,9,12,13,12,16,37,77,0.0,1017,20,8,89,11,Ethiopia
2009-01-17,23,8,0.0,11.6,4,53,No moonrise,11:30 AM,06:45 AM,06:25 PM,8,14,15,14,13,30,69,0.0,1016,23,7,95,9,Ethiopia
2009-01-18,24,8,0.0,11.6,5,46,12:11 AM,12:11 PM,06:45 AM,06:26 PM,8,18,18,18,7,7,57,0.0,1014,24,9,111,5,Ethiopia
2009-01-19,25,9,0.0,11.6,5,38,01:00 AM,12:55 PM,06:46 AM,06:26 PM,7,19,19,19,6,5,50,0.0,1012,25,10,142,4,Ethiopia
2009-01-20,18,12,0.0,11.6,3,31,01:51 AM,01:41 PM,06:46 AM,06:26 PM,9,16,15,16,6,32,67,1.6,1014,18,10,128,5,Ethiopia
2009-01-21,20,11,0.0,11.6,5,24,02:41 AM,02:28 PM,06:46 AM,06:27 PM,11,16,16,16,9,30,73,0.2,1014,20,10,113,7,Ethiopia
2009-01-22,22,12,0.0,11.6,5,17,03:33 AM,03:19 PM,06:46 AM,06:27 PM,11,17,17,17,8,24,71,2.8,1015,22,10,103,6,Ethiopia
2009-01-23,21,12,0.0,11.6,5,9,04:23 AM,04:09 PM,06:46 AM,06:28 PM,12,16,16,16,8,27,76,2.1,1014,21,10,119,6,Ethiopia
2009-01-24,20,10,0.0,11.6,4,2,05:13 AM,05:01 PM,06:46 AM,06:28 PM,11,15,15,15,5,24,78,1.2,1014,20,8,127,3,Ethiopia
2009-01-25,22,9,0.0,11.6,5,0,06:00 AM,05:51 PM,06:46 AM,06:29 PM,10,16,17,16,9,15,71,1.2,1015,22,10,102,6,Ethiopia
2009-01-26,19,10,0.0,11.6,4,0,06:44 AM,06:40 PM,06:46 AM,06:29 PM,11,15,15,15,13,31,77,0.2,1016,19,10,86,9,Ethiopia
2009-01-27,16,12,0.0,11.6,4,5,07:26 AM,07:28 PM,06:46 AM,06:29 PM,11,13,14,13,11,60,87,0.3,1017,16,7,103,9,Ethiopia
2009-01-28,20,10,0.0,11.6,4,12,08:05 AM,08:14 PM,06:46 AM,06:30 PM,9,14,14,14,14,34,73,0.0,1016,20,7,86,10,Ethiopia
2009-01-29,23,7,0.0,11.6,4,20,08:44 AM,09:00 PM,06:46 AM,06:30 PM,5,15,16,15,13,6,52,0.0,1015,23,10,86,9,Ethiopia
2009-01-30,22,10,0.0,11.6,5,27,09:23 AM,09:47 PM,06:46 AM,06:30 PM,6,17,17,17,9,4,50,0.0,1014,22,10,92,7,Ethiopia
2009-01-31,23,10,0.0,11.6,5,31,10:02 AM,10:35 PM,06:46 AM,06:31 PM,7,18,18,18,9,5,51,0.0,1013,23,10,97,7,Ethiopia
2009-02-01,22,11,0.0,11.6,5,43,10:44 AM,11:27 PM,06:46 AM,06:31 PM,5,16,17,16,13,4,49,0.0,1015,22,10,93,11,Ethiopia
2009-02-02,22,8,0.0,11.6,4,50,11:30 AM,No moonset,06:46 AM,06:31 PM,5,15,15,15,17,7,56,0.0,1016,22,10,88,12,Ethiopia
