date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,34,17,0.0,11.2,6,31,10:39 AM,10:46 PM,07:17 AM,06:37 PM,-4,23,23,24,19,0,16,0.0,1012,34,10,78,11,Niger
2009-01-02,33,15,0.0,11.2,6,38,11:15 AM,11:35 PM,07:17 AM,06:37 PM,-7,22,22,22,18,2,15,0.0,1013,33,10,71,11,Niger
2009-01-03,33,14,0.0,11.2,6,45,11:52 AM,No moonset,07:17 AM,06:38 PM,-7,21,21,21,15,5,15,0.0,1013,33,10,61,9,Niger
2009-01-04,33,12,0.0,11.2,6,52,12:31 PM,12:24 AM,07:18 AM,06:38 PM,-8,21,20,21,14,1,14,0.0,1012,33,10,53,8,Niger
2009-01-05,36,14,0.0,11.2,6,60,01:13 PM,01:17 AM,07:18 AM,06:39 PM,-6,22,21,22,12,4,20,0.0,1011,36,10,66,6,Niger
2009-01-06,37,15,0.0,11.2,6,67,02:01 PM,02:13 AM,07:18 AM,06:39 PM,-7,23,23,24,12,1,18,0.0,1010,37,10,133,7,Niger
2009-01-07,37,16,0.0,11.2,6,74,02:54 PM,03:14 AM,07:19 AM,06:40 PM,-6,23,23,24,11,8,21,0.0,1008,37,10,85,6,Niger
2009-01-08,37,17,0.0,11.2,6,82,03:55 PM,04:19 AM,07:19 AM,06:41 PM,-5,24,24,24,11,14,19,0.0,1008,37,10,199,6,Niger
2009-01-09,37,17,0.0,11.2,6,89,05:02 PM,05:27 AM,07:19 AM,06:41 PM,-4,24,24,25,17,0,17,0.0,1011,37,10,146,10,Niger
2009-01-10,38,16,0.0,11.2,6,96,06:10 PM,06:32 AM,07:19 AM,06:42 PM,-3,24,24,25,12,1,22,0.0,1011,38,10,197,7,Niger
2009-01-11,36,18,0.0,11.2,7,100,07:18 PM,07:33 AM,07:20 AM,06:42 PM,-7,25,25,26,16,9,12,0.0,1010,36,10,330,9,Niger
2009-01-12,35,17,0.0,11.2,6,89,08:21 PM,08:27 AM,07:20 AM,06:43 PM,-6,24,24,24,16,13,14,0.0,1010,35,10,332,9,Niger
2009-01-13,34,16,0.0,11.2,6,82,09:20 PM,09:16 AM,07:20 AM,06:43 PM,-3,23,23,23,18,9,18,0.0,1012,34,10,222,10,Niger
