date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,27,0.0,11.6,6,31,09:47 AM,10:12 PM,06:10 AM,06:33 PM,24,31,31,27,31,31,80,3.8,1011,28,10,318,22,Seychelles
2009-01-02,28,27,0.0,10.2,7,38,10:31 AM,10:52 PM,06:10 AM,06:33 PM,23,30,30,27,21,35,78,5.8,1011,28,9,307,14,Seychelles
2009-01-03,27,27,0.0,11.6,7,45,11:16 AM,11:34 PM,06:11 AM,06:34 PM,23,31,31,27,24,40,79,5.3,1011,27,10,322,16,Seychelles
2009-01-04,27,26,0.0,11.6,7,52,12:02 PM,No moonset,06:11 AM,06:34 PM,24,30,30,27,36,58,82,10.5,1011,27,9,326,25,Seychelles
2009-01-05,27,27,0.0,8.9,6,60,12:52 PM,12:17 AM,06:12 AM,06:35 PM,23,30,30,27,40,57,79,12.2,1011,27,9,315,27,Seychelles
2009-01-06,28,27,0.0,11.6,6,67,01:46 PM,01:05 AM,06:12 AM,06:35 PM,23,31,31,27,34,47,76,4.6,1010,28,10,298,25,Seychelles
2009-01-07,28,27,0.0,10.2,7,74,02:45 PM,01:58 AM,06:13 AM,06:36 PM,23,31,31,27,35,49,78,3.4,1010,28,10,305,25,Seychelles
2009-01-08,28,27,0.0,10.2,6,82,03:50 PM,02:57 AM,06:13 AM,06:36 PM,23,31,31,27,39,63,79,10.2,1011,28,9,309,27,Seychelles
2009-01-09,28,27,0.0,8.9,7,89,04:56 PM,04:02 AM,06:14 AM,06:36 PM,23,31,31,28,36,48,78,2.5,1012,28,10,327,26,Seychelles
2009-01-10,28,27,0.0,11.6,7,96,06:02 PM,05:09 AM,06:14 AM,06:37 PM,24,31,31,28,36,28,78,1.6,1011,28,10,331,26,Seychelles
2009-01-11,28,28,0.0,11.6,7,100,07:04 PM,06:15 AM,06:15 AM,06:37 PM,24,32,32,28,33,16,79,0.0,1011,28,10,340,23,Seychelles
2009-01-12,28,28,0.0,11.6,7,89,08:00 PM,07:18 AM,06:15 AM,06:37 PM,23,31,31,28,21,6,78,0.0,1012,28,10,179,15,Seychelles
2009-01-13,28,27,0.0,11.6,7,82,08:51 PM,08:15 AM,06:15 AM,06:38 PM,23,31,31,28,14,13,78,0.1,1012,28,10,38,10,Seychelles
2009-01-14,28,27,0.0,11.6,7,75,09:38 PM,09:09 AM,06:16 AM,06:38 PM,23,31,31,28,19,27,77,0.0,1013,28,10,22,14,Seychelles
2009-01-15,27,27,0.0,10.2,7,68,10:21 PM,09:58 AM,06:16 AM,06:38 PM,23,30,30,27,18,49,81,2.0,1013,27,10,44,13,Seychelles
2009-01-16,27,26,0.0,11.6,7,60,11:05 PM,10:46 AM,06:17 AM,06:38 PM,23,30,30,27,17,43,81,5.6,1013,27,10,65,12,Seychelles
2009-01-17,27,26,0.0,10.2,6,53,11:48 PM,11:33 AM,06:17 AM,06:39 PM,23,30,30,27,19,52,81,4.6,1013,27,10,60,14,Seychelles
2009-01-18,27,26,0.0,11.6,7,46,No moonrise,12:19 PM,06:18 AM,06:39 PM,23,30,30,27,12,56,79,5.4,1012,27,10,68,8,Seychelles
2009-01-19,28,27,0.0,11.6,7,38,12:31 AM,01:08 PM,06:18 AM,06:39 PM,23,30,30,27,18,41,78,0.2,1011,28,10,133,13,Seychelles
2009-01-20,28,27,0.0,11.6,7,31,01:17 AM,01:57 PM,06:18 AM,06:39 PM,24,31,31,27,18,43,80,5.8,1010,28,10,96,12,Seychelles
2009-01-21,28,27,0.0,11.6,6,24,02:05 AM,02:47 PM,06:19 AM,06:40 PM,24,32,32,28,21,40,79,4.4,1011,28,10,338,15,Seychelles
2009-01-22,28,27,0.0,11.6,7,17,02:54 AM,03:38 PM,06:19 AM,06:40 PM,24,31,31,27,16,33,80,4.1,1011,28,10,268,11,Seychelles
2009-01-23,27,27,0.0,11.6,7,9,03:45 AM,04:28 PM,06:19 AM,06:40 PM,24,31,31,27,27,42,81,7.5,1011,27,9,263,19,Seychelles
2009-01-24,28,27,0.0,10.2,6,2,04:36 AM,05:18 PM,06:20 AM,06:40 PM,23,31,31,27,25,43,81,4.9,1010,28,10,273,17,Seychelles
2009-01-25,28,27,0.0,11.6,7,0,05:26 AM,06:04 PM,06:20 AM,06:40 PM,23,31,31,28,34,48,78,4.3,1011,28,9,293,24,Seychelles
2009-01-26,28,27,0.0,8.9,6,0,06:14 AM,06:49 PM,06:20 AM,06:40 PM,23,31,31,28,27,69,77,4.4,1013,28,10,283,19,Seychelles
2009-01-27,28,27,0.0,11.6,7,5,07:01 AM,07:31 PM,06:21 AM,06:40 PM,23,31,31,28,26,32,77,0.6,1012,28,10,275,19,Seychelles
2009-01-28,28,27,0.0,11.6,7,12,07:46 AM,08:12 PM,06:21 AM,06:40 PM,23,31,31,27,36,42,79,8.5,1011,28,9,286,25,Seychelles
2009-01-29,27,27,0.0,11.6,7,20,08:30 AM,08:52 PM,06:21 AM,06:41 PM,23,30,30,27,36,54,79,13.3,1011,27,9,297,24,Seychelles
2009-01-30,28,26,0.0,8.8,6,27,09:15 AM,09:33 PM,06:22 AM,06:41 PM,23,30,30,27,25,64,78,10.9,1011,28,9,315,17,Seychelles
2009-01-31,28,28,0.0,11.6,7,31,10:00 AM,10:15 PM,06:22 AM,06:41 PM,23,32,32,28,22,27,76,0.8,1010,28,10,327,16,Seychelles
2009-02-01,28,28,0.0,11.6,7,43,10:48 AM,11:01 PM,06:22 AM,06:41 PM,24,32,32,28,18,24,79,3.5,1011,28,10,328,12,Seychelles
2009-02-02,28,27,0.0,11.6,7,50,11:39 AM,11:50 PM,06:22 AM,06:41 PM,23,31,31,28,23,33,79,2.0,1012,28,10,334,16,Seychelles
2009-02-03,28,27,0.0,11.6,6,58,12:34 PM,No moonset,06:23 AM,06:41 PM,23,31,31,28,31,44,78,6.0,1012,28,9,316,22,Seychelles
