date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,16,11,0.0,8.7,4,31,10:21 AM,10:01 PM,07:32 AM,05:14 PM,9,12,13,12,26,7,77,0.0,1024,16,10,229,15,Tunisia
2009-01-02,17,10,0.0,7.0,4,38,10:45 AM,11:01 PM,07:33 AM,05:15 PM,8,13,13,13,13,47,69,0.4,1019,17,9,216,7,Tunisia
2009-01-03,14,11,0.0,7.0,4,45,11:10 AM,No moonset,07:33 AM,05:16 PM,9,10,12,10,30,47,80,0.1,1014,14,10,273,19,Tunisia
2009-01-04,13,8,0.0,5.4,4,52,11:36 AM,12:04 AM,07:33 AM,05:17 PM,9,10,11,10,18,63,86,4.1,1013,13,9,162,11,Tunisia
2009-01-05,12,9,0.0,8.7,4,60,12:06 PM,01:09 AM,07:33 AM,05:17 PM,7,8,11,8,34,43,80,4.4,1012,12,10,206,23,Tunisia
2009-01-06,12,7,0.0,8.7,3,67,12:41 PM,02:18 AM,07:33 AM,05:18 PM,6,8,10,8,25,19,76,0.0,1015,12,10,217,16,Tunisia
2009-01-07,15,8,0.0,8.7,4,74,01:24 PM,03:31 AM,07:33 AM,05:19 PM,6,9,11,9,25,28,71,0.0,1012,15,10,197,14,Tunisia
2009-01-08,15,8,0.0,8.7,4,82,02:17 PM,04:45 AM,07:33 AM,05:20 PM,7,10,11,10,20,20,76,0.0,1015,15,10,147,11,Tunisia
2009-01-09,15,9,0.0,8.7,4,89,03:23 PM,05:55 AM,07:33 AM,05:21 PM,9,12,12,12,9,17,82,0.6,1017,15,10,159,5,Tunisia
2009-01-10,14,9,0.0,7.0,3,96,04:37 PM,06:58 AM,07:33 AM,05:22 PM,8,9,11,9,27,41,85,0.1,1020,14,10,281,17,Tunisia
