date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,33,25,0.0,12.8,7,100,07:23 PM,06:20 AM,05:52 AM,06:29 PM,22,32,32,28,13,17,70,0.0,1011,33,10,199,9,Angola
2010-01-02,32,25,0.0,12.8,7,85,08:18 PM,07:25 AM,05:52 AM,06:30 PM,22,32,32,28,12,16,70,0.0,1011,32,10,211,9,Angola
2010-01-03,32,25,0.0,12.8,7,77,09:09 PM,08:25 AM,05:53 AM,06:30 PM,23,32,32,28,12,21,75,2.5,1011,32,10,193,9,Angola
2010-01-04,31,25,0.0,12.8,7,70,09:56 PM,09:23 AM,05:53 AM,06:30 PM,23,31,31,28,11,36,77,0.6,1011,31,10,208,8,Angola
2010-01-05,33,24,0.0,12.8,7,63,10:41 PM,10:17 AM,05:54 AM,06:31 PM,23,32,32,28,14,16,73,0.0,1010,33,10,189,10,Angola
2010-01-06,32,25,0.0,12.8,7,56,11:26 PM,11:10 AM,05:54 AM,06:31 PM,23,32,32,28,16,15,75,1.2,1010,32,10,205,12,Angola
2010-01-07,30,25,0.0,11.9,7,48,No moonrise,12:02 PM,05:55 AM,06:32 PM,23,31,31,28,13,40,75,0.3,1011,30,10,190,10,Angola
2010-01-08,31,23,0.0,12.8,7,41,12:10 AM,12:54 PM,05:56 AM,06:32 PM,21,29,29,26,16,45,74,0.8,1011,31,10,153,11,Angola
2010-01-09,32,24,0.0,12.8,7,34,12:56 AM,01:46 PM,05:56 AM,06:32 PM,22,31,31,28,13,29,70,1.1,1011,32,10,177,9,Angola
2010-01-10,32,25,0.0,12.8,7,27,01:44 AM,02:39 PM,05:57 AM,06:32 PM,22,32,32,28,16,17,71,0.6,1010,32,10,186,11,Angola
2010-01-11,32,25,0.0,12.8,7,19,02:33 AM,03:33 PM,05:57 AM,06:33 PM,23,33,33,29,14,9,72,0.0,1010,32,10,197,11,Angola
2010-01-12,32,25,0.0,12.8,7,12,03:25 AM,04:25 PM,05:58 AM,06:33 PM,23,33,33,29,14,16,74,1.6,1011,32,10,204,10,Angola
2010-01-13,32,26,0.0,12.8,7,5,04:17 AM,05:16 PM,05:58 AM,06:33 PM,23,32,32,29,13,27,70,0.6,1011,32,10,197,10,Angola
2010-01-14,32,25,0.0,12.7,7,0,05:09 AM,06:03 PM,05:59 AM,06:33 PM,22,32,32,29,10,28,70,0.1,1012,32,10,228,8,Angola
2010-01-15,33,25,0.0,12.8,7,0,05:59 AM,06:47 PM,05:59 AM,06:34 PM,23,33,33,29,12,24,71,0.0,1012,33,10,240,9,Angola
2010-01-16,28,25,0.0,12.8,7,2,06:47 AM,07:29 PM,05:59 AM,06:34 PM,24,30,30,27,10,44,83,2.7,1014,28,10,205,7,Angola
2010-01-17,33,24,0.0,12.3,7,10,07:33 AM,08:08 PM,06:00 AM,06:34 PM,22,31,31,28,15,28,72,0.4,1013,33,10,172,11,Angola
2010-01-18,33,25,0.0,12.3,7,17,08:17 AM,08:45 PM,06:00 AM,06:34 PM,23,33,33,29,13,18,73,2.3,1012,33,10,187,9,Angola
2010-01-19,32,26,0.0,10.2,7,24,09:01 AM,09:22 PM,06:01 AM,06:34 PM,24,33,33,29,12,34,78,6.2,1011,32,10,208,8,Angola
2010-01-20,28,25,0.0,10.2,7,31,09:45 AM,09:59 PM,06:01 AM,06:35 PM,24,30,30,27,8,50,87,9.1,1012,28,9,225,5,Angola
2010-01-21,33,24,0.0,10.2,7,39,10:29 AM,10:38 PM,06:02 AM,06:35 PM,23,32,32,28,9,45,78,2.7,1012,33,10,102,6,Angola
2010-01-22,31,25,0.0,11.6,7,46,11:16 AM,11:19 PM,06:02 AM,06:35 PM,23,32,32,28,13,29,77,1.2,1011,31,10,189,9,Angola
2010-01-23,33,26,0.0,11.6,7,53,12:05 PM,No moonset,06:03 AM,06:35 PM,23,33,33,29,15,39,73,0.9,1010,33,10,186,11,Angola
2010-01-24,32,27,0.0,10.2,7,60,12:59 PM,12:04 AM,06:03 AM,06:35 PM,24,32,32,28,12,57,76,4.3,1009,32,10,179,8,Angola
2010-01-25,30,26,0.0,10.2,7,68,01:57 PM,12:54 AM,06:03 AM,06:35 PM,24,33,33,28,7,50,80,3.9,1009,30,10,187,5,Angola
2010-01-26,26,24,0.0,8.9,7,75,02:57 PM,01:51 AM,06:04 AM,06:35 PM,23,28,28,26,12,50,84,0.0,1010,26,10,123,8,Angola
2010-01-27,30,25,0.0,11.6,6,82,04:00 PM,02:52 AM,06:04 AM,06:35 PM,23,31,31,27,14,39,78,0.0,1010,30,10,163,10,Angola
2010-01-28,27,25,0.0,11.6,7,90,05:02 PM,03:56 AM,06:05 AM,06:35 PM,24,30,30,26,12,49,85,1.1,1010,27,9,104,8,Angola
2010-01-29,27,24,0.0,11.6,7,97,06:00 PM,05:01 AM,06:05 AM,06:35 PM,21,28,28,26,10,41,77,0.0,1009,27,10,141,6,Angola
2010-01-30,34,24,0.0,11.6,7,100,06:54 PM,06:05 AM,06:05 AM,06:35 PM,23,33,33,29,13,16,71,0.1,1009,34,10,177,9,Angola
2010-01-31,34,26,0.0,11.6,7,100,07:45 PM,07:05 AM,06:06 AM,06:35 PM,24,34,34,29,16,18,73,0.1,1010,34,10,188,11,Angola
2010-02-01,34,26,0.0,11.6,7,77,08:32 PM,08:03 AM,06:06 AM,06:35 PM,24,34,34,30,16,10,71,0.6,1011,34,10,200,11,Angola
2010-02-02,33,26,0.0,11.6,7,69,09:19 PM,08:58 AM,06:06 AM,06:35 PM,24,34,34,29,14,23,73,0.0,1011,33,10,187,11,Angola
2010-02-03,29,26,0.0,11.6,7,62,10:05 PM,09:53 AM,06:07 AM,06:35 PM,23,31,31,28,14,41,76,0.1,1011,29,10,182,10,Angola
2010-02-04,34,25,0.0,11.6,7,54,10:52 PM,10:46 AM,06:07 AM,06:35 PM,23,33,33,29,14,22,71,0.0,1011,34,10,192,10,Angola
2010-02-05,33,25,0.0,11.6,7,47,11:40 PM,11:41 AM,06:07 AM,06:34 PM,23,32,32,28,15,15,73,1.1,1010,33,10,209,11,Angola
2010-02-06,33,25,0.0,11.6,7,39,No moonrise,12:35 PM,06:08 AM,06:34 PM,23,33,33,29,14,9,72,0.0,1010,33,10,200,11,Angola
2010-02-07,33,25,0.0,11.6,7,32,12:30 AM,01:29 PM,06:08 AM,06:34 PM,22,32,32,29,16,8,70,0.0,1009,33,10,201,12,Angola
2010-02-08,34,25,0.0,11.6,7,24,01:22 AM,02:22 PM,06:08 AM,06:34 PM,22,32,32,29,15,8,69,0.0,1009,34,10,189,11,Angola
2010-02-09,32,25,0.0,11.6,7,16,02:13 AM,03:13 PM,06:08 AM,06:34 PM,22,31,31,28,14,45,72,2.0,1009,32,10,200,10,Angola
2010-02-10,26,25,0.0,7.5,6,9,03:05 AM,04:01 PM,06:09 AM,06:34 PM,23,28,28,26,10,89,85,0.2,1010,26,10,174,7,Angola
2010-02-11,27,24,0.0,7.5,6,1,03:55 AM,04:46 PM,06:09 AM,06:33 PM,23,28,28,25,10,80,87,1.6,1010,27,8,138,6,Angola
2010-02-12,35,24,0.0,11.6,7,0,04:44 AM,05:28 PM,06:09 AM,06:33 PM,23,32,32,28,15,40,74,0.5,1009,35,10,149,10,Angola
2010-02-13,34,26,0.0,11.6,7,0,05:31 AM,06:08 PM,06:09 AM,06:33 PM,25,36,36,30,13,16,79,3.1,1009,34,10,201,9,Angola
2010-02-14,30,27,0.0,10.2,6,0,06:15 AM,06:46 PM,06:09 AM,06:33 PM,25,34,34,29,12,45,81,0.3,1010,30,9,201,8,Angola
2010-02-15,30,26,0.0,11.6,7,6,07:00 AM,07:23 PM,06:10 AM,06:32 PM,25,33,33,28,11,36,81,0.0,1010,30,10,193,8,Angola
2010-02-16,29,26,0.0,11.6,7,13,07:44 AM,08:00 PM,06:10 AM,06:32 PM,25,33,33,28,9,39,82,0.4,1010,29,9,156,7,Angola
2010-02-17,34,26,0.0,11.6,7,21,08:27 AM,08:38 PM,06:10 AM,06:32 PM,24,34,34,29,14,37,76,0.6,1010,34,10,180,10,Angola
2010-02-18,33,26,0.0,11.6,7,29,09:13 AM,09:18 PM,06:10 AM,06:31 PM,25,35,35,29,15,21,76,1.5,1011,33,10,198,11,Angola
2010-02-19,33,27,0.0,11.6,7,36,10:01 AM,10:01 PM,06:10 AM,06:31 PM,24,35,35,29,16,15,75,1.6,1011,33,10,194,12,Angola
2010-02-20,32,26,0.0,11.6,7,44,10:52 AM,10:48 PM,06:10 AM,06:31 PM,24,34,34,29,14,18,76,1.2,1010,32,10,206,10,Angola
