date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,27,24,0.0,11.6,7,100,07:39 PM,07:28 AM,06:54 AM,06:40 PM,23,29,29,26,11,37,86,2.2,1012,27,10,230,8,Liberia
2010-01-02,28,25,0.0,11.6,7,85,08:40 PM,08:26 AM,06:54 AM,06:40 PM,23,30,30,27,10,23,81,0.2,1011,28,10,272,7,Liberia
2010-01-03,29,25,0.0,11.6,7,77,09:38 PM,09:20 AM,06:55 AM,06:41 PM,24,31,31,27,12,27,83,1.4,1011,29,10,262,8,Liberia
2010-01-04,28,25,0.0,11.6,7,70,10:32 PM,10:10 AM,06:55 AM,06:41 PM,24,30,30,27,13,27,84,2.1,1011,28,10,216,8,Liberia
2010-01-05,28,25,0.0,11.6,7,63,11:24 PM,10:57 AM,06:55 AM,06:42 PM,23,29,29,26,10,43,84,1.9,1011,28,10,211,7,Liberia
2010-01-06,27,25,0.0,11.6,7,56,No moonrise,11:43 AM,06:56 AM,06:42 PM,23,29,29,26,12,41,84,2.2,1011,27,10,251,8,Liberia
2010-01-07,28,25,0.0,11.6,7,48,12:14 AM,12:28 PM,06:56 AM,06:43 PM,23,30,30,27,12,31,83,2.4,1012,28,10,262,8,Liberia
2010-01-08,29,26,0.0,11.6,7,41,01:06 AM,01:14 PM,06:57 AM,06:43 PM,24,31,31,27,18,27,82,1.4,1011,29,10,275,12,Liberia
2010-01-09,30,25,0.0,11.6,7,34,01:57 AM,02:02 PM,06:57 AM,06:44 PM,23,31,31,27,16,14,79,0.1,1010,30,10,262,11,Liberia
2010-01-10,28,24,0.0,11.6,7,27,02:49 AM,02:51 PM,06:57 AM,06:44 PM,23,30,30,27,12,29,82,1.5,1010,28,10,238,8,Liberia
2010-01-11,30,25,0.0,11.6,7,19,03:43 AM,03:43 PM,06:58 AM,06:45 PM,23,31,31,27,13,28,79,1.0,1012,30,10,211,9,Liberia
2010-01-12,30,25,0.0,11.6,7,12,04:35 AM,04:34 PM,06:58 AM,06:45 PM,23,31,31,28,17,13,76,0.0,1012,30,10,275,11,Liberia
2010-01-13,30,25,0.0,11.6,7,5,05:27 AM,05:26 PM,06:58 AM,06:46 PM,23,30,30,27,17,8,77,0.0,1012,30,10,267,12,Liberia
2010-01-14,29,25,0.0,11.6,7,0,06:16 AM,06:16 PM,06:58 AM,06:46 PM,23,30,30,27,16,14,80,0.0,1012,29,10,258,11,Liberia
2010-01-15,29,25,0.0,11.6,7,0,07:02 AM,07:05 PM,06:59 AM,06:46 PM,23,30,30,27,16,16,80,0.5,1013,29,10,251,11,Liberia
2010-01-16,29,25,0.0,11.6,6,2,07:46 AM,07:51 PM,06:59 AM,06:47 PM,23,31,31,27,18,22,78,1.3,1013,29,10,275,12,Liberia
2010-01-17,30,25,0.0,11.6,7,10,08:26 AM,08:35 PM,06:59 AM,06:47 PM,23,30,30,27,16,5,76,0.0,1013,30,10,273,11,Liberia
2010-01-18,29,24,0.0,11.5,7,17,09:05 AM,09:18 PM,07:00 AM,06:48 PM,23,30,30,27,11,17,81,0.6,1012,29,10,212,8,Liberia
2010-01-19,29,24,0.0,11.5,7,24,09:43 AM,10:01 PM,07:00 AM,06:48 PM,24,30,30,27,10,18,82,0.9,1012,29,10,192,7,Liberia
2010-01-20,29,25,0.0,11.5,7,31,10:21 AM,10:44 PM,07:00 AM,06:49 PM,24,30,30,27,11,20,82,0.6,1011,29,10,248,8,Liberia
2010-01-21,30,25,0.0,11.5,7,39,11:00 AM,11:29 PM,07:00 AM,06:49 PM,24,31,31,27,13,22,81,0.4,1012,30,10,247,9,Liberia
2010-01-22,29,25,0.0,11.5,7,46,11:41 AM,No moonset,07:00 AM,06:49 PM,23,30,30,27,13,18,81,0.7,1011,29,10,226,9,Liberia
2010-01-23,29,25,0.0,11.5,7,53,12:25 PM,12:15 AM,07:00 AM,06:50 PM,23,30,30,27,12,19,81,0.7,1010,29,10,212,8,Liberia
