date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,24,18,0.0,10.0,6,100,07:09 PM,08:41 AM,08:10 AM,06:12 PM,3,21,21,21,42,0,32,0.0,1012,24,10,260,24,Libya
2010-01-02,18,12,0.0,10.0,5,85,08:23 PM,09:29 AM,08:10 AM,06:12 PM,7,16,16,16,30,0,54,0.0,1019,18,10,302,21,Libya
2010-01-03,18,11,0.0,10.0,4,77,09:35 PM,10:10 AM,08:10 AM,06:13 PM,8,16,16,16,11,0,58,0.0,1022,18,10,218,8,Libya
2010-01-04,21,12,0.0,10.0,5,70,10:44 PM,10:46 AM,08:10 AM,06:14 PM,4,16,17,16,21,12,43,0.0,1018,21,10,208,12,Libya
2010-01-05,24,15,0.0,10.0,5,63,11:51 PM,11:19 AM,08:10 AM,06:15 PM,-1,19,19,19,36,21,26,0.0,1010,24,10,211,20,Libya
2010-01-06,23,16,0.0,10.0,5,56,No moonrise,11:51 AM,08:11 AM,06:15 PM,2,19,19,19,32,0,32,0.0,1010,23,10,236,18,Libya
2010-01-07,24,15,0.0,10.1,5,48,12:55 AM,12:23 PM,08:11 AM,06:16 PM,1,19,19,19,28,15,29,0.0,1009,24,10,204,15,Libya
2010-01-08,24,17,0.0,10.1,6,41,01:59 AM,12:57 PM,08:11 AM,06:17 PM,1,20,20,20,42,11,30,0.0,1007,24,10,218,23,Libya
2010-01-09,17,13,0.0,10.1,5,34,03:02 AM,01:34 PM,08:11 AM,06:18 PM,-1,14,15,14,38,14,33,0.0,1015,17,10,259,25,Libya
2010-01-10,13,9,0.0,10.1,4,27,04:04 AM,02:15 PM,08:11 AM,06:19 PM,-3,8,11,8,37,10,37,0.0,1021,13,10,264,26,Libya
2010-01-11,17,7,0.0,10.1,4,19,05:03 AM,03:01 PM,08:11 AM,06:20 PM,-5,11,12,11,24,11,30,0.0,1020,17,10,237,14,Libya
2010-01-12,16,10,0.0,10.1,4,12,05:59 AM,03:52 PM,08:10 AM,06:21 PM,2,11,13,11,35,8,50,0.0,1018,16,10,281,23,Libya
2010-01-13,20,10,0.0,10.1,4,5,06:49 AM,04:47 PM,08:10 AM,06:21 PM,5,14,15,14,41,14,55,0.0,1014,20,10,245,26,Libya
2010-01-14,17,13,0.0,10.1,5,0,07:34 AM,05:44 PM,08:10 AM,06:22 PM,5,15,15,15,31,23,49,0.0,1013,17,10,250,19,Libya
2010-01-15,17,14,0.0,10.1,5,0,08:12 AM,06:40 PM,08:10 AM,06:23 PM,6,16,16,16,45,37,52,0.8,1009,17,10,259,32,Libya
2010-01-16,14,12,0.0,5.1,3,2,08:46 AM,07:37 PM,08:10 AM,06:24 PM,10,11,13,11,55,93,79,10.5,1014,14,9,321,36,Libya
2010-01-17,14,12,0.0,8.3,4,10,09:17 AM,08:32 PM,08:10 AM,06:25 PM,9,11,13,11,30,54,74,0.6,1024,14,10,306,20,Libya
2010-01-18,17,11,0.0,10.2,4,17,09:45 AM,09:27 PM,08:09 AM,06:26 PM,7,12,14,12,29,32,63,0.0,1021,17,10,279,19,Libya
2010-01-19,15,11,0.0,10.2,4,24,10:11 AM,10:21 PM,08:09 AM,06:27 PM,9,12,13,12,17,30,77,0.0,1020,15,10,310,11,Libya
2010-01-20,16,10,0.0,10.2,4,31,10:37 AM,11:16 PM,08:09 AM,06:28 PM,7,13,13,13,12,22,69,0.0,1019,16,10,249,7,Libya
2010-01-21,17,12,0.0,10.2,4,39,11:04 AM,No moonset,08:08 AM,06:29 PM,6,12,14,12,33,24,61,0.1,1017,17,10,273,20,Libya
2010-01-22,15,11,0.0,10.0,4,46,11:34 AM,12:12 AM,08:08 AM,06:30 PM,8,11,13,11,31,28,73,0.2,1020,15,10,306,20,Libya
2010-01-23,16,10,0.0,10.2,4,53,12:06 PM,01:11 AM,08:07 AM,06:31 PM,6,12,13,12,19,7,65,0.0,1020,16,10,222,12,Libya
