date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,28,26,0.0,12.9,7,15,02:51 AM,04:01 PM,05:47 AM,06:34 PM,22,30,30,27,8,19,74,0.6,1010,28,10,138,6,Comoros
2011-01-02,28,26,0.0,12.9,7,7,03:47 AM,04:58 PM,05:47 AM,06:35 PM,22,30,30,27,11,17,72,2.1,1009,28,10,83,8,Comoros
2011-01-03,28,26,0.0,12.9,6,0,04:43 AM,05:52 PM,05:48 AM,06:35 PM,21,29,29,27,7,25,71,5.2,1010,28,10,77,5,Comoros
2011-01-04,28,26,0.0,12.9,7,0,05:39 AM,06:43 PM,05:48 AM,06:35 PM,21,29,29,27,8,16,72,6.6,1009,28,10,269,5,Comoros
2011-01-05,28,26,0.0,12.9,7,0,06:33 AM,07:29 PM,05:49 AM,06:36 PM,22,30,30,27,8,22,73,5.2,1008,28,10,211,5,Comoros
2011-01-06,28,27,0.0,12.9,7,7,07:24 AM,08:12 PM,05:49 AM,06:36 PM,23,30,30,27,21,19,77,8.0,1007,28,9,29,14,Comoros
2011-01-07,28,27,0.0,12.9,7,14,08:13 AM,08:51 PM,05:50 AM,06:36 PM,23,31,31,27,23,22,79,5.3,1008,28,10,104,16,Comoros
2011-01-08,28,27,0.0,12.9,7,21,09:00 AM,09:29 PM,05:50 AM,06:37 PM,24,31,31,27,24,30,80,8.5,1008,28,9,265,16,Comoros
2011-01-09,28,27,0.0,12.9,6,29,09:45 AM,10:05 PM,05:51 AM,06:37 PM,23,31,31,27,23,28,78,9.4,1008,28,9,172,16,Comoros
2011-01-10,28,27,0.0,12.9,7,36,10:29 AM,10:41 PM,05:52 AM,06:37 PM,23,31,31,27,27,34,79,8.3,1009,28,9,23,18,Comoros
2011-01-11,28,27,0.0,12.9,6,43,11:15 AM,11:19 PM,05:52 AM,06:37 PM,23,31,31,27,18,17,79,6.4,1010,28,9,71,12,Comoros
2011-01-12,28,27,0.0,12.9,7,51,12:01 PM,11:58 PM,05:53 AM,06:38 PM,23,30,30,27,13,17,75,0.4,1009,28,10,42,9,Comoros
2011-01-13,28,27,0.0,12.9,7,58,12:49 PM,No moonset,05:53 AM,06:38 PM,22,30,30,27,15,22,76,4.1,1009,28,10,24,10,Comoros
2011-01-14,28,27,0.0,12.8,6,65,01:40 PM,12:40 AM,05:54 AM,06:38 PM,23,30,30,27,19,17,79,6.1,1009,28,9,142,13,Comoros
2011-01-15,28,27,0.0,12.8,7,72,02:33 PM,01:26 AM,05:54 AM,06:38 PM,23,31,31,27,19,16,78,11.1,1010,28,9,213,13,Comoros
2011-01-16,28,27,0.0,12.8,7,80,03:30 PM,02:17 AM,05:55 AM,06:38 PM,23,31,31,27,19,35,80,0.2,1010,28,10,332,14,Comoros
2011-01-17,28,27,0.0,11.9,7,87,04:27 PM,03:13 AM,05:55 AM,06:39 PM,23,31,31,27,22,50,80,0.0,1009,28,10,98,16,Comoros
2011-01-18,28,27,0.0,11.9,7,94,05:24 PM,04:12 AM,05:56 AM,06:39 PM,23,30,30,27,16,41,78,0.0,1008,28,10,36,12,Comoros
2011-01-19,27,26,0.0,12.8,7,100,06:19 PM,05:13 AM,05:56 AM,06:39 PM,22,29,29,27,14,25,78,5.1,1008,27,10,185,10,Comoros
2011-01-20,28,26,0.0,12.8,7,100,07:11 PM,06:14 AM,05:57 AM,06:39 PM,22,30,30,27,12,24,76,0.7,1008,28,10,218,9,Comoros
2011-01-21,28,26,0.0,12.8,6,84,08:00 PM,07:14 AM,05:57 AM,06:39 PM,23,30,30,27,12,24,77,3.2,1009,28,10,97,8,Comoros
2011-01-22,28,27,0.0,12.8,7,77,08:47 PM,08:12 AM,05:58 AM,06:39 PM,23,30,30,27,18,25,78,3.3,1008,28,10,181,13,Comoros
2011-01-23,28,27,0.0,12.8,6,69,09:34 PM,09:10 AM,05:58 AM,06:39 PM,23,31,31,27,22,22,78,15.7,1009,28,9,293,14,Comoros
2011-01-24,28,27,0.0,12.8,7,62,10:19 PM,10:06 AM,05:59 AM,06:39 PM,24,31,31,28,28,56,79,1.4,1009,28,10,326,20,Comoros
2011-01-25,28,27,0.0,12.8,7,55,11:07 PM,11:03 AM,05:59 AM,06:39 PM,24,31,31,28,37,63,78,2.8,1007,28,10,325,27,Comoros
2011-01-26,28,28,0.0,12.4,7,48,11:56 PM,12:00 PM,06:00 AM,06:39 PM,24,32,32,28,48,54,78,1.2,1007,28,10,341,34,Comoros
2011-01-27,29,28,0.0,12.4,7,40,No moonrise,12:58 PM,06:00 AM,06:39 PM,24,32,32,28,45,43,77,1.5,1009,29,10,353,33,Comoros
2011-01-28,29,28,0.0,11.6,7,33,12:48 AM,01:56 PM,06:01 AM,06:39 PM,23,32,32,28,34,38,76,0.2,1011,29,10,349,25,Comoros
2011-01-29,28,27,0.0,11.6,7,26,01:42 AM,02:52 PM,06:01 AM,06:39 PM,23,31,31,28,33,42,77,0.0,1010,28,10,334,24,Comoros
2011-01-30,28,27,0.0,11.6,6,19,02:37 AM,03:47 PM,06:01 AM,06:39 PM,23,31,31,28,31,25,77,1.6,1009,28,10,321,23,Comoros
2011-01-31,28,27,0.0,10.2,7,15,03:32 AM,04:37 PM,06:02 AM,06:39 PM,24,31,31,27,20,35,80,1.4,1010,28,10,329,14,Comoros
2011-02-01,27,27,0.0,11.6,7,0,04:25 AM,05:25 PM,06:02 AM,06:39 PM,23,30,30,27,15,35,81,3.5,1011,27,10,306,11,Comoros
2011-02-02,27,26,0.0,11.6,7,0,05:18 AM,06:08 PM,06:03 AM,06:38 PM,22,30,30,27,14,31,76,1.4,1010,27,10,262,10,Comoros
2011-02-03,28,26,0.0,11.6,7,0,06:07 AM,06:49 PM,06:03 AM,06:38 PM,22,30,30,27,9,25,75,0.2,1011,28,10,247,7,Comoros
2011-02-04,28,26,0.0,11.6,7,3,06:54 AM,07:27 PM,06:03 AM,06:38 PM,22,30,30,27,10,29,77,0.1,1011,28,10,273,8,Comoros
2011-02-05,28,26,0.0,11.6,6,11,07:40 AM,08:04 PM,06:04 AM,06:38 PM,23,30,30,27,15,21,77,2.8,1009,28,10,254,11,Comoros
2011-02-06,28,27,0.0,11.6,7,18,08:25 AM,08:40 PM,06:04 AM,06:38 PM,23,30,30,27,18,35,77,8.6,1009,28,9,288,13,Comoros
2011-02-07,28,27,0.0,11.6,7,26,09:10 AM,09:17 PM,06:04 AM,06:37 PM,23,31,31,27,26,37,79,4.4,1008,28,10,322,19,Comoros
2011-02-08,27,27,0.0,6.2,6,33,09:55 AM,09:55 PM,06:05 AM,06:37 PM,23,31,31,27,31,82,79,4.0,1008,27,9,328,22,Comoros
2011-02-09,28,27,0.0,11.6,7,41,10:42 AM,10:35 PM,06:05 AM,06:37 PM,23,30,30,27,30,49,78,0.8,1006,28,9,325,22,Comoros
2011-02-10,28,27,0.0,11.6,7,48,11:31 AM,11:19 PM,06:05 AM,06:37 PM,23,31,31,27,23,27,79,6.0,1006,28,9,331,16,Comoros
2011-02-11,28,27,0.0,11.6,6,56,12:22 PM,No moonset,06:06 AM,06:36 PM,24,32,32,28,27,29,81,10.5,1006,28,9,318,17,Comoros
2011-02-12,28,27,0.0,11.6,6,64,01:16 PM,12:06 AM,06:06 AM,06:36 PM,24,32,32,28,24,33,80,1.1,1006,28,10,282,18,Comoros
2011-02-13,27,26,0.0,6.2,6,71,02:11 PM,12:58 AM,06:06 AM,06:36 PM,23,30,30,27,30,67,82,18.9,1006,27,9,280,20,Comoros
2011-02-14,28,26,0.0,10.2,7,79,03:07 PM,01:54 AM,06:07 AM,06:35 PM,23,30,30,27,29,56,80,3.1,1006,28,9,268,21,Comoros
2011-02-15,28,27,0.0,11.6,7,86,04:02 PM,02:53 AM,06:07 AM,06:35 PM,23,31,31,27,33,34,78,1.4,1004,28,10,280,24,Comoros
2011-02-16,28,27,0.0,10.2,7,94,04:55 PM,03:54 AM,06:07 AM,06:35 PM,23,31,31,28,45,39,77,3.9,1005,28,10,313,31,Comoros
