date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,27,26,0.0,11.6,7,15,03:42 AM,03:56 PM,06:31 AM,06:25 PM,22,29,29,26,13,7,78,0.0,1007,27,10,208,9,Equatorial_Guinea
2011-01-02,27,26,0.0,11.6,7,7,04:39 AM,04:52 PM,06:31 AM,06:26 PM,22,29,29,26,12,11,77,0.8,1007,27,10,267,9,Equatorial_Guinea
2011-01-03,27,26,0.0,11.6,7,0,05:35 AM,05:48 PM,06:32 AM,06:26 PM,22,29,29,26,11,12,78,1.5,1007,27,10,245,8,Equatorial_Guinea
2011-01-04,27,26,0.0,11.6,7,0,06:28 AM,06:41 PM,06:32 AM,06:27 PM,23,30,30,27,13,14,81,1.2,1008,27,10,230,9,Equatorial_Guinea
2011-01-05,27,26,0.0,11.6,7,0,07:18 AM,07:31 PM,06:32 AM,06:27 PM,22,29,29,27,12,20,78,3.3,1008,27,10,213,8,Equatorial_Guinea
2011-01-06,27,26,0.0,11.6,7,7,08:05 AM,08:18 PM,06:33 AM,06:28 PM,22,29,29,27,12,8,77,2.8,1009,27,10,252,8,Equatorial_Guinea
2011-01-07,27,26,0.0,11.6,7,14,08:48 AM,09:03 PM,06:33 AM,06:28 PM,22,29,29,27,12,10,79,3.8,1009,27,10,220,9,Equatorial_Guinea
2011-01-08,27,26,0.0,11.6,7,21,09:29 AM,09:46 PM,06:34 AM,06:29 PM,22,29,29,27,11,6,77,2.4,1009,27,10,210,8,Equatorial_Guinea
2011-01-09,27,26,0.0,11.6,7,29,10:08 AM,10:27 PM,06:34 AM,06:29 PM,23,29,29,26,14,6,80,1.1,1008,27,10,217,10,Equatorial_Guinea
2011-01-10,27,25,0.0,11.6,7,36,10:47 AM,11:10 PM,06:34 AM,06:30 PM,22,29,29,26,12,6,76,0.4,1010,27,10,249,8,Equatorial_Guinea
2011-01-11,27,25,0.0,11.6,7,43,11:27 AM,11:52 PM,06:35 AM,06:30 PM,21,28,28,26,13,3,72,0.0,1010,27,10,251,9,Equatorial_Guinea
2011-01-12,27,25,0.0,11.6,7,51,12:08 PM,No moonset,06:35 AM,06:31 PM,22,28,28,26,14,5,77,0.0,1010,27,10,261,10,Equatorial_Guinea
2011-01-13,26,25,0.0,11.6,7,58,12:52 PM,12:37 AM,06:35 AM,06:31 PM,22,28,28,26,15,15,82,1.5,1009,26,10,258,11,Equatorial_Guinea
2011-01-14,27,25,0.0,11.6,7,65,01:39 PM,01:24 AM,06:36 AM,06:31 PM,22,28,28,26,13,15,79,0.2,1009,27,10,222,9,Equatorial_Guinea
