date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,28,24,0.0,11.6,7,15,03:33 AM,03:59 PM,06:22 AM,06:28 PM,24,29,29,26,8,30,87,2.7,1007,28,10,256,6,Gabon
2011-01-02,28,24,0.0,11.6,7,7,04:30 AM,04:55 PM,06:23 AM,06:29 PM,23,29,29,26,10,53,88,6.4,1007,28,10,231,6,Gabon
2011-01-03,28,23,0.0,10.2,7,0,05:26 AM,05:51 PM,06:23 AM,06:29 PM,23,29,29,26,9,39,87,4.4,1007,28,10,239,5,Gabon
2011-01-04,28,24,0.0,8.8,7,0,06:20 AM,06:43 PM,06:24 AM,06:30 PM,24,29,29,26,9,73,88,3.3,1009,28,9,209,6,Gabon
2011-01-05,28,24,0.0,10.2,6,0,07:11 AM,07:33 PM,06:24 AM,06:30 PM,24,29,29,26,9,74,89,7.1,1009,28,7,208,6,Gabon
2011-01-06,28,24,0.0,10.2,6,7,07:58 AM,08:19 PM,06:25 AM,06:31 PM,23,29,29,26,7,58,87,3.2,1009,28,10,215,5,Gabon
2011-01-07,28,23,0.0,11.6,7,14,08:42 AM,09:02 PM,06:25 AM,06:31 PM,23,29,29,26,8,35,87,1.8,1010,28,8,208,5,Gabon
2011-01-08,29,23,0.0,11.6,7,21,09:25 AM,09:44 PM,06:25 AM,06:32 PM,23,29,29,26,7,32,87,2.6,1009,29,8,199,4,Gabon
2011-01-09,28,24,0.0,11.6,7,29,10:05 AM,10:24 PM,06:26 AM,06:32 PM,24,29,29,26,10,25,87,8.2,1009,28,8,195,6,Gabon
2011-01-10,28,24,0.0,11.6,7,36,10:46 AM,11:05 PM,06:26 AM,06:32 PM,23,28,28,26,11,36,85,6.6,1010,28,9,243,7,Gabon
2011-01-11,28,23,0.0,11.6,7,43,11:27 AM,11:47 PM,06:27 AM,06:33 PM,23,28,28,25,7,30,87,2.1,1010,28,9,202,5,Gabon
2011-01-12,28,23,0.0,10.2,7,51,12:09 PM,No moonset,06:27 AM,06:33 PM,23,28,28,25,10,34,88,5.6,1010,28,9,236,6,Gabon
2011-01-13,28,22,0.0,11.6,7,58,12:53 PM,12:30 AM,06:27 AM,06:34 PM,23,28,28,25,7,41,87,2.9,1009,28,8,235,5,Gabon
2011-01-14,28,23,0.0,11.6,7,65,01:41 PM,01:17 AM,06:28 AM,06:34 PM,23,28,28,26,9,36,84,2.0,1010,28,9,219,6,Gabon
2011-01-15,31,23,0.0,10.2,7,72,02:32 PM,02:06 AM,06:28 AM,06:34 PM,23,29,29,26,9,31,82,0.5,1010,31,9,208,6,Gabon
2011-01-16,28,24,0.0,10.2,7,80,03:28 PM,03:00 AM,06:29 AM,06:35 PM,23,28,28,25,11,43,88,11.7,1010,28,9,210,6,Gabon
2011-01-17,28,23,0.0,11.6,7,87,04:25 PM,03:56 AM,06:29 AM,06:35 PM,23,29,29,26,10,35,86,2.2,1009,28,9,256,6,Gabon
2011-01-18,28,24,0.0,11.6,7,94,05:24 PM,04:54 AM,06:29 AM,06:35 PM,23,28,28,26,9,37,85,1.1,1009,28,10,277,6,Gabon
2011-01-19,29,23,0.0,11.6,7,100,06:22 PM,05:53 AM,06:30 AM,06:36 PM,23,29,29,26,9,22,85,1.4,1008,29,9,186,6,Gabon
2011-01-20,29,24,0.0,11.6,7,100,07:18 PM,06:50 AM,06:30 AM,06:36 PM,23,29,29,26,11,32,85,4.2,1008,29,9,203,7,Gabon
2011-01-21,29,24,0.0,11.6,7,84,08:12 PM,07:45 AM,06:30 AM,06:36 PM,23,29,29,26,10,36,86,6.4,1007,29,10,218,6,Gabon
2011-01-22,29,23,0.0,10.2,7,77,09:05 PM,08:38 AM,06:30 AM,06:37 PM,23,29,29,26,9,38,87,6.1,1007,29,7,227,5,Gabon
2011-01-23,29,24,0.0,11.6,7,69,09:56 PM,09:30 AM,06:31 AM,06:37 PM,23,29,29,26,10,36,86,1.6,1008,29,10,206,7,Gabon
2011-01-24,29,24,0.0,11.6,7,62,10:48 PM,10:20 AM,06:31 AM,06:37 PM,23,29,29,26,12,30,85,4.1,1008,29,8,187,7,Gabon
2011-01-25,29,24,0.0,11.6,6,55,11:40 PM,11:12 AM,06:31 AM,06:37 PM,23,29,29,26,11,34,85,4.9,1009,29,9,203,7,Gabon
2011-01-26,29,24,0.0,11.6,7,48,No moonrise,12:05 PM,06:31 AM,06:38 PM,23,30,30,26,10,23,85,4.1,1009,29,10,215,6,Gabon
2011-01-27,29,24,0.0,11.6,6,40,12:34 AM,12:59 PM,06:32 AM,06:38 PM,23,29,29,26,11,35,86,3.8,1009,29,8,203,7,Gabon
2011-01-28,29,24,0.0,11.6,6,33,01:29 AM,01:54 PM,06:32 AM,06:38 PM,24,30,30,26,10,30,86,2.3,1010,29,9,196,7,Gabon
2011-01-29,29,24,0.0,11.6,7,26,02:24 AM,02:50 PM,06:32 AM,06:38 PM,23,29,29,26,12,25,85,1.0,1011,29,10,198,8,Gabon
2011-01-30,30,24,0.0,11.6,7,19,03:20 AM,03:45 PM,06:32 AM,06:38 PM,23,30,30,26,13,22,84,6.9,1010,30,9,207,8,Gabon
2011-01-31,29,25,0.0,11.6,7,15,04:13 AM,04:37 PM,06:32 AM,06:38 PM,24,30,30,27,10,29,85,2.3,1010,29,10,213,6,Gabon
2011-02-01,29,25,0.0,11.6,6,0,05:05 AM,05:27 PM,06:32 AM,06:39 PM,23,30,30,26,12,37,85,2.3,1010,29,9,206,8,Gabon
2011-02-02,28,24,0.0,11.6,6,0,05:53 AM,06:14 PM,06:33 AM,06:39 PM,24,29,29,26,12,47,88,5.3,1010,28,7,205,7,Gabon
2011-02-03,30,24,0.0,11.6,7,0,06:38 AM,06:58 PM,06:33 AM,06:39 PM,24,29,29,26,12,31,87,10.6,1010,30,9,196,7,Gabon
2011-02-04,29,24,0.0,11.6,7,3,07:21 AM,07:41 PM,06:33 AM,06:39 PM,24,30,30,26,10,32,85,3.5,1009,29,10,201,6,Gabon
2011-02-05,29,25,0.0,11.6,7,11,08:02 AM,08:21 PM,06:33 AM,06:39 PM,24,29,29,26,12,42,87,11.8,1009,29,9,193,7,Gabon
2011-02-06,29,24,0.0,11.6,7,18,08:43 AM,09:02 PM,06:33 AM,06:39 PM,23,29,29,26,11,49,85,3.3,1010,29,10,217,7,Gabon
2011-02-07,30,24,0.0,11.6,7,26,09:24 AM,09:43 PM,06:33 AM,06:39 PM,23,29,29,26,10,42,86,4.7,1010,30,8,185,6,Gabon
2011-02-08,29,24,0.0,11.6,7,33,10:05 AM,10:25 PM,06:33 AM,06:39 PM,23,29,29,26,10,33,85,3.8,1009,29,10,198,6,Gabon
2011-02-09,28,24,0.0,8.8,6,41,10:48 AM,11:10 PM,06:33 AM,06:39 PM,23,29,29,26,11,53,87,6.2,1009,28,9,213,6,Gabon
2011-02-10,28,24,0.0,10.2,7,48,11:34 AM,11:57 PM,06:33 AM,06:39 PM,23,29,29,26,13,71,85,2.6,1010,28,10,208,9,Gabon
2011-02-11,27,24,0.0,7.4,6,56,12:22 PM,No moonset,06:33 AM,06:39 PM,23,28,28,25,7,73,88,0.2,1011,27,10,197,4,Gabon
2011-02-12,29,24,0.0,11.6,7,64,01:14 PM,12:47 AM,06:33 AM,06:39 PM,24,29,29,26,10,43,86,2.1,1010,29,9,188,7,Gabon
2011-02-13,29,24,0.0,11.6,6,71,02:08 PM,01:41 AM,06:33 AM,06:39 PM,24,30,30,26,10,37,85,5.3,1010,29,9,209,6,Gabon
2011-02-14,29,24,0.0,11.6,7,79,03:05 PM,02:37 AM,06:33 AM,06:39 PM,24,30,30,26,8,32,87,8.2,1010,29,8,206,5,Gabon
2011-02-15,29,24,0.0,11.6,7,86,04:03 PM,03:35 AM,06:33 AM,06:39 PM,24,30,30,26,6,37,85,1.7,1009,29,10,266,4,Gabon
2011-02-16,31,24,0.0,11.6,7,94,05:00 PM,04:31 AM,06:33 AM,06:39 PM,24,30,30,27,10,31,86,6.3,1008,31,8,197,6,Gabon
2011-02-17,30,24,0.0,11.6,7,100,05:56 PM,05:28 AM,06:33 AM,06:39 PM,24,31,31,27,12,30,88,8.6,1008,30,9,202,7,Gabon
2011-02-18,30,25,0.0,11.6,7,100,06:51 PM,06:23 AM,06:33 AM,06:39 PM,24,30,30,27,12,35,88,6.2,1009,30,8,215,7,Gabon
2011-02-19,29,24,0.0,11.6,7,84,07:44 PM,07:17 AM,06:33 AM,06:39 PM,24,30,30,27,8,36,86,2.8,1009,29,10,239,5,Gabon
2011-02-20,30,25,0.0,11.6,7,76,08:38 PM,08:09 AM,06:33 AM,06:39 PM,24,30,30,27,13,45,84,3.1,1010,30,10,187,8,Gabon
2011-02-21,29,25,0.0,11.6,6,69,09:32 PM,09:03 AM,06:33 AM,06:39 PM,24,30,30,27,12,44,86,2.0,1010,29,10,215,7,Gabon
