date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,38,18,0.0,11.6,7,15,03:58 AM,03:52 PM,06:47 AM,06:23 PM,2,25,25,26,16,3,24,0.0,1008,38,10,132,8,Nigeria
2011-01-02,36,19,0.0,11.6,7,7,04:56 AM,04:48 PM,06:47 AM,06:23 PM,3,25,25,26,13,10,25,0.0,1007,36,10,154,8,Nigeria
2011-01-03,37,18,0.0,11.6,7,0,05:52 AM,05:45 PM,06:47 AM,06:24 PM,5,26,26,26,12,3,27,0.0,1007,37,10,157,7,Nigeria
2011-01-04,38,20,0.0,11.6,7,0,06:44 AM,06:38 PM,06:48 AM,06:24 PM,5,26,26,27,10,4,26,0.0,1008,38,10,120,6,Nigeria
2011-01-05,38,20,0.0,11.6,7,0,07:33 AM,07:31 PM,06:48 AM,06:25 PM,3,27,27,27,13,0,23,0.0,1009,38,10,122,7,Nigeria
2011-01-06,37,20,0.0,11.6,7,7,08:17 AM,08:19 PM,06:49 AM,06:25 PM,0,26,26,27,15,0,19,0.0,1009,37,10,86,8,Nigeria
2011-01-07,38,19,0.0,11.6,7,14,08:59 AM,09:06 PM,06:49 AM,06:26 PM,-0,26,26,27,16,1,18,0.0,1010,38,10,86,9,Nigeria
2011-01-08,37,19,0.0,11.6,7,21,09:38 AM,09:51 PM,06:49 AM,06:26 PM,-2,26,26,26,20,0,17,0.0,1010,37,10,94,11,Nigeria
2011-01-09,36,18,0.0,11.6,7,29,10:15 AM,10:34 PM,06:50 AM,06:27 PM,0,25,25,25,19,0,20,0.0,1010,36,10,48,10,Nigeria
2011-01-10,38,17,0.0,11.6,7,36,10:53 AM,11:19 PM,06:50 AM,06:27 PM,1,25,25,25,15,0,23,0.0,1012,38,10,89,8,Nigeria
2011-01-11,39,17,0.0,11.6,7,43,11:31 AM,No moonset,06:50 AM,06:28 PM,1,25,25,26,17,0,22,0.0,1011,39,10,125,9,Nigeria
2011-01-12,39,17,0.0,11.6,7,51,12:09 PM,12:03 AM,06:50 AM,06:28 PM,-1,25,25,25,15,0,21,0.0,1010,39,10,144,8,Nigeria
2011-01-13,38,17,0.0,11.6,6,58,12:51 PM,12:50 AM,06:51 AM,06:29 PM,-3,24,24,25,11,0,17,0.0,1009,38,10,137,6,Nigeria
2011-01-14,38,18,0.0,11.6,7,65,01:37 PM,01:39 AM,06:51 AM,06:29 PM,-4,25,25,26,16,0,15,0.0,1010,38,10,134,9,Nigeria
2011-01-15,37,17,0.0,11.6,7,72,02:26 PM,02:30 AM,06:51 AM,06:30 PM,-7,25,25,25,23,0,12,0.0,1011,37,10,42,12,Nigeria
2011-01-16,36,16,0.0,11.6,6,80,03:20 PM,03:26 AM,06:51 AM,06:30 PM,-3,24,24,25,18,0,17,0.0,1012,36,10,133,10,Nigeria
2011-01-17,37,16,0.0,11.6,6,87,04:18 PM,04:22 AM,06:52 AM,06:31 PM,-0,24,24,25,16,3,21,0.0,1011,37,10,126,8,Nigeria
