date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,30,11,0.0,8.7,5,15,03:25 AM,02:54 PM,06:16 AM,05:30 PM,4,20,19,20,12,0,36,0.0,1013,30,10,305,7,Sudan
2011-01-02,31,13,0.0,8.7,6,7,04:23 AM,03:50 PM,06:17 AM,05:31 PM,6,21,21,21,11,0,40,0.0,1010,31,10,302,6,Sudan
2011-01-03,32,14,0.0,8.7,6,0,05:19 AM,04:47 PM,06:17 AM,05:31 PM,7,22,22,22,11,0,41,0.0,1010,32,10,338,6,Sudan
2011-01-04,33,14,0.0,8.7,6,0,06:10 AM,05:43 PM,06:17 AM,05:32 PM,6,22,22,23,12,0,39,0.0,1011,33,10,336,7,Sudan
2011-01-05,31,15,0.0,8.7,6,0,06:58 AM,06:36 PM,06:18 AM,05:33 PM,6,22,21,22,13,0,37,0.0,1011,31,10,336,7,Sudan
2011-01-06,31,14,0.0,8.7,6,7,07:41 AM,07:28 PM,06:18 AM,05:33 PM,6,21,21,21,13,1,38,0.0,1011,31,10,335,8,Sudan
2011-01-07,30,14,0.0,8.7,6,14,08:20 AM,08:17 PM,06:18 AM,05:34 PM,3,21,20,21,14,0,32,0.0,1012,30,10,332,9,Sudan
2011-01-08,28,13,0.0,8.7,5,21,08:57 AM,09:04 PM,06:19 AM,05:34 PM,3,19,19,19,15,0,34,0.0,1013,28,10,331,10,Sudan
2011-01-09,26,11,0.0,8.7,5,29,09:33 AM,09:51 PM,06:19 AM,05:35 PM,-0,17,17,17,15,0,32,0.0,1015,26,10,335,10,Sudan
2011-01-10,27,10,0.0,8.7,5,36,10:07 AM,10:37 PM,06:19 AM,05:36 PM,0,17,17,17,13,0,33,0.0,1016,27,10,338,8,Sudan
2011-01-11,29,10,0.0,8.7,5,43,10:42 AM,11:24 PM,06:19 AM,05:36 PM,-2,18,18,18,12,0,28,0.0,1015,29,10,341,7,Sudan
2011-01-12,31,11,0.0,8.7,5,51,11:19 AM,No moonset,06:19 AM,05:37 PM,0,20,20,20,11,0,29,0.0,1012,31,10,332,6,Sudan
2011-01-13,32,11,0.0,8.7,5,58,11:59 AM,12:12 AM,06:20 AM,05:37 PM,-1,21,20,21,10,0,27,0.0,1010,32,10,330,6,Sudan
2011-01-14,33,12,0.0,8.7,6,65,12:41 PM,01:03 AM,06:20 AM,05:38 PM,-4,22,21,22,11,0,20,0.0,1010,33,10,335,7,Sudan
2011-01-15,27,14,0.0,8.7,5,72,01:30 PM,01:57 AM,06:20 AM,05:39 PM,-4,19,19,19,16,0,22,0.0,1014,27,10,343,10,Sudan
2011-01-16,25,11,0.0,8.7,5,80,02:22 PM,02:52 AM,06:20 AM,05:39 PM,-3,17,17,17,14,2,26,0.0,1017,25,10,305,9,Sudan
2011-01-17,26,10,0.0,8.7,5,87,03:20 PM,03:50 AM,06:20 AM,05:40 PM,-1,17,17,17,13,1,31,0.0,1015,26,10,343,8,Sudan
2011-01-18,26,9,0.0,8.7,5,94,04:21 PM,04:46 AM,06:20 AM,05:40 PM,-2,16,16,16,13,0,31,0.0,1014,26,10,339,8,Sudan
2011-01-19,26,9,0.0,8.7,5,100,05:24 PM,05:42 AM,06:20 AM,05:41 PM,0,16,17,16,12,0,36,0.0,1014,26,10,301,7,Sudan
2011-01-20,27,9,0.0,8.7,5,100,06:25 PM,06:33 AM,06:20 AM,05:41 PM,1,17,17,17,11,0,38,0.0,1013,27,10,299,7,Sudan
2011-01-21,29,9,0.0,8.7,5,84,07:27 PM,07:23 AM,06:20 AM,05:42 PM,-1,19,18,19,11,1,31,0.0,1013,29,10,261,6,Sudan
2011-01-22,31,11,0.0,8.7,5,77,08:26 PM,08:09 AM,06:20 AM,05:42 PM,2,20,20,20,12,3,32,0.0,1013,31,10,265,7,Sudan
2011-01-23,31,13,0.0,8.7,6,69,09:25 PM,08:53 AM,06:20 AM,05:43 PM,3,21,21,21,13,0,33,0.0,1012,31,10,223,8,Sudan
2011-01-24,32,13,0.0,8.7,6,62,10:23 PM,09:38 AM,06:20 AM,05:44 PM,2,22,21,22,13,0,30,0.0,1012,32,10,305,7,Sudan
2011-01-25,32,14,0.0,8.7,6,55,11:22 PM,10:22 AM,06:20 AM,05:44 PM,0,22,21,22,14,0,28,0.0,1011,32,10,343,8,Sudan
2011-01-26,31,13,0.0,8.7,6,48,No moonrise,11:09 AM,06:20 AM,05:45 PM,-10,21,20,21,14,0,14,0.0,1012,31,10,338,8,Sudan
2011-01-27,32,12,0.0,8.7,6,40,12:20 AM,11:58 AM,06:20 AM,05:45 PM,-5,21,20,21,13,0,18,0.0,1013,32,10,302,8,Sudan
2011-01-28,34,16,0.0,8.7,6,33,01:20 AM,12:50 PM,06:20 AM,05:46 PM,7,23,23,24,12,0,38,0.0,1013,34,10,220,7,Sudan
2011-01-29,35,16,0.0,8.7,6,26,02:17 AM,01:45 PM,06:20 AM,05:46 PM,4,24,24,25,13,0,30,0.0,1012,35,10,297,7,Sudan
2011-01-30,36,16,0.0,8.7,6,19,03:13 AM,02:40 PM,06:20 AM,05:47 PM,-4,24,24,25,13,0,17,0.0,1012,36,10,221,8,Sudan
2011-01-31,35,16,0.0,8.7,6,15,04:05 AM,03:36 PM,06:20 AM,05:47 PM,-6,24,24,25,13,0,14,0.0,1012,35,10,137,8,Sudan
2011-02-01,33,15,0.0,8.7,6,0,04:53 AM,04:29 PM,06:19 AM,05:48 PM,-8,22,22,23,13,0,13,0.0,1012,33,10,53,8,Sudan
2011-02-02,34,15,0.0,8.7,6,0,05:38 AM,05:21 PM,06:19 AM,05:48 PM,-4,22,22,23,13,0,17,0.0,1013,34,10,59,8,Sudan
2011-02-03,35,17,0.0,8.7,6,0,06:18 AM,06:11 PM,06:19 AM,05:49 PM,-2,24,24,25,14,0,18,0.0,1012,35,10,34,8,Sudan
2011-02-04,37,16,0.0,8.7,7,3,06:56 AM,06:59 PM,06:19 AM,05:49 PM,-1,25,25,26,13,0,19,0.0,1010,37,10,40,7,Sudan
2011-02-05,39,18,0.0,8.7,7,11,07:32 AM,07:46 PM,06:18 AM,05:49 PM,0,27,27,28,11,0,18,0.0,1009,39,10,24,6,Sudan
2011-02-06,40,19,0.0,8.7,7,18,08:06 AM,08:31 PM,06:18 AM,05:50 PM,3,28,28,29,11,0,20,0.0,1008,40,10,58,6,Sudan
2011-02-07,39,20,0.0,8.7,7,26,08:41 AM,09:18 PM,06:18 AM,05:50 PM,8,29,29,29,11,0,30,0.0,1007,39,10,137,7,Sudan
2011-02-08,37,20,0.0,8.7,7,33,09:18 AM,10:05 PM,06:17 AM,05:51 PM,7,27,27,27,16,0,31,0.0,1008,37,10,344,10,Sudan
2011-02-09,35,17,0.0,8.7,7,41,09:55 AM,10:55 PM,06:17 AM,05:51 PM,0,24,24,25,15,0,24,0.0,1009,35,10,348,9,Sudan
2011-02-10,36,16,0.0,8.7,6,48,10:36 AM,11:46 PM,06:17 AM,05:52 PM,-4,24,24,25,15,0,16,0.0,1009,36,10,304,9,Sudan
2011-02-11,32,16,0.0,8.7,6,56,11:21 AM,No moonset,06:16 AM,05:52 PM,-3,22,22,23,16,0,19,0.0,1012,32,10,349,10,Sudan
2011-02-12,30,13,0.0,8.7,6,64,12:10 PM,12:39 AM,06:16 AM,05:52 PM,-5,21,20,21,14,0,19,0.0,1014,30,10,304,9,Sudan
2011-02-13,30,11,0.0,8.7,5,71,01:04 PM,01:34 AM,06:16 AM,05:53 PM,-5,20,19,20,13,0,21,0.0,1014,30,10,344,8,Sudan
2011-02-14,30,11,0.0,8.7,5,79,02:02 PM,02:29 AM,06:15 AM,05:53 PM,-8,20,19,20,12,0,17,0.0,1013,30,10,219,8,Sudan
2011-02-15,33,11,0.0,8.7,6,86,03:02 PM,03:25 AM,06:15 AM,05:53 PM,-10,21,20,21,11,0,13,0.0,1011,33,10,182,6,Sudan
2011-02-16,35,14,0.0,8.7,6,94,04:05 PM,04:18 AM,06:14 AM,05:54 PM,-5,23,23,24,11,0,15,0.0,1010,35,10,188,7,Sudan
2011-02-17,37,18,0.0,8.7,7,100,05:07 PM,05:09 AM,06:14 AM,05:54 PM,-2,25,25,26,15,0,16,0.0,1010,37,10,64,9,Sudan
2011-02-18,37,18,0.0,8.7,7,100,06:08 PM,05:57 AM,06:13 AM,05:54 PM,1,26,26,27,13,0,21,0.0,1010,37,10,50,8,Sudan
2011-02-19,38,18,0.0,8.7,7,84,07:09 PM,06:43 AM,06:13 AM,05:55 PM,-1,26,26,27,13,0,18,0.0,1009,38,10,139,8,Sudan
2011-02-20,38,18,0.0,8.7,7,76,08:10 PM,07:30 AM,06:12 AM,05:55 PM,-7,26,26,27,15,0,12,0.0,1010,38,10,313,9,Sudan
2011-02-21,37,17,0.0,8.7,7,69,09:11 PM,08:16 AM,06:12 AM,05:55 PM,-4,25,25,26,15,0,14,0.0,1010,37,10,224,9,Sudan
2011-02-22,38,16,0.0,8.7,7,61,10:12 PM,09:04 AM,06:11 AM,05:56 PM,-5,26,26,26,12,4,13,0.0,1009,38,10,306,7,Sudan
2011-02-23,39,18,0.0,8.7,7,53,11:13 PM,09:54 AM,06:11 AM,05:56 PM,-1,27,27,28,11,3,17,0.0,1009,39,10,143,6,Sudan
2011-02-24,41,19,0.0,8.7,7,46,No moonrise,10:46 AM,06:10 AM,05:56 PM,2,29,29,30,10,0,19,0.0,1008,41,10,34,6,Sudan
2011-02-25,42,22,0.0,8.7,8,38,12:12 AM,11:41 AM,06:10 AM,05:56 PM,5,30,30,31,12,0,22,0.0,1005,42,10,24,7,Sudan
2011-02-26,39,20,0.0,8.7,7,31,01:09 AM,12:36 PM,06:09 AM,05:57 PM,-1,28,28,29,16,0,15,0.0,1007,39,10,347,10,Sudan
2011-02-27,36,20,0.0,8.7,7,23,02:02 AM,01:32 PM,06:09 AM,05:57 PM,-1,26,26,27,25,0,18,0.0,1010,36,10,188,16,Sudan
2011-02-28,38,20,0.0,8.7,7,16,02:51 AM,02:25 PM,06:08 AM,05:57 PM,-3,27,27,28,18,0,13,0.0,1009,38,10,174,11,Sudan
2011-03-01,37,19,0.0,8.7,7,15,03:37 AM,03:17 PM,06:07 AM,05:57 PM,-5,26,26,27,17,0,13,0.0,1009,37,10,225,10,Sudan
2011-03-02,37,18,0.0,8.7,7,8,04:17 AM,04:07 PM,06:07 AM,05:58 PM,-6,26,26,26,16,0,12,0.0,1009,37,10,267,10,Sudan
2011-03-03,36,20,0.0,8.7,7,1,04:56 AM,04:55 PM,06:06 AM,05:58 PM,-2,26,26,27,25,1,16,0.0,1010,36,10,183,16,Sudan
2011-03-04,35,20,0.0,8.7,7,0,05:32 AM,05:42 PM,06:06 AM,05:58 PM,-1,26,26,27,27,24,17,0.0,1011,35,10,160,17,Sudan
2011-03-05,37,19,0.0,8.7,7,0,06:07 AM,06:28 PM,06:05 AM,05:58 PM,-2,27,27,28,26,16,16,0.0,1010,37,10,149,16,Sudan
2011-03-06,38,20,0.0,8.7,7,6,06:42 AM,07:15 PM,06:04 AM,05:58 PM,-3,27,27,28,26,4,15,0.0,1010,38,10,146,16,Sudan
2011-03-07,36,16,0.0,8.7,7,14,07:18 AM,08:02 PM,06:04 AM,05:59 PM,-9,24,24,25,14,0,11,0.0,1010,36,10,254,8,Sudan
2011-03-08,36,17,0.0,8.7,7,21,07:55 AM,08:50 PM,06:03 AM,05:59 PM,-10,25,25,26,13,0,9,0.0,1011,36,10,203,8,Sudan
2011-03-09,36,18,0.0,8.7,7,28,08:34 AM,09:40 PM,06:02 AM,05:59 PM,-6,25,25,26,14,0,12,0.0,1010,36,10,244,9,Sudan
2011-03-10,35,17,0.0,8.7,7,36,09:17 AM,10:31 PM,06:02 AM,05:59 PM,-6,25,25,25,16,0,12,0.0,1011,35,10,261,10,Sudan
2011-03-11,34,16,0.0,8.7,6,43,10:04 AM,11:25 PM,06:01 AM,05:59 PM,-9,23,23,24,15,0,11,0.0,1011,34,10,306,9,Sudan
2011-03-12,34,15,0.0,12.0,6,50,10:54 AM,No moonset,06:00 AM,06:00 PM,-8,23,23,24,15,0,12,0.0,1012,34,10,221,9,Sudan
2011-03-13,33,15,0.0,12.0,6,57,11:49 AM,12:18 AM,06:00 AM,06:00 PM,-2,23,23,23,16,0,19,0.0,1013,33,10,138,10,Sudan
2011-03-14,33,13,0.0,12.4,6,65,12:46 PM,01:12 AM,05:59 AM,06:00 PM,-10,21,21,22,15,0,12,0.0,1013,33,10,221,9,Sudan
2011-03-15,34,14,0.0,12.4,6,72,01:46 PM,02:04 AM,05:58 AM,06:00 PM,-1,22,22,23,13,0,21,0.0,1011,34,10,299,8,Sudan
2011-03-16,34,15,0.0,12.4,6,79,02:46 PM,02:54 AM,05:57 AM,06:00 PM,-0,23,23,24,13,0,22,0.0,1010,34,10,325,8,Sudan
2011-03-17,36,16,0.0,12.4,7,86,03:47 PM,03:43 AM,05:57 AM,06:00 PM,5,25,25,26,11,0,31,0.0,1009,36,10,338,7,Sudan
2011-03-18,38,18,0.0,12.4,7,94,04:48 PM,04:30 AM,05:56 AM,06:00 PM,7,27,27,27,11,1,31,0.0,1009,38,10,224,7,Sudan
2011-03-19,39,18,0.0,12.5,7,100,05:49 PM,05:17 AM,05:55 AM,06:01 PM,2,28,28,28,11,0,22,0.0,1008,39,10,185,6,Sudan
2011-03-20,42,18,0.0,12.5,7,100,06:51 PM,06:03 AM,05:55 AM,06:01 PM,1,29,29,29,10,0,19,0.0,1006,42,10,105,5,Sudan
2011-03-21,42,20,0.0,12.5,7,84,07:54 PM,06:52 AM,05:54 AM,06:01 PM,-1,30,30,31,11,0,15,0.0,1007,42,10,220,6,Sudan
2011-03-22,41,20,0.0,12.5,7,77,08:57 PM,07:43 AM,05:53 AM,06:01 PM,-3,29,29,30,14,0,13,0.0,1008,41,10,267,8,Sudan
2011-03-23,39,21,0.0,12.5,7,70,10:00 PM,08:36 AM,05:52 AM,06:01 PM,-2,29,29,30,17,0,14,0.0,1010,39,10,146,11,Sudan
2011-03-24,39,20,0.0,12.5,7,63,11:00 PM,09:33 AM,05:52 AM,06:01 PM,-6,28,28,29,17,0,11,0.0,1010,39,10,61,11,Sudan
2011-03-25,36,19,0.0,12.5,7,55,11:57 PM,10:29 AM,05:51 AM,06:01 PM,-4,26,26,27,19,0,14,0.0,1012,36,10,222,12,Sudan
2011-03-26,33,15,0.0,12.5,6,48,No moonrise,11:26 AM,05:50 AM,06:02 PM,-10,23,23,24,15,3,12,0.0,1014,33,10,306,10,Sudan
2011-03-27,34,15,0.0,12.5,6,41,12:48 AM,12:21 PM,05:49 AM,06:02 PM,-7,23,23,24,14,1,13,0.0,1013,34,10,346,9,Sudan
2011-03-28,36,16,0.0,12.5,7,34,01:35 AM,01:14 PM,05:49 AM,06:02 PM,-8,24,24,25,13,1,14,0.0,1012,36,10,305,8,Sudan
2011-03-29,37,17,0.0,12.5,7,26,02:17 AM,02:04 PM,05:48 AM,06:02 PM,-10,25,25,26,14,0,9,0.0,1011,37,10,182,8,Sudan
2011-03-30,38,18,0.0,12.6,7,19,02:56 AM,02:52 PM,05:47 AM,06:02 PM,-7,26,26,27,14,0,11,0.0,1010,38,10,264,9,Sudan
2011-03-31,39,18,0.0,12.6,7,15,03:33 AM,03:40 PM,05:47 AM,06:02 PM,-10,27,27,28,12,0,8,0.0,1009,39,10,295,7,Sudan
2011-04-01,41,18,0.0,12.6,7,0,04:08 AM,04:25 PM,05:46 AM,06:02 PM,-6,29,29,29,13,0,11,0.0,1008,41,10,337,7,Sudan
2011-04-02,43,21,0.0,12.6,8,0,04:43 AM,05:12 PM,05:45 AM,06:02 PM,-6,31,31,31,13,1,9,0.0,1008,43,10,304,8,Sudan
2011-04-03,43,22,0.0,12.6,8,0,05:19 AM,05:59 PM,05:44 AM,06:03 PM,-8,32,32,32,13,1,7,0.0,1006,43,10,276,8,Sudan
2011-04-04,40,23,0.0,12.6,8,3,05:56 AM,06:47 PM,05:44 AM,06:03 PM,-3,30,30,31,17,2,12,0.0,1007,40,10,304,11,Sudan
2011-04-05,37,20,0.0,12.6,7,10,06:34 AM,07:37 PM,05:43 AM,06:03 PM,-6,27,27,28,17,0,12,0.0,1009,37,10,344,11,Sudan
