date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,32,22,0.0,8.7,7,15,03:18 AM,03:23 PM,06:05 AM,05:52 PM,13,28,28,27,15,5,42,0.0,1007,32,10,101,9,Togo
2011-01-02,33,22,0.0,8.7,7,7,04:15 AM,04:19 PM,06:06 AM,05:53 PM,20,31,31,29,9,1,61,0.0,1007,33,10,215,7,Togo
2011-01-03,33,24,0.0,8.7,7,0,05:11 AM,05:15 PM,06:06 AM,05:53 PM,24,34,34,30,8,0,72,0.0,1007,33,10,185,7,Togo
2011-01-04,32,25,0.0,8.7,7,0,06:04 AM,06:08 PM,06:06 AM,05:54 PM,24,33,33,29,12,1,75,0.0,1008,32,10,191,9,Togo
2011-01-05,33,25,0.0,8.7,7,0,06:53 AM,06:59 PM,06:07 AM,05:54 PM,24,33,33,28,15,9,77,0.5,1008,33,10,207,11,Togo
2011-01-06,32,26,0.0,8.7,7,7,07:39 AM,07:47 PM,06:07 AM,05:55 PM,24,33,33,29,14,9,77,0.6,1009,32,10,204,10,Togo
2011-01-07,33,25,0.0,8.7,7,14,08:21 AM,08:32 PM,06:08 AM,05:55 PM,24,33,33,29,11,8,74,0.5,1009,33,10,202,8,Togo
2011-01-08,32,25,0.0,8.7,7,21,09:01 AM,09:16 PM,06:08 AM,05:55 PM,22,31,31,28,11,12,71,0.0,1009,32,10,106,8,Togo
2011-01-09,31,23,0.0,8.7,7,29,09:40 AM,09:59 PM,06:08 AM,05:56 PM,16,28,28,27,15,1,55,0.0,1009,31,10,79,10,Togo
2011-01-10,31,22,0.0,8.7,7,36,10:18 AM,10:41 PM,06:09 AM,05:56 PM,18,29,29,27,11,2,59,0.0,1010,31,10,103,8,Togo
2011-01-11,32,23,0.0,8.7,7,43,10:57 AM,11:26 PM,06:09 AM,05:57 PM,19,30,30,28,11,0,61,0.0,1010,32,10,113,8,Togo
2011-01-12,33,22,0.0,8.7,7,51,11:37 AM,No moonset,06:09 AM,05:57 PM,19,30,30,28,12,0,60,0.0,1010,33,10,185,8,Togo
2011-01-13,33,23,0.0,8.7,7,58,12:20 PM,12:11 AM,06:10 AM,05:58 PM,22,31,31,28,13,0,71,0.0,1009,33,10,222,9,Togo
2011-01-14,32,24,0.0,8.7,7,65,01:06 PM,12:59 AM,06:10 AM,05:58 PM,23,31,31,28,16,7,77,0.0,1009,32,10,200,11,Togo
2011-01-15,32,24,0.0,8.7,7,72,01:56 PM,01:50 AM,06:10 AM,05:59 PM,23,32,32,28,10,14,78,0.1,1009,32,10,193,7,Togo
2011-01-16,31,24,0.0,8.7,7,80,02:51 PM,02:44 AM,06:10 AM,05:59 PM,19,29,29,28,14,5,63,0.3,1010,31,10,110,10,Togo
2011-01-17,32,22,0.0,10.2,7,87,03:49 PM,03:41 AM,06:11 AM,06:00 PM,15,27,27,27,16,18,53,0.0,1010,32,10,131,10,Togo
2011-01-18,32,22,0.0,11.6,7,94,04:48 PM,04:39 AM,06:11 AM,06:00 PM,18,29,29,28,10,2,59,0.0,1008,32,10,98,7,Togo
2011-01-19,32,22,0.0,11.6,7,100,05:48 PM,05:36 AM,06:11 AM,06:00 PM,22,31,31,28,10,0,69,0.0,1008,32,10,184,8,Togo
2011-01-20,32,23,0.0,11.6,7,100,06:46 PM,06:31 AM,06:11 AM,06:01 PM,22,31,31,28,11,0,70,0.0,1007,32,10,176,9,Togo
