date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-01-01,32,20,0.0,11.6,6,48,12:09 PM,No moonset,06:20 AM,06:14 PM,19,26,26,25,7,38,74,0.2,1012,32,8,291,5,Cameroon
2012-01-02,32,19,0.0,11.6,6,55,12:51 PM,12:35 AM,06:20 AM,06:15 PM,17,25,25,24,7,37,69,0.0,1013,32,7,262,5,Cameroon
2012-01-03,31,20,0.0,11.6,6,62,01:34 PM,01:20 AM,06:21 AM,06:15 PM,19,26,26,24,7,47,76,0.1,1012,31,7,297,4,Cameroon
2012-01-04,32,20,0.0,10.2,6,70,02:19 PM,02:06 AM,06:21 AM,06:16 PM,18,26,26,24,7,48,73,0.4,1012,32,8,311,4,Cameroon
2012-01-05,31,20,0.0,11.6,6,77,03:08 PM,02:54 AM,06:22 AM,06:16 PM,18,25,25,24,7,46,73,0.0,1012,31,7,307,5,Cameroon
2012-01-06,31,20,0.0,11.6,6,84,03:58 PM,03:44 AM,06:22 AM,06:17 PM,18,25,25,24,7,43,74,0.1,1012,31,8,221,5,Cameroon
2012-01-07,32,19,0.0,8.8,5,92,04:50 PM,04:35 AM,06:22 AM,06:17 PM,18,25,25,24,7,60,73,0.4,1011,32,7,233,5,Cameroon
2012-01-08,31,21,0.0,10.2,6,99,05:43 PM,05:28 AM,06:23 AM,06:18 PM,20,26,26,24,6,50,81,0.6,1012,31,8,301,4,Cameroon
2012-01-09,32,19,0.0,8.8,5,100,06:35 PM,06:19 AM,06:23 AM,06:18 PM,17,25,25,24,7,55,69,0.6,1011,32,8,206,5,Cameroon
2012-01-10,32,20,0.0,11.6,6,87,07:28 PM,07:10 AM,06:24 AM,06:18 PM,17,26,26,25,7,35,67,0.6,1011,32,8,200,5,Cameroon
2012-01-11,33,21,0.0,11.6,6,79,08:19 PM,07:59 AM,06:24 AM,06:19 PM,19,26,26,25,8,42,76,0.3,1011,33,8,267,5,Cameroon
2012-01-12,33,21,0.0,11.6,6,72,09:10 PM,08:47 AM,06:24 AM,06:19 PM,20,27,27,25,6,42,77,0.1,1012,33,7,292,4,Cameroon
2012-01-13,32,20,0.0,11.6,6,65,10:00 PM,09:35 AM,06:25 AM,06:20 PM,17,26,26,25,8,37,68,0.0,1012,32,7,242,5,Cameroon
2012-01-14,32,20,0.0,11.6,6,58,10:51 PM,10:22 AM,06:25 AM,06:20 PM,15,25,25,25,7,25,61,0.2,1012,32,9,170,4,Cameroon
2012-01-15,33,19,0.0,11.6,6,50,11:44 PM,11:11 AM,06:25 AM,06:21 PM,17,25,25,24,7,32,69,0.1,1011,33,8,272,4,Cameroon
2012-01-16,32,19,0.0,11.6,6,43,No moonrise,12:02 PM,06:26 AM,06:21 PM,18,25,25,24,8,35,73,0.1,1010,32,8,304,5,Cameroon
2012-01-17,32,19,0.0,11.6,6,36,12:38 AM,12:55 PM,06:26 AM,06:21 PM,18,25,25,24,7,41,73,0.1,1010,32,7,295,5,Cameroon
2012-01-18,31,21,0.0,11.6,6,28,01:36 AM,01:52 PM,06:26 AM,06:22 PM,19,26,26,24,7,41,77,0.2,1011,31,8,288,4,Cameroon
2012-01-19,31,21,0.0,11.6,6,21,02:34 AM,02:50 PM,06:26 AM,06:22 PM,20,26,26,24,7,42,78,0.1,1011,31,8,290,4,Cameroon
2012-01-20,31,20,0.0,11.6,6,14,03:34 AM,03:50 PM,06:27 AM,06:23 PM,19,26,26,24,7,50,76,0.4,1011,31,8,256,4,Cameroon
2012-01-21,33,21,0.0,11.6,6,7,04:33 AM,04:48 PM,06:27 AM,06:23 PM,19,26,26,25,8,41,73,1.3,1010,33,9,246,5,Cameroon
2012-01-22,32,21,0.0,11.6,6,0,05:30 AM,05:45 PM,06:27 AM,06:23 PM,19,26,26,24,8,45,77,1.0,1011,32,7,279,5,Cameroon
2012-01-23,33,20,0.0,11.6,6,0,06:22 AM,06:38 PM,06:27 AM,06:24 PM,18,25,25,25,5,45,73,0.6,1011,33,8,188,4,Cameroon
2012-01-24,33,20,0.0,11.6,6,0,07:11 AM,07:28 PM,06:27 AM,06:24 PM,19,27,27,25,8,31,74,0.1,1010,33,8,217,5,Cameroon
2012-01-25,32,20,0.0,11.6,6,8,07:57 AM,08:15 PM,06:28 AM,06:24 PM,19,26,26,25,8,51,77,1.4,1010,32,5,286,5,Cameroon
2012-01-26,35,20,0.0,11.6,7,15,08:41 AM,09:01 PM,06:28 AM,06:24 PM,19,28,28,26,7,32,71,0.6,1010,35,8,289,5,Cameroon
2012-01-27,33,21,0.0,11.6,6,22,09:23 AM,09:45 PM,06:28 AM,06:25 PM,20,27,27,25,8,44,77,1.2,1010,33,8,278,5,Cameroon
2012-01-28,33,21,0.0,11.6,6,29,10:04 AM,10:29 PM,06:28 AM,06:25 PM,20,27,27,25,8,41,76,1.2,1009,33,7,280,6,Cameroon
2012-01-29,32,21,0.0,10.2,5,37,10:46 AM,11:14 PM,06:28 AM,06:25 PM,20,27,27,25,9,50,79,0.6,1009,32,6,265,6,Cameroon
2012-01-30,31,21,0.0,10.2,5,44,11:29 AM,11:59 PM,06:28 AM,06:26 PM,20,27,27,25,10,56,80,1.2,1009,31,7,271,7,Cameroon
2012-01-31,31,21,0.0,11.6,6,48,12:13 PM,No moonset,06:28 AM,06:26 PM,20,26,26,24,10,49,78,1.3,1010,31,6,266,7,Cameroon
2012-02-01,31,20,0.0,11.6,6,61,12:59 PM,12:46 AM,06:28 AM,06:26 PM,20,25,25,24,8,49,80,2.5,1011,31,8,272,5,Cameroon
2012-02-02,34,21,0.0,11.6,6,68,01:48 PM,01:35 AM,06:29 AM,06:26 PM,19,26,26,25,6,41,73,0.6,1011,34,8,251,4,Cameroon
2012-02-03,31,20,0.0,11.6,6,76,02:38 PM,02:25 AM,06:29 AM,06:26 PM,19,27,27,25,6,36,73,0.7,1011,31,9,211,4,Cameroon
2012-02-04,32,20,0.0,11.6,6,83,03:31 PM,03:16 AM,06:29 AM,06:27 PM,19,26,26,25,6,38,73,1.4,1010,32,8,197,4,Cameroon
2012-02-05,33,20,0.0,11.6,6,91,04:24 PM,04:08 AM,06:29 AM,06:27 PM,20,27,27,25,9,37,77,5.6,1009,33,9,274,5,Cameroon
2012-02-06,31,21,0.0,11.6,6,99,05:17 PM,05:00 AM,06:29 AM,06:27 PM,21,27,27,24,10,53,82,1.2,1009,31,8,259,7,Cameroon
2012-02-07,31,20,0.0,11.6,5,100,06:10 PM,05:50 AM,06:29 AM,06:27 PM,20,25,25,24,8,54,83,2.3,1008,31,6,257,5,Cameroon
2012-02-08,31,20,0.0,11.6,6,86,07:02 PM,06:40 AM,06:29 AM,06:27 PM,21,26,26,24,8,56,82,1.4,1009,31,5,273,5,Cameroon
2012-02-09,32,21,0.0,11.6,6,79,07:54 PM,07:29 AM,06:29 AM,06:27 PM,20,27,27,25,8,44,78,1.7,1009,32,7,276,5,Cameroon
2012-02-10,33,19,0.0,11.6,6,71,08:46 PM,08:18 AM,06:28 AM,06:27 PM,19,26,26,25,9,44,75,0.0,1009,33,7,269,6,Cameroon
2012-02-11,32,20,0.0,11.6,6,64,09:40 PM,09:08 AM,06:28 AM,06:27 PM,20,26,26,24,9,46,78,0.1,1010,32,8,269,6,Cameroon
2012-02-12,33,20,0.0,11.6,6,56,10:35 PM,09:59 AM,06:28 AM,06:28 PM,20,26,26,25,8,45,78,2.6,1009,33,8,272,5,Cameroon
2012-02-13,32,20,0.0,11.6,6,49,11:32 PM,10:52 AM,06:28 AM,06:28 PM,20,27,27,25,9,52,78,0.0,1010,32,8,263,6,Cameroon
2012-02-14,32,20,0.0,11.6,6,41,No moonrise,11:48 AM,06:28 AM,06:28 PM,20,26,26,25,9,51,77,0.6,1010,32,6,262,6,Cameroon
2012-02-15,31,21,0.0,10.2,5,34,12:29 AM,12:45 PM,06:28 AM,06:28 PM,20,27,27,24,9,58,79,1.2,1010,31,9,255,7,Cameroon
2012-02-16,29,20,0.0,10.2,6,26,01:28 AM,01:43 PM,06:28 AM,06:28 PM,20,25,25,24,8,61,80,0.1,1010,29,7,246,5,Cameroon
2012-02-17,33,20,0.0,11.6,6,18,02:26 AM,02:40 PM,06:28 AM,06:28 PM,19,26,26,24,8,33,76,3.2,1010,33,8,265,5,Cameroon
2012-02-18,32,19,0.0,11.6,6,11,03:22 AM,03:36 PM,06:28 AM,06:28 PM,19,24,24,23,8,50,81,2.5,1010,32,7,258,5,Cameroon
2012-02-19,34,19,0.0,11.6,6,3,04:14 AM,04:29 PM,06:27 AM,06:28 PM,19,26,26,25,6,47,77,0.3,1010,34,6,283,4,Cameroon
2012-02-20,30,19,0.0,11.6,6,0,05:04 AM,05:20 PM,06:27 AM,06:28 PM,20,26,26,24,7,41,80,8.8,1010,30,7,224,4,Cameroon
2012-02-21,30,20,0.0,11.6,5,0,05:51 AM,06:08 PM,06:27 AM,06:28 PM,21,26,26,24,7,53,81,8.4,1009,30,6,225,4,Cameroon
