date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-01-01,25,18,0.0,11.2,6,48,01:01 PM,12:57 AM,07:35 AM,06:51 PM,4,21,22,21,41,16,33,0.0,1017,25,10,50,29,Senegal
2012-01-02,27,19,0.0,11.2,6,55,01:39 PM,01:44 AM,07:35 AM,06:52 PM,6,23,23,23,40,18,34,0.0,1016,27,10,55,26,Senegal
2012-01-03,27,22,0.0,11.2,6,62,02:19 PM,02:32 AM,07:36 AM,06:53 PM,9,25,25,24,34,13,39,0.0,1015,27,10,126,21,Senegal
2012-01-04,28,23,0.0,11.2,6,70,03:03 PM,03:21 AM,07:36 AM,06:53 PM,11,26,26,25,38,43,41,0.0,1014,28,10,38,22,Senegal
2012-01-05,28,22,0.0,7.1,5,77,03:49 PM,04:11 AM,07:36 AM,06:54 PM,10,25,25,24,40,61,40,0.0,1015,28,10,100,23,Senegal
2012-01-06,28,22,0.0,11.2,6,84,04:38 PM,05:03 AM,07:37 AM,06:54 PM,12,25,25,24,41,10,47,0.0,1015,28,10,73,24,Senegal
2012-01-07,28,21,0.0,11.2,6,92,05:31 PM,05:55 AM,07:37 AM,06:55 PM,11,25,25,24,34,9,47,0.0,1013,28,10,98,21,Senegal
2012-01-08,29,22,0.0,11.2,6,99,06:25 PM,06:46 AM,07:37 AM,06:55 PM,11,25,25,24,34,15,44,0.0,1013,29,10,28,19,Senegal
2012-01-09,28,21,0.0,11.2,6,100,07:21 PM,07:36 AM,07:38 AM,06:56 PM,12,25,25,24,36,23,47,0.0,1014,28,10,96,22,Senegal
2012-01-10,30,22,0.0,11.2,6,87,08:16 PM,08:23 AM,07:38 AM,06:57 PM,13,26,26,25,23,19,47,0.0,1012,30,10,171,12,Senegal
2012-01-11,30,23,0.0,11.2,7,79,09:12 PM,09:09 AM,07:38 AM,06:57 PM,11,26,26,26,23,1,40,0.0,1012,30,10,193,12,Senegal
2012-01-12,31,23,0.0,11.2,7,72,10:06 PM,09:53 AM,07:38 AM,06:58 PM,12,27,27,26,23,1,42,0.0,1013,31,10,192,12,Senegal
2012-01-13,31,22,0.0,11.2,7,65,11:01 PM,10:36 AM,07:38 AM,06:58 PM,12,26,26,26,27,29,43,0.0,1013,31,10,198,14,Senegal
2012-01-14,31,23,0.0,11.2,7,58,11:57 PM,11:19 AM,07:39 AM,06:59 PM,10,26,26,26,32,10,35,0.0,1013,31,10,60,16,Senegal
2012-01-15,30,23,0.0,11.6,7,50,No moonrise,12:03 PM,07:39 AM,07:00 PM,9,26,26,26,36,16,35,0.0,1013,30,10,97,18,Senegal
2012-01-16,31,23,0.0,11.6,7,43,12:54 AM,12:50 PM,07:39 AM,07:00 PM,9,26,26,26,39,8,34,0.0,1013,31,10,58,20,Senegal
2012-01-17,30,23,0.0,11.6,7,36,01:53 AM,01:40 PM,07:39 AM,07:01 PM,11,26,26,25,36,17,41,0.0,1012,30,10,82,20,Senegal
2012-01-18,29,23,0.0,11.6,6,28,02:53 AM,02:34 PM,07:39 AM,07:01 PM,14,26,26,25,40,21,54,0.0,1013,29,10,66,24,Senegal
2012-01-19,27,21,0.0,11.6,6,21,03:54 AM,03:32 PM,07:39 AM,07:02 PM,12,24,24,23,39,1,51,0.0,1014,27,10,22,26,Senegal
2012-01-20,24,18,0.0,11.6,6,14,04:54 AM,04:31 PM,07:39 AM,07:02 PM,7,21,21,21,46,1,42,0.0,1015,24,10,48,32,Senegal
2012-01-21,24,16,0.0,11.6,5,7,05:52 AM,05:31 PM,07:39 AM,07:03 PM,6,20,20,20,44,5,42,0.0,1016,24,10,49,31,Senegal
2012-01-22,25,16,0.0,11.6,6,0,06:46 AM,06:30 PM,07:39 AM,07:04 PM,6,20,20,20,39,0,41,0.0,1014,25,10,47,27,Senegal
2012-01-23,26,17,0.0,11.6,6,0,07:35 AM,07:27 PM,07:39 AM,07:04 PM,7,21,22,21,37,9,40,0.0,1014,26,10,42,24,Senegal
2012-01-24,27,20,0.0,11.6,6,0,08:20 AM,08:20 PM,07:39 AM,07:05 PM,9,23,23,23,36,13,41,0.0,1014,27,10,44,21,Senegal
2012-01-25,27,20,0.0,11.6,6,8,09:02 AM,09:11 PM,07:39 AM,07:05 PM,10,23,23,23,41,2,45,0.0,1013,27,10,33,24,Senegal
2012-01-26,26,19,0.0,11.6,6,15,09:42 AM,10:01 PM,07:39 AM,07:06 PM,9,22,22,22,42,2,45,0.0,1013,26,10,26,26,Senegal
2012-01-27,27,18,0.0,11.6,6,22,10:19 AM,10:49 PM,07:39 AM,07:06 PM,8,22,22,22,36,13,40,0.0,1013,27,10,40,21,Senegal
2012-01-28,27,19,0.0,11.6,6,29,10:57 AM,11:36 PM,07:39 AM,07:07 PM,8,23,23,22,36,18,41,0.0,1012,27,10,165,20,Senegal
2012-01-29,27,20,0.0,11.6,6,37,11:36 AM,No moonset,07:39 AM,07:07 PM,12,23,23,23,35,11,53,0.0,1012,27,10,149,20,Senegal
2012-01-30,27,21,0.0,11.6,6,44,12:15 PM,12:24 AM,07:39 AM,07:08 PM,14,25,25,23,40,33,57,0.0,1012,27,10,103,23,Senegal
2012-01-31,28,20,0.0,11.6,6,48,12:57 PM,01:13 AM,07:39 AM,07:08 PM,14,24,24,23,39,25,55,0.0,1012,28,10,66,22,Senegal
2012-02-01,28,21,0.0,11.6,6,61,01:41 PM,02:02 AM,07:39 AM,07:09 PM,13,25,25,24,49,31,50,0.0,1013,28,10,27,26,Senegal
2012-02-02,27,22,0.0,11.6,6,68,02:29 PM,02:53 AM,07:38 AM,07:09 PM,13,25,25,24,48,42,50,0.0,1014,27,10,77,26,Senegal
2012-02-03,28,22,0.0,11.6,6,76,03:20 PM,03:44 AM,07:38 AM,07:09 PM,15,26,26,24,43,37,56,0.0,1013,28,10,17,24,Senegal
2012-02-04,27,21,0.0,11.6,6,83,04:13 PM,04:35 AM,07:38 AM,07:10 PM,12,25,25,23,48,28,52,0.0,1013,27,10,24,26,Senegal
