date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-01-01,26,15,0.0,11.6,6,48,12:45 PM,12:23 AM,06:50 AM,06:56 PM,18,21,22,21,8,8,82,0.2,1012,26,10,99,5,Uganda
2012-01-02,26,13,0.0,11.6,5,55,01:28 PM,01:06 AM,06:50 AM,06:57 PM,17,22,22,22,9,4,79,0.0,1012,26,10,168,5,Uganda
2012-01-03,26,13,0.0,11.6,5,62,02:12 PM,01:49 AM,06:51 AM,06:57 PM,18,22,23,22,8,3,77,0.0,1011,26,10,197,5,Uganda
2012-01-04,27,15,0.0,11.6,6,70,02:58 PM,02:34 AM,06:51 AM,06:58 PM,16,21,22,21,10,5,75,0.0,1011,27,10,230,6,Uganda
2012-01-05,27,15,0.0,11.6,6,77,03:46 PM,03:22 AM,06:52 AM,06:58 PM,15,21,22,21,12,9,71,0.0,1011,27,10,160,7,Uganda
2012-01-06,27,15,0.0,11.6,6,84,04:36 PM,04:11 AM,06:52 AM,06:59 PM,15,21,22,21,14,7,69,0.0,1010,27,10,194,8,Uganda
2012-01-07,27,17,0.0,8.8,5,92,05:29 PM,05:02 AM,06:53 AM,06:59 PM,17,22,23,22,9,55,73,0.3,1010,27,10,194,6,Uganda
2012-01-08,26,16,0.0,11.6,6,99,06:21 PM,05:55 AM,06:53 AM,06:59 PM,18,22,23,22,8,18,82,0.2,1011,26,10,180,5,Uganda
2012-01-09,27,16,0.0,8.9,6,100,07:13 PM,06:47 AM,06:53 AM,07:00 PM,17,22,23,22,9,43,74,0.2,1011,27,10,207,6,Uganda
2012-01-10,27,14,0.0,11.6,6,87,08:04 PM,07:39 AM,06:54 AM,07:00 PM,17,21,22,21,11,14,79,0.1,1011,27,10,166,6,Uganda
2012-01-11,27,16,0.0,11.6,6,79,08:55 PM,08:29 AM,06:54 AM,07:01 PM,18,22,22,22,11,18,80,0.0,1010,27,10,140,6,Uganda
2012-01-12,26,18,0.0,11.6,6,72,09:44 PM,09:19 AM,06:55 AM,07:01 PM,19,22,23,22,10,27,85,0.7,1011,26,8,197,6,Uganda
2012-01-13,27,15,0.0,11.6,6,65,10:33 PM,10:07 AM,06:55 AM,07:01 PM,18,22,23,22,11,10,80,0.0,1012,27,10,181,6,Uganda
2012-01-14,26,15,0.0,11.6,6,58,11:23 PM,10:56 AM,06:55 AM,07:02 PM,18,21,22,21,9,11,82,0.5,1012,26,9,177,6,Uganda
2012-01-15,28,15,0.0,11.6,6,50,No moonrise,11:47 AM,06:56 AM,07:02 PM,17,22,22,22,14,13,76,0.3,1010,28,10,231,9,Uganda
2012-01-16,27,16,0.0,11.6,6,43,12:13 AM,12:38 PM,06:56 AM,07:03 PM,15,22,22,22,14,19,69,0.0,1009,27,10,209,8,Uganda
2012-01-17,27,17,0.0,11.6,6,36,01:07 AM,01:33 PM,06:56 AM,07:03 PM,17,23,23,23,9,22,73,0.3,1008,27,10,157,5,Uganda
2012-01-18,28,17,0.0,11.6,6,28,02:03 AM,02:29 PM,06:57 AM,07:03 PM,17,23,24,23,11,5,73,0.1,1009,28,10,137,7,Uganda
2012-01-19,28,16,0.0,11.6,6,21,03:01 AM,03:29 PM,06:57 AM,07:04 PM,16,22,23,22,10,13,69,0.0,1010,28,10,196,6,Uganda
2012-01-20,28,17,0.0,11.6,6,14,04:00 AM,04:28 PM,06:57 AM,07:04 PM,16,22,23,22,11,17,69,0.0,1010,28,10,186,7,Uganda
2012-01-21,27,15,0.0,11.6,6,7,05:00 AM,05:26 PM,06:58 AM,07:04 PM,15,22,23,22,10,3,65,0.0,1009,27,10,182,6,Uganda
2012-01-22,28,14,0.0,11.6,6,0,05:57 AM,06:22 PM,06:58 AM,07:04 PM,15,22,23,22,10,3,67,0.0,1009,28,10,170,6,Uganda
2012-01-23,28,15,0.0,11.6,6,0,06:51 AM,07:15 PM,06:58 AM,07:05 PM,12,22,22,22,18,2,55,0.0,1010,28,10,212,10,Uganda
2012-01-24,27,14,0.0,11.6,6,0,07:41 AM,08:03 PM,06:59 AM,07:05 PM,15,22,22,22,13,9,68,0.0,1010,27,10,198,8,Uganda
2012-01-25,27,15,0.0,11.6,6,8,08:28 AM,08:50 PM,06:59 AM,07:05 PM,16,22,22,22,12,6,70,0.0,1009,27,10,185,7,Uganda
2012-01-26,28,15,0.0,11.6,6,15,09:13 AM,09:34 PM,06:59 AM,07:05 PM,15,23,23,23,13,4,62,0.0,1009,28,10,116,7,Uganda
2012-01-27,28,15,0.0,11.6,6,22,09:57 AM,10:17 PM,06:59 AM,07:06 PM,16,22,23,22,12,6,70,0.0,1010,28,10,187,7,Uganda
2012-01-28,29,14,0.0,11.6,6,29,10:39 AM,11:00 PM,06:59 AM,07:06 PM,16,22,23,22,11,4,70,0.0,1009,29,10,103,7,Uganda
2012-01-29,29,14,0.0,11.6,6,37,11:22 AM,11:43 PM,07:00 AM,07:06 PM,17,23,23,23,10,2,71,0.0,1007,29,10,159,6,Uganda
2012-01-30,29,15,0.0,11.6,6,44,12:06 PM,No moonset,07:00 AM,07:06 PM,16,23,23,23,11,4,70,0.0,1007,29,10,118,7,Uganda
2012-01-31,28,14,0.0,11.6,6,48,12:51 PM,12:27 AM,07:00 AM,07:06 PM,15,22,23,22,11,3,68,0.0,1009,28,10,167,7,Uganda
2012-02-01,28,15,0.0,11.6,6,61,01:38 PM,01:14 AM,07:00 AM,07:06 PM,13,22,22,22,15,3,61,0.0,1010,28,10,141,9,Uganda
2012-02-02,26,13,0.0,11.6,5,68,02:26 PM,02:02 AM,07:00 AM,07:07 PM,16,22,22,22,13,3,74,0.0,1011,26,10,188,8,Uganda
2012-02-03,28,14,0.0,11.6,6,76,03:18 PM,02:52 AM,07:00 AM,07:07 PM,17,23,23,23,12,3,74,0.0,1011,28,10,149,8,Uganda
2012-02-04,28,14,0.0,11.6,6,83,04:09 PM,03:43 AM,07:01 AM,07:07 PM,16,23,24,23,12,2,67,0.0,1010,28,10,161,7,Uganda
2012-02-05,28,16,0.0,11.6,6,91,05:02 PM,04:35 AM,07:01 AM,07:07 PM,15,23,23,23,12,4,65,0.0,1009,28,10,147,7,Uganda
2012-02-06,29,15,0.0,11.6,6,99,05:54 PM,05:28 AM,07:01 AM,07:07 PM,14,22,23,22,15,4,63,0.0,1008,29,10,133,9,Uganda
2012-02-07,29,15,0.0,11.6,6,100,06:46 PM,06:19 AM,07:01 AM,07:07 PM,14,23,23,23,13,2,60,0.0,1008,29,10,135,8,Uganda
2012-02-08,30,14,0.0,11.6,6,86,07:37 PM,07:11 AM,07:01 AM,07:07 PM,14,22,23,22,11,7,61,0.0,1008,30,10,108,7,Uganda
2012-02-09,30,15,0.0,11.6,6,79,08:27 PM,08:01 AM,07:01 AM,07:07 PM,12,23,23,23,15,2,53,0.0,1008,30,10,129,9,Uganda
2012-02-10,30,15,0.0,11.6,6,71,09:18 PM,08:51 AM,07:01 AM,07:07 PM,13,23,23,23,12,3,56,0.0,1007,30,10,117,7,Uganda
2012-02-11,28,15,0.0,11.6,6,64,10:10 PM,09:43 AM,07:01 AM,07:07 PM,16,22,23,22,13,5,69,0.0,1008,28,10,185,9,Uganda
2012-02-12,28,18,0.0,11.6,6,56,11:04 PM,10:35 AM,07:01 AM,07:07 PM,17,23,23,23,13,20,71,0.5,1008,28,10,181,8,Uganda
2012-02-13,30,16,0.0,11.6,6,49,11:59 PM,11:29 AM,07:01 AM,07:07 PM,17,24,24,23,10,12,70,0.3,1007,30,10,148,6,Uganda
2012-02-14,28,16,0.0,11.6,6,41,No moonrise,12:25 PM,07:01 AM,07:07 PM,17,22,23,22,12,20,72,0.0,1008,28,10,189,7,Uganda
2012-02-15,30,17,0.0,11.6,6,34,12:56 AM,01:23 PM,07:01 AM,07:07 PM,16,24,24,24,12,8,67,0.0,1008,30,10,134,7,Uganda
2012-02-16,28,16,0.0,11.6,6,26,01:55 AM,02:21 PM,07:01 AM,07:07 PM,15,23,23,23,14,8,63,0.0,1008,28,10,173,9,Uganda
2012-02-17,28,17,0.0,11.6,6,18,02:52 AM,03:19 PM,07:01 AM,07:07 PM,17,24,24,23,9,26,72,0.4,1008,28,10,151,6,Uganda
2012-02-18,27,17,0.0,11.6,6,11,03:49 AM,04:14 PM,07:01 AM,07:07 PM,19,22,23,22,13,30,83,2.0,1009,27,9,197,8,Uganda
2012-02-19,27,18,0.0,11.6,6,3,04:42 AM,05:06 PM,07:01 AM,07:07 PM,18,22,23,22,13,16,80,1.2,1009,27,10,192,8,Uganda
2012-02-20,27,18,0.0,11.6,6,0,05:34 AM,05:56 PM,07:00 AM,07:07 PM,18,22,23,22,16,13,78,0.1,1010,27,10,195,10,Uganda
2012-02-21,28,17,0.0,11.6,6,0,06:21 AM,06:43 PM,07:00 AM,07:07 PM,18,22,23,22,13,19,78,0.6,1009,28,10,205,8,Uganda
2012-02-22,27,16,0.0,11.6,6,0,07:07 AM,07:28 PM,07:00 AM,07:07 PM,18,22,23,22,11,16,80,0.5,1007,27,10,178,7,Uganda
2012-02-23,27,17,0.0,11.6,6,4,07:51 AM,08:11 PM,07:00 AM,07:06 PM,18,22,23,22,13,20,80,1.4,1007,27,10,173,8,Uganda
2012-02-24,27,16,0.0,11.6,6,11,08:34 AM,08:54 PM,07:00 AM,07:06 PM,18,22,23,22,14,21,79,0.6,1007,27,9,180,8,Uganda
2012-02-25,26,16,0.0,11.6,6,19,09:17 AM,09:38 PM,07:00 AM,07:06 PM,17,22,22,22,13,12,79,1.4,1008,26,10,172,8,Uganda
2012-02-26,28,16,0.0,11.6,6,27,10:00 AM,10:22 PM,07:00 AM,07:06 PM,18,22,23,22,10,25,82,2.9,1008,28,9,212,6,Uganda
2012-02-27,26,16,0.0,11.6,6,34,10:45 AM,11:07 PM,06:59 AM,07:06 PM,18,21,22,21,8,26,84,2.7,1009,26,7,145,5,Uganda
2012-02-28,26,18,0.0,11.6,5,42,11:31 AM,11:54 PM,06:59 AM,07:06 PM,19,22,23,22,11,28,84,0.3,1009,26,9,184,7,Uganda
2012-02-29,29,17,0.0,11.6,6,49,12:18 PM,No moonset,06:59 AM,07:05 PM,18,24,24,23,9,20,76,0.5,1007,29,10,163,5,Uganda
2012-03-01,26,17,0.0,11.6,6,55,01:08 PM,12:42 AM,06:59 AM,07:05 PM,18,21,22,21,9,28,81,1.3,1008,26,10,204,5,Uganda
2012-03-02,26,16,0.0,11.6,6,62,01:58 PM,01:33 AM,06:59 AM,07:05 PM,17,21,22,21,14,27,81,0.2,1011,26,10,209,8,Uganda
2012-03-03,26,17,0.0,11.6,6,69,02:49 PM,02:23 AM,06:58 AM,07:05 PM,19,21,22,21,9,26,84,0.5,1011,26,9,179,6,Uganda
2012-03-04,26,16,0.0,11.6,6,77,03:41 PM,03:15 AM,06:58 AM,07:05 PM,18,21,22,21,14,27,81,0.1,1011,26,10,189,8,Uganda
2012-03-05,27,17,0.0,11.6,5,84,04:32 PM,04:06 AM,06:58 AM,07:04 PM,18,22,22,22,9,27,82,3.3,1011,27,9,184,6,Uganda
2012-03-06,27,17,0.0,11.6,6,91,05:24 PM,04:57 AM,06:58 AM,07:04 PM,19,22,23,22,8,22,83,0.5,1010,27,9,155,5,Uganda
