date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-01-01,24,19,0.0,10.7,5,48,12:13 PM,No moonset,05:40 AM,06:41 PM,20,22,22,22,9,79,93,13.4,1010,24,4,70,6,Zambia
2012-01-02,24,19,0.0,12.0,5,55,01:01 PM,12:10 AM,05:40 AM,06:41 PM,20,21,23,21,7,73,93,2.2,1010,24,6,51,5,Zambia
2012-01-03,27,18,0.0,13.0,6,62,01:50 PM,12:49 AM,05:41 AM,06:42 PM,19,22,23,22,9,42,84,1.5,1009,27,7,143,6,Zambia
2012-01-04,26,17,0.0,13.0,6,70,02:39 PM,01:30 AM,05:41 AM,06:42 PM,19,22,23,22,10,31,84,2.2,1010,26,10,100,7,Zambia
2012-01-05,28,17,0.0,13.0,5,77,03:31 PM,02:14 AM,05:42 AM,06:42 PM,19,23,23,22,10,29,83,4.4,1010,28,8,105,6,Zambia
2012-01-06,26,18,0.0,13.0,6,84,04:22 PM,03:02 AM,05:42 AM,06:42 PM,18,22,23,22,13,27,82,1.0,1011,26,10,89,9,Zambia
2012-01-07,27,18,0.0,12.0,6,92,05:14 PM,03:52 AM,05:43 AM,06:43 PM,18,23,23,22,12,59,79,2.8,1010,27,8,183,8,Zambia
2012-01-08,27,17,0.0,13.0,6,99,06:04 PM,04:45 AM,05:44 AM,06:43 PM,18,22,23,22,9,34,81,1.8,1011,27,10,91,6,Zambia
2012-01-09,25,19,0.0,11.9,5,100,06:53 PM,05:41 AM,05:44 AM,06:43 PM,19,22,23,22,11,60,84,6.4,1010,25,7,187,7,Zambia
2012-01-10,28,19,0.0,13.0,6,87,07:40 PM,06:36 AM,05:45 AM,06:43 PM,19,24,24,23,9,20,81,2.1,1009,28,10,76,5,Zambia
2012-01-11,27,17,0.0,13.0,6,79,08:24 PM,07:33 AM,05:45 AM,06:44 PM,19,22,23,22,13,21,85,2.8,1010,27,8,78,8,Zambia
2012-01-12,26,17,0.0,13.0,6,72,09:07 PM,08:27 AM,05:46 AM,06:44 PM,17,21,21,21,11,26,82,0.0,1012,26,8,56,7,Zambia
2012-01-13,25,15,0.0,13.0,6,65,09:50 PM,09:23 AM,05:47 AM,06:44 PM,18,21,21,21,11,43,86,1.1,1011,25,8,248,7,Zambia
2012-01-14,25,18,0.0,13.0,6,58,10:33 PM,10:18 AM,05:47 AM,06:44 PM,19,21,22,21,13,46,89,2.9,1011,25,8,278,8,Zambia
2012-01-15,24,19,0.0,11.9,6,50,11:18 PM,11:15 AM,05:48 AM,06:44 PM,20,21,23,21,7,60,91,20.8,1009,24,6,144,4,Zambia
2012-01-16,23,18,0.0,10.7,5,43,No moonrise,12:12 PM,05:48 AM,06:44 PM,19,21,22,21,10,67,91,1.0,1008,23,8,79,7,Zambia
2012-01-17,25,17,0.0,10.7,5,36,12:06 AM,01:12 PM,05:49 AM,06:44 PM,20,21,22,21,10,68,91,23.6,1007,25,6,162,6,Zambia
2012-01-18,24,18,0.0,9.4,5,28,12:57 AM,02:12 PM,05:50 AM,06:45 PM,19,21,21,21,17,81,91,1.9,1008,24,6,282,11,Zambia
2012-01-19,23,18,0.0,8.1,5,21,01:52 AM,03:14 PM,05:50 AM,06:45 PM,19,20,21,20,14,91,96,9.4,1009,23,4,278,9,Zambia
2012-01-20,21,18,0.0,8.1,4,14,02:50 AM,04:13 PM,05:51 AM,06:45 PM,19,19,20,19,17,95,97,8.6,1008,21,3,280,11,Zambia
2012-01-21,23,18,0.0,11.9,4,7,03:51 AM,05:10 PM,05:51 AM,06:45 PM,18,19,20,19,16,63,93,1.4,1007,23,7,289,10,Zambia
2012-01-22,25,18,0.0,12.9,6,0,04:50 AM,06:02 PM,05:52 AM,06:45 PM,18,21,22,21,15,33,83,0.0,1007,25,10,282,9,Zambia
2012-01-23,26,16,0.0,12.9,6,0,05:49 AM,06:49 PM,05:52 AM,06:45 PM,17,20,21,20,16,35,82,0.0,1008,26,9,275,10,Zambia
2012-01-24,26,18,0.0,12.9,6,0,06:44 AM,07:33 PM,05:53 AM,06:45 PM,19,21,22,21,16,23,85,1.0,1008,26,8,286,10,Zambia
2012-01-25,27,18,0.0,12.9,5,8,07:38 AM,08:13 PM,05:54 AM,06:44 PM,19,22,23,22,15,28,85,2.4,1007,27,10,301,9,Zambia
2012-01-26,24,18,0.0,10.6,5,15,08:28 AM,08:52 PM,05:54 AM,06:44 PM,20,21,22,21,10,76,92,2.6,1009,24,6,176,6,Zambia
2012-01-27,21,19,0.0,8.1,4,22,09:17 AM,09:30 PM,05:55 AM,06:44 PM,20,20,20,20,9,100,98,14.8,1010,21,3,51,6,Zambia
2012-01-28,23,18,0.0,10.6,4,29,10:05 AM,10:07 PM,05:55 AM,06:44 PM,19,20,21,20,9,83,96,11.7,1011,23,4,106,5,Zambia
2012-01-29,24,18,0.0,9.3,5,37,10:53 AM,10:45 PM,05:56 AM,06:44 PM,20,21,21,21,9,87,94,25.1,1009,24,4,105,6,Zambia
2012-01-30,24,16,0.0,12.9,5,44,11:42 AM,11:25 PM,05:56 AM,06:44 PM,16,19,20,19,13,35,81,0.1,1009,24,8,49,9,Zambia
2012-01-31,26,15,0.0,12.9,6,48,12:30 PM,No moonset,05:57 AM,06:44 PM,17,20,21,20,10,26,79,7.0,1009,26,9,128,6,Zambia
2012-02-01,26,17,0.0,12.9,6,61,01:21 PM,12:08 AM,05:57 AM,06:43 PM,19,21,22,21,11,38,88,1.4,1010,26,6,228,6,Zambia
2012-02-02,25,18,0.0,10.6,5,68,02:11 PM,12:53 AM,05:58 AM,06:43 PM,20,21,22,21,11,68,91,12.1,1011,25,7,281,7,Zambia
2012-02-03,27,18,0.0,12.9,6,76,03:03 PM,01:42 AM,05:58 AM,06:43 PM,20,22,23,22,7,37,86,8.1,1011,27,8,123,4,Zambia
2012-02-04,25,18,0.0,12.8,5,83,03:54 PM,02:33 AM,05:59 AM,06:43 PM,19,21,22,21,11,56,91,7.8,1011,25,5,84,7,Zambia
2012-02-05,24,18,0.0,10.6,5,91,04:43 PM,03:28 AM,05:59 AM,06:42 PM,20,21,22,21,11,78,92,0.3,1010,24,5,107,7,Zambia
2012-02-06,25,18,0.0,12.8,6,99,05:31 PM,04:23 AM,05:59 AM,06:42 PM,19,21,22,21,10,50,91,3.2,1010,25,7,174,7,Zambia
2012-02-07,26,18,0.0,12.4,6,100,06:17 PM,05:20 AM,06:00 AM,06:42 PM,19,21,22,21,9,42,90,2.2,1010,26,8,115,5,Zambia
2012-02-08,26,17,0.0,12.4,6,86,07:03 PM,06:17 AM,06:00 AM,06:41 PM,19,21,22,21,13,34,86,0.0,1010,26,8,107,8,Zambia
