date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,30,17,0.0,8.7,6,68,09:15 PM,09:04 AM,06:20 AM,05:47 PM,1,23,23,23,25,1,24,0.0,1013,30,10,19,15,Chad
2013-01-02,32,18,0.0,8.7,6,60,10:04 PM,09:46 AM,06:21 AM,05:47 PM,2,23,23,24,21,1,25,0.0,1013,32,10,61,12,Chad
2013-01-03,35,19,0.0,8.7,7,53,10:55 PM,10:27 AM,06:21 AM,05:48 PM,4,25,25,26,20,0,26,0.0,1014,35,10,56,11,Chad
2013-01-04,34,19,0.0,8.7,7,46,11:47 PM,11:10 AM,06:21 AM,05:48 PM,3,25,25,26,23,0,24,0.0,1013,34,10,143,13,Chad
2013-01-05,34,20,0.0,8.7,7,38,No moonrise,11:55 AM,06:22 AM,05:49 PM,2,25,25,26,23,1,24,0.0,1012,34,10,181,13,Chad
2013-01-06,32,19,0.0,8.7,6,31,12:42 AM,12:43 PM,06:22 AM,05:49 PM,2,24,24,25,25,2,23,0.0,1013,32,10,60,15,Chad
2013-01-07,31,17,0.0,8.7,6,24,01:40 AM,01:36 PM,06:22 AM,05:50 PM,0,23,23,23,24,0,23,0.0,1015,31,10,63,14,Chad
2013-01-08,31,17,0.0,8.7,6,17,02:40 AM,02:33 PM,06:23 AM,05:51 PM,0,23,23,23,25,0,22,0.0,1015,31,10,19,15,Chad
2013-01-09,31,17,0.0,8.7,6,9,03:44 AM,03:35 PM,06:23 AM,05:51 PM,-0,22,22,23,24,0,23,0.0,1015,31,10,23,14,Chad
2013-01-10,30,15,0.0,8.7,6,2,04:46 AM,04:38 PM,06:23 AM,05:52 PM,-0,21,21,22,25,0,24,0.0,1015,30,10,26,15,Chad
