date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,31,22,0.0,12.6,7,68,09:22 PM,08:53 AM,05:52 AM,06:13 PM,22,28,28,25,6,41,83,3.1,1010,31,8,180,3,Congo
2013-01-02,31,22,0.0,12.6,7,60,10:05 PM,09:40 AM,05:52 AM,06:14 PM,22,29,29,26,6,29,78,4.1,1010,31,9,177,3,Congo
2013-01-03,27,22,0.0,10.5,5,53,10:50 PM,10:27 AM,05:53 AM,06:14 PM,23,27,27,24,8,79,94,2.7,1012,27,4,248,5,Congo
2013-01-04,26,21,0.0,11.9,5,46,11:37 PM,11:15 AM,05:53 AM,06:15 PM,21,25,25,23,7,73,92,0.4,1013,26,6,205,5,Congo
2013-01-05,30,19,0.0,12.6,6,38,No moonrise,12:06 PM,05:54 AM,06:15 PM,21,26,26,24,9,47,87,2.7,1012,30,7,233,6,Congo
2013-01-06,26,22,0.0,10.5,5,31,12:26 AM,01:00 PM,05:54 AM,06:15 PM,22,26,26,24,6,79,91,4.5,1013,26,5,201,4,Congo
2013-01-07,29,22,0.0,12.6,6,24,01:19 AM,01:57 PM,05:55 AM,06:16 PM,22,28,28,25,8,51,84,1.7,1012,29,7,239,5,Congo
2013-01-08,27,21,0.0,11.9,5,17,02:15 AM,02:57 PM,05:55 AM,06:16 PM,22,26,26,24,10,50,89,7.3,1013,27,8,284,6,Congo
2013-01-09,31,21,0.0,12.6,6,9,03:16 AM,04:00 PM,05:56 AM,06:16 PM,21,27,27,25,8,48,81,2.9,1012,31,7,257,5,Congo
2013-01-10,33,21,0.0,12.6,7,2,04:19 AM,05:02 PM,05:56 AM,06:17 PM,22,29,29,26,5,40,79,0.2,1011,33,9,178,3,Congo
2013-01-11,31,22,0.0,12.6,7,0,05:22 AM,06:03 PM,05:56 AM,06:17 PM,23,30,30,26,6,37,82,5.2,1010,31,9,205,3,Congo
2013-01-12,30,23,0.0,12.6,7,0,06:22 AM,07:00 PM,05:57 AM,06:17 PM,23,29,29,26,5,34,82,6.9,1009,30,10,219,3,Congo
2013-01-13,31,23,0.0,12.6,7,5,07:21 AM,07:53 PM,05:57 AM,06:18 PM,23,29,29,26,7,45,87,2.0,1009,31,8,272,4,Congo
2013-01-14,28,23,0.0,10.5,5,12,08:15 AM,08:43 PM,05:58 AM,06:18 PM,23,27,27,25,9,72,88,2.5,1009,28,6,201,6,Congo
2013-01-15,32,22,0.0,12.6,7,20,09:06 AM,09:30 PM,05:58 AM,06:18 PM,23,30,30,27,5,45,81,2.0,1009,32,8,190,3,Congo
2013-01-16,27,22,0.0,11.9,6,27,09:55 AM,10:15 PM,05:59 AM,06:19 PM,22,27,27,24,7,56,86,3.0,1011,27,10,212,5,Congo
2013-01-17,30,21,0.0,12.6,6,34,10:42 AM,10:59 PM,05:59 AM,06:19 PM,21,27,27,25,7,52,79,0.1,1012,30,9,159,5,Congo
2013-01-18,31,22,0.0,12.6,7,41,11:29 AM,11:43 PM,05:59 AM,06:19 PM,22,28,28,26,8,42,82,5.3,1011,31,9,233,5,Congo
2013-01-19,31,21,0.0,12.2,7,49,12:16 PM,No moonset,06:00 AM,06:19 PM,22,29,29,26,6,46,82,0.0,1011,31,6,261,4,Congo
2013-01-20,33,22,0.0,12.2,6,56,01:03 PM,12:28 AM,06:00 AM,06:20 PM,22,29,29,26,6,29,81,2.2,1010,33,10,266,4,Congo
2013-01-21,33,22,0.0,12.2,7,63,01:51 PM,01:14 AM,06:00 AM,06:20 PM,22,31,31,27,7,22,75,0.6,1010,33,9,162,4,Congo
2013-01-22,34,23,0.0,11.6,7,70,02:38 PM,02:00 AM,06:01 AM,06:20 PM,22,31,31,27,8,24,76,2.1,1010,34,10,225,5,Congo
2013-01-23,31,23,0.0,11.6,7,78,03:27 PM,02:48 AM,06:01 AM,06:20 PM,23,30,30,26,9,42,81,0.8,1011,31,9,248,5,Congo
2013-01-24,30,23,0.0,10.2,6,85,04:15 PM,03:37 AM,06:01 AM,06:20 PM,23,29,29,26,11,51,85,2.6,1011,30,8,263,7,Congo
2013-01-25,30,22,0.0,8.8,6,92,05:03 PM,04:25 AM,06:02 AM,06:20 PM,22,28,28,25,11,64,84,2.7,1011,30,7,257,7,Congo
2013-01-26,30,22,0.0,7.5,5,100,05:49 PM,05:14 AM,06:02 AM,06:21 PM,23,28,28,25,9,62,88,8.8,1012,30,7,223,6,Congo
2013-01-27,27,22,0.0,7.5,5,100,06:35 PM,06:03 AM,06:02 AM,06:21 PM,22,27,27,24,7,64,89,3.4,1012,27,7,244,5,Congo
2013-01-28,29,22,0.0,10.2,5,86,07:20 PM,06:50 AM,06:03 AM,06:21 PM,22,28,28,25,9,46,86,2.0,1013,29,7,249,6,Congo
2013-01-29,32,22,0.0,11.6,7,79,08:05 PM,07:38 AM,06:03 AM,06:21 PM,22,29,29,26,9,24,79,2.4,1012,32,10,243,5,Congo
2013-01-30,30,22,0.0,10.2,6,71,08:49 PM,08:25 AM,06:03 AM,06:21 PM,22,28,28,25,10,54,83,0.9,1012,30,6,243,6,Congo
2013-01-31,33,22,0.0,11.6,7,68,09:36 PM,09:14 AM,06:03 AM,06:21 PM,22,30,30,27,5,34,77,0.5,1011,33,9,293,3,Congo
