date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,22,14,0.0,11.6,5,68,09:51 PM,09:26 AM,06:30 AM,06:42 PM,16,18,19,18,11,53,85,2.5,1013,22,7,54,7,Kenya
2013-01-02,23,14,0.0,10.2,5,60,10:36 PM,10:12 AM,06:31 AM,06:43 PM,15,18,19,18,11,46,84,3.7,1014,23,8,125,7,Kenya
2013-01-03,23,14,0.0,11.6,5,53,11:22 PM,10:58 AM,06:31 AM,06:43 PM,13,18,18,18,16,40,73,0.1,1015,23,8,45,11,Kenya
2013-01-04,25,12,0.0,11.6,5,46,No moonrise,11:45 AM,06:32 AM,06:43 PM,12,18,19,18,15,16,67,0.0,1015,25,10,83,10,Kenya
2013-01-05,24,13,0.0,11.6,5,38,12:09 AM,12:34 PM,06:32 AM,06:44 PM,14,19,19,19,14,23,75,1.3,1014,24,9,84,9,Kenya
2013-01-06,25,13,0.0,11.6,5,31,12:59 AM,01:27 PM,06:33 AM,06:44 PM,14,19,20,19,11,25,77,2.2,1014,25,8,133,7,Kenya
2013-01-07,24,13,0.0,11.6,5,24,01:53 AM,02:23 PM,06:33 AM,06:45 PM,15,19,19,19,11,36,83,4.4,1015,24,7,133,7,Kenya
2013-01-08,25,13,0.0,11.6,5,17,02:50 AM,03:23 PM,06:33 AM,06:45 PM,14,19,19,19,14,37,79,0.0,1015,25,6,62,10,Kenya
2013-01-09,25,11,0.0,11.6,5,9,03:51 AM,04:25 PM,06:34 AM,06:46 PM,13,18,18,18,14,39,76,0.0,1015,25,6,53,9,Kenya
2013-01-10,26,13,0.0,11.6,5,2,04:54 AM,05:28 PM,06:34 AM,06:46 PM,14,19,19,19,13,42,76,0.2,1015,26,8,65,8,Kenya
2013-01-11,26,13,0.0,11.6,5,0,05:56 AM,06:29 PM,06:35 AM,06:46 PM,14,19,19,19,16,20,75,0.0,1015,26,8,56,10,Kenya
2013-01-12,25,13,0.0,11.6,5,0,06:56 AM,07:27 PM,06:35 AM,06:47 PM,14,19,19,19,21,41,76,0.0,1014,25,7,55,14,Kenya
2013-01-13,25,13,0.0,11.6,5,5,07:54 AM,08:21 PM,06:36 AM,06:47 PM,13,18,18,18,20,33,75,0.0,1014,25,7,57,13,Kenya
2013-01-14,25,13,0.0,11.6,5,12,08:47 AM,09:13 PM,06:36 AM,06:47 PM,13,18,18,18,23,20,75,0.0,1013,25,8,56,15,Kenya
2013-01-15,22,13,0.0,10.2,4,20,09:38 AM,10:01 PM,06:36 AM,06:48 PM,14,17,18,17,19,43,83,0.7,1014,22,6,58,13,Kenya
2013-01-16,24,14,0.0,10.2,4,27,10:25 AM,10:47 PM,06:37 AM,06:48 PM,14,18,18,18,18,48,80,0.4,1015,24,6,65,12,Kenya
2013-01-17,24,13,0.0,10.2,4,34,11:12 AM,11:33 PM,06:37 AM,06:48 PM,14,18,18,18,17,63,81,0.4,1015,24,5,61,12,Kenya
2013-01-18,26,13,0.0,11.6,5,41,11:58 AM,No moonset,06:37 AM,06:49 PM,13,19,19,19,19,24,74,0.0,1014,26,8,48,13,Kenya
2013-01-19,26,13,0.0,11.6,5,49,12:44 PM,12:17 AM,06:38 AM,06:49 PM,13,18,19,18,19,22,73,0.0,1015,26,8,48,12,Kenya
2013-01-20,26,12,0.0,11.6,5,56,01:30 PM,01:03 AM,06:38 AM,06:49 PM,11,19,19,19,18,8,63,0.0,1015,26,10,46,12,Kenya
2013-01-21,25,12,0.0,11.6,5,63,02:17 PM,01:49 AM,06:38 AM,06:49 PM,10,18,19,18,18,15,64,0.0,1016,25,10,44,12,Kenya
2013-01-22,25,12,0.0,11.6,5,70,03:05 PM,02:36 AM,06:39 AM,06:50 PM,12,18,19,18,19,11,70,0.0,1016,25,10,50,13,Kenya
2013-01-23,27,13,0.0,11.6,5,78,03:53 PM,03:24 AM,06:39 AM,06:50 PM,13,19,20,19,19,15,70,0.0,1015,27,10,48,13,Kenya
2013-01-24,26,13,0.0,11.6,5,85,04:41 PM,04:12 AM,06:39 AM,06:50 PM,14,19,20,19,19,23,75,0.1,1015,26,9,58,13,Kenya
2013-01-25,26,13,0.0,11.6,5,92,05:30 PM,05:01 AM,06:40 AM,06:50 PM,14,19,20,19,17,36,75,1.2,1014,26,7,94,12,Kenya
2013-01-26,28,13,0.0,11.6,5,100,06:17 PM,05:49 AM,06:40 AM,06:51 PM,13,20,20,20,17,12,70,0.3,1014,28,9,54,11,Kenya
2013-01-27,26,13,0.0,11.6,5,100,07:04 PM,06:36 AM,06:40 AM,06:51 PM,14,19,20,19,17,21,73,0.5,1014,26,10,94,11,Kenya
2013-01-28,26,14,0.0,11.6,5,86,07:50 PM,07:24 AM,06:40 AM,06:51 PM,15,20,20,20,12,37,79,6.4,1015,26,8,56,8,Kenya
2013-01-29,26,14,0.0,11.6,5,79,08:35 PM,08:10 AM,06:41 AM,06:51 PM,15,20,21,20,9,20,76,8.1,1013,26,8,190,5,Kenya
2013-01-30,27,14,0.0,11.6,5,71,09:21 PM,08:57 AM,06:41 AM,06:51 PM,15,21,21,21,7,24,74,6.7,1012,27,9,203,4,Kenya
2013-01-31,26,16,0.0,11.6,5,68,10:08 PM,09:44 AM,06:41 AM,06:51 PM,16,20,20,20,10,36,77,4.8,1013,26,10,183,6,Kenya
2013-02-01,23,15,0.0,11.6,5,51,10:57 PM,10:32 AM,06:41 AM,06:51 PM,16,19,19,19,10,40,82,3.2,1014,23,9,57,7,Kenya
2013-02-02,26,14,0.0,11.6,5,44,11:48 PM,11:23 AM,06:41 AM,06:51 PM,14,19,20,19,14,21,74,0.3,1014,26,10,122,10,Kenya
2013-02-03,25,15,0.0,11.6,5,36,No moonrise,12:16 PM,06:41 AM,06:51 PM,13,19,20,19,18,14,70,0.0,1014,25,10,48,12,Kenya
2013-02-04,26,12,0.0,11.6,5,29,12:42 AM,01:13 PM,06:42 AM,06:52 PM,11,19,19,19,20,8,65,0.0,1015,26,10,51,13,Kenya
2013-02-05,26,13,0.0,11.6,5,21,01:40 AM,02:12 PM,06:42 AM,06:52 PM,12,19,19,19,19,10,66,0.0,1015,26,10,90,13,Kenya
2013-02-06,27,13,0.0,11.6,5,14,02:39 AM,03:12 PM,06:42 AM,06:52 PM,13,19,19,19,16,38,74,0.1,1016,27,7,61,11,Kenya
2013-02-07,26,13,0.0,11.6,5,6,03:40 AM,04:12 PM,06:42 AM,06:52 PM,14,19,19,19,17,46,75,0.6,1014,26,8,57,12,Kenya
2013-02-08,26,12,0.0,11.6,5,0,04:39 AM,05:11 PM,06:42 AM,06:52 PM,13,19,19,19,17,25,74,0.1,1013,26,8,54,12,Kenya
2013-02-09,27,13,0.0,11.6,5,0,05:37 AM,06:06 PM,06:42 AM,06:52 PM,12,20,20,20,16,13,67,0.0,1013,27,8,54,11,Kenya
2013-02-10,28,13,0.0,11.6,5,0,06:32 AM,06:59 PM,06:42 AM,06:52 PM,13,20,20,20,14,23,70,0.0,1012,28,10,68,9,Kenya
2013-02-11,25,14,0.0,11.6,5,1,07:24 AM,07:49 PM,06:42 AM,06:52 PM,15,19,20,19,17,38,77,3.9,1012,25,9,56,11,Kenya
2013-02-12,26,14,0.0,11.6,5,9,08:14 AM,08:37 PM,06:42 AM,06:52 PM,14,20,20,20,15,23,73,1.3,1011,26,10,55,10,Kenya
2013-02-13,27,15,0.0,11.6,4,16,09:02 AM,09:24 PM,06:42 AM,06:51 PM,14,20,21,20,15,31,73,0.9,1011,27,9,57,10,Kenya
2013-02-14,27,14,0.0,11.6,5,24,09:50 AM,10:10 PM,06:42 AM,06:51 PM,12,20,20,20,17,15,65,0.3,1012,27,10,48,11,Kenya
2013-02-15,27,14,0.0,11.6,5,31,10:36 AM,10:56 PM,06:42 AM,06:51 PM,10,20,21,20,17,7,55,0.0,1012,27,10,42,11,Kenya
2013-02-16,28,14,0.0,11.6,6,39,11:23 AM,11:43 PM,06:42 AM,06:51 PM,9,21,21,21,16,6,49,0.0,1012,28,10,81,11,Kenya
2013-02-17,29,14,0.0,11.6,6,46,12:10 PM,No moonset,06:42 AM,06:51 PM,9,22,22,22,16,6,50,0.0,1011,29,10,41,10,Kenya
2013-02-18,28,14,0.0,11.6,6,54,12:58 PM,12:29 AM,06:42 AM,06:51 PM,11,21,21,21,17,9,60,0.0,1011,28,10,90,12,Kenya
2013-02-19,29,13,0.0,11.6,6,62,01:47 PM,01:17 AM,06:42 AM,06:51 PM,10,21,21,21,17,5,55,0.0,1012,29,10,87,11,Kenya
2013-02-20,30,14,0.0,11.6,6,69,02:34 PM,02:05 AM,06:42 AM,06:51 PM,10,22,22,22,14,4,51,0.0,1013,30,10,86,9,Kenya
2013-02-21,30,14,0.0,11.6,6,77,03:23 PM,02:54 AM,06:42 AM,06:51 PM,11,22,22,22,12,6,56,1.6,1013,30,10,171,7,Kenya
