date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,29,14,0.0,11.6,6,68,09:50 PM,09:39 AM,06:54 AM,06:18 PM,-5,20,20,20,18,2,18,0.0,1014,29,10,55,10,Mali
2013-01-02,30,13,0.0,10.2,6,60,10:39 PM,10:20 AM,06:54 AM,06:18 PM,-6,21,20,21,14,10,17,0.0,1014,30,10,52,8,Mali
2013-01-03,31,14,0.0,11.6,6,53,11:31 PM,11:02 AM,06:54 AM,06:19 PM,-5,22,21,22,16,3,17,0.0,1015,31,10,58,9,Mali
2013-01-04,30,15,0.0,11.6,6,46,No moonrise,11:45 AM,06:55 AM,06:19 PM,-6,22,21,22,19,1,16,0.0,1017,30,10,42,11,Mali
2013-01-05,28,13,0.0,11.6,6,38,12:23 AM,12:29 PM,06:55 AM,06:20 PM,-4,20,19,20,19,7,20,0.0,1017,28,10,38,11,Mali
2013-01-06,27,12,0.0,11.6,5,31,01:18 AM,01:18 PM,06:55 AM,06:20 PM,-4,19,19,19,15,24,21,0.0,1016,27,10,33,8,Mali
2013-01-07,30,14,0.0,11.6,6,24,02:16 AM,02:11 PM,06:56 AM,06:21 PM,-5,21,21,21,14,11,18,0.0,1015,30,10,46,8,Mali
2013-01-08,32,16,0.0,11.6,6,17,03:18 AM,03:08 PM,06:56 AM,06:21 PM,-4,22,22,23,15,7,16,0.0,1014,32,10,50,8,Mali
2013-01-09,34,18,0.0,11.6,6,9,04:20 AM,04:10 PM,06:56 AM,06:22 PM,-3,24,24,25,16,10,17,0.0,1014,34,10,55,9,Mali
2013-01-10,34,18,0.0,11.6,7,2,05:23 AM,05:13 PM,06:57 AM,06:23 PM,-4,24,24,25,16,4,15,0.0,1013,34,10,54,9,Mali
2013-01-11,34,18,0.0,11.6,7,0,06:23 AM,06:17 PM,06:57 AM,06:23 PM,-5,24,24,25,15,8,14,0.0,1012,34,10,52,9,Mali
2013-01-12,34,18,0.0,11.6,7,0,07:20 AM,07:19 PM,06:57 AM,06:24 PM,-6,24,24,25,18,7,13,0.0,1012,34,10,58,11,Mali
2013-01-13,35,19,0.0,11.6,7,5,08:12 AM,08:17 PM,06:57 AM,06:24 PM,-6,25,25,26,18,6,12,0.0,1011,35,10,53,11,Mali
2013-01-14,35,19,0.0,11.6,7,12,09:00 AM,09:13 PM,06:57 AM,06:25 PM,-6,25,25,26,16,0,13,0.0,1010,35,10,48,9,Mali
2013-01-15,34,18,0.0,11.6,7,20,09:45 AM,10:06 PM,06:58 AM,06:25 PM,-8,24,24,25,16,0,11,0.0,1011,34,10,42,10,Mali
2013-01-16,33,17,0.0,11.6,6,27,10:28 AM,10:57 PM,06:58 AM,06:26 PM,-9,23,23,24,19,0,10,0.0,1012,33,10,43,11,Mali
2013-01-17,33,16,0.0,11.6,6,34,11:10 AM,11:47 PM,06:58 AM,06:26 PM,-9,23,23,24,17,1,11,0.0,1014,33,10,40,10,Mali
2013-01-18,33,17,0.0,11.6,6,41,11:51 AM,No moonset,06:58 AM,06:27 PM,-11,23,23,24,16,1,9,0.0,1013,33,10,38,9,Mali
2013-01-19,36,17,0.0,11.6,6,49,12:33 PM,12:36 AM,06:58 AM,06:27 PM,-12,24,24,25,12,0,8,0.0,1012,36,10,30,7,Mali
2013-01-20,36,18,0.0,11.6,7,56,01:17 PM,01:25 AM,06:58 AM,06:28 PM,-12,25,25,26,13,0,8,0.0,1011,36,10,24,7,Mali
2013-01-21,36,18,0.0,11.6,7,63,02:01 PM,02:13 AM,06:58 AM,06:28 PM,-12,25,25,26,13,0,7,0.0,1011,36,10,39,8,Mali
2013-01-22,38,19,0.0,11.6,7,70,02:48 PM,03:03 AM,06:58 AM,06:29 PM,-10,26,26,27,9,2,9,0.0,1011,38,10,83,5,Mali
2013-01-23,38,20,0.0,11.6,7,78,03:37 PM,03:51 AM,06:58 AM,06:29 PM,-3,27,27,28,11,10,13,0.0,1011,38,10,27,6,Mali
2013-01-24,37,21,0.0,11.6,7,85,04:25 PM,04:39 AM,06:58 AM,06:30 PM,-2,27,27,28,14,3,15,0.0,1011,37,10,43,8,Mali
2013-01-25,36,21,0.0,11.6,7,92,05:16 PM,05:26 AM,06:58 AM,06:30 PM,-1,26,26,28,16,10,16,0.0,1012,36,10,42,10,Mali
2013-01-26,32,20,0.0,11.6,7,100,06:06 PM,06:11 AM,06:58 AM,06:31 PM,-1,25,25,26,22,26,18,0.0,1014,32,10,9,14,Mali
2013-01-27,29,22,0.0,11.6,6,100,06:57 PM,06:56 AM,06:58 AM,06:31 PM,5,25,25,24,19,48,31,0.1,1016,29,10,141,14,Mali
2013-01-28,31,20,0.0,11.6,6,86,07:47 PM,07:39 AM,06:58 AM,06:32 PM,12,25,25,25,10,35,46,0.0,1016,31,10,111,8,Mali
2013-01-29,34,19,0.0,11.6,7,79,08:37 PM,08:20 AM,06:58 AM,06:32 PM,10,25,25,26,13,10,42,0.0,1014,34,10,36,9,Mali
2013-01-30,35,20,0.0,11.6,7,71,09:28 PM,09:02 AM,06:58 AM,06:33 PM,2,26,26,27,18,4,21,0.0,1013,35,10,45,11,Mali
2013-01-31,36,21,0.0,11.6,7,68,10:20 PM,09:45 AM,06:58 AM,06:33 PM,-0,26,26,28,21,4,17,0.0,1013,36,10,57,13,Mali
2013-02-01,33,19,0.0,11.6,7,51,11:14 PM,10:28 AM,06:58 AM,06:33 PM,-6,25,25,26,20,0,13,0.0,1014,33,10,58,13,Mali
2013-02-02,32,17,0.0,11.6,6,44,No moonrise,11:15 AM,06:58 AM,06:34 PM,-7,23,23,24,17,0,13,0.0,1013,32,10,55,10,Mali
2013-02-03,34,16,0.0,11.6,6,36,12:09 AM,12:05 PM,06:57 AM,06:34 PM,-7,24,24,24,14,1,13,0.0,1011,34,10,53,8,Mali
2013-02-04,34,18,0.0,11.6,7,29,01:08 AM,12:59 PM,06:57 AM,06:35 PM,-7,25,25,25,17,3,11,0.0,1011,34,10,60,10,Mali
2013-02-05,35,18,0.0,11.6,7,21,02:08 AM,01:56 PM,06:57 AM,06:35 PM,-9,25,25,26,19,9,10,0.0,1012,35,10,57,12,Mali
2013-02-06,35,19,0.0,11.6,7,14,03:08 AM,02:57 PM,06:57 AM,06:35 PM,-9,25,25,26,17,7,10,0.0,1012,35,10,44,10,Mali
2013-02-07,37,19,0.0,11.6,7,6,04:07 AM,03:59 PM,06:57 AM,06:36 PM,-10,26,26,27,14,8,9,0.0,1011,37,10,48,8,Mali
2013-02-08,37,20,0.0,11.6,7,0,05:04 AM,05:00 PM,06:56 AM,06:36 PM,-9,26,26,27,15,9,9,0.0,1010,37,10,46,9,Mali
2013-02-09,37,22,0.0,11.6,7,0,05:58 AM,06:00 PM,06:56 AM,06:36 PM,-11,27,27,29,14,7,7,0.0,1009,37,10,38,9,Mali
2013-02-10,38,24,0.0,11.6,7,0,06:48 AM,06:57 PM,06:56 AM,06:37 PM,-11,28,28,29,16,8,7,0.0,1010,38,10,59,10,Mali
2013-02-11,38,22,0.0,11.6,7,1,07:35 AM,07:52 PM,06:55 AM,06:37 PM,-3,28,28,30,17,1,12,0.0,1009,38,10,73,11,Mali
2013-02-12,38,21,0.0,10.2,7,9,08:19 AM,08:45 PM,06:55 AM,06:37 PM,-1,28,28,30,17,21,14,0.0,1009,38,10,63,10,Mali
2013-02-13,38,22,0.0,11.6,7,16,09:03 AM,09:36 PM,06:55 AM,06:38 PM,-2,28,28,29,20,0,14,0.0,1010,38,10,47,12,Mali
2013-02-14,38,21,0.0,11.6,7,24,09:45 AM,10:26 PM,06:54 AM,06:38 PM,-10,27,27,29,18,0,8,0.0,1010,38,10,52,11,Mali
