date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,26,17,0.0,13.1,6,68,09:23 PM,08:39 AM,05:24 AM,06:35 PM,18,21,22,21,10,34,83,3.2,1010,26,9,184,6,Zimbabwe
2013-01-02,26,18,0.0,13.1,6,60,10:02 PM,09:31 AM,05:25 AM,06:35 PM,19,21,22,21,12,55,87,9.8,1010,26,9,66,8,Zimbabwe
2013-01-03,26,17,0.0,12.0,5,53,10:42 PM,10:22 AM,05:26 AM,06:35 PM,18,20,21,20,9,66,90,5.1,1010,26,7,186,6,Zimbabwe
2013-01-04,26,18,0.0,13.1,6,46,11:24 PM,11:16 AM,05:26 AM,06:35 PM,19,22,23,22,6,63,86,9.1,1009,26,7,121,4,Zimbabwe
2013-01-05,22,18,0.0,9.4,5,38,No moonrise,12:11 PM,05:27 AM,06:36 PM,19,20,21,20,11,74,93,29.3,1011,22,6,123,7,Zimbabwe
2013-01-06,21,17,0.0,9.4,4,31,12:08 AM,01:09 PM,05:27 AM,06:36 PM,18,19,19,19,12,95,96,15.6,1013,21,5,73,9,Zimbabwe
2013-01-07,23,17,0.0,10.7,4,24,12:56 AM,02:10 PM,05:28 AM,06:36 PM,18,20,21,20,12,69,90,3.5,1013,23,5,110,8,Zimbabwe
2013-01-08,25,15,0.0,13.1,5,17,01:50 AM,03:13 PM,05:29 AM,06:36 PM,17,20,20,20,13,50,83,0.0,1014,25,8,127,9,Zimbabwe
2013-01-09,26,16,0.0,13.1,6,9,02:48 AM,04:16 PM,05:29 AM,06:37 PM,18,21,22,21,9,55,83,3.8,1011,26,7,124,6,Zimbabwe
2013-01-10,24,18,0.0,13.1,6,2,03:51 AM,05:18 PM,05:30 AM,06:37 PM,19,21,21,21,14,48,88,5.6,1010,24,7,259,9,Zimbabwe
2013-01-11,25,18,0.0,12.0,5,0,04:55 AM,06:16 PM,05:31 AM,06:37 PM,18,21,22,21,18,54,85,6.4,1008,25,8,246,12,Zimbabwe
2013-01-12,21,18,0.0,9.4,4,0,06:00 AM,07:09 PM,05:31 AM,06:37 PM,19,20,20,20,10,83,95,12.1,1008,21,7,264,7,Zimbabwe
2013-01-13,20,17,0.0,8.2,4,5,07:02 AM,07:58 PM,05:32 AM,06:37 PM,18,19,19,19,6,87,96,3.1,1009,20,5,256,4,Zimbabwe
2013-01-14,21,17,0.0,9.4,4,12,08:01 AM,08:43 PM,05:33 AM,06:37 PM,18,19,20,19,12,92,96,2.3,1009,21,6,54,8,Zimbabwe
2013-01-15,22,18,0.0,9.4,4,20,08:58 AM,09:25 PM,05:33 AM,06:37 PM,18,19,20,19,18,91,93,4.7,1013,22,7,34,13,Zimbabwe
2013-01-16,23,17,0.0,13.0,5,27,09:52 AM,10:05 PM,05:34 AM,06:37 PM,18,20,21,20,17,63,88,1.9,1015,23,10,47,12,Zimbabwe
2013-01-17,22,18,0.0,8.1,4,34,10:44 AM,10:45 PM,05:34 AM,06:37 PM,18,19,20,19,11,87,92,3.9,1015,22,6,98,8,Zimbabwe
2013-01-18,25,16,0.0,13.0,6,41,11:36 AM,11:25 PM,05:35 AM,06:37 PM,18,21,21,21,8,45,85,2.7,1012,25,7,165,5,Zimbabwe
2013-01-19,26,16,0.0,13.0,6,49,12:26 PM,No moonset,05:36 AM,06:37 PM,19,22,23,22,11,33,85,4.1,1009,26,8,191,7,Zimbabwe
2013-01-20,24,17,0.0,12.0,6,56,01:16 PM,12:06 AM,05:36 AM,06:37 PM,19,21,22,21,19,56,89,6.1,1008,24,8,213,13,Zimbabwe
2013-01-21,26,17,0.0,13.0,6,63,02:06 PM,12:49 AM,05:37 AM,06:37 PM,18,21,21,21,20,57,85,7.8,1009,26,7,251,14,Zimbabwe
2013-01-22,26,16,0.0,13.0,5,70,02:55 PM,01:34 AM,05:38 AM,06:37 PM,17,20,20,20,16,46,85,3.1,1012,26,6,145,11,Zimbabwe
2013-01-23,22,15,0.0,13.0,5,78,03:44 PM,02:20 AM,05:38 AM,06:37 PM,17,19,19,19,12,57,91,1.4,1014,22,6,99,8,Zimbabwe
2013-01-24,24,16,0.0,13.0,6,85,04:31 PM,03:10 AM,05:39 AM,06:37 PM,18,21,21,21,7,58,86,0.1,1013,24,8,82,5,Zimbabwe
2013-01-25,28,16,0.0,13.0,6,92,05:17 PM,04:00 AM,05:39 AM,06:37 PM,17,22,23,22,8,39,75,0.3,1012,28,8,143,5,Zimbabwe
2013-01-26,26,16,0.0,13.0,6,100,06:00 PM,04:51 AM,05:40 AM,06:37 PM,16,21,21,21,18,29,78,0.0,1013,26,8,129,12,Zimbabwe
2013-01-27,27,14,0.0,13.0,6,100,06:42 PM,05:43 AM,05:41 AM,06:37 PM,16,20,21,20,18,34,78,0.0,1014,27,8,137,12,Zimbabwe
2013-01-28,26,17,0.0,13.0,6,86,07:23 PM,06:35 AM,05:41 AM,06:36 PM,16,21,21,21,18,41,79,0.0,1015,26,8,139,12,Zimbabwe
2013-01-29,26,16,0.0,12.9,6,79,08:03 PM,07:27 AM,05:42 AM,06:36 PM,15,20,21,20,21,41,77,0.2,1015,26,8,142,14,Zimbabwe
2013-01-30,26,15,0.0,12.9,5,71,08:43 PM,08:19 AM,05:42 AM,06:36 PM,15,20,20,20,17,29,75,0.3,1013,26,9,135,11,Zimbabwe
2013-01-31,28,14,0.0,12.9,6,68,09:24 PM,09:12 AM,05:43 AM,06:36 PM,15,21,21,21,13,27,72,0.0,1011,28,8,138,8,Zimbabwe
2013-02-01,28,14,0.0,12.9,6,51,10:07 PM,10:07 AM,05:43 AM,06:35 PM,16,20,21,20,15,40,79,5.1,1011,28,7,140,9,Zimbabwe
2013-02-02,26,15,0.0,12.9,5,44,10:53 PM,11:03 AM,05:44 AM,06:35 PM,16,20,21,20,10,39,80,0.0,1010,26,8,199,6,Zimbabwe
2013-02-03,28,13,0.0,12.9,6,36,11:43 PM,12:01 PM,05:44 AM,06:35 PM,16,21,22,21,12,19,75,0.4,1010,28,9,242,8,Zimbabwe
2013-02-04,27,15,0.0,12.9,6,29,No moonrise,01:02 PM,05:45 AM,06:34 PM,18,22,23,22,7,28,78,4.1,1011,27,8,232,5,Zimbabwe
2013-02-05,25,17,0.0,12.9,6,21,12:37 AM,02:03 PM,05:45 AM,06:34 PM,18,21,22,21,8,44,82,5.7,1014,25,9,100,6,Zimbabwe
2013-02-06,23,17,0.0,9.3,4,14,01:36 AM,03:03 PM,05:46 AM,06:34 PM,18,19,20,19,8,77,93,12.4,1015,23,7,75,6,Zimbabwe
2013-02-07,24,17,0.0,10.6,4,6,02:37 AM,04:01 PM,05:46 AM,06:33 PM,18,19,19,19,10,75,92,21.2,1013,24,6,188,6,Zimbabwe
2013-02-08,24,17,0.0,12.9,5,0,03:41 AM,04:55 PM,05:47 AM,06:33 PM,18,20,21,20,9,64,90,6.8,1011,24,7,104,6,Zimbabwe
2013-02-09,22,17,0.0,9.3,4,0,04:42 AM,05:46 PM,05:47 AM,06:32 PM,18,19,20,19,7,79,93,1.7,1012,22,4,86,5,Zimbabwe
2013-02-10,22,17,0.0,10.6,5,0,05:43 AM,06:32 PM,05:48 AM,06:32 PM,17,20,20,20,10,64,87,0.1,1012,22,8,89,7,Zimbabwe
2013-02-11,24,16,0.0,12.8,4,1,06:41 AM,07:16 PM,05:48 AM,06:32 PM,17,20,20,20,10,56,88,3.3,1011,24,6,107,6,Zimbabwe
2013-02-12,25,17,0.0,12.8,6,9,07:38 AM,07:58 PM,05:49 AM,06:31 PM,18,20,21,20,11,56,86,1.9,1010,25,6,125,8,Zimbabwe
2013-02-13,25,17,0.0,11.9,5,16,08:32 AM,08:39 PM,05:49 AM,06:31 PM,18,20,21,20,10,61,89,0.7,1010,25,5,139,7,Zimbabwe
2013-02-14,24,15,0.0,12.8,5,24,09:25 AM,09:20 PM,05:50 AM,06:30 PM,18,20,21,20,7,62,89,8.9,1010,24,6,137,4,Zimbabwe
2013-02-15,25,16,0.0,12.8,5,31,10:16 AM,10:01 PM,05:50 AM,06:30 PM,18,20,21,20,10,58,89,3.8,1010,25,6,176,6,Zimbabwe
2013-02-16,26,16,0.0,12.8,5,39,11:08 AM,10:44 PM,05:50 AM,06:29 PM,16,19,20,19,17,55,85,1.4,1012,26,6,146,12,Zimbabwe
2013-02-17,25,16,0.0,12.8,5,46,11:58 AM,11:29 PM,05:51 AM,06:28 PM,16,19,20,19,19,44,84,0.0,1011,25,8,145,13,Zimbabwe
2013-02-18,26,15,0.0,12.8,5,54,12:48 PM,No moonset,05:51 AM,06:28 PM,15,19,20,19,15,19,76,0.0,1010,26,10,149,10,Zimbabwe
2013-02-19,27,12,0.0,12.8,5,62,01:37 PM,12:14 AM,05:52 AM,06:27 PM,13,20,21,20,10,2,66,0.0,1010,27,10,211,6,Zimbabwe
2013-02-20,29,14,0.0,12.8,6,69,02:24 PM,01:03 AM,05:52 AM,06:27 PM,13,21,22,21,12,7,62,0.4,1010,29,10,199,8,Zimbabwe
2013-02-21,26,16,0.0,12.7,6,77,03:11 PM,01:52 AM,05:52 AM,06:26 PM,16,20,21,20,17,30,79,2.8,1011,26,7,158,11,Zimbabwe
2013-02-22,25,15,0.0,12.7,4,84,03:55 PM,02:43 AM,05:53 AM,06:26 PM,17,20,21,20,10,43,82,2.0,1013,25,7,131,6,Zimbabwe
2013-02-23,27,13,0.0,12.7,6,92,04:38 PM,03:35 AM,05:53 AM,06:25 PM,15,21,22,21,10,13,71,0.0,1013,27,9,123,6,Zimbabwe
2013-02-24,27,13,0.0,12.7,5,99,05:20 PM,04:26 AM,05:53 AM,06:24 PM,15,20,21,20,14,19,72,0.0,1014,27,10,108,9,Zimbabwe
2013-02-25,25,15,0.0,12.7,5,100,06:00 PM,05:19 AM,05:54 AM,06:24 PM,14,19,20,19,14,41,76,0.0,1016,25,8,112,9,Zimbabwe
2013-02-26,25,13,0.0,12.7,5,86,06:41 PM,06:12 AM,05:54 AM,06:23 PM,15,19,20,19,11,45,80,2.0,1017,25,8,102,7,Zimbabwe
2013-02-27,27,14,0.0,12.7,6,78,07:23 PM,07:06 AM,05:54 AM,06:22 PM,16,21,21,21,7,47,78,1.9,1015,27,8,207,4,Zimbabwe
2013-02-28,27,16,0.0,12.7,6,71,08:06 PM,08:01 AM,05:55 AM,06:22 PM,16,21,21,21,10,44,80,1.8,1013,27,7,162,6,Zimbabwe
2013-03-01,30,14,0.0,12.7,6,68,08:52 PM,08:58 AM,05:55 AM,06:21 PM,15,22,22,22,9,36,72,0.3,1012,30,8,149,5,Zimbabwe
2013-03-02,25,15,0.0,12.7,5,61,09:42 PM,09:57 AM,05:55 AM,06:20 PM,17,20,20,20,13,38,84,2.7,1015,25,10,106,8,Zimbabwe
2013-03-03,25,16,0.0,12.6,5,53,10:34 PM,10:56 AM,05:56 AM,06:19 PM,16,20,20,20,14,62,83,0.9,1017,25,6,109,9,Zimbabwe
2013-03-04,26,16,0.0,12.6,5,46,11:31 PM,11:57 AM,05:56 AM,06:19 PM,17,20,20,20,14,63,85,3.0,1017,26,5,114,9,Zimbabwe
2013-03-05,25,16,0.0,12.6,5,39,No moonrise,12:56 PM,05:56 AM,06:18 PM,18,20,21,20,10,64,88,0.8,1016,25,6,105,6,Zimbabwe
2013-03-06,25,17,0.0,12.6,5,32,12:29 AM,01:53 PM,05:56 AM,06:17 PM,18,20,21,20,8,50,87,4.6,1014,25,7,127,5,Zimbabwe
2013-03-07,27,15,0.0,12.6,5,24,01:30 AM,02:47 PM,05:57 AM,06:17 PM,17,21,22,21,8,35,81,2.1,1013,27,8,139,5,Zimbabwe
2013-03-08,27,17,0.0,12.6,6,17,02:30 AM,03:37 PM,05:57 AM,06:16 PM,17,21,22,21,13,21,80,2.3,1013,27,10,73,8,Zimbabwe
