date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01,26,19,0.0,13.0,6,0,05:08 AM,06:17 PM,05:20 AM,06:16 PM,19,22,23,22,8,50,83,1.4,1010,26,9,269,5,Malawi
2014-01-02,24,18,0.0,9.4,5,2,06:12 AM,07:16 PM,05:21 AM,06:17 PM,19,21,22,21,7,70,88,2.3,1010,24,7,155,5,Malawi
2014-01-03,22,18,0.0,9.4,5,10,07:16 AM,08:10 PM,05:22 AM,06:17 PM,19,20,21,20,8,78,93,2.4,1011,22,6,305,6,Malawi
2014-01-04,25,17,0.0,11.9,6,17,08:17 AM,09:00 PM,05:22 AM,06:17 PM,18,21,21,21,10,50,88,1.3,1010,25,7,290,6,Malawi
2014-01-05,26,18,0.0,13.0,6,24,09:17 AM,09:48 PM,05:23 AM,06:18 PM,19,22,23,22,11,37,85,4.6,1008,26,8,248,7,Malawi
2014-01-06,26,18,0.0,13.0,6,31,10:13 AM,10:33 PM,05:23 AM,06:18 PM,19,22,23,22,13,44,85,0.7,1007,26,7,330,9,Malawi
2014-01-07,27,18,0.0,12.9,6,39,11:07 AM,11:18 PM,05:24 AM,06:18 PM,19,23,23,23,10,39,83,4.9,1007,27,8,303,6,Malawi
2014-01-08,27,19,0.0,12.9,6,46,12:00 PM,No moonset,05:25 AM,06:18 PM,19,24,24,23,8,31,82,4.6,1008,27,10,320,5,Malawi
2014-01-09,27,19,0.0,11.9,6,53,12:52 PM,12:01 AM,05:25 AM,06:19 PM,19,22,23,22,8,52,86,4.2,1010,27,6,170,5,Malawi
2014-01-10,23,19,0.0,10.6,5,61,01:43 PM,12:46 AM,05:26 AM,06:19 PM,19,20,21,20,8,78,94,12.9,1012,23,4,214,6,Malawi
2014-01-11,24,17,0.0,10.6,5,68,02:33 PM,01:31 AM,05:26 AM,06:19 PM,19,21,22,21,4,76,91,0.8,1013,24,6,152,3,Malawi
2014-01-12,25,18,0.0,11.9,5,75,03:24 PM,02:17 AM,05:27 AM,06:19 PM,19,21,22,21,7,64,92,3.4,1013,25,7,64,5,Malawi
2014-01-13,25,17,0.0,11.9,6,82,04:12 PM,03:05 AM,05:27 AM,06:20 PM,19,21,22,21,6,68,89,6.5,1012,25,6,99,4,Malawi
2014-01-14,20,18,0.0,8.1,4,90,04:59 PM,03:53 AM,05:28 AM,06:20 PM,19,19,19,19,8,96,98,16.9,1012,20,3,144,5,Malawi
2014-01-15,20,17,0.0,9.4,4,97,05:45 PM,04:42 AM,05:29 AM,06:20 PM,18,19,19,19,7,82,96,0.8,1014,20,4,191,5,Malawi
2014-01-16,24,17,0.0,10.6,4,100,06:28 PM,05:31 AM,05:29 AM,06:20 PM,18,20,21,20,6,77,91,2.2,1014,24,6,128,4,Malawi
2014-01-17,26,17,0.0,12.9,6,89,07:09 PM,06:19 AM,05:30 AM,06:20 PM,18,21,22,21,7,62,86,3.8,1013,26,5,90,4,Malawi
2014-01-18,25,16,0.0,9.4,4,81,07:49 PM,07:07 AM,05:30 AM,06:20 PM,18,20,21,20,6,71,91,4.1,1012,25,7,62,4,Malawi
2014-01-19,28,16,0.0,12.9,6,74,08:28 PM,07:54 AM,05:31 AM,06:20 PM,18,22,23,22,7,37,83,2.3,1012,28,7,110,4,Malawi
2014-01-20,26,18,0.0,12.9,6,67,09:07 PM,08:41 AM,05:31 AM,06:20 PM,20,22,23,22,5,62,89,13.4,1012,26,6,170,3,Malawi
2014-01-21,25,19,0.0,12.9,6,59,09:47 PM,09:29 AM,05:32 AM,06:20 PM,20,21,22,21,4,66,91,6.9,1012,25,7,156,3,Malawi
2014-01-22,23,17,0.0,12.9,6,52,10:27 PM,10:17 AM,05:32 AM,06:20 PM,19,20,21,20,7,67,92,7.5,1011,23,6,110,5,Malawi
2014-01-23,26,16,0.0,12.9,6,45,11:11 PM,11:08 AM,05:33 AM,06:20 PM,18,21,22,21,9,64,87,0.0,1010,26,5,35,6,Malawi
2014-01-24,25,18,0.0,12.9,6,38,11:58 PM,12:01 PM,05:34 AM,06:20 PM,19,21,22,21,11,74,89,2.1,1010,25,5,66,8,Malawi
2014-01-25,25,17,0.0,11.9,6,30,No moonrise,12:57 PM,05:34 AM,06:20 PM,19,21,22,21,9,70,89,6.2,1010,25,6,304,6,Malawi
2014-01-26,25,19,0.0,10.6,5,23,12:49 AM,01:55 PM,05:35 AM,06:20 PM,20,21,21,21,9,75,94,19.2,1010,25,5,222,6,Malawi
2014-01-27,26,18,0.0,12.9,5,16,01:46 AM,02:56 PM,05:35 AM,06:20 PM,20,21,23,21,7,65,90,1.8,1010,26,6,51,5,Malawi
2014-01-28,26,19,0.0,10.6,5,9,02:45 AM,03:56 PM,05:36 AM,06:20 PM,20,22,23,22,4,72,91,2.0,1010,26,6,95,3,Malawi
2014-01-29,24,19,0.0,8.0,5,1,03:49 AM,04:56 PM,05:36 AM,06:20 PM,20,21,22,21,8,84,95,3.9,1011,24,6,143,5,Malawi
2014-01-30,22,18,0.0,8.0,4,0,04:53 AM,05:52 PM,05:37 AM,06:20 PM,19,20,20,20,9,89,97,0.2,1012,22,2,79,6,Malawi
