date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,24,13,0.0,11.6,5,72,03:06 PM,03:16 AM,06:50 AM,06:05 PM,10,19,20,19,11,1,57,0.0,1015,24,10,82,8,Eritrea
2015-01-02,24,14,0.0,11.5,5,80,03:56 PM,04:10 AM,06:51 AM,06:05 PM,9,19,19,19,12,1,54,0.0,1015,24,10,79,9,Eritrea
2015-01-03,23,13,0.0,11.6,5,87,04:47 PM,05:03 AM,06:51 AM,06:06 PM,9,18,19,18,12,1,58,0.0,1016,23,10,78,9,Eritrea
2015-01-04,23,13,0.0,11.5,5,94,05:38 PM,05:55 AM,06:52 AM,06:06 PM,10,18,18,18,10,5,63,0.0,1015,23,10,76,8,Eritrea
2015-01-05,22,14,0.0,11.6,5,100,06:29 PM,06:44 AM,06:52 AM,06:07 PM,12,17,18,17,11,15,71,0.0,1015,22,10,71,9,Eritrea
2015-01-06,23,14,0.0,11.6,5,100,07:20 PM,07:31 AM,06:52 AM,06:08 PM,12,18,19,18,10,10,69,0.0,1015,23,10,76,8,Eritrea
2015-01-07,22,16,0.0,11.6,5,84,08:09 PM,08:14 AM,06:52 AM,06:08 PM,14,18,19,18,13,23,75,0.2,1016,22,10,62,10,Eritrea
2015-01-08,20,15,0.0,11.6,5,77,08:57 PM,08:56 AM,06:53 AM,06:09 PM,13,17,17,17,16,34,79,0.3,1017,20,9,66,13,Eritrea
2015-01-09,21,15,0.0,11.6,5,69,09:44 PM,09:36 AM,06:53 AM,06:09 PM,13,18,18,18,10,25,75,0.2,1016,21,10,65,8,Eritrea
2015-01-10,19,14,0.0,11.6,5,62,10:30 PM,10:14 AM,06:53 AM,06:10 PM,12,16,16,16,8,24,78,0.3,1016,19,10,159,6,Eritrea
2015-01-11,19,13,0.0,11.6,5,55,11:17 PM,10:52 AM,06:53 AM,06:11 PM,11,16,16,16,10,28,77,0.2,1018,19,10,54,8,Eritrea
2015-01-12,19,14,0.0,11.6,5,48,No moonrise,11:30 AM,06:54 AM,06:11 PM,12,16,16,16,13,30,78,0.0,1017,19,10,74,11,Eritrea
2015-01-13,22,15,0.0,11.6,5,40,12:05 AM,12:09 PM,06:54 AM,06:12 PM,13,18,19,18,10,25,74,0.2,1016,22,10,80,8,Eritrea
2015-01-14,25,16,0.0,11.6,5,33,12:53 AM,12:51 PM,06:54 AM,06:12 PM,14,20,20,20,9,14,71,2.1,1016,25,10,68,7,Eritrea
2015-01-15,22,15,0.0,11.6,5,26,01:45 AM,01:36 PM,06:54 AM,06:13 PM,14,19,19,19,11,22,74,0.1,1016,22,10,45,9,Eritrea
2015-01-16,22,15,0.0,11.6,5,19,02:38 AM,02:24 PM,06:54 AM,06:13 PM,14,18,19,18,13,25,76,0.6,1016,22,10,56,10,Eritrea
2015-01-17,22,15,0.0,11.6,5,11,03:34 AM,03:18 PM,06:54 AM,06:14 PM,13,18,19,18,10,16,72,0.0,1015,22,10,62,8,Eritrea
2015-01-18,24,14,0.0,11.6,5,4,04:31 AM,04:15 PM,06:54 AM,06:15 PM,12,18,19,18,9,12,68,0.0,1016,24,10,106,7,Eritrea
2015-01-19,23,13,0.0,11.6,5,0,05:30 AM,05:16 PM,06:54 AM,06:15 PM,10,19,19,19,6,4,58,0.0,1015,23,10,108,5,Eritrea
2015-01-20,24,13,0.0,11.6,5,0,06:27 AM,06:18 PM,06:55 AM,06:16 PM,9,20,20,20,6,1,50,0.0,1015,24,10,111,5,Eritrea
2015-01-21,25,13,0.0,11.6,5,3,07:23 AM,07:21 PM,06:55 AM,06:16 PM,12,20,20,20,9,5,62,0.0,1017,25,10,64,7,Eritrea
2015-01-22,25,15,0.0,11.6,5,10,08:15 AM,08:23 PM,06:55 AM,06:17 PM,14,20,21,20,10,11,70,0.0,1016,25,10,64,8,Eritrea
2015-01-23,25,16,0.0,11.6,5,18,09:06 AM,09:24 PM,06:55 AM,06:17 PM,14,20,21,20,11,11,70,0.0,1014,25,10,60,9,Eritrea
2015-01-24,25,15,0.0,11.6,5,25,09:55 AM,10:22 PM,06:55 AM,06:18 PM,13,20,21,20,9,5,64,0.0,1012,25,10,66,7,Eritrea
2015-01-25,26,15,0.0,11.6,6,32,10:42 AM,11:20 PM,06:54 AM,06:18 PM,11,21,22,21,10,2,55,0.0,1013,26,10,63,8,Eritrea
2015-01-26,26,15,0.0,11.6,6,39,11:30 AM,No moonset,06:54 AM,06:19 PM,7,22,22,22,10,0,41,0.0,1013,26,10,62,8,Eritrea
2015-01-27,27,14,0.0,11.6,6,47,12:17 PM,12:16 AM,06:54 AM,06:19 PM,7,23,22,23,8,0,40,0.0,1012,27,10,64,6,Eritrea
2015-01-28,28,15,0.0,11.6,6,54,01:05 PM,01:12 AM,06:54 AM,06:20 PM,8,23,23,23,8,0,39,0.0,1011,28,10,79,6,Eritrea
2015-01-29,28,15,0.0,11.6,6,61,01:54 PM,02:06 AM,06:54 AM,06:20 PM,7,23,23,23,8,0,38,0.0,1011,28,10,85,6,Eritrea
2015-01-30,28,15,0.0,11.6,6,69,02:43 PM,03:00 AM,06:54 AM,06:21 PM,6,23,23,23,9,0,36,0.0,1013,28,10,73,7,Eritrea
2015-01-31,27,15,0.0,11.6,6,72,03:34 PM,03:51 AM,06:54 AM,06:21 PM,2,22,21,22,11,0,31,0.0,1014,27,10,53,8,Eritrea
2015-02-01,27,13,0.0,11.6,5,86,04:24 PM,04:40 AM,06:54 AM,06:22 PM,3,21,21,21,11,0,34,0.0,1014,27,10,56,8,Eritrea
2015-02-02,27,14,0.0,11.6,6,94,05:15 PM,05:28 AM,06:53 AM,06:22 PM,10,22,22,22,8,1,49,0.0,1013,27,10,76,6,Eritrea
2015-02-03,27,15,0.0,11.6,6,100,06:04 PM,06:12 AM,06:53 AM,06:23 PM,10,24,23,24,6,0,47,0.0,1012,27,10,81,5,Eritrea
2015-02-04,27,15,0.0,11.6,6,100,06:52 PM,06:54 AM,06:53 AM,06:23 PM,9,22,22,22,10,0,45,0.0,1013,27,10,64,8,Eritrea
2015-02-05,27,14,0.0,11.6,5,84,07:40 PM,07:35 AM,06:53 AM,06:24 PM,6,21,21,21,10,0,40,0.0,1013,27,10,56,8,Eritrea
2015-02-06,27,15,0.0,11.6,6,76,08:26 PM,08:13 AM,06:52 AM,06:24 PM,9,22,22,22,10,0,47,0.0,1013,27,10,65,8,Eritrea
2015-02-07,28,15,0.0,11.6,6,69,09:13 PM,08:51 AM,06:52 AM,06:25 PM,7,23,23,23,8,0,39,0.0,1012,28,10,77,6,Eritrea
2015-02-08,30,16,0.0,11.6,6,61,10:00 PM,09:29 AM,06:52 AM,06:25 PM,1,24,24,25,6,0,25,0.0,1010,30,10,152,4,Eritrea
2015-02-09,29,16,0.0,11.6,6,53,10:47 PM,10:07 AM,06:51 AM,06:25 PM,-1,25,25,26,4,0,18,0.0,1009,29,10,92,3,Eritrea
2015-02-10,29,16,0.0,11.6,6,46,11:37 PM,10:48 AM,06:51 AM,06:26 PM,5,25,25,25,6,0,28,0.0,1010,29,10,80,5,Eritrea
2015-02-11,30,17,0.0,11.6,6,38,No moonrise,11:30 AM,06:51 AM,06:26 PM,10,26,26,26,6,1,40,0.0,1011,30,10,89,5,Eritrea
2015-02-12,25,17,0.0,11.6,6,31,12:27 AM,12:15 PM,06:50 AM,06:27 PM,14,21,22,21,12,8,66,0.4,1013,25,10,54,10,Eritrea
2015-02-13,24,16,0.0,11.6,5,23,01:20 AM,01:05 PM,06:50 AM,06:27 PM,14,20,20,20,10,15,71,0.3,1013,24,10,64,9,Eritrea
2015-02-14,25,16,0.0,11.6,5,16,02:15 AM,01:58 PM,06:49 AM,06:27 PM,14,20,20,20,9,11,68,0.0,1013,25,10,60,7,Eritrea
2015-02-15,27,15,0.0,11.6,6,8,03:11 AM,02:56 PM,06:49 AM,06:28 PM,12,22,23,22,6,3,57,0.0,1013,27,10,66,5,Eritrea
2015-02-16,27,16,0.0,11.6,6,1,04:08 AM,03:56 PM,06:49 AM,06:28 PM,10,23,24,23,6,2,46,0.8,1013,27,10,128,5,Eritrea
2015-02-17,27,16,0.0,11.6,6,0,05:04 AM,04:59 PM,06:48 AM,06:28 PM,13,22,23,22,8,4,56,1.0,1013,27,10,58,6,Eritrea
2015-02-18,28,17,0.0,11.6,6,0,05:59 AM,06:02 PM,06:48 AM,06:29 PM,12,24,24,23,9,2,51,0.3,1011,28,10,61,7,Eritrea
2015-02-19,28,17,0.0,11.6,6,0,06:51 AM,07:04 PM,06:47 AM,06:29 PM,12,23,24,23,9,1,52,0.0,1010,28,10,45,8,Eritrea
2015-02-20,26,16,0.0,11.6,6,7,07:43 AM,08:06 PM,06:47 AM,06:29 PM,14,22,22,22,9,5,62,0.0,1010,26,10,41,7,Eritrea
2015-02-21,24,15,0.0,11.6,5,14,08:32 AM,09:06 PM,06:46 AM,06:30 PM,12,20,21,20,8,6,62,0.0,1012,24,10,58,7,Eritrea
2015-02-22,26,14,0.0,11.6,5,22,09:22 AM,10:06 PM,06:46 AM,06:30 PM,10,20,21,20,9,2,56,0.0,1013,26,10,55,7,Eritrea
2015-02-23,27,14,0.0,11.6,6,29,10:11 AM,11:04 PM,06:45 AM,06:30 PM,12,22,23,22,7,1,54,0.0,1012,27,10,62,6,Eritrea
2015-02-24,28,16,0.0,11.6,6,37,11:00 AM,No moonset,06:45 AM,06:30 PM,13,24,24,24,6,1,55,0.0,1011,28,10,53,5,Eritrea
2015-02-25,28,17,0.0,11.6,6,44,11:50 AM,12:00 AM,06:44 AM,06:31 PM,12,24,24,24,8,3,49,1.5,1010,28,10,105,6,Eritrea
2015-02-26,28,16,0.0,11.6,6,52,12:40 PM,12:55 AM,06:43 AM,06:31 PM,8,22,22,22,15,2,44,0.0,1011,28,10,55,12,Eritrea
2015-02-27,28,16,0.0,11.6,6,60,01:31 PM,01:48 AM,06:43 AM,06:31 PM,7,22,22,22,15,0,41,0.0,1012,28,10,55,12,Eritrea
2015-02-28,27,15,0.0,11.6,6,67,02:21 PM,02:38 AM,06:42 AM,06:31 PM,9,21,21,21,13,2,47,0.0,1011,27,10,58,11,Eritrea
2015-03-01,28,15,0.0,11.6,6,72,03:12 PM,03:26 AM,06:42 AM,06:32 PM,10,22,22,22,14,2,50,0.0,1011,28,10,59,11,Eritrea
2015-03-02,28,15,0.0,11.6,6,79,04:01 PM,04:10 AM,06:41 AM,06:32 PM,9,22,22,22,13,1,45,0.0,1011,28,10,60,10,Eritrea
2015-03-03,28,16,0.0,11.6,6,86,04:49 PM,04:53 AM,06:40 AM,06:32 PM,10,23,23,23,11,1,46,0.0,1012,28,10,68,9,Eritrea
2015-03-04,28,17,0.0,11.6,6,94,05:37 PM,05:34 AM,06:40 AM,06:32 PM,13,24,24,24,9,2,55,0.8,1012,28,10,73,7,Eritrea
2015-03-05,27,17,0.0,11.6,6,100,06:23 PM,06:13 AM,06:39 AM,06:32 PM,15,22,23,22,12,5,66,0.5,1011,27,10,68,9,Eritrea
2015-03-06,28,17,0.0,11.6,6,100,07:10 PM,06:51 AM,06:38 AM,06:33 PM,14,23,23,23,11,9,60,2.9,1012,28,10,70,8,Eritrea
2015-03-07,28,18,0.0,11.6,6,84,07:57 PM,07:29 AM,06:38 AM,06:33 PM,14,24,24,23,11,8,57,4.0,1012,28,10,81,8,Eritrea
2015-03-08,29,18,0.0,11.6,6,77,08:44 PM,08:08 AM,06:37 AM,06:33 PM,10,24,24,24,11,6,45,0.9,1012,29,10,78,9,Eritrea
2015-03-09,29,17,0.0,11.6,6,70,09:33 PM,08:47 AM,06:36 AM,06:33 PM,2,24,24,24,12,0,24,0.0,1012,29,10,60,9,Eritrea
2015-03-10,22,17,0.0,11.6,5,63,10:22 PM,09:29 AM,06:36 AM,06:33 PM,4,22,22,22,9,14,34,0.1,1011,22,10,49,6,Eritrea
