date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,27,19,0.0,5.5,5,72,03:50 PM,04:07 AM,07:36 AM,06:39 PM,1,22,22,23,39,57,24,0.0,1016,27,10,75,24,Mauritania
2015-01-02,26,18,0.0,11.0,6,80,04:39 PM,05:02 AM,07:36 AM,06:40 PM,-1,21,21,21,42,29,23,0.0,1017,26,10,76,27,Mauritania
2015-01-03,27,18,0.0,11.1,6,87,05:30 PM,05:55 AM,07:36 AM,06:41 PM,-0,22,21,22,43,36,23,0.0,1017,27,10,76,27,Mauritania
2015-01-04,26,20,0.0,10.1,6,94,06:21 PM,06:46 AM,07:37 AM,06:41 PM,-0,22,22,23,38,44,22,0.0,1019,26,10,79,23,Mauritania
2015-01-05,25,20,0.0,5.5,5,100,07:13 PM,07:35 AM,07:37 AM,06:42 PM,1,23,23,23,33,86,24,0.0,1020,25,10,56,20,Mauritania
2015-01-06,28,20,0.0,11.1,6,100,08:04 PM,08:21 AM,07:37 AM,06:42 PM,2,23,23,23,38,36,24,0.0,1017,28,10,53,22,Mauritania
2015-01-07,25,20,0.0,7.0,5,84,08:53 PM,09:04 AM,07:37 AM,06:43 PM,1,22,22,22,34,74,25,0.0,1017,25,10,77,20,Mauritania
2015-01-08,25,17,0.0,11.1,6,77,09:42 PM,09:44 AM,07:38 AM,06:44 PM,2,21,21,21,37,2,28,0.0,1017,25,10,61,23,Mauritania
2015-01-09,27,17,0.0,11.1,6,69,10:30 PM,10:22 AM,07:38 AM,06:44 PM,3,22,21,22,36,0,30,0.0,1017,27,10,48,21,Mauritania
2015-01-10,29,19,0.0,11.1,6,62,11:17 PM,11:00 AM,07:38 AM,06:45 PM,5,24,24,24,31,7,30,0.0,1016,29,10,147,17,Mauritania
2015-01-11,28,21,0.0,11.1,6,55,No moonrise,11:37 AM,07:38 AM,06:46 PM,6,25,25,25,25,26,32,0.0,1016,28,10,92,13,Mauritania
2015-01-12,27,22,0.0,11.1,6,48,12:05 AM,12:14 PM,07:38 AM,06:46 PM,4,24,24,24,25,44,27,0.0,1016,27,10,96,13,Mauritania
2015-01-13,27,21,0.0,11.1,6,40,12:53 AM,12:53 PM,07:39 AM,06:47 PM,8,24,24,23,33,16,40,0.1,1015,27,10,95,19,Mauritania
2015-01-14,29,19,0.0,11.1,6,33,01:43 AM,01:35 PM,07:39 AM,06:47 PM,8,22,22,23,32,2,41,0.0,1014,29,10,224,18,Mauritania
2015-01-15,28,19,0.0,8.6,6,26,02:35 AM,02:19 PM,07:39 AM,06:48 PM,3,22,22,23,35,33,29,0.0,1014,28,10,168,17,Mauritania
2015-01-16,29,19,0.0,11.1,6,19,03:30 AM,03:08 PM,07:39 AM,06:49 PM,4,23,23,24,32,3,30,0.0,1015,29,10,200,16,Mauritania
2015-01-17,30,19,0.0,11.1,6,11,04:26 AM,04:02 PM,07:39 AM,06:49 PM,2,23,23,24,47,1,24,0.0,1017,30,10,43,25,Mauritania
2015-01-18,27,16,0.0,11.1,6,4,05:24 AM,05:00 PM,07:39 AM,06:50 PM,4,20,20,20,41,0,35,0.0,1018,27,10,156,24,Mauritania
2015-01-19,27,16,0.0,11.1,6,0,06:22 AM,06:01 PM,07:39 AM,06:51 PM,2,21,20,21,37,4,31,0.0,1016,27,10,72,21,Mauritania
2015-01-20,25,16,0.0,11.1,5,0,07:19 AM,07:04 PM,07:39 AM,06:51 PM,8,20,20,20,38,0,47,0.0,1014,25,10,113,22,Mauritania
2015-01-21,25,15,0.0,11.1,5,3,08:13 AM,08:07 PM,07:39 AM,06:52 PM,4,19,19,19,35,7,38,0.0,1015,25,10,38,20,Mauritania
2015-01-22,26,15,0.0,7.1,5,10,09:05 AM,09:10 PM,07:39 AM,06:52 PM,3,20,20,20,38,38,33,0.0,1017,26,10,49,21,Mauritania
2015-01-23,27,17,0.0,11.1,6,18,09:54 AM,10:12 PM,07:39 AM,06:53 PM,2,22,21,22,37,41,27,0.0,1017,27,10,125,21,Mauritania
2015-01-24,27,18,0.0,11.2,6,25,10:42 AM,11:12 PM,07:39 AM,06:54 PM,2,21,21,21,33,8,30,0.0,1016,27,10,152,18,Mauritania
2015-01-25,28,17,0.0,11.2,6,32,11:28 AM,No moonset,07:39 AM,06:54 PM,1,22,21,22,36,33,28,0.0,1014,28,10,77,19,Mauritania
2015-01-26,28,16,0.0,11.2,6,39,12:14 PM,12:10 AM,07:38 AM,06:55 PM,-1,22,21,22,43,15,22,0.0,1016,28,10,66,23,Mauritania
2015-01-27,27,16,0.0,11.2,6,47,01:01 PM,01:07 AM,07:38 AM,06:55 PM,-2,21,21,21,42,39,21,0.0,1018,27,10,66,24,Mauritania
2015-01-28,28,18,0.0,11.2,6,54,01:48 PM,02:03 AM,07:38 AM,06:56 PM,-2,22,22,22,40,43,20,0.0,1018,28,10,64,23,Mauritania
2015-01-29,28,18,0.0,10.1,6,61,02:37 PM,02:58 AM,07:38 AM,06:57 PM,-2,22,22,22,43,28,20,0.0,1017,28,10,62,24,Mauritania
2015-01-30,28,16,0.0,11.2,6,69,03:27 PM,03:51 AM,07:38 AM,06:57 PM,-2,22,21,22,42,15,20,0.0,1016,28,10,50,23,Mauritania
2015-01-31,27,17,0.0,11.2,6,72,04:17 PM,04:42 AM,07:37 AM,06:58 PM,4,21,20,21,37,31,34,0.0,1016,27,10,106,20,Mauritania
2015-02-01,26,17,0.0,10.1,6,86,05:08 PM,05:32 AM,07:37 AM,06:58 PM,9,20,20,20,34,24,50,0.0,1015,26,10,179,19,Mauritania
2015-02-02,25,17,0.0,11.2,5,94,05:58 PM,06:17 AM,07:37 AM,06:59 PM,11,20,20,20,34,19,59,0.0,1014,25,10,291,19,Mauritania
2015-02-03,26,16,0.0,11.2,5,100,06:48 PM,07:01 AM,07:37 AM,06:59 PM,10,19,20,19,40,1,57,0.0,1013,26,10,253,24,Mauritania
2015-02-04,26,16,0.0,11.6,5,100,07:37 PM,07:43 AM,07:36 AM,07:00 PM,9,20,20,20,39,5,52,0.0,1014,26,10,171,22,Mauritania
2015-02-05,29,17,0.0,11.6,6,84,08:25 PM,08:21 AM,07:36 AM,07:00 PM,8,21,21,21,38,8,43,0.0,1014,29,10,179,19,Mauritania
2015-02-06,29,19,0.0,8.7,6,76,09:13 PM,09:00 AM,07:36 AM,07:01 PM,7,23,23,23,35,46,37,0.0,1013,29,10,221,17,Mauritania
2015-02-07,31,21,0.0,11.6,6,69,10:00 PM,09:37 AM,07:35 AM,07:01 PM,7,25,25,24,37,6,34,0.1,1012,31,10,139,18,Mauritania
2015-02-08,25,19,0.0,11.6,6,61,10:48 PM,10:14 AM,07:35 AM,07:02 PM,10,22,22,22,37,30,49,0.0,1012,25,10,332,21,Mauritania
2015-02-09,26,17,0.0,11.6,6,53,11:37 PM,10:52 AM,07:34 AM,07:02 PM,11,20,20,20,38,4,58,0.0,1012,26,10,296,24,Mauritania
2015-02-10,27,16,0.0,11.6,6,46,No moonrise,11:32 AM,07:34 AM,07:03 PM,10,20,20,20,37,5,56,0.0,1012,27,10,333,21,Mauritania
2015-02-11,28,17,0.0,11.6,6,38,12:26 AM,12:13 PM,07:34 AM,07:03 PM,10,21,21,21,40,8,53,0.5,1013,28,10,291,22,Mauritania
2015-02-12,26,19,0.0,11.6,6,31,01:18 AM,12:59 PM,07:33 AM,07:04 PM,9,21,22,21,34,31,46,1.5,1015,26,10,290,18,Mauritania
2015-02-13,29,19,0.0,11.6,6,23,02:12 AM,01:49 PM,07:33 AM,07:04 PM,8,23,23,23,45,13,41,0.2,1017,29,10,255,24,Mauritania
2015-02-14,29,19,0.0,11.6,6,16,03:07 AM,02:42 PM,07:32 AM,07:05 PM,5,23,23,24,41,16,31,0.0,1017,29,10,70,22,Mauritania
2015-02-15,27,21,0.0,11.6,6,8,04:04 AM,03:41 PM,07:32 AM,07:05 PM,5,24,24,24,42,39,30,0.2,1016,27,10,68,22,Mauritania
2015-02-16,28,22,0.0,10.2,6,1,05:00 AM,04:42 PM,07:31 AM,07:05 PM,9,25,25,24,35,44,39,0.8,1017,28,10,117,18,Mauritania
2015-02-17,27,21,0.0,7.3,5,0,05:56 AM,05:45 PM,07:31 AM,07:06 PM,10,25,25,23,29,64,43,0.7,1015,27,10,140,15,Mauritania
2015-02-18,26,20,0.0,10.2,6,0,06:49 AM,06:49 PM,07:30 AM,07:06 PM,9,22,22,22,37,45,44,0.0,1013,26,10,256,21,Mauritania
2015-02-19,25,20,0.0,11.6,6,0,07:41 AM,07:52 PM,07:30 AM,07:07 PM,6,22,22,22,38,10,37,0.0,1014,25,10,142,24,Mauritania
