date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,30,24,0.0,11.6,7,72,02:56 PM,02:34 AM,06:02 AM,06:02 PM,20,29,29,27,43,0,67,0.0,1011,30,10,63,31,Somalia
2015-01-02,30,24,0.0,11.6,7,80,03:48 PM,03:26 AM,06:02 AM,06:03 PM,20,29,29,27,45,0,67,0.0,1012,30,10,64,33,Somalia
2015-01-03,30,25,0.0,11.6,7,87,04:39 PM,04:18 AM,06:03 AM,06:03 PM,20,29,29,27,47,0,65,0.0,1011,30,10,63,34,Somalia
2015-01-04,30,25,0.0,11.6,7,94,05:30 PM,05:09 AM,06:03 AM,06:04 PM,20,29,29,27,44,1,67,0.0,1011,30,10,64,32,Somalia
2015-01-05,30,25,0.0,11.6,7,100,06:20 PM,06:00 AM,06:03 AM,06:04 PM,21,29,29,27,46,6,71,0.0,1010,30,10,66,34,Somalia
2015-01-06,30,25,0.0,11.6,7,100,07:08 PM,06:48 AM,06:04 AM,06:04 PM,21,29,29,27,48,14,71,0.0,1011,30,10,68,35,Somalia
2015-01-07,30,26,0.0,10.2,7,84,07:55 PM,07:35 AM,06:04 AM,06:05 PM,22,30,30,27,43,18,74,0.1,1012,30,10,74,31,Somalia
2015-01-08,30,25,0.0,11.6,7,77,08:39 PM,08:19 AM,06:05 AM,06:05 PM,22,30,30,27,41,11,72,0.0,1012,30,10,76,30,Somalia
2015-01-09,30,25,0.0,11.6,7,69,09:23 PM,09:02 AM,06:05 AM,06:06 PM,21,29,29,27,42,10,73,0.0,1012,30,10,73,31,Somalia
2015-01-10,30,25,0.0,11.6,7,62,10:05 PM,09:44 AM,06:05 AM,06:06 PM,22,29,29,27,40,13,74,0.0,1011,30,10,74,29,Somalia
2015-01-11,30,25,0.0,11.6,7,55,10:48 PM,10:25 AM,06:06 AM,06:07 PM,22,29,29,27,44,13,74,0.0,1011,30,10,68,32,Somalia
2015-01-12,30,25,0.0,11.6,7,48,11:32 PM,11:08 AM,06:06 AM,06:07 PM,21,29,29,27,50,6,72,0.0,1011,30,10,68,37,Somalia
2015-01-13,30,24,0.0,11.6,7,40,No moonrise,11:51 AM,06:07 AM,06:07 PM,20,29,29,27,48,3,68,0.0,1013,30,10,65,35,Somalia
2015-01-14,30,25,0.0,11.6,7,33,12:17 AM,12:36 PM,06:07 AM,06:08 PM,20,29,29,27,47,3,69,0.0,1012,30,10,60,34,Somalia
2015-01-15,30,24,0.0,11.6,7,26,01:05 AM,01:24 PM,06:07 AM,06:08 PM,20,28,28,27,50,1,66,0.0,1011,30,10,61,37,Somalia
2015-01-16,30,24,0.0,11.6,7,19,01:55 AM,02:15 PM,06:08 AM,06:09 PM,19,28,28,26,47,2,67,0.0,1011,30,10,61,34,Somalia
2015-01-17,29,24,0.0,11.6,7,11,02:48 AM,03:10 PM,06:08 AM,06:09 PM,19,28,28,26,50,0,67,0.0,1010,29,10,62,36,Somalia
2015-01-18,29,24,0.0,11.6,7,4,03:45 AM,04:07 PM,06:08 AM,06:09 PM,20,28,28,26,48,0,70,0.0,1011,29,10,65,36,Somalia
2015-01-19,29,25,0.0,11.6,7,0,04:44 AM,05:07 PM,06:08 AM,06:10 PM,21,28,28,26,44,6,74,0.0,1010,29,10,76,32,Somalia
