date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,33,23,0.0,11.5,7,50,No moonrise,12:16 PM,07:00 AM,06:45 PM,23,31,31,28,12,31,78,0.2,1012,33,8,138,8,Benin
2016-01-02,32,22,0.0,11.5,7,43,12:39 AM,12:56 PM,07:01 AM,06:46 PM,17,29,29,28,14,2,57,0.0,1012,32,10,189,10,Benin
2016-01-03,33,22,0.0,11.5,7,36,01:24 AM,01:38 PM,07:01 AM,06:46 PM,15,28,28,28,15,4,49,0.0,1011,33,10,158,10,Benin
2016-01-04,32,23,0.0,8.7,7,28,02:08 AM,02:20 PM,07:01 AM,06:47 PM,21,32,32,29,12,26,65,0.1,1011,32,10,215,9,Benin
2016-01-05,32,23,0.0,11.5,7,21,02:55 AM,03:04 PM,07:02 AM,06:47 PM,18,30,30,29,14,3,53,0.0,1011,32,10,193,10,Benin
2016-01-06,33,22,0.0,11.5,7,14,03:43 AM,03:51 PM,07:02 AM,06:48 PM,20,30,30,28,14,5,63,0.0,1011,33,10,232,9,Benin
2016-01-07,35,23,0.0,11.5,7,7,04:33 AM,04:40 PM,07:03 AM,06:49 PM,14,29,29,29,19,4,45,0.0,1011,35,10,176,12,Benin
2016-01-08,33,23,0.0,11.5,7,0,05:26 AM,05:33 PM,07:03 AM,06:49 PM,18,30,30,28,15,3,56,0.0,1012,33,10,195,10,Benin
2016-01-09,31,23,0.0,11.5,7,0,06:19 AM,06:27 PM,07:03 AM,06:49 PM,23,31,31,27,16,22,81,0.0,1013,31,10,215,12,Benin
2016-01-10,31,24,0.0,11.5,7,0,07:13 AM,07:23 PM,07:04 AM,06:50 PM,24,32,32,27,17,25,83,0.0,1012,31,7,227,12,Benin
2016-01-11,31,25,0.0,8.7,6,8,08:06 AM,08:19 PM,07:04 AM,06:50 PM,24,32,32,28,14,50,81,0.1,1011,31,9,236,10,Benin
2016-01-12,32,25,0.0,11.5,7,15,08:59 AM,09:14 PM,07:04 AM,06:51 PM,24,33,33,28,15,14,80,0.0,1010,32,10,222,11,Benin
2016-01-13,32,25,0.0,10.1,7,22,09:51 AM,10:09 PM,07:05 AM,06:51 PM,24,32,32,28,16,36,81,0.1,1011,32,9,229,12,Benin
2016-01-14,32,25,0.0,10.1,7,29,10:41 AM,11:03 PM,07:05 AM,06:52 PM,25,33,33,28,15,32,82,0.1,1010,32,9,232,11,Benin
2016-01-15,33,25,0.0,11.5,7,37,11:31 AM,11:57 PM,07:05 AM,06:52 PM,24,34,34,29,16,19,79,0.0,1010,33,8,239,11,Benin
2016-01-16,32,25,0.0,11.5,7,44,12:20 PM,No moonset,07:06 AM,06:53 PM,25,33,33,28,17,18,81,0.8,1011,32,10,237,12,Benin
2016-01-17,31,26,0.0,10.1,7,51,01:11 PM,12:51 AM,07:06 AM,06:53 PM,24,33,33,28,18,39,80,0.3,1011,31,10,216,13,Benin
2016-01-18,31,25,0.0,11.5,7,59,02:02 PM,01:46 AM,07:06 AM,06:54 PM,24,32,32,28,18,16,80,1.6,1011,31,10,214,13,Benin
2016-01-19,31,26,0.0,11.5,7,66,02:55 PM,02:42 AM,07:06 AM,06:54 PM,23,32,32,28,18,28,76,2.7,1011,31,10,221,12,Benin
2016-01-20,32,26,0.0,11.5,7,73,03:50 PM,03:38 AM,07:06 AM,06:54 PM,24,33,33,29,14,20,74,0.0,1010,32,10,209,10,Benin
2016-01-21,32,25,0.0,11.5,7,80,04:45 PM,04:34 AM,07:07 AM,06:55 PM,24,33,33,29,14,14,77,0.1,1011,32,9,228,11,Benin
2016-01-22,33,25,0.0,11.5,7,88,05:40 PM,05:29 AM,07:07 AM,06:55 PM,24,33,33,29,14,25,78,0.1,1012,33,10,227,10,Benin
2016-01-23,32,24,0.0,11.5,7,95,06:33 PM,06:22 AM,07:07 AM,06:56 PM,24,32,32,28,14,29,80,0.1,1012,32,8,231,10,Benin
2016-01-24,33,24,0.0,11.5,7,100,07:26 PM,07:13 AM,07:07 AM,06:56 PM,24,32,32,28,12,29,78,0.2,1014,33,9,231,9,Benin
2016-01-25,32,23,0.0,11.5,7,100,08:15 PM,08:01 AM,07:07 AM,06:56 PM,12,27,27,27,18,32,43,0.0,1014,32,10,158,11,Benin
2016-01-26,32,23,0.0,11.5,7,83,09:03 PM,08:46 AM,07:07 AM,06:57 PM,13,27,27,27,13,38,45,0.0,1014,32,10,209,8,Benin
2016-01-27,33,22,0.0,11.5,7,76,09:49 PM,09:30 AM,07:07 AM,06:57 PM,9,27,27,27,20,6,34,0.0,1013,33,10,68,13,Benin
2016-01-28,32,23,0.0,11.5,7,69,10:33 PM,10:11 AM,07:08 AM,06:57 PM,11,27,27,28,16,2,36,0.0,1012,32,10,84,11,Benin
2016-01-29,33,22,0.0,11.5,7,61,11:18 PM,10:52 AM,07:08 AM,06:58 PM,11,28,28,28,18,3,37,0.0,1011,33,10,157,12,Benin
2016-01-30,32,22,0.0,11.5,7,54,No moonrise,11:33 AM,07:08 AM,06:58 PM,12,28,28,28,15,1,39,0.0,1012,32,10,156,10,Benin
2016-01-31,34,22,0.0,11.5,7,50,12:02 AM,12:14 PM,07:08 AM,06:58 PM,14,30,30,30,13,0,41,0.0,1012,34,10,206,8,Benin
2016-02-01,32,23,0.0,11.5,7,34,12:47 AM,12:57 PM,07:08 AM,06:59 PM,21,31,31,28,15,0,67,0.0,1011,32,10,229,11,Benin
2016-02-02,32,23,0.0,11.5,7,26,01:34 AM,01:42 PM,07:08 AM,06:59 PM,23,32,32,29,14,1,75,0.0,1011,32,10,223,11,Benin
2016-02-03,31,24,0.0,11.5,7,18,02:22 AM,02:30 PM,07:08 AM,06:59 PM,23,30,30,27,18,14,81,0.0,1011,31,9,212,13,Benin
2016-02-04,32,24,0.0,11.5,7,11,03:13 AM,03:20 PM,07:08 AM,06:59 PM,24,31,31,28,15,24,81,0.0,1011,32,7,230,11,Benin
2016-02-05,34,24,0.0,11.6,7,3,04:05 AM,04:13 PM,07:08 AM,07:00 PM,23,32,32,29,18,11,74,0.0,1011,34,8,240,12,Benin
2016-02-06,34,24,0.0,11.6,7,0,04:59 AM,05:08 PM,07:08 AM,07:00 PM,24,33,33,29,17,7,77,0.0,1012,34,9,227,12,Benin
2016-02-07,31,24,0.0,11.6,7,0,05:53 AM,06:04 PM,07:07 AM,07:00 PM,24,31,31,27,17,24,82,0.0,1013,31,7,232,12,Benin
2016-02-08,32,25,0.0,11.6,7,0,06:47 AM,07:01 PM,07:07 AM,07:00 PM,24,31,31,28,18,29,80,0.0,1013,32,9,231,13,Benin
