date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,34,22,0.0,11.3,7,50,12:10 AM,12:30 PM,07:23 AM,06:49 PM,7,27,27,27,16,12,29,0.0,1013,34,10,185,9,Guinea-Bissau
2016-01-02,34,23,0.0,11.3,7,43,12:55 AM,01:10 PM,07:23 AM,06:50 PM,7,27,27,28,19,51,26,0.0,1012,34,10,117,11,Guinea-Bissau
2016-01-03,30,24,0.0,8.6,6,36,01:41 AM,01:49 PM,07:23 AM,06:50 PM,5,26,26,26,22,63,26,0.0,1013,30,10,28,13,Guinea-Bissau
2016-01-04,34,22,0.0,11.3,7,28,02:27 AM,02:30 PM,07:24 AM,06:51 PM,6,26,26,27,20,15,28,0.0,1012,34,10,91,12,Guinea-Bissau
2016-01-05,33,22,0.0,11.3,7,21,03:15 AM,03:14 PM,07:24 AM,06:51 PM,12,27,27,26,17,18,42,0.0,1013,33,10,113,9,Guinea-Bissau
2016-01-06,33,21,0.0,11.3,7,14,04:05 AM,04:00 PM,07:24 AM,06:52 PM,17,28,28,27,9,3,57,0.0,1013,33,10,222,5,Guinea-Bissau
2016-01-07,33,21,0.0,11.3,7,7,04:56 AM,04:48 PM,07:25 AM,06:52 PM,12,27,27,26,18,1,45,0.0,1014,33,10,179,10,Guinea-Bissau
2016-01-08,33,21,0.0,11.3,7,0,05:49 AM,05:41 PM,07:25 AM,06:53 PM,12,27,27,26,19,0,42,0.0,1014,33,10,204,11,Guinea-Bissau
2016-01-09,34,22,0.0,11.3,7,0,06:42 AM,06:35 PM,07:25 AM,06:53 PM,12,28,28,27,17,2,39,0.0,1014,34,10,180,10,Guinea-Bissau
2016-01-10,36,24,0.0,11.3,7,0,07:36 AM,07:32 PM,07:26 AM,06:54 PM,14,30,30,29,17,6,40,0.0,1012,36,10,124,10,Guinea-Bissau
2016-01-11,36,24,0.0,11.3,7,8,08:28 AM,08:29 PM,07:26 AM,06:55 PM,15,30,30,29,16,5,45,0.0,1011,36,10,130,10,Guinea-Bissau
