date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,28,18,0.0,14.0,6,50,11:52 PM,11:34 AM,05:14 AM,07:13 PM,12,24,24,23,15,22,50,4.5,1015,28,10,177,10,Lesotho
2016-01-02,30,16,0.0,14.0,6,43,No moonrise,12:25 PM,05:15 AM,07:13 PM,7,23,23,24,11,2,40,0.5,1016,30,10,156,8,Lesotho
2016-01-03,30,16,0.0,14.0,6,36,12:25 AM,01:16 PM,05:15 AM,07:14 PM,10,24,24,24,10,6,46,0.0,1017,30,10,180,7,Lesotho
2016-01-04,24,14,0.0,12.2,6,28,01:00 AM,02:08 PM,05:16 AM,07:14 PM,8,21,21,21,15,39,49,1.2,1015,24,10,178,10,Lesotho
2016-01-05,33,18,0.0,14.0,7,21,01:37 AM,03:01 PM,05:17 AM,07:14 PM,7,26,26,27,13,16,31,0.7,1014,33,10,189,9,Lesotho
2016-01-06,35,19,0.0,14.0,7,14,02:17 AM,03:55 PM,05:17 AM,07:14 PM,4,27,27,28,16,15,25,0.0,1010,35,10,120,11,Lesotho
2016-01-07,34,20,0.0,13.3,7,7,03:01 AM,04:49 PM,05:18 AM,07:14 PM,4,26,26,27,19,34,26,0.2,1011,34,10,220,14,Lesotho
2016-01-08,28,16,0.0,14.0,6,0,03:50 AM,05:44 PM,05:19 AM,07:14 PM,12,23,23,23,14,10,53,3.2,1016,28,10,162,10,Lesotho
2016-01-09,29,15,0.0,13.9,6,0,04:42 AM,06:36 PM,05:20 AM,07:14 PM,6,22,22,22,15,6,43,0.0,1016,29,10,174,10,Lesotho
2016-01-10,29,15,0.0,13.9,6,0,05:39 AM,07:27 PM,05:21 AM,07:14 PM,7,22,22,22,14,5,40,0.1,1015,29,10,143,9,Lesotho
2016-01-11,28,15,0.0,13.3,6,8,06:39 AM,08:15 PM,05:21 AM,07:14 PM,11,21,21,21,20,22,57,6.0,1015,28,9,92,15,Lesotho
2016-01-12,24,13,0.0,13.9,5,15,07:41 AM,09:00 PM,05:22 AM,07:14 PM,8,18,18,18,10,11,56,0.0,1015,24,10,129,7,Lesotho
2016-01-13,25,14,0.0,13.9,5,22,08:44 AM,09:44 PM,05:23 AM,07:14 PM,10,20,20,20,14,16,55,4.0,1013,25,10,183,9,Lesotho
2016-01-14,26,14,0.0,13.9,6,29,09:47 AM,10:25 PM,05:24 AM,07:14 PM,9,21,21,21,10,5,51,0.1,1011,26,10,205,7,Lesotho
2016-01-15,26,15,0.0,13.9,6,37,10:49 AM,11:06 PM,05:25 AM,07:14 PM,9,21,21,21,12,5,49,0.6,1015,26,10,159,7,Lesotho
2016-01-16,25,14,0.0,13.9,6,44,11:52 AM,11:48 PM,05:26 AM,07:14 PM,10,21,21,21,9,16,54,0.8,1019,25,10,183,6,Lesotho
2016-01-17,24,17,0.0,13.9,6,51,12:54 PM,No moonset,05:27 AM,07:14 PM,13,20,21,20,10,32,62,2.8,1018,24,10,250,7,Lesotho
2016-01-18,23,15,0.0,13.9,5,59,01:57 PM,12:31 AM,05:27 AM,07:13 PM,13,19,20,19,9,34,71,1.5,1016,23,10,193,6,Lesotho
2016-01-19,25,14,0.0,13.9,5,66,02:58 PM,01:17 AM,05:28 AM,07:13 PM,13,20,20,20,11,29,68,3.0,1014,25,10,215,8,Lesotho
2016-01-20,24,15,0.0,13.8,5,73,03:58 PM,02:05 AM,05:29 AM,07:13 PM,13,20,21,20,8,20,63,2.3,1014,24,10,195,6,Lesotho
2016-01-21,25,16,0.0,13.8,6,80,04:55 PM,02:58 AM,05:30 AM,07:13 PM,13,20,21,20,10,32,65,1.4,1015,25,9,192,8,Lesotho
2016-01-22,22,15,0.0,13.3,5,88,05:49 PM,03:53 AM,05:31 AM,07:12 PM,14,18,18,18,6,47,76,2.3,1016,22,9,205,5,Lesotho
2016-01-23,23,14,0.0,13.8,5,95,06:38 PM,04:49 AM,05:32 AM,07:12 PM,14,19,20,19,10,44,75,5.0,1015,23,10,173,7,Lesotho
2016-01-24,19,15,0.0,11.0,5,100,07:23 PM,05:46 AM,05:33 AM,07:12 PM,15,17,17,17,12,58,84,12.0,1012,19,9,178,8,Lesotho
2016-01-25,25,14,0.0,13.8,5,100,08:03 PM,06:42 AM,05:33 AM,07:11 PM,10,19,19,19,11,17,58,0.1,1012,25,10,162,8,Lesotho
2016-01-26,24,13,0.0,13.8,5,83,08:41 PM,07:38 AM,05:34 AM,07:11 PM,9,19,19,19,15,7,53,0.4,1016,24,10,212,11,Lesotho
2016-01-27,25,13,0.0,13.8,5,76,09:17 PM,08:31 AM,05:35 AM,07:10 PM,8,19,19,19,16,4,50,0.4,1016,25,10,192,10,Lesotho
2016-01-28,27,15,0.0,13.7,6,69,09:51 PM,09:24 AM,05:36 AM,07:10 PM,8,21,21,21,13,4,46,0.5,1016,27,10,190,9,Lesotho
2016-01-29,27,15,0.0,13.7,6,61,10:24 PM,10:15 AM,05:37 AM,07:09 PM,10,21,22,21,14,5,49,0.2,1019,27,10,153,10,Lesotho
2016-01-30,27,16,0.0,13.7,6,54,10:58 PM,11:07 AM,05:38 AM,07:09 PM,10,22,22,22,12,8,50,0.3,1020,27,10,179,8,Lesotho
2016-01-31,29,15,0.0,13.7,6,50,11:34 PM,11:58 AM,05:39 AM,07:08 PM,9,22,22,23,12,4,44,0.1,1018,29,10,134,8,Lesotho
2016-02-01,28,15,0.0,13.7,6,34,No moonrise,12:50 PM,05:39 AM,07:08 PM,8,22,22,22,11,4,41,0.0,1015,28,10,141,8,Lesotho
2016-02-02,29,15,0.0,13.7,6,26,12:12 AM,01:43 PM,05:40 AM,07:07 PM,8,22,23,22,12,3,43,0.9,1012,29,10,159,8,Lesotho
2016-02-03,29,16,0.0,13.7,6,18,12:53 AM,02:36 PM,05:41 AM,07:06 PM,10,22,22,22,18,7,48,0.0,1011,29,10,207,12,Lesotho
2016-02-04,24,14,0.0,13.6,5,11,01:39 AM,03:30 PM,05:42 AM,07:06 PM,10,19,20,19,14,10,57,0.5,1013,24,10,190,10,Lesotho
2016-02-05,25,10,0.0,13.6,5,3,02:29 AM,04:23 PM,05:43 AM,07:05 PM,6,18,18,18,9,5,48,0.0,1017,25,10,186,6,Lesotho
2016-02-06,27,12,0.0,13.6,5,0,03:24 AM,05:15 PM,05:44 AM,07:04 PM,6,20,20,20,13,5,40,0.0,1014,27,10,162,9,Lesotho
2016-02-07,28,13,0.0,13.6,6,0,04:22 AM,06:05 PM,05:45 AM,07:04 PM,1,22,21,22,12,0,31,0.0,1014,28,10,161,8,Lesotho
2016-02-08,27,12,0.0,13.6,5,0,05:25 AM,06:52 PM,05:45 AM,07:03 PM,6,20,20,20,13,1,41,0.0,1016,27,10,172,9,Lesotho
2016-02-09,27,12,0.0,13.6,5,4,06:28 AM,07:38 PM,05:46 AM,07:02 PM,6,20,20,20,13,2,43,0.0,1015,27,10,163,9,Lesotho
2016-02-10,28,13,0.0,13.5,6,12,07:33 AM,08:21 PM,05:47 AM,07:01 PM,6,21,21,21,13,3,42,0.0,1013,28,10,142,9,Lesotho
2016-02-11,29,12,0.0,13.5,6,19,08:38 AM,09:04 PM,05:48 AM,07:01 PM,3,22,21,22,12,0,30,0.0,1011,29,10,150,8,Lesotho
2016-02-12,31,14,0.0,13.5,6,27,09:43 AM,09:47 PM,05:49 AM,07:00 PM,2,22,22,23,11,3,28,0.0,1011,31,10,145,7,Lesotho
2016-02-13,30,15,0.0,13.1,6,34,10:47 AM,10:30 PM,05:49 AM,06:59 PM,3,22,22,23,14,23,30,0.4,1010,30,10,145,10,Lesotho
2016-02-14,29,14,0.0,13.1,6,42,11:51 AM,11:16 PM,05:50 AM,06:58 PM,8,22,22,22,18,7,43,0.3,1011,29,10,152,12,Lesotho
2016-02-15,27,14,0.0,13.1,6,49,12:53 PM,No moonset,05:51 AM,06:57 PM,11,21,21,21,19,13,57,2.2,1013,27,10,154,13,Lesotho
2016-02-16,26,15,0.0,13.0,6,57,01:53 PM,12:04 AM,05:52 AM,06:56 PM,12,21,22,21,14,26,60,0.0,1016,26,10,135,9,Lesotho
2016-02-17,25,16,0.0,13.0,6,64,02:50 PM,12:54 AM,05:52 AM,06:55 PM,13,21,22,21,13,22,64,6.3,1020,25,10,130,10,Lesotho
2016-02-18,23,16,0.0,13.0,5,72,03:44 PM,01:47 AM,05:53 AM,06:55 PM,15,19,20,19,17,32,76,6.3,1015,23,9,159,11,Lesotho
2016-02-19,26,14,0.0,13.0,5,79,04:33 PM,02:42 AM,05:54 AM,06:54 PM,14,19,20,19,16,22,72,7.9,1011,26,10,154,11,Lesotho
2016-02-20,25,13,0.0,13.0,5,87,05:19 PM,03:38 AM,05:55 AM,06:53 PM,9,19,19,19,15,7,57,5.5,1011,25,10,197,11,Lesotho
2016-02-21,25,11,0.0,13.0,5,95,06:00 PM,04:33 AM,05:55 AM,06:52 PM,3,18,18,18,14,0,40,0.0,1013,25,10,169,10,Lesotho
2016-02-22,24,11,0.0,13.0,5,100,06:39 PM,05:29 AM,05:56 AM,06:51 PM,3,19,18,19,8,3,38,0.0,1015,24,10,185,5,Lesotho
2016-02-23,25,13,0.0,12.9,5,100,07:15 PM,06:22 AM,05:57 AM,06:50 PM,11,19,19,19,14,19,60,0.1,1017,25,10,113,9,Lesotho
2016-02-24,26,15,0.0,12.9,5,83,07:50 PM,07:16 AM,05:58 AM,06:49 PM,13,21,21,21,11,26,63,1.6,1018,26,10,208,7,Lesotho
2016-02-25,24,15,0.0,12.9,5,75,08:23 PM,08:07 AM,05:58 AM,06:48 PM,13,20,20,20,7,30,67,0.0,1016,24,10,142,5,Lesotho
2016-02-26,27,14,0.0,12.9,5,68,08:58 PM,08:59 AM,05:59 AM,06:47 PM,12,20,20,20,11,10,62,0.1,1012,27,10,136,8,Lesotho
