date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,25,17,0.0,13.1,6,50,11:31 PM,11:11 AM,05:16 AM,06:30 PM,18,21,22,21,13,50,84,5.7,1012,25,8,248,9,Madagascar
2016-01-02,25,17,0.0,13.2,6,43,No moonrise,11:59 AM,05:16 AM,06:31 PM,17,21,22,21,14,24,82,1.3,1013,25,10,277,10,Madagascar
2016-01-03,26,15,0.0,13.1,6,36,12:08 AM,12:46 PM,05:17 AM,06:31 PM,16,21,22,21,11,11,73,0.0,1013,26,10,238,8,Madagascar
2016-01-04,22,17,0.0,12.0,4,28,12:46 AM,01:36 PM,05:18 AM,06:31 PM,17,19,20,19,16,64,88,4.6,1012,22,7,173,12,Madagascar
2016-01-05,25,18,0.0,13.1,6,21,01:26 AM,02:25 PM,05:18 AM,06:32 PM,17,21,22,21,18,53,79,2.5,1015,25,8,135,14,Madagascar
2016-01-06,23,17,0.0,13.1,5,14,02:08 AM,03:17 PM,05:19 AM,06:32 PM,16,19,20,19,22,49,81,0.0,1016,23,10,114,17,Madagascar
2016-01-07,24,14,0.0,13.1,5,7,02:54 AM,04:09 PM,05:20 AM,06:32 PM,15,19,20,19,17,39,81,0.0,1017,24,9,108,12,Madagascar
2016-01-08,24,16,0.0,13.1,5,0,03:44 AM,05:03 PM,05:20 AM,06:32 PM,17,20,21,20,10,50,83,3.2,1016,24,8,84,7,Madagascar
2016-01-09,24,17,0.0,13.1,5,0,04:36 AM,05:56 PM,05:21 AM,06:33 PM,16,20,21,20,12,51,79,0.1,1014,24,9,92,8,Madagascar
2016-01-10,25,16,0.0,13.1,6,0,05:33 AM,06:48 PM,05:22 AM,06:33 PM,17,21,22,21,12,46,81,6.9,1014,25,6,121,8,Madagascar
2016-01-11,26,18,0.0,13.1,6,8,06:30 AM,07:40 PM,05:22 AM,06:33 PM,18,21,22,21,13,41,81,14.5,1014,26,8,282,9,Madagascar
2016-01-12,25,17,0.0,12.0,6,15,07:29 AM,08:28 PM,05:23 AM,06:33 PM,18,21,21,21,12,61,86,26.3,1014,25,7,156,8,Madagascar
2016-01-13,24,17,0.0,10.7,5,22,08:28 AM,09:15 PM,05:24 AM,06:33 PM,18,20,20,20,19,64,88,17.3,1014,24,7,104,14,Madagascar
2016-01-14,24,18,0.0,13.1,6,29,09:27 AM,10:01 PM,05:24 AM,06:33 PM,18,21,22,21,15,59,86,10.2,1013,24,5,86,10,Madagascar
2016-01-15,26,17,0.0,13.1,6,37,10:25 AM,10:46 PM,05:25 AM,06:33 PM,18,21,22,21,8,43,83,2.5,1013,26,7,107,5,Madagascar
2016-01-16,26,18,0.0,13.1,5,44,11:24 AM,11:32 PM,05:25 AM,06:33 PM,19,22,23,22,8,61,84,13.4,1011,26,7,167,5,Madagascar
2016-01-17,24,19,0.0,13.1,6,51,12:22 PM,No moonset,05:26 AM,06:33 PM,18,21,22,21,15,61,87,18.6,1011,24,7,87,11,Madagascar
2016-01-18,20,18,0.0,10.7,4,59,01:21 PM,12:18 AM,05:27 AM,06:33 PM,18,19,19,19,10,66,93,8.3,1011,20,7,79,7,Madagascar
2016-01-19,22,17,0.0,12.0,5,66,02:20 PM,01:07 AM,05:27 AM,06:33 PM,17,19,19,19,21,66,90,1.6,1011,22,7,100,15,Madagascar
2016-01-20,23,16,0.0,10.7,4,73,03:18 PM,01:58 AM,05:28 AM,06:33 PM,16,19,20,19,23,69,86,0.5,1013,23,10,97,17,Madagascar
2016-01-21,23,16,0.0,13.0,5,80,04:14 PM,02:52 AM,05:29 AM,06:33 PM,16,19,20,19,17,57,85,1.0,1014,23,8,93,13,Madagascar
2016-01-22,25,16,0.0,12.0,5,88,05:09 PM,03:47 AM,05:29 AM,06:33 PM,17,20,21,20,9,56,85,9.6,1013,25,6,78,6,Madagascar
2016-01-23,25,18,0.0,13.0,6,95,06:00 PM,04:42 AM,05:30 AM,06:33 PM,17,21,22,21,10,45,81,7.1,1013,25,8,120,7,Madagascar
2016-01-24,25,16,0.0,13.0,5,100,06:47 PM,05:38 AM,05:31 AM,06:33 PM,16,20,21,20,15,26,80,0.4,1015,25,8,108,11,Madagascar
2016-01-25,25,16,0.0,13.0,6,100,07:31 PM,06:31 AM,05:31 AM,06:33 PM,17,21,21,21,8,40,81,0.6,1014,25,7,192,5,Madagascar
2016-01-26,26,16,0.0,13.0,6,83,08:12 PM,07:24 AM,05:32 AM,06:33 PM,17,21,22,21,10,24,80,0.9,1014,26,8,112,7,Madagascar
2016-01-27,25,15,0.0,13.0,5,76,08:51 PM,08:14 AM,05:32 AM,06:32 PM,16,20,21,20,22,26,80,0.0,1014,25,9,119,16,Madagascar
2016-01-28,25,14,0.0,13.0,5,69,09:29 PM,09:03 AM,05:33 AM,06:32 PM,16,20,21,20,24,24,81,0.0,1015,25,10,124,16,Madagascar
2016-01-29,25,17,0.0,13.0,6,61,10:05 PM,09:51 AM,05:34 AM,06:32 PM,17,21,22,21,21,37,83,0.0,1015,25,8,118,15,Madagascar
2016-01-30,25,18,0.0,13.0,6,54,10:43 PM,10:39 AM,05:34 AM,06:32 PM,17,20,21,20,28,48,80,0.0,1015,25,10,127,21,Madagascar
