date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,29,27,0.0,13.2,7,50,11:50 PM,11:30 AM,05:34 AM,06:53 PM,24,32,32,28,39,50,79,5.1,1009,29,10,22,28,Mauritius
2016-01-02,29,27,0.0,13.2,7,43,No moonrise,12:17 PM,05:34 AM,06:53 PM,25,32,32,28,29,44,82,0.0,1008,29,10,318,22,Mauritius
2016-01-03,28,27,0.0,13.2,7,36,12:26 AM,01:06 PM,05:35 AM,06:54 PM,24,31,31,28,24,48,80,0.1,1007,28,10,240,18,Mauritius
2016-01-04,28,26,0.0,10.7,6,28,01:04 AM,01:55 PM,05:35 AM,06:54 PM,22,30,30,27,25,59,77,1.7,1012,28,10,126,18,Mauritius
2016-01-05,29,26,0.0,13.2,7,21,01:44 AM,02:45 PM,05:36 AM,06:54 PM,22,30,30,27,26,36,74,2.4,1012,29,10,147,18,Mauritius
2016-01-06,28,26,0.0,13.2,7,14,02:26 AM,03:37 PM,05:37 AM,06:55 PM,21,29,29,27,32,35,73,0.0,1013,28,10,137,23,Mauritius
2016-01-07,29,25,0.0,13.2,7,7,03:11 AM,04:30 PM,05:37 AM,06:55 PM,22,30,30,27,33,44,76,0.1,1014,29,10,118,24,Mauritius
2016-01-08,29,26,0.0,13.2,7,0,04:00 AM,05:23 PM,05:38 AM,06:55 PM,23,31,31,27,31,42,77,0.2,1013,29,10,109,23,Mauritius
2016-01-09,28,26,0.0,13.2,7,0,04:53 AM,06:16 PM,05:39 AM,06:55 PM,22,30,30,27,35,36,76,0.0,1012,28,10,113,26,Mauritius
2016-01-10,29,26,0.0,13.2,7,0,05:49 AM,07:09 PM,05:39 AM,06:55 PM,23,31,31,27,27,34,77,0.2,1012,29,10,102,20,Mauritius
2016-01-11,30,26,0.0,13.2,7,8,06:47 AM,07:59 PM,05:40 AM,06:55 PM,23,31,31,28,21,35,78,0.4,1012,30,10,94,15,Mauritius
2016-01-12,29,26,0.0,13.2,7,15,07:47 AM,08:48 PM,05:41 AM,06:56 PM,23,31,31,28,17,27,75,0.1,1012,29,10,112,12,Mauritius
2016-01-13,29,26,0.0,13.2,7,22,08:46 AM,09:35 PM,05:41 AM,06:56 PM,23,31,31,27,27,39,76,0.0,1011,29,10,111,19,Mauritius
2016-01-14,28,26,0.0,13.1,7,29,09:45 AM,10:20 PM,05:42 AM,06:56 PM,23,30,30,27,32,51,77,0.0,1012,28,10,112,24,Mauritius
2016-01-15,29,26,0.0,13.1,7,37,10:44 AM,11:05 PM,05:43 AM,06:56 PM,23,31,31,27,29,41,76,0.0,1011,29,10,113,21,Mauritius
2016-01-16,30,27,0.0,12.0,7,44,11:43 AM,11:50 PM,05:43 AM,06:56 PM,23,31,31,28,15,52,75,0.0,1009,30,10,112,11,Mauritius
2016-01-17,29,26,0.0,13.1,7,51,12:42 PM,No moonset,05:44 AM,06:56 PM,22,30,30,28,10,35,71,0.1,1008,29,10,169,7,Mauritius
2016-01-18,29,26,0.0,13.1,7,59,01:41 PM,12:36 AM,05:45 AM,06:56 PM,22,30,30,28,8,27,70,0.1,1007,29,10,206,6,Mauritius
2016-01-19,30,26,0.0,13.1,7,66,02:40 PM,01:25 AM,05:45 AM,06:56 PM,22,30,30,28,7,36,70,0.0,1007,30,10,253,6,Mauritius
