date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,20,12,0.0,10.0,5,50,12:30 AM,12:54 PM,08:33 AM,06:28 PM,12,16,16,16,14,1,77,0.0,1025,20,10,208,9,Morocco
2016-01-02,20,13,0.0,10.0,5,43,01:24 AM,01:26 PM,08:33 AM,06:29 PM,12,15,16,15,19,8,79,0.0,1026,20,10,225,11,Morocco
2016-01-03,20,14,0.0,8.3,5,36,02:17 AM,01:58 PM,08:33 AM,06:30 PM,13,16,16,16,27,50,79,0.1,1025,20,10,222,17,Morocco
2016-01-04,18,12,0.0,8.3,4,28,03:10 AM,02:32 PM,08:33 AM,06:31 PM,10,14,15,14,22,46,74,0.2,1024,18,10,179,13,Morocco
2016-01-05,17,13,0.0,5.0,4,21,04:04 AM,03:10 PM,08:33 AM,06:32 PM,12,15,15,15,26,79,78,0.8,1020,17,9,233,17,Morocco
2016-01-06,17,13,0.0,10.0,4,14,04:59 AM,03:51 PM,08:33 AM,06:32 PM,8,14,15,14,13,29,67,0.3,1025,17,10,213,8,Morocco
2016-01-07,19,11,0.0,10.0,4,7,05:55 AM,04:36 PM,08:33 AM,06:33 PM,9,15,15,15,11,1,67,0.0,1023,19,10,77,7,Morocco
2016-01-08,22,14,0.0,10.0,5,0,06:49 AM,05:27 PM,08:33 AM,06:34 PM,9,17,18,17,25,30,61,0.6,1018,22,10,213,14,Morocco
2016-01-09,19,16,0.0,10.0,5,0,07:43 AM,06:22 PM,08:33 AM,06:35 PM,14,17,17,17,29,60,80,1.7,1018,19,10,237,19,Morocco
2016-01-10,18,14,0.0,6.7,4,0,08:34 AM,07:23 PM,08:33 AM,06:36 PM,13,16,16,16,28,59,81,0.1,1020,18,10,212,18,Morocco
2016-01-11,19,13,0.0,10.0,5,8,09:22 AM,08:25 PM,08:33 AM,06:37 PM,11,15,16,15,26,13,77,0.0,1022,19,10,224,17,Morocco
2016-01-12,19,13,0.0,10.1,5,15,10:06 AM,09:30 PM,08:33 AM,06:38 PM,12,15,16,15,21,21,79,0.0,1023,19,10,103,13,Morocco
2016-01-13,20,12,0.0,10.0,4,22,10:48 AM,10:34 PM,08:33 AM,06:39 PM,12,15,16,15,11,16,78,0.0,1022,20,10,72,6,Morocco
2016-01-14,22,14,0.0,10.1,5,29,11:29 AM,11:40 PM,08:33 AM,06:40 PM,9,16,17,16,14,11,63,0.0,1022,22,10,229,8,Morocco
2016-01-15,18,13,0.0,5.0,3,37,12:07 PM,No moonset,08:33 AM,06:40 PM,12,15,15,15,18,66,83,0.2,1025,18,10,197,11,Morocco
2016-01-16,18,10,0.0,10.1,4,44,12:47 PM,12:44 AM,08:32 AM,06:41 PM,8,12,13,12,27,4,74,0.0,1025,18,10,61,17,Morocco
2016-01-17,20,10,0.0,6.7,3,51,01:27 PM,01:49 AM,08:32 AM,06:42 PM,7,13,14,13,17,58,63,0.0,1023,20,10,55,9,Morocco
2016-01-18,19,12,0.0,10.1,4,59,02:10 PM,02:53 AM,08:32 AM,06:43 PM,8,14,14,14,13,31,67,0.0,1023,19,10,45,8,Morocco
2016-01-19,19,11,0.0,10.1,4,66,02:56 PM,03:57 AM,08:31 AM,06:44 PM,10,14,14,14,11,8,77,0.0,1021,19,10,71,7,Morocco
2016-01-20,18,12,0.0,10.1,4,73,03:46 PM,04:59 AM,08:31 AM,06:45 PM,11,15,15,15,24,32,78,0.5,1021,18,10,223,14,Morocco
2016-01-21,20,14,0.0,8.3,4,80,04:39 PM,05:58 AM,08:31 AM,06:46 PM,13,16,16,16,17,72,84,0.1,1024,20,9,224,11,Morocco
2016-01-22,21,14,0.0,10.2,5,88,05:36 PM,06:53 AM,08:30 AM,06:47 PM,13,17,17,17,16,21,81,0.0,1026,21,10,89,9,Morocco
2016-01-23,22,14,0.0,10.0,5,95,06:33 PM,07:43 AM,08:30 AM,06:48 PM,13,18,18,18,11,27,75,0.0,1028,22,10,182,6,Morocco
2016-01-24,23,15,0.0,10.0,5,100,07:32 PM,08:28 AM,08:29 AM,06:49 PM,11,18,19,18,14,55,66,0.0,1029,23,10,123,8,Morocco
2016-01-25,21,14,0.0,10.2,5,100,08:29 PM,09:09 AM,08:29 AM,06:50 PM,12,17,17,17,12,38,74,0.0,1030,21,10,245,7,Morocco
2016-01-26,18,12,0.0,10.0,4,83,09:25 PM,09:46 AM,08:28 AM,06:51 PM,11,15,15,15,11,32,77,0.0,1031,18,10,250,7,Morocco
2016-01-27,17,12,0.0,10.2,4,76,10:20 PM,10:21 AM,08:28 AM,06:52 PM,9,14,14,14,15,30,74,0.0,1029,17,10,52,9,Morocco
2016-01-28,17,10,0.0,10.3,4,69,11:14 PM,10:53 AM,08:27 AM,06:53 PM,9,13,13,13,17,37,75,0.0,1028,17,10,60,10,Morocco
2016-01-29,17,11,0.0,10.3,4,61,No moonrise,11:26 AM,08:27 AM,06:54 PM,9,13,14,13,14,43,76,0.0,1029,17,10,134,9,Morocco
2016-01-30,17,12,0.0,10.3,4,54,12:07 AM,11:58 AM,08:26 AM,06:55 PM,9,14,14,14,14,37,72,0.0,1033,17,10,129,9,Morocco
2016-01-31,18,11,0.0,10.3,4,50,01:00 AM,12:31 PM,08:25 AM,06:56 PM,9,13,14,13,22,5,73,0.0,1033,18,10,52,13,Morocco
2016-02-01,20,10,0.0,10.3,4,34,01:53 AM,01:06 PM,08:25 AM,06:57 PM,9,14,15,14,16,2,70,0.0,1029,20,10,102,9,Morocco
2016-02-02,20,12,0.0,10.3,4,26,02:47 AM,01:45 PM,08:24 AM,06:58 PM,12,17,17,17,9,0,74,0.0,1027,20,10,256,6,Morocco
2016-02-03,19,12,0.0,10.4,4,18,03:41 AM,02:27 PM,08:23 AM,06:59 PM,11,15,15,15,12,28,77,0.0,1026,19,10,187,7,Morocco
2016-02-04,23,12,0.0,6.9,4,11,04:35 AM,03:15 PM,08:22 AM,07:00 PM,9,16,17,16,17,71,64,0.0,1024,23,10,78,9,Morocco
2016-02-05,22,14,0.0,6.9,4,3,05:29 AM,04:07 PM,08:22 AM,07:01 PM,8,17,18,17,17,74,54,0.0,1023,22,10,198,9,Morocco
2016-02-06,21,14,0.0,10.8,5,0,06:21 AM,05:05 PM,08:21 AM,07:02 PM,10,17,17,17,16,29,64,0.0,1024,21,10,228,10,Morocco
2016-02-07,19,14,0.0,10.8,5,0,07:11 AM,06:07 PM,08:20 AM,07:03 PM,12,15,16,15,22,32,81,0.1,1029,19,10,256,15,Morocco
2016-02-08,19,13,0.0,10.9,5,0,07:58 AM,07:13 PM,08:19 AM,07:04 PM,12,15,15,15,14,31,83,0.0,1030,19,10,122,10,Morocco
2016-02-09,19,10,0.0,10.1,4,4,08:43 AM,08:19 PM,08:18 AM,07:05 PM,10,15,14,15,10,32,78,0.0,1031,19,10,236,6,Morocco
2016-02-10,19,12,0.0,10.9,4,12,09:25 AM,09:27 PM,08:17 AM,07:06 PM,12,15,15,15,12,25,81,0.0,1028,19,10,248,7,Morocco
2016-02-11,19,15,0.0,7.0,4,19,10:06 AM,10:33 PM,08:16 AM,07:07 PM,14,16,16,16,15,78,86,0.0,1024,19,9,239,11,Morocco
2016-02-12,20,14,0.0,8.5,4,27,10:46 AM,11:40 PM,08:16 AM,07:08 PM,14,17,17,17,16,47,86,0.1,1025,20,10,239,10,Morocco
2016-02-13,18,15,0.0,5.5,4,34,11:28 AM,No moonset,08:15 AM,07:09 PM,14,16,16,16,27,83,86,0.2,1024,18,9,234,17,Morocco
2016-02-14,17,14,0.0,5.5,4,42,12:10 PM,12:46 AM,08:14 AM,07:10 PM,12,15,16,15,44,90,79,3.3,1022,17,10,264,30,Morocco
2016-02-15,14,11,0.0,11.0,3,49,12:55 PM,01:51 AM,08:13 AM,07:11 PM,8,10,12,10,45,32,73,2.4,1021,14,10,333,29,Morocco
2016-02-16,13,9,0.0,11.0,4,57,01:44 PM,02:53 AM,08:12 AM,07:12 PM,4,10,11,10,19,6,63,0.0,1025,13,10,237,12,Morocco
2016-02-17,14,7,0.0,10.1,4,64,02:35 PM,03:52 AM,08:11 AM,07:13 PM,4,9,11,9,18,19,63,0.0,1027,14,10,214,11,Morocco
2016-02-18,13,9,0.0,7.0,4,72,03:30 PM,04:47 AM,08:09 AM,07:14 PM,7,9,11,9,26,59,76,0.0,1020,13,10,174,16,Morocco
2016-02-19,18,10,0.0,7.1,3,79,04:25 PM,05:38 AM,08:08 AM,07:15 PM,8,12,13,12,27,85,72,0.0,1015,18,10,40,18,Morocco
2016-02-20,20,11,0.0,11.1,5,87,05:23 PM,06:24 AM,08:07 AM,07:15 PM,5,14,15,14,28,53,52,0.0,1017,20,10,70,16,Morocco
2016-02-21,22,11,0.0,11.1,5,95,06:19 PM,07:06 AM,08:06 AM,07:16 PM,5,15,16,15,20,8,51,1.1,1018,22,10,196,11,Morocco
