date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,32,19,0.0,13.8,7,50,11:49 PM,11:31 AM,05:19 AM,07:02 PM,12,26,26,26,17,16,43,0.8,1013,32,10,181,12,South_Africa
2016-01-02,31,21,0.0,13.8,5,43,No moonrise,12:20 PM,05:20 AM,07:02 PM,15,26,26,25,12,20,58,2.9,1015,31,10,144,8,South_Africa
2016-01-03,31,18,0.0,13.8,6,36,12:24 AM,01:11 PM,05:20 AM,07:03 PM,12,25,25,25,15,10,49,0.0,1017,31,10,83,10,South_Africa
2016-01-04,29,18,0.0,12.2,6,28,01:00 AM,02:02 PM,05:21 AM,07:03 PM,13,25,25,24,12,40,55,1.7,1014,29,10,145,8,South_Africa
2016-01-05,34,20,0.0,13.8,7,21,01:39 AM,02:53 PM,05:22 AM,07:03 PM,9,28,28,29,11,14,33,1.2,1015,34,10,150,7,South_Africa
2016-01-06,36,19,0.0,13.8,7,14,02:19 AM,03:47 PM,05:23 AM,07:03 PM,8,29,29,29,16,0,28,0.0,1011,36,10,197,11,South_Africa
2016-01-07,37,20,0.0,13.8,7,7,03:04 AM,04:40 PM,05:23 AM,07:03 PM,7,29,29,29,16,14,26,0.0,1009,37,10,162,11,South_Africa
2016-01-08,34,19,0.0,13.8,7,0,03:53 AM,05:34 PM,05:24 AM,07:03 PM,13,26,26,26,31,23,53,2.0,1014,34,10,134,22,South_Africa
2016-01-09,29,18,0.0,13.3,6,0,04:46 AM,06:27 PM,05:25 AM,07:04 PM,16,24,24,23,18,24,69,1.2,1016,29,10,41,14,South_Africa
2016-01-10,29,17,0.0,13.8,6,0,05:42 AM,07:19 PM,05:26 AM,07:04 PM,15,24,24,24,16,13,61,1.3,1015,29,10,78,11,South_Africa
2016-01-11,28,17,0.0,13.8,6,8,06:41 AM,08:07 PM,05:26 AM,07:04 PM,15,24,24,23,23,22,62,0.6,1015,28,10,81,16,South_Africa
2016-01-12,26,18,0.0,13.8,6,15,07:43 AM,08:54 PM,05:27 AM,07:04 PM,16,22,23,22,19,20,68,5.9,1014,26,10,139,14,South_Africa
2016-01-13,29,18,0.0,13.8,6,22,08:44 AM,09:39 PM,05:28 AM,07:04 PM,15,25,25,24,12,16,60,1.6,1012,29,10,175,9,South_Africa
2016-01-14,27,19,0.0,13.8,6,29,09:45 AM,10:21 PM,05:29 AM,07:04 PM,15,23,23,23,12,23,64,0.6,1011,27,10,267,10,South_Africa
2016-01-15,28,18,0.0,13.8,6,37,10:46 AM,11:04 PM,05:29 AM,07:04 PM,15,23,23,23,16,20,61,1.9,1013,28,10,72,11,South_Africa
2016-01-16,26,18,0.0,13.7,6,44,11:48 AM,11:47 PM,05:30 AM,07:04 PM,14,21,22,21,21,43,66,1.1,1018,26,10,78,16,South_Africa
