date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,30,20,0.0,11.6,7,50,No moonrise,12:00 PM,06:26 AM,06:55 PM,20,27,27,25,4,29,72,6.8,1014,30,10,123,3,Tanzania
2016-01-02,31,20,0.0,11.6,7,43,12:21 AM,12:43 PM,06:26 AM,06:55 PM,19,27,27,25,8,27,72,9.6,1014,31,9,70,5,Tanzania
2016-01-03,32,20,0.0,11.6,7,36,01:02 AM,01:28 PM,06:27 AM,06:55 PM,18,27,27,26,10,25,65,0.1,1012,32,10,71,6,Tanzania
2016-01-04,28,18,0.0,8.9,6,28,01:44 AM,02:13 PM,06:27 AM,06:56 PM,18,24,24,23,8,58,74,3.0,1012,28,9,139,5,Tanzania
2016-01-05,31,22,0.0,11.6,7,21,02:26 AM,03:00 PM,06:28 AM,06:56 PM,17,27,27,26,12,32,63,0.0,1013,31,10,95,8,Tanzania
2016-01-06,31,18,0.0,11.6,6,14,03:12 AM,03:49 PM,06:28 AM,06:57 PM,17,26,26,25,12,23,65,0.0,1013,31,9,73,8,Tanzania
2016-01-07,31,19,0.0,11.6,6,7,04:00 AM,04:40 PM,06:29 AM,06:57 PM,18,26,26,25,10,22,66,1.2,1014,31,10,72,6,Tanzania
2016-01-08,32,19,0.0,11.6,7,0,04:51 AM,05:33 PM,06:29 AM,06:57 PM,18,27,27,25,10,40,67,0.9,1014,32,10,67,6,Tanzania
2016-01-09,32,19,0.0,11.6,5,0,05:44 AM,06:27 PM,06:30 AM,06:58 PM,19,27,27,25,6,36,71,3.6,1012,32,10,114,4,Tanzania
2016-01-10,22,20,0.0,7.5,5,0,06:39 AM,07:21 PM,06:30 AM,06:58 PM,20,21,23,21,4,79,93,23.5,1014,22,5,172,3,Tanzania
2016-01-11,22,20,0.0,6.1,5,8,07:35 AM,08:14 PM,06:31 AM,06:58 PM,20,21,22,21,4,85,95,9.1,1015,22,8,186,3,Tanzania
2016-01-12,25,19,0.0,8.9,5,15,08:30 AM,09:07 PM,06:31 AM,06:59 PM,19,21,22,21,6,62,87,0.8,1015,25,7,88,4,Tanzania
2016-01-13,29,18,0.0,11.6,6,22,09:26 AM,09:58 PM,06:32 AM,06:59 PM,18,24,24,23,8,27,72,0.0,1012,29,10,76,5,Tanzania
2016-01-14,30,18,0.0,11.6,6,29,10:20 AM,10:48 PM,06:32 AM,06:59 PM,18,24,24,23,11,33,77,0.0,1012,30,9,160,7,Tanzania
2016-01-15,30,18,0.0,10.3,6,37,11:14 AM,11:38 PM,06:33 AM,07:00 PM,19,25,25,24,6,37,76,1.6,1012,30,10,145,4,Tanzania
2016-01-16,31,19,0.0,11.6,5,44,12:08 PM,No moonset,06:33 AM,07:00 PM,20,26,26,24,7,35,78,4.8,1012,31,9,84,4,Tanzania
2016-01-17,28,20,0.0,10.3,5,51,01:02 PM,12:27 AM,06:34 AM,07:00 PM,20,25,25,23,7,50,83,12.2,1012,28,9,208,5,Tanzania
2016-01-18,24,20,0.0,7.6,5,59,01:57 PM,01:18 AM,06:34 AM,07:00 PM,20,21,22,21,7,60,91,10.5,1012,24,8,229,5,Tanzania
2016-01-19,27,19,0.0,10.3,5,66,02:53 PM,02:10 AM,06:34 AM,07:00 PM,20,22,23,22,6,56,87,1.5,1012,27,7,235,4,Tanzania
2016-01-20,24,20,0.0,9.0,6,73,03:49 PM,03:04 AM,06:35 AM,07:01 PM,20,21,22,21,7,77,92,30.7,1013,24,5,167,5,Tanzania
2016-01-21,24,19,0.0,10.3,5,80,04:45 PM,03:59 AM,06:35 AM,07:01 PM,19,21,22,21,7,48,89,1.8,1014,24,6,220,5,Tanzania
2016-01-22,29,19,0.0,10.3,6,88,05:40 PM,04:54 AM,06:36 AM,07:01 PM,20,24,24,23,6,38,83,2.1,1012,29,8,172,4,Tanzania
2016-01-23,25,19,0.0,6.3,5,95,06:32 PM,05:49 AM,06:36 AM,07:01 PM,20,21,22,21,9,63,91,6.2,1013,25,7,169,5,Tanzania
