date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,26,25,0.0,11.1,7,20,09:22 AM,09:11 PM,07:01 AM,06:10 PM,19,27,27,25,29,21,68,0.0,1015,26,10,58,21,Cape_Verde
2017-01-02,25,25,0.0,11.1,7,27,10:07 AM,10:05 PM,07:01 AM,06:11 PM,19,27,27,25,25,9,68,0.0,1014,25,10,55,18,Cape_Verde
2017-01-03,25,25,0.0,11.1,7,34,10:50 AM,10:59 PM,07:01 AM,06:11 PM,19,27,27,25,27,10,69,0.0,1015,25,10,62,19,Cape_Verde
2017-01-04,26,25,0.0,11.1,7,41,11:34 AM,11:53 PM,07:02 AM,06:12 PM,19,27,27,25,35,10,66,0.0,1017,26,10,60,25,Cape_Verde
2017-01-05,25,25,0.0,11.1,7,49,12:17 PM,No moonset,07:02 AM,06:12 PM,17,26,26,25,32,11,62,0.0,1016,25,10,69,23,Cape_Verde
2017-01-06,25,24,0.0,11.1,6,56,01:03 PM,12:49 AM,07:02 AM,06:13 PM,16,26,26,24,22,5,60,0.0,1014,25,10,52,16,Cape_Verde
2017-01-07,24,24,0.0,11.1,6,63,01:50 PM,01:47 AM,07:03 AM,06:14 PM,15,25,25,24,15,17,58,0.0,1014,24,10,28,11,Cape_Verde
2017-01-08,24,23,0.0,10.1,6,70,02:41 PM,02:46 AM,07:03 AM,06:14 PM,17,25,25,24,23,58,67,0.0,1015,24,10,37,17,Cape_Verde
2017-01-09,25,24,0.0,8.6,6,78,03:36 PM,03:48 AM,07:03 AM,06:15 PM,17,26,26,24,28,63,65,0.0,1015,25,10,59,20,Cape_Verde
2017-01-10,25,25,0.0,10.1,6,85,04:33 PM,04:50 AM,07:03 AM,06:15 PM,18,26,26,25,41,65,67,0.0,1016,25,10,39,29,Cape_Verde
2017-01-11,25,24,0.0,11.1,6,92,05:34 PM,05:52 AM,07:03 AM,06:16 PM,18,26,26,24,54,15,66,0.0,1016,25,10,51,39,Cape_Verde
2017-01-12,23,22,0.0,11.1,6,100,06:35 PM,06:51 AM,07:04 AM,06:17 PM,18,25,25,23,43,10,73,0.0,1016,23,10,56,33,Cape_Verde
2017-01-13,23,22,0.0,11.1,6,100,07:36 PM,07:47 AM,07:04 AM,06:17 PM,17,25,25,22,37,32,74,0.0,1015,23,10,49,28,Cape_Verde
2017-01-14,23,22,0.0,11.1,6,86,08:33 PM,08:38 AM,07:04 AM,06:18 PM,16,25,25,23,32,0,67,0.0,1014,23,10,52,24,Cape_Verde
2017-01-15,22,22,0.0,11.2,6,79,09:29 PM,09:26 AM,07:04 AM,06:19 PM,15,25,25,22,30,0,66,0.0,1014,22,10,47,23,Cape_Verde
2017-01-16,22,22,0.0,11.2,6,71,10:21 PM,10:09 AM,07:04 AM,06:19 PM,15,22,25,22,28,14,64,0.0,1014,22,10,39,21,Cape_Verde
2017-01-17,22,22,0.0,11.2,6,64,11:11 PM,10:50 AM,07:04 AM,06:20 PM,15,25,25,22,28,9,63,0.0,1013,22,10,24,21,Cape_Verde
2017-01-18,23,22,0.0,11.2,6,57,12:00 AM,11:29 AM,07:04 AM,06:20 PM,16,25,25,22,31,0,65,0.0,1013,23,10,39,23,Cape_Verde
2017-01-19,23,22,0.0,11.2,6,50,No moonrise,12:08 PM,07:04 AM,06:21 PM,17,25,25,23,41,4,71,0.0,1015,23,10,58,31,Cape_Verde
2017-01-20,22,21,0.0,11.2,6,42,12:48 AM,12:46 PM,07:04 AM,06:21 PM,17,22,24,22,46,15,76,0.0,1016,22,10,56,36,Cape_Verde
2017-01-21,23,22,0.0,11.2,6,35,01:36 AM,01:27 PM,07:04 AM,06:22 PM,17,25,25,22,47,38,74,0.0,1017,23,10,61,36,Cape_Verde
2017-01-22,22,22,0.0,11.2,6,28,02:24 AM,02:08 PM,07:04 AM,06:23 PM,17,25,25,22,51,3,72,0.0,1018,22,10,65,39,Cape_Verde
2017-01-23,22,21,0.0,11.2,6,20,03:13 AM,02:52 PM,07:04 AM,06:23 PM,17,22,24,22,51,7,73,0.0,1019,22,10,63,39,Cape_Verde
2017-01-24,21,20,0.0,10.1,6,13,04:03 AM,03:39 PM,07:04 AM,06:24 PM,16,21,23,21,45,43,72,0.0,1018,21,10,61,35,Cape_Verde
2017-01-25,22,21,0.0,11.2,6,6,04:52 AM,04:27 PM,07:04 AM,06:24 PM,16,21,23,21,38,15,72,0.0,1018,22,10,51,29,Cape_Verde
2017-01-26,21,21,0.0,11.2,6,0,05:42 AM,05:19 PM,07:04 AM,06:25 PM,16,21,24,21,37,3,74,0.0,1018,21,10,48,28,Cape_Verde
2017-01-27,23,21,0.0,11.2,6,0,06:30 AM,06:11 PM,07:04 AM,06:25 PM,16,25,25,22,36,0,69,0.0,1019,23,10,56,27,Cape_Verde
