date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,28,21,0.0,8.7,6,20,08:43 AM,08:42 PM,06:27 AM,05:55 PM,13,26,26,25,12,0,49,0.0,1015,28,10,140,8,Djibouti
2017-01-02,27,21,0.0,8.7,6,27,09:30 AM,09:35 PM,06:27 AM,05:56 PM,14,25,25,24,10,0,55,0.0,1016,27,10,125,7,Djibouti
2017-01-03,27,21,0.0,8.7,6,34,10:15 AM,10:26 PM,06:28 AM,05:56 PM,15,26,26,24,10,0,57,0.0,1017,27,10,140,8,Djibouti
2017-01-04,27,20,0.0,8.7,6,41,11:00 AM,11:20 PM,06:28 AM,05:57 PM,14,25,25,24,9,0,54,0.0,1016,27,10,129,7,Djibouti
2017-01-05,27,20,0.0,8.7,6,49,11:46 AM,No moonset,06:28 AM,05:57 PM,13,25,25,24,11,0,53,0.0,1016,27,10,134,8,Djibouti
2017-01-06,27,20,0.0,8.7,6,56,12:32 PM,12:13 AM,06:29 AM,05:58 PM,13,25,25,24,9,0,53,0.0,1017,27,10,143,6,Djibouti
2017-01-07,27,20,0.0,8.7,6,63,01:21 PM,01:09 AM,06:29 AM,05:58 PM,14,25,25,24,10,0,55,0.0,1016,27,10,134,7,Djibouti
2017-01-08,28,20,0.0,8.7,6,70,02:13 PM,02:06 AM,06:29 AM,05:59 PM,15,25,25,24,13,0,57,0.0,1014,28,10,133,10,Djibouti
2017-01-09,27,21,0.0,8.7,6,78,03:08 PM,03:06 AM,06:30 AM,05:59 PM,16,25,25,24,14,0,60,0.0,1014,27,10,132,10,Djibouti
2017-01-10,27,21,0.0,11.6,6,85,04:06 PM,04:07 AM,06:30 AM,06:00 PM,17,25,25,24,13,6,67,0.0,1015,27,10,129,10,Djibouti
2017-01-11,26,21,0.0,11.6,6,92,05:06 PM,05:08 AM,06:30 AM,06:00 PM,17,25,25,24,11,20,67,0.0,1017,26,10,113,9,Djibouti
2017-01-12,27,21,0.0,11.6,6,100,06:07 PM,06:08 AM,06:30 AM,06:01 PM,17,26,26,24,13,13,67,0.0,1017,27,10,126,10,Djibouti
2017-01-13,28,21,0.0,11.6,6,100,07:07 PM,07:06 AM,06:31 AM,06:01 PM,17,26,26,24,14,0,64,0.0,1014,28,10,131,10,Djibouti
2017-01-14,28,21,0.0,11.6,6,86,08:04 PM,07:59 AM,06:31 AM,06:02 PM,16,25,25,24,12,0,60,0.0,1013,28,10,128,9,Djibouti
2017-01-15,28,21,0.0,11.6,6,79,08:58 PM,08:48 AM,06:31 AM,06:02 PM,16,25,25,24,14,0,63,0.0,1014,28,10,123,10,Djibouti
2017-01-16,27,22,0.0,10.2,6,71,09:49 PM,09:35 AM,06:31 AM,06:03 PM,18,26,26,24,16,37,71,0.0,1015,27,10,104,13,Djibouti
2017-01-17,27,23,0.0,11.6,6,64,10:38 PM,10:17 AM,06:31 AM,06:04 PM,19,26,26,25,17,38,69,0.2,1015,27,10,98,14,Djibouti
2017-01-18,27,22,0.0,11.6,6,57,11:26 PM,10:58 AM,06:32 AM,06:04 PM,18,26,26,24,17,27,68,0.0,1016,27,10,108,14,Djibouti
2017-01-19,27,23,0.0,11.6,6,50,No moonrise,11:39 AM,06:32 AM,06:04 PM,18,26,26,24,15,34,68,0.0,1016,27,10,114,12,Djibouti
2017-01-20,27,21,0.0,11.6,6,42,12:12 AM,12:18 PM,06:32 AM,06:05 PM,18,26,26,24,14,26,69,0.0,1016,27,10,116,11,Djibouti
2017-01-21,27,22,0.0,10.2,6,35,12:59 AM,01:00 PM,06:32 AM,06:05 PM,18,26,26,24,16,33,70,0.1,1016,27,10,110,12,Djibouti
2017-01-22,26,23,0.0,10.2,6,28,01:46 AM,01:42 PM,06:32 AM,06:06 PM,18,26,26,24,16,32,68,0.0,1016,26,10,103,13,Djibouti
