date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,29,19,0.0,10.4,6,20,08:53 AM,10:04 PM,06:10 AM,07:40 PM,12,24,24,24,11,30,49,4.5,1010,29,10,104,9,Namibia
2017-01-02,27,19,0.0,11.6,6,27,09:48 AM,10:47 PM,06:11 AM,07:41 PM,14,24,24,23,13,27,59,5.0,1010,27,9,163,9,Namibia
2017-01-03,27,19,0.0,11.6,6,34,10:43 AM,11:29 PM,06:12 AM,07:41 PM,13,23,23,23,22,18,55,0.2,1011,27,10,152,17,Namibia
2017-01-04,28,18,0.0,11.6,6,41,11:40 AM,No moonset,06:12 AM,07:41 PM,12,23,23,23,17,17,53,3.2,1009,28,10,159,13,Namibia
2017-01-05,27,19,0.0,11.6,6,49,12:36 PM,12:10 AM,06:13 AM,07:41 PM,11,23,23,22,11,13,51,1.7,1008,27,10,212,8,Namibia
2017-01-06,28,18,0.0,11.6,6,56,01:35 PM,12:52 AM,06:14 AM,07:41 PM,9,22,22,22,14,15,45,0.4,1011,28,10,229,11,Namibia
2017-01-07,28,18,0.0,11.6,6,63,02:35 PM,01:36 AM,06:14 AM,07:42 PM,9,24,24,23,9,9,42,0.2,1013,28,10,182,7,Namibia
2017-01-08,29,18,0.0,11.6,6,70,03:38 PM,02:22 AM,06:15 AM,07:42 PM,3,23,23,24,18,1,30,0.0,1011,29,10,157,13,Namibia
2017-01-09,31,18,0.0,11.6,6,78,04:41 PM,03:13 AM,06:16 AM,07:42 PM,5,24,24,25,15,2,31,0.0,1008,31,10,170,11,Namibia
2017-01-10,29,20,0.0,11.6,6,85,05:45 PM,04:07 AM,06:16 AM,07:42 PM,12,25,25,24,17,13,48,4.1,1008,29,10,138,13,Namibia
2017-01-11,28,20,0.0,11.6,6,92,06:46 PM,05:06 AM,06:17 AM,07:42 PM,14,25,25,24,12,23,58,9.1,1009,28,9,155,8,Namibia
2017-01-12,26,20,0.0,11.6,6,100,07:44 PM,06:07 AM,06:18 AM,07:42 PM,15,24,24,23,14,24,63,2.7,1010,26,10,117,11,Namibia
2017-01-13,25,20,0.0,10.4,6,100,08:36 PM,07:09 AM,06:19 AM,07:42 PM,15,21,23,21,9,41,68,3.2,1010,25,10,141,7,Namibia
2017-01-14,28,18,0.0,11.6,6,86,09:25 PM,08:10 AM,06:19 AM,07:42 PM,13,24,24,23,15,14,55,6.3,1009,28,9,129,11,Namibia
2017-01-15,29,18,0.0,11.6,6,79,10:08 PM,09:09 AM,06:20 AM,07:42 PM,10,24,24,24,15,5,44,0.0,1008,29,10,159,11,Namibia
2017-01-16,30,20,0.0,11.6,6,71,10:48 PM,10:04 AM,06:21 AM,07:42 PM,7,25,25,25,17,3,34,0.0,1009,30,10,127,12,Namibia
2017-01-17,31,19,0.0,11.6,6,64,11:27 PM,10:58 AM,06:21 AM,07:42 PM,2,24,24,25,22,0,25,0.0,1010,31,10,107,15,Namibia
2017-01-18,29,19,0.0,11.6,6,57,No moonrise,11:50 AM,06:22 AM,07:42 PM,10,24,24,23,18,7,44,0.2,1012,29,10,68,13,Namibia
2017-01-19,29,18,0.0,11.6,6,50,12:04 AM,12:40 PM,06:23 AM,07:42 PM,7,23,23,23,12,3,38,0.0,1012,29,10,82,8,Namibia
2017-01-20,28,18,0.0,11.6,6,42,12:40 AM,01:30 PM,06:24 AM,07:42 PM,6,24,24,24,9,5,33,0.0,1011,28,10,137,7,Namibia
2017-01-21,28,20,0.0,11.6,6,35,01:18 AM,02:19 PM,06:24 AM,07:42 PM,6,24,24,24,13,5,32,0.1,1011,28,10,116,9,Namibia
2017-01-22,29,18,0.0,11.6,6,28,01:57 AM,03:10 PM,06:25 AM,07:41 PM,8,24,24,24,14,6,38,0.1,1012,29,10,79,10,Namibia
2017-01-23,29,18,0.0,11.6,6,20,02:38 AM,04:00 PM,06:26 AM,07:41 PM,9,24,24,24,18,6,40,0.0,1011,29,10,91,13,Namibia
2017-01-24,28,18,0.0,11.6,6,13,03:22 AM,04:50 PM,06:26 AM,07:41 PM,13,24,24,24,7,18,55,1.1,1011,28,10,130,5,Namibia
2017-01-25,25,20,0.0,10.3,6,6,04:09 AM,05:40 PM,06:27 AM,07:41 PM,15,22,23,22,7,54,65,11.1,1013,25,8,197,6,Namibia
2017-01-26,24,19,0.0,11.6,6,0,04:59 AM,06:28 PM,06:28 AM,07:40 PM,14,21,22,21,9,37,65,2.7,1013,24,10,169,7,Namibia
2017-01-27,27,18,0.0,11.6,6,0,05:51 AM,07:16 PM,06:29 AM,07:40 PM,10,23,23,22,10,13,46,0.6,1012,27,10,163,7,Namibia
2017-01-28,28,18,0.0,11.6,6,1,06:45 AM,08:02 PM,06:29 AM,07:40 PM,5,22,22,23,12,4,33,0.0,1012,28,10,171,8,Namibia
2017-01-29,28,18,0.0,11.6,6,8,07:41 AM,08:46 PM,06:30 AM,07:40 PM,7,22,22,23,11,8,38,0.0,1012,28,10,215,8,Namibia
2017-01-30,28,17,0.0,11.6,6,16,08:38 AM,09:29 PM,06:31 AM,07:39 PM,5,23,23,23,11,5,32,0.0,1013,28,10,142,8,Namibia
2017-01-31,30,18,0.0,11.6,6,20,09:35 AM,10:10 PM,06:31 AM,07:39 PM,2,24,24,24,19,0,25,0.0,1012,30,10,122,12,Namibia
2017-02-01,29,18,0.0,11.6,6,31,10:32 AM,10:52 PM,06:32 AM,07:38 PM,10,23,23,23,18,9,44,2.8,1011,29,10,113,13,Namibia
2017-02-02,26,18,0.0,11.6,5,39,11:30 AM,11:36 PM,06:33 AM,07:38 PM,15,22,22,22,11,24,66,3.4,1012,26,10,59,8,Namibia
