date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,8,1,0.0,8.7,2,20,09:33 AM,08:24 PM,07:45 AM,05:29 PM,1,2,4,2,10,34,81,0.0,1029,8,10,182,6,South_Sudan
2017-01-02,9,2,0.0,5.4,2,27,10:12 AM,09:24 PM,07:45 AM,05:30 PM,3,3,5,3,17,48,86,0.1,1024,9,10,232,9,South_Sudan
2017-01-03,7,0,0.0,8.7,2,34,10:49 AM,10:25 PM,07:45 AM,05:30 PM,-0,3,5,3,10,0,72,0.0,1025,7,10,227,6,South_Sudan
2017-01-04,9,2,0.0,8.7,2,41,11:26 AM,11:27 PM,07:45 AM,05:31 PM,0,4,5,4,10,28,72,0.0,1024,9,10,224,5,South_Sudan
2017-01-05,8,1,0.0,5.4,2,49,12:01 PM,No moonset,07:45 AM,05:32 PM,-2,2,4,2,20,35,64,0.0,1027,8,10,60,12,South_Sudan
2017-01-06,9,2,0.0,8.7,2,56,12:37 PM,12:31 AM,07:45 AM,05:33 PM,1,3,5,3,14,23,75,0.0,1027,9,10,104,8,South_Sudan
2017-01-07,9,2,0.0,8.7,2,63,01:15 PM,01:36 AM,07:45 AM,05:34 PM,-0,3,5,3,12,28,69,0.0,1022,9,10,54,7,South_Sudan
2017-01-08,11,4,0.0,8.7,3,70,01:57 PM,02:43 AM,07:45 AM,05:35 PM,2,4,6,4,17,49,75,0.0,1015,11,10,154,10,South_Sudan
2017-01-09,6,0,0.0,8.7,2,78,02:44 PM,03:51 AM,07:45 AM,05:36 PM,-1,1,4,1,25,37,70,0.1,1017,6,10,310,17,South_Sudan
2017-01-10,4,-2,0.0,5.4,1,85,03:36 PM,04:58 AM,07:45 AM,05:37 PM,-7,-3,0,-3,18,32,58,0.0,1024,4,10,246,12,South_Sudan
2017-01-11,2,-4,0.0,3.7,2,92,04:33 PM,06:03 AM,07:45 AM,05:37 PM,-11,-5,-2,-5,15,49,52,0.1,1026,2,10,245,10,South_Sudan
2017-01-12,6,-3,0.0,7.0,2,100,05:36 PM,07:04 AM,07:45 AM,05:38 PM,-6,-2,1,-2,23,32,61,0.1,1020,6,10,277,14,South_Sudan
2017-01-13,3,-4,0.0,3.7,1,100,06:41 PM,07:59 AM,07:45 AM,05:39 PM,-8,-5,-1,-5,18,56,61,0.5,1018,3,9,265,13,South_Sudan
2017-01-14,-3,-6,0.2,8.7,2,86,07:46 PM,08:47 AM,07:44 AM,05:40 PM,-13,-10,-4,-10,28,41,53,0.2,1025,-3,10,342,21,South_Sudan
2017-01-15,-1,-8,0.0,8.7,2,79,08:49 PM,09:29 AM,07:44 AM,05:41 PM,-13,-6,-4,-6,10,1,48,0.0,1029,-1,10,265,7,South_Sudan
2017-01-16,2,-6,0.0,8.7,2,71,09:50 PM,10:07 AM,07:44 AM,05:42 PM,-13,-4,-2,-4,8,2,43,0.0,1029,2,10,61,5,South_Sudan
2017-01-17,3,-5,0.0,5.4,1,64,10:49 PM,10:41 AM,07:44 AM,05:43 PM,-18,-3,-2,-3,7,55,29,0.0,1032,3,10,185,4,South_Sudan
2017-01-18,4,-3,0.0,7.1,2,57,11:46 PM,11:14 AM,07:43 AM,05:44 PM,-7,-1,0,-1,9,40,61,0.0,1031,4,10,193,5,South_Sudan
2017-01-19,5,-3,0.0,8.7,2,50,No moonrise,11:45 AM,07:43 AM,05:45 PM,-6,-1,1,-1,12,11,64,0.0,1025,5,10,165,7,South_Sudan
