date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,35,22,0.0,13.8,7,97,06:33 PM,04:40 AM,05:31 AM,07:09 PM,-1,27,27,29,23,0,15,0.0,1005,35,10,221,15,Botswana
2018-01-02,32,20,0.0,13.8,7,100,07:36 PM,05:43 AM,05:32 AM,07:09 PM,-5,25,25,26,20,0,13,0.0,1009,32,10,183,14,Botswana
2018-01-03,30,19,0.0,13.8,6,89,08:34 PM,06:49 AM,05:32 AM,07:10 PM,12,24,24,24,26,17,48,0.0,1016,30,10,67,20,Botswana
2018-01-04,30,19,0.0,13.8,6,81,09:27 PM,07:55 AM,05:33 AM,07:10 PM,8,24,24,24,18,5,38,0.0,1017,30,10,58,14,Botswana
2018-01-05,33,19,0.0,13.8,7,74,10:13 PM,09:00 AM,05:34 AM,07:10 PM,6,26,26,26,12,1,28,0.0,1012,33,10,135,8,Botswana
2018-01-06,37,24,0.0,13.8,8,67,10:56 PM,10:01 AM,05:34 AM,07:10 PM,4,29,29,31,10,10,19,0.0,1006,37,10,239,7,Botswana
2018-01-07,38,24,0.0,13.8,8,59,11:36 PM,11:00 AM,05:35 AM,07:10 PM,4,29,29,31,15,18,19,0.4,1005,38,10,88,10,Botswana
2018-01-08,33,24,0.0,13.7,7,52,No moonrise,11:56 AM,05:36 AM,07:10 PM,6,28,28,29,21,36,24,0.0,1008,33,10,223,15,Botswana
2018-01-09,34,21,0.0,13.7,7,45,12:13 AM,12:50 PM,05:37 AM,07:11 PM,4,27,27,28,17,1,24,0.0,1009,34,10,157,12,Botswana
2018-01-10,28,20,0.0,13.7,6,38,12:50 AM,01:43 PM,05:37 AM,07:11 PM,14,24,24,23,30,26,59,0.1,1016,28,10,56,24,Botswana
2018-01-11,28,18,0.0,13.7,6,30,01:28 AM,02:35 PM,05:38 AM,07:11 PM,13,23,23,23,26,27,54,0.0,1017,28,10,57,20,Botswana
2018-01-12,30,19,0.0,13.7,6,23,02:06 AM,03:27 PM,05:39 AM,07:11 PM,11,24,24,25,15,11,43,0.0,1015,30,10,51,11,Botswana
2018-01-13,34,21,0.0,13.7,7,16,02:46 AM,04:17 PM,05:40 AM,07:11 PM,9,27,27,28,11,7,33,0.0,1011,34,10,59,7,Botswana
2018-01-14,34,23,0.0,13.7,7,9,03:29 AM,05:08 PM,05:40 AM,07:11 PM,7,28,28,29,14,4,26,0.0,1010,34,10,89,10,Botswana
2018-01-15,36,24,0.0,13.7,7,1,04:14 AM,05:57 PM,05:41 AM,07:11 PM,9,28,28,29,21,6,29,0.5,1010,36,10,90,15,Botswana
2018-01-16,32,23,0.0,13.7,7,0,05:02 AM,06:43 PM,05:42 AM,07:11 PM,10,27,27,27,28,16,35,3.2,1014,32,10,60,21,Botswana
2018-01-17,32,20,0.0,13.7,7,0,05:52 AM,07:29 PM,05:43 AM,07:10 PM,10,26,26,26,17,4,38,0.0,1014,32,10,75,13,Botswana
2018-01-18,32,21,0.0,13.7,7,6,06:43 AM,08:10 PM,05:43 AM,07:10 PM,10,27,27,27,18,9,35,0.0,1013,32,10,57,12,Botswana
2018-01-19,33,21,0.0,13.7,7,13,07:36 AM,08:51 PM,05:44 AM,07:10 PM,6,26,26,27,20,11,27,0.0,1012,33,10,61,14,Botswana
2018-01-20,34,20,0.0,13.7,7,20,08:28 AM,09:29 PM,05:45 AM,07:10 PM,4,26,26,27,16,5,23,0.0,1010,34,10,64,10,Botswana
2018-01-21,34,22,0.0,13.6,7,28,09:21 AM,10:06 PM,05:46 AM,07:10 PM,7,28,28,29,20,3,25,0.0,1010,34,10,45,14,Botswana
2018-01-22,32,22,0.0,13.6,7,35,10:14 AM,10:43 PM,05:46 AM,07:10 PM,8,27,27,27,21,9,31,0.0,1010,32,10,180,15,Botswana
2018-01-23,31,22,0.0,13.3,7,42,11:09 AM,11:21 PM,05:47 AM,07:09 PM,13,26,26,25,18,31,46,2.8,1009,31,10,55,13,Botswana
2018-01-24,31,21,0.0,13.6,7,49,12:04 PM,No moonset,05:48 AM,07:09 PM,16,26,26,25,17,26,57,4.1,1011,31,10,56,14,Botswana
2018-01-25,32,22,0.0,13.6,7,57,01:03 PM,12:01 AM,05:49 AM,07:09 PM,12,27,27,27,13,16,43,0.3,1010,32,10,101,9,Botswana
2018-01-26,30,23,0.0,13.6,7,64,02:03 PM,12:43 AM,05:49 AM,07:08 PM,14,27,27,26,23,22,50,1.6,1012,30,10,49,16,Botswana
2018-01-27,31,22,0.0,13.6,7,71,03:06 PM,01:31 AM,05:50 AM,07:08 PM,14,27,27,26,15,17,47,0.0,1012,31,10,45,11,Botswana
2018-01-28,34,22,0.0,13.6,7,78,04:10 PM,02:23 AM,05:51 AM,07:08 PM,10,28,28,28,17,12,35,0.6,1010,34,10,148,12,Botswana
2018-01-29,30,22,0.0,13.3,7,86,05:14 PM,03:22 AM,05:51 AM,07:07 PM,15,26,26,25,29,34,54,12.1,1012,30,10,54,22,Botswana
2018-01-30,30,20,0.0,13.6,7,93,06:14 PM,04:24 AM,05:52 AM,07:07 PM,15,26,26,25,15,22,55,0.2,1011,30,10,112,11,Botswana
2018-01-31,31,21,0.0,13.3,6,97,07:10 PM,05:30 AM,05:53 AM,07:07 PM,14,26,26,25,15,20,54,1.3,1009,31,10,150,9,Botswana
2018-02-01,32,22,0.0,13.5,7,88,08:01 PM,06:36 AM,05:54 AM,07:06 PM,13,28,28,27,13,8,42,0.0,1009,32,10,154,9,Botswana
2018-02-02,32,23,0.0,13.5,7,81,08:47 PM,07:41 AM,05:54 AM,07:06 PM,14,28,28,28,17,11,43,0.1,1009,32,10,56,12,Botswana
2018-02-03,32,22,0.0,13.5,7,73,09:30 PM,08:43 AM,05:55 AM,07:05 PM,15,28,28,27,17,18,49,1.8,1012,32,10,72,12,Botswana
2018-02-04,31,21,0.0,13.5,7,66,10:09 PM,09:43 AM,05:56 AM,07:05 PM,16,26,26,25,17,29,59,2.2,1012,31,10,61,13,Botswana
2018-02-05,32,21,0.0,13.5,7,58,10:47 PM,10:39 AM,05:56 AM,07:04 PM,14,27,27,27,19,12,49,0.0,1011,32,10,59,14,Botswana
2018-02-06,31,22,0.0,13.5,7,51,11:26 PM,11:35 AM,05:57 AM,07:04 PM,14,27,27,26,17,18,49,0.0,1011,31,10,49,13,Botswana
2018-02-07,32,22,0.0,13.5,7,43,No moonrise,12:27 PM,05:58 AM,07:03 PM,13,27,27,27,19,19,45,0.1,1010,32,10,80,14,Botswana
2018-02-08,30,20,0.0,13.4,6,36,12:04 AM,01:20 PM,05:58 AM,07:02 PM,15,26,26,24,23,28,59,3.0,1012,30,10,62,17,Botswana
2018-02-09,30,20,0.0,13.4,6,28,12:44 AM,02:12 PM,05:59 AM,07:02 PM,13,26,26,25,18,19,50,0.0,1010,30,10,58,13,Botswana
2018-02-10,31,20,0.0,13.0,7,20,01:27 AM,03:03 PM,06:00 AM,07:01 PM,13,26,26,25,15,16,48,0.0,1009,31,10,60,11,Botswana
2018-02-11,30,21,0.0,13.0,7,13,02:11 AM,03:52 PM,06:00 AM,07:00 PM,13,27,27,26,21,34,48,0.5,1012,30,9,74,16,Botswana
2018-02-12,30,20,0.0,11.6,7,5,02:58 AM,04:39 PM,06:01 AM,07:00 PM,12,26,26,26,22,16,45,0.0,1015,30,10,83,16,Botswana
2018-02-13,31,20,0.0,11.6,7,0,03:47 AM,05:25 PM,06:02 AM,06:59 PM,11,26,26,25,19,11,43,0.0,1017,31,10,61,14,Botswana
2018-02-14,30,19,0.0,11.6,6,0,04:38 AM,06:08 PM,06:02 AM,06:58 PM,13,24,24,24,23,15,52,0.0,1015,30,10,38,17,Botswana
2018-02-15,27,19,0.0,11.6,6,0,05:30 AM,06:50 PM,06:03 AM,06:58 PM,14,23,23,22,11,21,62,0.0,1012,27,10,65,8,Botswana
2018-02-16,31,18,0.0,11.6,6,2,06:23 AM,07:29 PM,06:04 AM,06:57 PM,10,25,25,25,11,6,44,0.0,1010,31,10,142,7,Botswana
2018-02-17,32,20,0.0,11.6,7,10,07:16 AM,08:07 PM,06:04 AM,06:56 PM,9,26,26,26,14,6,34,0.0,1009,32,10,91,10,Botswana
2018-02-18,29,21,0.0,11.6,6,17,08:10 AM,08:44 PM,06:05 AM,06:55 PM,15,26,26,25,18,24,55,3.0,1010,29,10,69,12,Botswana
2018-02-19,29,19,0.0,11.6,6,25,09:05 AM,09:22 PM,06:05 AM,06:55 PM,16,25,25,24,14,28,64,0.8,1012,29,10,89,10,Botswana
2018-02-20,31,21,0.0,11.6,7,32,10:00 AM,10:01 PM,06:06 AM,06:54 PM,15,27,27,26,13,21,51,0.0,1011,31,10,89,9,Botswana
2018-02-21,28,20,0.0,11.6,6,40,10:57 AM,10:42 PM,06:06 AM,06:53 PM,17,24,24,23,23,27,70,7.5,1012,28,10,82,16,Botswana
2018-02-22,21,17,0.0,8.9,5,47,11:56 AM,11:27 PM,06:07 AM,06:52 PM,15,19,19,19,26,73,78,0.4,1013,21,9,83,20,Botswana
2018-02-23,19,16,0.0,6.2,4,55,12:56 PM,No moonset,06:08 AM,06:51 PM,15,17,17,17,20,91,88,1.8,1012,19,7,81,15,Botswana
