date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,37,22,0.0,11.6,7,97,05:17 PM,04:57 AM,05:53 AM,05:46 PM,7,28,28,29,8,5,25,0.0,1010,37,10,110,5,Central_African_Republic
2018-01-02,36,22,0.0,11.6,7,100,06:20 PM,06:01 AM,05:53 AM,05:46 PM,3,27,27,28,11,4,22,0.0,1010,36,10,27,7,Central_African_Republic
2018-01-03,35,21,0.0,11.6,7,89,07:24 PM,07:04 AM,05:54 AM,05:47 PM,-1,26,26,27,12,2,17,0.0,1011,35,10,55,8,Central_African_Republic
2018-01-04,35,20,0.0,11.6,7,81,08:23 PM,08:03 AM,05:54 AM,05:47 PM,-2,26,26,27,13,0,15,0.0,1012,35,10,14,8,Central_African_Republic
2018-01-05,34,19,0.0,11.6,7,74,09:20 PM,08:59 AM,05:55 AM,05:48 PM,-4,25,25,26,11,0,14,0.0,1012,34,10,54,7,Central_African_Republic
2018-01-06,36,18,0.0,11.6,7,67,10:12 PM,09:51 AM,05:55 AM,05:48 PM,-3,26,26,27,8,0,14,0.0,1011,36,10,184,5,Central_African_Republic
2018-01-07,37,20,0.0,11.6,7,59,11:02 PM,10:39 AM,05:56 AM,05:49 PM,-1,27,27,28,9,1,16,0.0,1011,37,10,74,6,Central_African_Republic
2018-01-08,37,20,0.0,11.6,7,52,11:50 PM,11:25 AM,05:56 AM,05:49 PM,2,28,28,29,6,0,18,0.0,1012,37,10,66,4,Central_African_Republic
2018-01-09,37,21,0.0,11.6,7,45,No moonrise,12:09 PM,05:56 AM,05:50 PM,2,28,28,29,7,4,18,0.0,1012,37,10,79,4,Central_African_Republic
2018-01-10,38,21,0.0,11.6,7,38,12:36 AM,12:52 PM,05:57 AM,05:50 PM,3,29,29,30,7,1,19,0.0,1011,38,10,82,5,Central_African_Republic
2018-01-11,37,21,0.0,11.6,7,30,01:23 AM,01:36 PM,05:57 AM,05:50 PM,2,28,28,29,7,0,19,0.0,1010,37,10,155,5,Central_African_Republic
2018-01-12,36,21,0.0,11.6,7,23,02:08 AM,02:20 PM,05:57 AM,05:51 PM,1,28,28,29,9,0,18,0.0,1010,36,10,101,6,Central_African_Republic
2018-01-13,37,21,0.0,11.6,7,16,02:55 AM,03:06 PM,05:58 AM,05:51 PM,0,28,28,29,10,1,16,0.0,1010,37,10,177,7,Central_African_Republic
2018-01-14,37,21,0.0,11.6,7,9,03:43 AM,03:53 PM,05:58 AM,05:52 PM,-0,27,27,29,7,11,16,0.0,1010,37,10,202,5,Central_African_Republic
2018-01-15,38,21,0.0,11.6,7,1,04:31 AM,04:40 PM,05:58 AM,05:52 PM,1,28,28,29,6,3,18,0.0,1010,38,10,194,4,Central_African_Republic
2018-01-16,37,23,0.0,11.6,7,0,05:19 AM,05:29 PM,05:59 AM,05:53 PM,3,28,28,29,7,24,20,0.0,1010,37,10,150,5,Central_African_Republic
2018-01-17,36,22,0.0,11.6,7,0,06:06 AM,06:17 PM,05:59 AM,05:53 PM,2,28,28,29,10,3,19,0.0,1009,36,10,61,7,Central_African_Republic
2018-01-18,37,22,0.0,11.6,7,6,06:53 AM,07:05 PM,05:59 AM,05:53 PM,-1,28,28,29,10,5,15,0.0,1009,37,10,142,6,Central_African_Republic
2018-01-19,38,21,0.0,11.6,7,13,07:39 AM,07:52 PM,05:59 AM,05:54 PM,0,28,28,29,5,2,16,0.0,1010,38,10,179,4,Central_African_Republic
2018-01-20,37,21,0.0,11.6,7,20,08:23 AM,08:38 PM,05:59 AM,05:54 PM,1,28,28,29,8,2,17,0.0,1009,37,10,106,6,Central_African_Republic
2018-01-21,38,21,0.0,11.5,7,28,09:07 AM,09:25 PM,06:00 AM,05:54 PM,4,30,30,31,6,1,20,0.0,1010,38,10,170,4,Central_African_Republic
2018-01-22,39,23,0.0,11.6,8,35,09:51 AM,10:11 PM,06:00 AM,05:55 PM,3,29,29,31,10,2,18,0.0,1009,39,10,106,7,Central_African_Republic
2018-01-23,37,23,0.0,11.6,7,42,10:35 AM,10:59 PM,06:00 AM,05:55 PM,1,28,28,29,11,7,17,0.0,1008,37,10,129,7,Central_African_Republic
2018-01-24,37,21,0.0,11.6,7,49,11:21 AM,11:49 PM,06:00 AM,05:55 PM,-0,27,27,28,8,6,17,0.0,1009,37,10,214,5,Central_African_Republic
2018-01-25,37,21,0.0,11.6,7,57,12:09 PM,No moonset,06:00 AM,05:56 PM,1,28,28,29,7,6,18,0.0,1009,37,10,169,4,Central_African_Republic
2018-01-26,37,22,0.0,8.7,7,64,01:01 PM,12:42 AM,06:01 AM,05:56 PM,4,28,28,29,7,8,21,0.0,1009,37,10,139,5,Central_African_Republic
2018-01-27,37,23,0.0,8.7,7,71,01:57 PM,01:38 AM,06:01 AM,05:56 PM,1,28,28,29,13,3,17,0.0,1009,37,10,41,9,Central_African_Republic
2018-01-28,36,22,0.0,8.7,7,78,02:56 PM,02:37 AM,06:01 AM,05:57 PM,3,28,28,29,10,3,19,0.0,1009,36,10,78,7,Central_African_Republic
2018-01-29,38,22,0.0,8.7,7,86,03:58 PM,03:39 AM,06:01 AM,05:57 PM,3,29,29,30,10,3,20,0.0,1009,38,10,74,7,Central_African_Republic
2018-01-30,37,22,0.0,8.7,7,93,05:01 PM,04:41 AM,06:01 AM,05:57 PM,2,28,28,29,12,3,19,0.0,1009,37,10,25,8,Central_African_Republic
2018-01-31,36,22,0.0,8.7,7,97,06:03 PM,05:43 AM,06:01 AM,05:57 PM,2,28,28,29,13,3,19,0.0,1009,36,10,31,9,Central_African_Republic
2018-02-01,37,22,0.0,8.7,7,88,07:02 PM,06:41 AM,06:01 AM,05:57 PM,5,29,29,30,10,3,21,0.0,1008,37,10,51,7,Central_African_Republic
2018-02-02,39,22,0.0,8.7,7,81,07:58 PM,07:37 AM,06:01 AM,05:58 PM,5,29,29,30,6,1,21,0.0,1008,39,10,118,5,Central_African_Republic
2018-02-03,40,23,0.0,8.7,8,73,08:51 PM,08:28 AM,06:01 AM,05:58 PM,4,30,30,31,9,1,20,0.0,1008,40,10,105,6,Central_African_Republic
2018-02-04,40,25,0.0,8.7,8,66,09:42 PM,09:16 AM,06:01 AM,05:58 PM,4,31,31,32,10,1,19,0.0,1007,40,10,40,7,Central_African_Republic
2018-02-05,39,24,0.0,8.7,8,58,10:30 PM,10:03 AM,06:01 AM,05:58 PM,4,30,30,32,10,1,19,0.0,1007,39,10,71,7,Central_African_Republic
2018-02-06,42,24,0.0,8.7,8,51,11:17 PM,10:47 AM,06:01 AM,05:58 PM,6,32,32,33,6,2,20,0.0,1006,42,10,77,4,Central_African_Republic
2018-02-07,42,24,0.0,8.7,8,43,No moonrise,11:32 AM,06:01 AM,05:59 PM,7,32,32,33,7,0,21,0.0,1006,42,10,173,5,Central_African_Republic
2018-02-08,41,24,0.0,8.7,8,36,12:04 AM,12:17 PM,06:01 AM,05:59 PM,13,32,32,32,8,5,33,0.0,1006,41,10,193,5,Central_African_Republic
2018-02-09,41,25,0.0,8.7,8,28,12:51 AM,01:02 PM,06:01 AM,05:59 PM,15,33,33,32,9,7,38,0.0,1006,41,10,225,6,Central_African_Republic
2018-02-10,38,24,0.0,8.7,8,20,01:39 AM,01:49 PM,06:01 AM,05:59 PM,18,32,32,31,10,11,48,0.3,1006,38,10,184,7,Central_African_Republic
2018-02-11,39,25,0.0,8.7,8,13,02:26 AM,02:36 PM,06:01 AM,05:59 PM,16,31,31,31,12,33,46,0.0,1007,39,10,172,9,Central_African_Republic
2018-02-12,42,25,0.0,8.7,8,5,03:14 AM,03:24 PM,06:01 AM,05:59 PM,14,33,33,32,8,24,35,0.0,1008,42,10,202,5,Central_African_Republic
2018-02-13,37,25,0.0,8.7,7,0,04:02 AM,04:12 PM,06:01 AM,05:59 PM,18,30,30,28,8,31,55,3.6,1010,37,10,137,5,Central_African_Republic
2018-02-14,38,23,0.0,11.6,8,0,04:49 AM,05:00 PM,06:00 AM,05:59 PM,17,32,32,30,5,26,50,0.0,1009,38,10,159,4,Central_African_Republic
2018-02-15,38,25,0.0,11.6,8,0,05:36 AM,05:48 PM,06:00 AM,05:59 PM,16,32,32,31,10,17,44,1.3,1008,38,10,206,6,Central_African_Republic
2018-02-16,40,25,0.0,11.6,8,2,06:21 AM,06:35 PM,06:00 AM,05:59 PM,17,33,33,32,6,14,46,0.0,1008,40,10,208,4,Central_African_Republic
