date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,17,10,0.0,7.1,4,97,04:40 PM,05:47 AM,06:51 AM,05:06 PM,6,12,13,12,27,22,63,0.0,1020,17,10,278,19,Egypt
2018-01-02,18,10,0.0,8.7,4,100,05:44 PM,06:52 AM,06:51 AM,05:07 PM,7,15,15,15,14,5,60,0.0,1021,18,10,240,11,Egypt
2018-01-03,18,11,0.0,8.7,4,89,06:51 PM,07:52 AM,06:51 AM,05:08 PM,6,13,14,13,25,35,56,0.0,1019,18,10,224,17,Egypt
2018-01-04,17,11,0.0,8.7,4,81,07:59 PM,08:46 AM,06:52 AM,05:08 PM,4,12,14,12,42,27,53,0.2,1015,17,10,235,30,Egypt
2018-01-05,18,12,0.0,8.7,4,74,09:04 PM,09:34 AM,06:52 AM,05:09 PM,7,13,15,13,44,29,60,0.1,1013,18,10,265,31,Egypt
2018-01-06,17,10,0.0,8.7,4,67,10:07 PM,10:16 AM,06:52 AM,05:10 PM,8,14,15,14,14,19,66,0.0,1020,17,10,185,10,Egypt
2018-01-07,19,10,0.0,8.7,4,59,11:07 PM,10:55 AM,06:52 AM,05:11 PM,9,15,16,15,21,1,67,0.0,1026,19,10,38,15,Egypt
2018-01-08,20,11,0.0,8.7,4,52,No moonrise,11:32 AM,06:52 AM,05:12 PM,7,14,15,14,30,0,60,0.0,1027,20,10,45,21,Egypt
2018-01-09,21,11,0.0,8.7,4,45,12:04 AM,12:06 PM,06:52 AM,05:12 PM,8,14,15,14,28,0,64,0.0,1027,21,10,46,19,Egypt
2018-01-10,21,11,0.0,7.1,5,38,12:59 AM,12:41 PM,06:52 AM,05:13 PM,6,15,16,15,19,25,57,0.0,1021,21,10,86,12,Egypt
