date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,33,23,0.0,11.2,7,97,06:29 PM,06:37 AM,07:30 AM,06:50 PM,6,26,26,27,38,16,27,0.0,1012,33,10,48,21,Gambia
2018-01-02,31,23,0.0,5.6,6,100,07:34 PM,07:42 AM,07:30 AM,06:51 PM,6,26,26,26,33,53,27,0.0,1011,31,10,54,18,Gambia
2018-01-03,31,22,0.0,11.2,7,89,08:38 PM,08:43 AM,07:30 AM,06:52 PM,7,26,26,26,31,8,29,0.0,1012,31,10,90,17,Gambia
2018-01-04,32,22,0.0,11.2,7,81,09:40 PM,09:41 AM,07:31 AM,06:52 PM,7,26,26,27,29,29,29,0.0,1014,32,10,82,16,Gambia
2018-01-05,31,24,0.0,10.1,7,74,10:39 PM,10:33 AM,07:31 AM,06:53 PM,8,26,26,27,33,32,31,0.0,1014,31,10,139,18,Gambia
2018-01-06,30,22,0.0,10.1,7,67,11:35 PM,11:22 AM,07:31 AM,06:53 PM,8,25,25,25,35,31,33,0.0,1013,30,10,143,20,Gambia
2018-01-07,28,20,0.0,11.2,6,59,No moonrise,12:07 PM,07:32 AM,06:54 PM,9,24,24,23,36,11,42,0.0,1012,28,10,91,23,Gambia
2018-01-08,28,19,0.0,11.2,6,52,12:27 AM,12:49 PM,07:32 AM,06:54 PM,12,23,23,23,31,0,52,0.0,1014,28,10,143,20,Gambia
2018-01-09,30,21,0.0,11.2,7,45,01:18 AM,01:30 PM,07:32 AM,06:55 PM,8,25,25,25,36,0,33,0.0,1014,30,10,32,21,Gambia
2018-01-10,30,21,0.0,11.2,7,38,02:07 AM,02:11 PM,07:32 AM,06:56 PM,8,25,25,25,36,0,34,0.0,1014,30,10,80,22,Gambia
2018-01-11,32,23,0.0,11.2,7,30,02:55 AM,02:52 PM,07:33 AM,06:56 PM,8,26,26,26,37,16,33,0.0,1014,32,10,123,21,Gambia
2018-01-12,32,22,0.0,11.2,7,23,03:44 AM,03:35 PM,07:33 AM,06:57 PM,8,26,26,26,34,8,32,0.0,1013,32,10,115,19,Gambia
2018-01-13,31,23,0.0,11.2,7,16,04:33 AM,04:18 PM,07:33 AM,06:57 PM,8,26,26,26,33,14,32,0.0,1013,31,10,144,17,Gambia
2018-01-14,32,22,0.0,10.1,7,9,05:22 AM,05:04 PM,07:33 AM,06:58 PM,7,26,26,26,33,23,31,0.0,1012,32,10,155,18,Gambia
2018-01-15,32,22,0.0,11.3,7,1,06:10 AM,05:52 PM,07:33 AM,06:58 PM,8,26,26,26,36,1,33,0.0,1012,32,10,108,19,Gambia
2018-01-16,29,21,0.0,11.3,6,0,06:58 AM,06:40 PM,07:34 AM,06:59 PM,7,25,25,25,35,0,33,0.0,1013,29,10,102,21,Gambia
2018-01-17,27,18,0.0,11.6,6,0,07:45 AM,07:30 PM,07:34 AM,07:00 PM,7,23,23,22,38,0,36,0.0,1015,27,10,63,26,Gambia
