date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,31,23,0.0,11.4,7,97,06:23 PM,06:19 AM,07:11 AM,06:46 PM,21,31,31,29,9,1,66,0.0,1011,31,10,198,8,Guinea
2018-01-02,31,23,0.0,10.1,6,100,07:28 PM,07:24 AM,07:12 AM,06:46 PM,17,28,28,26,12,52,59,0.0,1011,31,10,165,9,Guinea
2018-01-03,32,22,0.0,8.6,7,89,08:31 PM,08:25 AM,07:12 AM,06:47 PM,18,28,28,27,11,42,59,0.0,1012,32,10,188,8,Guinea
2018-01-04,31,23,0.0,11.4,7,81,09:33 PM,09:24 AM,07:12 AM,06:47 PM,17,28,28,27,11,5,55,0.0,1013,31,10,195,8,Guinea
2018-01-05,30,22,0.0,11.4,7,74,10:30 PM,10:18 AM,07:13 AM,06:48 PM,19,28,28,27,14,3,63,0.0,1013,30,10,259,10,Guinea
2018-01-06,30,22,0.0,11.4,7,67,11:24 PM,11:08 AM,07:13 AM,06:49 PM,20,28,28,26,12,8,68,0.0,1012,30,10,233,9,Guinea
2018-01-07,30,23,0.0,11.4,7,59,No moonrise,11:54 AM,07:13 AM,06:49 PM,20,29,29,27,11,3,67,0.0,1011,30,10,201,9,Guinea
2018-01-08,31,23,0.0,11.4,7,52,12:15 AM,12:37 PM,07:14 AM,06:50 PM,20,29,29,27,9,4,66,0.0,1012,31,10,201,7,Guinea
2018-01-09,32,23,0.0,11.4,7,45,01:05 AM,01:20 PM,07:14 AM,06:50 PM,18,30,30,28,12,1,58,0.0,1012,32,10,233,9,Guinea
2018-01-10,34,23,0.0,11.4,7,38,01:53 AM,02:02 PM,07:14 AM,06:51 PM,13,29,29,29,15,11,41,0.0,1012,34,10,138,10,Guinea
2018-01-11,32,22,0.0,11.4,7,30,02:40 AM,02:44 PM,07:15 AM,06:51 PM,12,28,28,27,11,10,41,0.0,1012,32,10,175,8,Guinea
2018-01-12,31,22,0.0,11.4,7,23,03:28 AM,03:28 PM,07:15 AM,06:52 PM,17,28,28,27,13,5,58,0.0,1013,31,10,170,9,Guinea
2018-01-13,30,22,0.0,11.4,7,16,04:15 AM,04:12 PM,07:15 AM,06:52 PM,20,29,29,28,10,0,64,0.0,1013,30,10,216,9,Guinea
2018-01-14,32,22,0.0,11.4,7,9,05:04 AM,04:58 PM,07:15 AM,06:53 PM,20,30,30,28,10,0,62,0.0,1011,32,10,157,8,Guinea
2018-01-15,30,22,0.0,11.4,7,1,05:52 AM,05:46 PM,07:16 AM,06:53 PM,22,31,31,28,10,1,71,0.0,1012,30,10,210,8,Guinea
2018-01-16,30,23,0.0,11.4,7,0,06:40 AM,06:34 PM,07:16 AM,06:54 PM,22,31,31,28,11,1,71,0.0,1012,30,10,285,9,Guinea
2018-01-17,32,23,0.0,11.4,7,0,07:27 AM,07:23 PM,07:16 AM,06:54 PM,18,28,28,27,13,5,59,0.0,1012,32,10,295,10,Guinea
2018-01-18,34,23,0.0,11.4,7,6,08:13 AM,08:12 PM,07:16 AM,06:55 PM,14,29,29,28,16,8,45,0.0,1011,34,10,204,10,Guinea
2018-01-19,33,24,0.0,11.4,7,13,08:57 AM,09:00 PM,07:16 AM,06:55 PM,16,29,29,28,17,4,50,0.0,1011,33,10,159,12,Guinea
2018-01-20,32,23,0.0,11.4,7,20,09:41 AM,09:48 PM,07:16 AM,06:56 PM,20,31,31,28,10,1,62,0.0,1011,32,10,125,8,Guinea
2018-01-21,32,23,0.0,11.4,7,28,10:23 AM,10:36 PM,07:17 AM,06:56 PM,21,32,32,29,9,1,66,0.0,1011,32,10,249,7,Guinea
2018-01-22,32,22,0.0,11.4,7,35,11:05 AM,11:25 PM,07:17 AM,06:56 PM,18,30,30,29,10,0,55,0.0,1011,32,10,177,8,Guinea
2018-01-23,31,22,0.0,11.4,7,42,11:48 AM,No moonset,07:17 AM,06:57 PM,18,29,29,28,10,0,56,0.0,1011,31,10,181,8,Guinea
2018-01-24,32,21,0.0,11.4,7,49,12:32 PM,12:14 AM,07:17 AM,06:57 PM,20,30,30,28,11,0,64,0.0,1011,32,10,214,9,Guinea
2018-01-25,31,22,0.0,11.4,7,57,01:19 PM,01:06 AM,07:17 AM,06:58 PM,19,29,29,28,11,0,62,0.0,1010,31,10,249,9,Guinea
2018-01-26,31,22,0.0,11.4,7,64,02:09 PM,02:01 AM,07:17 AM,06:58 PM,20,30,30,28,10,2,64,0.0,1010,31,10,201,8,Guinea
2018-01-27,31,22,0.0,11.4,7,71,03:04 PM,02:58 AM,07:17 AM,06:59 PM,19,28,28,26,13,22,64,0.0,1010,31,10,252,10,Guinea
2018-01-28,30,23,0.0,10.1,7,78,04:03 PM,03:59 AM,07:17 AM,06:59 PM,18,27,27,26,11,39,62,0.0,1010,30,10,283,8,Guinea
