date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,27,26,0.0,10.2,6,97,05:12 PM,04:40 AM,05:34 AM,05:40 PM,23,29,29,27,22,59,79,7.9,1012,27,9,244,15,Sao_Tome_and_Principe
2018-01-02,28,26,0.0,11.6,7,100,06:16 PM,05:44 AM,05:34 AM,05:41 PM,22,29,29,27,9,25,73,0.0,1011,28,10,227,6,Sao_Tome_and_Principe
2018-01-03,27,27,0.0,10.2,7,89,07:18 PM,06:47 AM,05:35 AM,05:41 PM,22,30,30,27,10,36,73,3.8,1011,27,9,239,7,Sao_Tome_and_Principe
2018-01-04,27,27,0.0,11.6,7,81,08:17 PM,07:48 AM,05:35 AM,05:41 PM,22,30,30,27,18,26,75,2.3,1012,27,10,260,13,Sao_Tome_and_Principe
2018-01-05,27,27,0.0,11.6,7,74,09:12 PM,08:45 AM,05:36 AM,05:42 PM,22,30,30,27,20,20,77,5.5,1012,27,10,239,14,Sao_Tome_and_Principe
2018-01-06,27,27,0.0,11.6,6,67,10:03 PM,09:38 AM,05:36 AM,05:42 PM,22,30,30,27,25,33,75,11.2,1012,27,9,276,17,Sao_Tome_and_Principe
2018-01-07,27,27,0.0,10.2,7,59,10:52 PM,10:27 AM,05:36 AM,05:43 PM,22,30,30,27,18,37,73,2.5,1011,27,10,266,13,Sao_Tome_and_Principe
2018-01-08,27,27,0.0,11.6,7,52,11:38 PM,11:14 AM,05:37 AM,05:43 PM,22,30,30,27,13,32,73,2.9,1012,27,10,270,9,Sao_Tome_and_Principe
2018-01-09,27,27,0.0,10.2,7,45,No moonrise,11:59 AM,05:37 AM,05:44 PM,23,30,30,27,17,24,78,5.5,1013,27,9,207,12,Sao_Tome_and_Principe
2018-01-10,28,27,0.0,11.6,7,38,12:23 AM,12:44 PM,05:38 AM,05:44 PM,22,30,30,27,18,18,74,6.0,1012,28,9,184,13,Sao_Tome_and_Principe
2018-01-11,28,27,0.0,11.6,7,30,01:08 AM,01:29 PM,05:38 AM,05:44 PM,22,31,31,28,11,26,72,0.8,1011,28,10,223,8,Sao_Tome_and_Principe
2018-01-12,28,27,0.0,11.6,7,23,01:53 AM,02:14 PM,05:39 AM,05:45 PM,22,31,31,28,20,27,74,4.1,1011,28,10,252,14,Sao_Tome_and_Principe
2018-01-13,28,27,0.0,11.6,7,16,02:39 AM,03:00 PM,05:39 AM,05:45 PM,23,31,31,27,22,28,75,3.3,1012,28,10,247,16,Sao_Tome_and_Principe
2018-01-14,27,27,0.0,11.6,7,9,03:26 AM,03:48 PM,05:39 AM,05:46 PM,23,30,30,27,17,46,78,3.1,1012,27,10,219,12,Sao_Tome_and_Principe
2018-01-15,28,27,0.0,11.6,7,1,04:14 AM,04:35 PM,05:40 AM,05:46 PM,22,30,30,27,16,27,75,3.0,1012,28,10,188,12,Sao_Tome_and_Principe
2018-01-16,28,27,0.0,11.6,7,0,05:02 AM,05:24 PM,05:40 AM,05:46 PM,22,30,30,27,14,32,74,2.7,1012,28,10,204,10,Sao_Tome_and_Principe
2018-01-17,28,27,0.0,11.6,7,0,05:50 AM,06:11 PM,05:40 AM,05:47 PM,22,31,31,28,16,31,73,5.0,1011,28,10,248,11,Sao_Tome_and_Principe
2018-01-18,28,27,0.0,11.6,7,6,06:37 AM,06:58 PM,05:41 AM,05:47 PM,23,31,31,27,19,47,79,3.3,1011,28,10,241,14,Sao_Tome_and_Principe
2018-01-19,28,27,0.0,11.6,7,13,07:24 AM,07:45 PM,05:41 AM,05:47 PM,23,30,30,27,14,37,76,0.0,1011,28,10,234,10,Sao_Tome_and_Principe
2018-01-20,28,27,0.0,11.6,7,20,08:09 AM,08:30 PM,05:41 AM,05:47 PM,22,31,31,28,21,34,74,7.9,1011,28,9,271,14,Sao_Tome_and_Principe
2018-01-21,28,28,0.0,11.6,7,28,08:54 AM,09:15 PM,05:42 AM,05:48 PM,23,31,31,28,16,30,74,0.0,1011,28,10,270,11,Sao_Tome_and_Principe
2018-01-22,28,27,0.0,11.6,7,35,09:39 AM,10:01 PM,05:42 AM,05:48 PM,23,31,31,27,19,22,75,7.2,1011,28,9,240,13,Sao_Tome_and_Principe
2018-01-23,27,26,0.0,7.4,6,42,10:25 AM,10:47 PM,05:42 AM,05:48 PM,22,30,30,27,22,59,76,6.3,1011,27,10,221,15,Sao_Tome_and_Principe
2018-01-24,28,27,0.0,11.6,7,49,11:12 AM,11:36 PM,05:42 AM,05:48 PM,21,30,30,27,6,41,70,0.0,1011,28,10,231,4,Sao_Tome_and_Principe
2018-01-25,28,27,0.0,11.6,7,57,12:02 PM,No moonset,05:43 AM,05:49 PM,22,30,30,27,9,38,74,0.6,1010,28,10,226,6,Sao_Tome_and_Principe
2018-01-26,28,27,0.0,10.2,7,64,12:55 PM,12:27 AM,05:43 AM,05:49 PM,22,30,30,27,12,36,72,8.5,1010,28,10,220,8,Sao_Tome_and_Principe
2018-01-27,28,27,0.0,11.6,7,71,01:51 PM,01:22 AM,05:43 AM,05:49 PM,22,30,30,27,8,41,72,5.4,1009,28,9,240,6,Sao_Tome_and_Principe
2018-01-28,28,28,0.0,11.6,7,78,02:51 PM,02:20 AM,05:43 AM,05:49 PM,23,31,31,28,15,33,72,3.5,1010,28,10,252,11,Sao_Tome_and_Principe
2018-01-29,29,27,0.0,11.6,7,86,03:53 PM,03:22 AM,05:43 AM,05:49 PM,23,31,31,28,14,26,73,8.9,1010,29,10,215,9,Sao_Tome_and_Principe
2018-01-30,28,27,0.0,11.6,7,93,04:56 PM,04:24 AM,05:43 AM,05:50 PM,23,31,31,28,10,15,74,5.2,1010,28,10,249,7,Sao_Tome_and_Principe
2018-01-31,29,27,0.0,11.6,7,97,05:57 PM,05:27 AM,05:44 AM,05:50 PM,22,31,31,28,8,20,72,2.3,1009,29,10,261,6,Sao_Tome_and_Principe
2018-02-01,28,28,0.0,11.6,7,88,06:55 PM,06:26 AM,05:44 AM,05:50 PM,23,31,31,28,12,24,74,5.4,1009,28,10,230,8,Sao_Tome_and_Principe
2018-02-02,29,28,0.0,11.6,7,81,07:50 PM,07:23 AM,05:44 AM,05:50 PM,23,32,32,28,14,23,75,4.8,1009,29,10,210,10,Sao_Tome_and_Principe
2018-02-03,29,28,0.0,11.6,7,73,08:41 PM,08:15 AM,05:44 AM,05:50 PM,23,32,32,28,5,21,75,0.0,1009,29,10,171,4,Sao_Tome_and_Principe
2018-02-04,29,28,0.0,11.6,7,66,09:30 PM,09:05 AM,05:44 AM,05:50 PM,24,33,33,28,16,27,78,0.2,1008,29,10,229,12,Sao_Tome_and_Principe
2018-02-05,29,29,0.0,11.6,7,58,10:17 PM,09:53 AM,05:44 AM,05:50 PM,24,33,33,29,17,35,73,2.1,1008,29,10,214,13,Sao_Tome_and_Principe
2018-02-06,29,28,0.0,11.6,7,51,11:03 PM,10:39 AM,05:44 AM,05:50 PM,24,33,33,29,21,27,75,5.1,1009,29,9,203,15,Sao_Tome_and_Principe
2018-02-07,29,28,0.0,11.6,7,43,11:49 PM,11:25 AM,05:44 AM,05:50 PM,24,33,33,29,15,18,74,3.6,1009,29,10,230,11,Sao_Tome_and_Principe
2018-02-08,29,28,0.0,11.6,7,36,No moonrise,12:10 PM,05:44 AM,05:51 PM,24,33,33,29,18,29,77,0.7,1009,29,10,226,13,Sao_Tome_and_Principe
2018-02-09,29,28,0.0,11.6,7,28,12:35 AM,12:56 PM,05:44 AM,05:51 PM,24,33,33,29,25,33,77,8.1,1009,29,10,218,17,Sao_Tome_and_Principe
2018-02-10,29,28,0.0,11.6,7,20,01:22 AM,01:44 PM,05:44 AM,05:51 PM,24,33,33,29,21,38,77,3.9,1008,29,10,205,15,Sao_Tome_and_Principe
2018-02-11,29,28,0.0,11.6,7,13,02:09 AM,02:31 PM,05:44 AM,05:51 PM,24,33,33,29,24,28,78,8.1,1009,29,9,190,17,Sao_Tome_and_Principe
2018-02-12,29,28,0.0,11.6,7,5,02:57 AM,03:19 PM,05:44 AM,05:51 PM,24,33,33,28,23,31,76,7.5,1010,29,9,195,16,Sao_Tome_and_Principe
2018-02-13,29,28,0.0,11.6,7,0,03:45 AM,04:07 PM,05:44 AM,05:51 PM,24,33,33,29,25,27,76,9.1,1010,29,10,190,17,Sao_Tome_and_Principe
2018-02-14,29,28,0.0,11.6,7,0,04:33 AM,04:54 PM,05:44 AM,05:51 PM,23,32,32,28,20,35,74,8.7,1010,29,9,200,13,Sao_Tome_and_Principe
2018-02-15,29,28,0.0,11.6,7,0,05:20 AM,05:42 PM,05:44 AM,05:50 PM,24,33,33,28,17,28,75,0.1,1010,29,10,212,12,Sao_Tome_and_Principe
2018-02-16,29,27,0.0,10.2,7,2,06:06 AM,06:27 PM,05:44 AM,05:50 PM,23,32,32,28,19,40,76,10.2,1011,29,9,240,13,Sao_Tome_and_Principe
2018-02-17,29,28,0.0,11.6,7,10,06:52 AM,07:14 PM,05:44 AM,05:50 PM,23,32,32,28,24,23,75,6.5,1010,29,9,217,17,Sao_Tome_and_Principe
2018-02-18,29,28,0.0,11.6,7,17,07:38 AM,07:59 PM,05:44 AM,05:50 PM,23,32,32,28,14,39,72,0.0,1010,29,10,208,10,Sao_Tome_and_Principe
2018-02-19,29,28,0.0,11.6,7,25,08:23 AM,08:46 PM,05:44 AM,05:50 PM,23,32,32,28,14,34,74,0.6,1010,29,10,250,10,Sao_Tome_and_Principe
2018-02-20,28,28,0.0,11.6,7,32,09:10 AM,09:34 PM,05:44 AM,05:50 PM,24,32,32,28,17,36,77,8.8,1009,28,9,189,12,Sao_Tome_and_Principe
