date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,33,24,0.0,11.4,7,97,06:23 PM,06:16 AM,07:07 AM,06:46 PM,22,32,32,28,10,2,69,0.0,1011,33,10,258,7,Sierra_Leone
2018-01-02,33,23,0.0,11.4,7,100,07:27 PM,07:20 AM,07:08 AM,06:46 PM,21,30,30,27,10,36,68,0.0,1011,33,10,226,7,Sierra_Leone
2018-01-03,33,24,0.0,11.4,7,89,08:30 PM,08:22 AM,07:08 AM,06:47 PM,19,29,29,28,12,30,63,0.0,1011,33,10,212,8,Sierra_Leone
2018-01-04,33,23,0.0,11.4,7,81,09:32 PM,09:21 AM,07:09 AM,06:47 PM,20,30,30,28,10,17,66,0.0,1013,33,10,238,7,Sierra_Leone
2018-01-05,32,23,0.0,11.4,7,74,10:29 PM,10:15 AM,07:09 AM,06:48 PM,20,30,30,27,14,1,67,0.0,1013,32,10,301,10,Sierra_Leone
2018-01-06,31,23,0.0,11.4,7,67,11:23 PM,11:05 AM,07:09 AM,06:48 PM,20,29,29,27,14,15,67,0.0,1012,31,10,274,9,Sierra_Leone
2018-01-07,31,24,0.0,11.4,7,59,No moonrise,11:52 AM,07:10 AM,06:49 PM,21,30,30,28,13,3,68,0.0,1011,31,10,225,9,Sierra_Leone
2018-01-08,32,24,0.0,11.4,7,52,12:13 AM,12:35 PM,07:10 AM,06:49 PM,21,30,30,27,11,7,69,0.0,1012,32,10,238,8,Sierra_Leone
2018-01-09,33,24,0.0,11.4,7,45,01:02 AM,01:19 PM,07:10 AM,06:50 PM,20,30,30,28,15,3,64,0.0,1012,33,10,298,10,Sierra_Leone
2018-01-10,33,24,0.0,10.1,7,38,01:50 AM,02:01 PM,07:11 AM,06:50 PM,18,29,29,28,12,26,60,0.0,1012,33,10,164,8,Sierra_Leone
2018-01-11,34,22,0.0,11.4,7,30,02:37 AM,02:43 PM,07:11 AM,06:51 PM,17,29,29,28,12,4,53,0.0,1012,34,10,153,8,Sierra_Leone
2018-01-12,33,23,0.0,11.4,7,23,03:25 AM,03:27 PM,07:11 AM,06:51 PM,19,30,30,28,10,5,61,0.0,1013,33,10,212,7,Sierra_Leone
2018-01-13,31,23,0.0,11.4,7,16,04:12 AM,04:12 PM,07:12 AM,06:52 PM,20,29,29,28,13,0,64,0.0,1012,31,10,260,9,Sierra_Leone
2018-01-14,34,23,0.0,11.4,7,9,05:00 AM,04:58 PM,07:12 AM,06:52 PM,21,31,31,28,11,0,66,0.0,1011,34,10,180,8,Sierra_Leone
2018-01-15,32,23,0.0,11.4,7,1,05:49 AM,05:46 PM,07:12 AM,06:53 PM,22,31,31,28,10,4,70,0.0,1012,32,10,199,8,Sierra_Leone
2018-01-16,31,24,0.0,11.4,7,0,06:36 AM,06:34 PM,07:12 AM,06:53 PM,22,31,31,28,13,2,69,0.0,1012,31,10,267,10,Sierra_Leone
2018-01-17,31,24,0.0,11.4,7,0,07:24 AM,07:23 PM,07:12 AM,06:54 PM,20,29,29,27,15,7,64,0.0,1012,31,10,288,11,Sierra_Leone
2018-01-18,35,24,0.0,11.4,7,6,08:10 AM,08:11 PM,07:13 AM,06:54 PM,18,30,30,29,14,11,54,0.0,1011,35,10,238,8,Sierra_Leone
2018-01-19,33,24,0.0,11.4,7,13,08:54 AM,08:59 PM,07:13 AM,06:55 PM,21,32,32,29,13,3,65,0.0,1011,33,10,203,9,Sierra_Leone
2018-01-20,34,24,0.0,11.4,7,20,09:38 AM,09:47 PM,07:13 AM,06:55 PM,22,33,33,29,10,1,67,0.0,1011,34,10,203,7,Sierra_Leone
2018-01-21,33,24,0.0,11.4,7,28,10:20 AM,10:34 PM,07:13 AM,06:56 PM,22,32,32,29,12,1,71,0.0,1011,33,10,288,8,Sierra_Leone
2018-01-22,35,23,0.0,11.4,7,35,11:03 AM,11:23 PM,07:13 AM,06:56 PM,19,30,30,29,12,0,62,0.0,1010,35,10,179,8,Sierra_Leone
2018-01-23,32,22,0.0,11.4,7,42,11:46 AM,No moonset,07:13 AM,06:56 PM,21,31,31,28,9,0,64,0.0,1011,32,10,236,7,Sierra_Leone
2018-01-24,33,23,0.0,11.4,7,49,12:31 PM,12:12 AM,07:13 AM,06:57 PM,21,30,30,28,12,0,67,0.0,1010,33,10,212,9,Sierra_Leone
2018-01-25,33,23,0.0,11.4,7,57,01:18 PM,01:04 AM,07:14 AM,06:57 PM,20,30,30,28,13,0,66,0.0,1010,33,10,252,9,Sierra_Leone
2018-01-26,33,22,0.0,11.4,7,64,02:08 PM,01:58 AM,07:14 AM,06:58 PM,21,31,31,29,10,1,66,0.0,1010,33,10,254,8,Sierra_Leone
2018-01-27,31,23,0.0,11.4,7,71,03:03 PM,02:55 AM,07:14 AM,06:58 PM,20,29,29,27,13,21,69,0.0,1010,31,10,201,10,Sierra_Leone
2018-01-28,30,24,0.0,10.1,7,78,04:02 PM,03:55 AM,07:14 AM,06:58 PM,20,28,28,27,12,50,70,0.0,1010,30,10,280,8,Sierra_Leone
2018-01-29,32,25,0.0,11.5,7,86,05:04 PM,04:58 AM,07:14 AM,06:59 PM,20,29,29,27,13,29,66,0.0,1010,32,10,267,9,Sierra_Leone
2018-01-30,32,24,0.0,11.5,7,93,06:08 PM,06:00 AM,07:14 AM,06:59 PM,19,29,29,28,13,24,62,0.0,1010,32,10,288,9,Sierra_Leone
