date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,30,26,0.0,12.8,6,68,09:32 PM,08:59 AM,05:52 AM,06:29 PM,22,29,29,27,10,77,78,0.0,1010,26,10,237,7,Angola
2013-01-01 03:00:00,30,26,0.0,12.8,6,68,09:32 PM,08:59 AM,05:52 AM,06:29 PM,23,29,29,27,9,46,79,0.0,1010,26,10,217,7,Angola
2013-01-01 06:00:00,30,26,0.0,12.8,6,68,09:32 PM,08:59 AM,05:52 AM,06:29 PM,23,30,30,27,7,55,78,0.0,1010,26,10,174,6,Angola
2013-01-01 09:00:00,30,26,0.0,12.8,6,68,09:32 PM,08:59 AM,05:52 AM,06:29 PM,23,33,33,30,6,57,67,1.0,1012,29,10,150,4,Angola
2013-01-01 12:00:00,30,26,0.0,12.8,6,68,09:32 PM,08:59 AM,05:52 AM,06:29 PM,23,35,35,30,11,21,64,0.0,1009,30,10,255,9,Angola
2013-01-01 15:00:00,30,26,0.0,12.8,6,68,09:32 PM,08:59 AM,05:52 AM,06:29 PM,23,34,34,30,21,16,65,0.0,1007,30,10,253,18,Angola
2013-01-01 18:00:00,30,26,0.0,12.8,6,68,09:32 PM,08:59 AM,05:52 AM,06:29 PM,23,31,31,28,21,12,74,0.0,1008,28,10,253,15,Angola
2013-01-01 21:00:00,30,26,0.0,12.8,6,68,09:32 PM,08:59 AM,05:52 AM,06:29 PM,23,30,30,27,14,13,78,0.0,1010,27,10,256,10,Angola
2013-01-02 00:00:00,31,26,0.0,12.8,7,60,10:14 PM,09:47 AM,05:52 AM,06:30 PM,23,30,30,27,13,24,79,0.0,1010,27,10,243,9,Angola
2013-01-02 03:00:00,31,26,0.0,12.8,7,60,10:14 PM,09:47 AM,05:52 AM,06:30 PM,23,30,30,27,15,43,80,0.0,1010,26,10,225,10,Angola
2013-01-02 06:00:00,31,26,0.0,12.8,7,60,10:14 PM,09:47 AM,05:52 AM,06:30 PM,23,30,30,27,13,48,79,0.0,1011,27,10,181,10,Angola
2013-01-02 09:00:00,31,26,0.0,12.8,7,60,10:14 PM,09:47 AM,05:52 AM,06:30 PM,23,34,34,30,7,46,67,0.0,1011,30,10,189,6,Angola
2013-01-02 12:00:00,31,26,0.0,12.8,7,60,10:14 PM,09:47 AM,05:52 AM,06:30 PM,23,36,36,31,16,23,61,0.0,1009,31,10,260,14,Angola
2013-01-02 15:00:00,31,26,0.0,12.8,7,60,10:14 PM,09:47 AM,05:52 AM,06:30 PM,23,34,34,30,27,16,68,0.0,1007,30,10,255,23,Angola
2013-01-02 18:00:00,31,26,0.0,12.8,7,60,10:14 PM,09:47 AM,05:52 AM,06:30 PM,23,31,31,28,23,16,79,0.0,1009,27,10,250,16,Angola
2013-01-02 21:00:00,31,26,0.0,12.8,7,60,10:14 PM,09:47 AM,05:52 AM,06:30 PM,24,31,31,27,14,30,80,0.0,1011,27,10,244,10,Angola
2013-01-03 00:00:00,30,27,0.0,12.8,6,53,10:57 PM,10:35 AM,05:53 AM,06:30 PM,23,30,30,27,12,65,81,0.0,1011,27,10,227,9,Angola
2013-01-03 03:00:00,30,27,0.0,12.8,6,53,10:57 PM,10:35 AM,05:53 AM,06:30 PM,23,30,30,27,12,62,82,0.4,1011,27,10,198,9,Angola
2013-01-03 06:00:00,30,27,0.0,12.8,6,53,10:57 PM,10:35 AM,05:53 AM,06:30 PM,23,31,31,27,10,59,80,0.0,1012,27,10,196,8,Angola
2013-01-03 09:00:00,30,27,0.0,12.8,6,53,10:57 PM,10:35 AM,05:53 AM,06:30 PM,24,34,34,30,8,48,70,1.2,1013,29,10,213,6,Angola
2013-01-03 12:00:00,30,27,0.0,12.8,6,53,10:57 PM,10:35 AM,05:53 AM,06:30 PM,23,35,35,30,14,32,67,0.0,1012,30,10,260,12,Angola
2013-01-03 15:00:00,30,27,0.0,12.8,6,53,10:57 PM,10:35 AM,05:53 AM,06:30 PM,23,33,33,29,32,36,71,3.7,1009,29,7,275,18,Angola
2013-01-03 18:00:00,30,27,0.0,12.8,6,53,10:57 PM,10:35 AM,05:53 AM,06:30 PM,23,30,30,27,22,18,79,0.0,1011,27,10,284,15,Angola
2013-01-03 21:00:00,30,27,0.0,12.8,6,53,10:57 PM,10:35 AM,05:53 AM,06:30 PM,23,30,30,27,12,18,81,0.0,1012,27,10,271,9,Angola
2013-01-04 00:00:00,30,26,0.0,12.8,7,46,11:43 PM,11:26 AM,05:54 AM,06:31 PM,23,30,30,27,10,57,81,0.0,1013,27,10,289,7,Angola
2013-01-04 03:00:00,30,26,0.0,12.8,7,46,11:43 PM,11:26 AM,05:54 AM,06:31 PM,24,30,30,27,4,45,84,1.7,1012,26,10,320,3,Angola
2013-01-04 06:00:00,30,26,0.0,12.8,7,46,11:43 PM,11:26 AM,05:54 AM,06:31 PM,23,30,30,27,7,57,81,0.0,1013,26,10,100,5,Angola
2013-01-04 09:00:00,30,26,0.0,12.8,7,46,11:43 PM,11:26 AM,05:54 AM,06:31 PM,23,33,33,29,9,55,69,1.3,1013,29,10,329,6,Angola
2013-01-04 12:00:00,30,26,0.0,12.8,7,46,11:43 PM,11:26 AM,05:54 AM,06:31 PM,23,34,34,30,17,18,65,0.0,1011,30,10,289,15,Angola
2013-01-04 15:00:00,30,26,0.0,12.8,7,46,11:43 PM,11:26 AM,05:54 AM,06:31 PM,23,33,33,29,22,34,69,0.1,1010,29,10,278,18,Angola
2013-01-04 18:00:00,30,26,0.0,12.8,7,46,11:43 PM,11:26 AM,05:54 AM,06:31 PM,23,30,30,27,20,41,76,0.0,1012,27,10,263,14,Angola
2013-01-04 21:00:00,30,26,0.0,12.8,7,46,11:43 PM,11:26 AM,05:54 AM,06:31 PM,23,30,30,27,14,43,79,0.1,1013,27,10,257,10,Angola
2013-01-05 00:00:00,30,26,0.0,12.8,7,38,No moonrise,12:18 PM,05:54 AM,06:31 PM,23,30,30,27,18,36,81,0.0,1012,26,10,217,12,Angola
