date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,33,21,0.0,13.8,7,68,09:48 PM,08:55 AM,05:31 AM,07:09 PM,14,25,25,23,22,18,60,0.0,1009,23,10,51,13,Botswana
2013-01-01 03:00:00,33,21,0.0,13.8,7,68,09:48 PM,08:55 AM,05:31 AM,07:09 PM,15,21,24,21,14,19,68,0.0,1008,21,10,53,8,Botswana
2013-01-01 06:00:00,33,21,0.0,13.8,7,68,09:48 PM,08:55 AM,05:31 AM,07:09 PM,16,26,26,25,7,15,59,0.0,1010,25,10,24,6,Botswana
2013-01-01 09:00:00,33,21,0.0,13.8,7,68,09:48 PM,08:55 AM,05:31 AM,07:09 PM,16,31,31,31,7,10,41,0.0,1008,31,10,353,6,Botswana
2013-01-01 12:00:00,33,21,0.0,13.8,7,68,09:48 PM,08:55 AM,05:31 AM,07:09 PM,15,33,33,33,6,31,34,0.0,1006,33,10,360,5,Botswana
2013-01-01 15:00:00,33,21,0.0,13.8,7,68,09:48 PM,08:55 AM,05:31 AM,07:09 PM,14,32,32,32,4,29,35,0.7,1004,32,9,189,3,Botswana
2013-01-01 18:00:00,33,21,0.0,13.8,7,68,09:48 PM,08:55 AM,05:31 AM,07:09 PM,16,28,28,28,15,30,47,0.0,1006,28,10,68,8,Botswana
2013-01-01 21:00:00,33,21,0.0,13.8,7,68,09:48 PM,08:55 AM,05:31 AM,07:09 PM,16,27,27,26,15,25,57,1.0,1008,26,9,64,8,Botswana
2013-01-02 00:00:00,29,22,0.0,13.8,6,60,10:24 PM,09:49 AM,05:32 AM,07:09 PM,17,26,26,24,20,20,66,1.4,1008,24,9,74,10,Botswana
2013-01-02 03:00:00,29,22,0.0,13.8,6,60,10:24 PM,09:49 AM,05:32 AM,07:09 PM,18,22,24,22,30,13,78,0.1,1010,22,10,58,18,Botswana
2013-01-02 06:00:00,29,22,0.0,13.8,6,60,10:24 PM,09:49 AM,05:32 AM,07:09 PM,17,25,25,24,24,20,67,0.0,1013,24,10,50,21,Botswana
2013-01-02 09:00:00,29,22,0.0,13.8,6,60,10:24 PM,09:49 AM,05:32 AM,07:09 PM,17,29,29,28,24,23,52,0.1,1012,28,10,49,21,Botswana
2013-01-02 12:00:00,29,22,0.0,13.8,6,60,10:24 PM,09:49 AM,05:32 AM,07:09 PM,17,30,30,29,17,29,48,0.0,1010,29,10,54,15,Botswana
2013-01-02 15:00:00,29,22,0.0,13.8,6,60,10:24 PM,09:49 AM,05:32 AM,07:09 PM,17,29,29,28,23,24,52,2.2,1007,28,9,59,15,Botswana
2013-01-02 18:00:00,29,22,0.0,13.8,6,60,10:24 PM,09:49 AM,05:32 AM,07:09 PM,18,26,26,25,19,37,64,0.0,1009,25,10,41,13,Botswana
2013-01-02 21:00:00,29,22,0.0,13.8,6,60,10:24 PM,09:49 AM,05:32 AM,07:09 PM,18,25,25,23,21,32,73,0.0,1010,23,10,43,14,Botswana
2013-01-03 00:00:00,27,20,0.0,13.8,6,53,11:01 PM,10:44 AM,05:33 AM,07:10 PM,18,22,24,22,20,46,79,0.0,1011,21,10,47,14,Botswana
2013-01-03 03:00:00,27,20,0.0,13.8,6,53,11:01 PM,10:44 AM,05:33 AM,07:10 PM,17,20,20,20,14,32,83,0.0,1012,20,10,36,10,Botswana
2013-01-03 06:00:00,27,20,0.0,13.8,6,53,11:01 PM,10:44 AM,05:33 AM,07:10 PM,15,21,24,21,15,46,69,0.0,1013,21,10,35,13,Botswana
2013-01-03 09:00:00,27,20,0.0,13.8,6,53,11:01 PM,10:44 AM,05:33 AM,07:10 PM,15,26,26,25,9,28,55,0.0,1012,25,10,5,8,Botswana
2013-01-03 12:00:00,27,20,0.0,13.8,6,53,11:01 PM,10:44 AM,05:33 AM,07:10 PM,16,27,27,27,8,24,50,0.0,1009,27,10,293,7,Botswana
2013-01-03 15:00:00,27,20,0.0,13.8,6,53,11:01 PM,10:44 AM,05:33 AM,07:10 PM,16,28,28,27,12,17,49,0.0,1007,27,10,247,10,Botswana
2013-01-03 18:00:00,27,20,0.0,13.8,6,53,11:01 PM,10:44 AM,05:33 AM,07:10 PM,16,26,26,25,14,11,59,0.0,1007,24,10,223,7,Botswana
