date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,29,27,0.0,12.9,7,68,09:30 PM,08:53 AM,05:47 AM,06:34 PM,22,30,30,27,8,29,74,0.0,1009,27,10,329,6,Comoros
2013-01-01 03:00:00,29,27,0.0,12.9,7,68,09:30 PM,08:53 AM,05:47 AM,06:34 PM,22,30,30,27,9,45,76,0.0,1008,27,10,315,6,Comoros
2013-01-01 06:00:00,29,27,0.0,12.9,7,68,09:30 PM,08:53 AM,05:47 AM,06:34 PM,22,30,30,27,11,32,77,3.1,1007,27,7,272,7,Comoros
2013-01-01 09:00:00,29,27,0.0,12.9,7,68,09:30 PM,08:53 AM,05:47 AM,06:34 PM,22,31,31,28,16,32,71,0.0,1009,28,10,271,12,Comoros
2013-01-01 12:00:00,29,27,0.0,12.9,7,68,09:30 PM,08:53 AM,05:47 AM,06:34 PM,23,32,32,29,18,21,69,0.0,1009,29,10,273,14,Comoros
2013-01-01 15:00:00,29,27,0.0,12.9,7,68,09:30 PM,08:53 AM,05:47 AM,06:34 PM,23,32,32,29,15,31,71,0.0,1007,29,10,277,12,Comoros
2013-01-01 18:00:00,29,27,0.0,12.9,7,68,09:30 PM,08:53 AM,05:47 AM,06:34 PM,23,31,31,28,12,32,72,2.3,1006,28,9,285,8,Comoros
2013-01-01 21:00:00,29,27,0.0,12.9,7,68,09:30 PM,08:53 AM,05:47 AM,06:34 PM,23,31,31,28,15,29,74,0.0,1008,28,10,333,11,Comoros
2013-01-02 00:00:00,28,28,0.0,12.9,6,60,10:11 PM,09:42 AM,05:47 AM,06:35 PM,23,31,31,28,17,32,76,0.2,1008,28,9,326,13,Comoros
2013-01-02 03:00:00,28,28,0.0,12.9,6,60,10:11 PM,09:42 AM,05:47 AM,06:35 PM,23,31,31,28,26,27,77,3.5,1007,28,7,318,15,Comoros
2013-01-02 06:00:00,28,28,0.0,12.9,6,60,10:11 PM,09:42 AM,05:47 AM,06:35 PM,23,31,31,28,25,42,77,1.6,1008,28,10,319,18,Comoros
2013-01-02 09:00:00,28,28,0.0,12.9,6,60,10:11 PM,09:42 AM,05:47 AM,06:35 PM,24,32,32,28,24,43,75,0.0,1009,28,10,325,19,Comoros
2013-01-02 12:00:00,28,28,0.0,12.9,6,60,10:11 PM,09:42 AM,05:47 AM,06:35 PM,24,33,33,29,36,31,75,6.7,1008,28,7,323,18,Comoros
2013-01-02 15:00:00,28,28,0.0,12.9,6,60,10:11 PM,09:42 AM,05:47 AM,06:35 PM,23,32,32,28,20,30,73,0.0,1007,28,10,329,15,Comoros
2013-01-02 18:00:00,28,28,0.0,12.9,6,60,10:11 PM,09:42 AM,05:47 AM,06:35 PM,23,32,32,28,33,31,73,8.5,1007,28,3,352,16,Comoros
2013-01-02 21:00:00,28,28,0.0,12.9,6,60,10:11 PM,09:42 AM,05:47 AM,06:35 PM,23,32,32,28,28,37,75,0.0,1009,28,10,3,20,Comoros
