date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,23,16,0.0,11.5,5,68,09:35 PM,09:28 AM,06:51 AM,06:05 PM,15,18,18,18,10,25,83,0.0,1015,18,10,64,8,Eritrea
2013-01-01 03:00:00,23,16,0.0,11.5,5,68,09:35 PM,09:28 AM,06:51 AM,06:05 PM,15,18,18,18,10,17,82,0.0,1014,17,10,66,8,Eritrea
2013-01-01 06:00:00,23,16,0.0,11.5,5,68,09:35 PM,09:28 AM,06:51 AM,06:05 PM,14,16,16,16,11,34,87,0.0,1014,16,10,80,8,Eritrea
2013-01-01 09:00:00,23,16,0.0,11.5,5,68,09:35 PM,09:28 AM,06:51 AM,06:05 PM,14,18,18,18,10,30,76,0.0,1016,18,10,108,8,Eritrea
2013-01-01 12:00:00,23,16,0.0,11.5,5,68,09:35 PM,09:28 AM,06:51 AM,06:05 PM,12,22,25,22,12,7,54,0.0,1014,22,10,73,10,Eritrea
2013-01-01 15:00:00,23,16,0.0,11.5,5,68,09:35 PM,09:28 AM,06:51 AM,06:05 PM,13,25,25,23,12,7,54,0.0,1011,23,10,59,11,Eritrea
2013-01-01 18:00:00,23,16,0.0,11.5,5,68,09:35 PM,09:28 AM,06:51 AM,06:05 PM,15,20,20,20,15,14,71,0.0,1012,20,10,58,12,Eritrea
2013-01-01 21:00:00,23,16,0.0,11.5,5,68,09:35 PM,09:28 AM,06:51 AM,06:05 PM,16,19,19,19,14,25,84,0.0,1014,19,10,62,11,Eritrea
2013-01-02 00:00:00,22,16,0.0,11.6,4,60,10:25 PM,10:08 AM,06:51 AM,06:06 PM,16,18,18,18,14,40,88,0.2,1015,18,5,62,10,Eritrea
2013-01-02 03:00:00,22,16,0.0,11.6,4,60,10:25 PM,10:08 AM,06:51 AM,06:06 PM,15,17,17,17,13,34,87,0.4,1015,17,9,69,10,Eritrea
2013-01-02 06:00:00,22,16,0.0,11.6,4,60,10:25 PM,10:08 AM,06:51 AM,06:06 PM,14,16,16,16,13,24,86,0.0,1016,16,10,74,10,Eritrea
2013-01-02 09:00:00,22,16,0.0,11.6,4,60,10:25 PM,10:08 AM,06:51 AM,06:06 PM,12,18,18,18,12,7,70,0.0,1017,18,10,84,10,Eritrea
2013-01-02 12:00:00,22,16,0.0,11.6,4,60,10:25 PM,10:08 AM,06:51 AM,06:06 PM,9,22,24,22,17,3,44,0.0,1016,22,10,70,15,Eritrea
2013-01-02 15:00:00,22,16,0.0,11.6,4,60,10:25 PM,10:08 AM,06:51 AM,06:06 PM,10,24,24,22,19,3,44,0.0,1014,22,10,69,16,Eritrea
2013-01-02 18:00:00,22,16,0.0,11.6,4,60,10:25 PM,10:08 AM,06:51 AM,06:06 PM,12,19,19,19,20,5,65,0.0,1014,19,10,62,16,Eritrea
