date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,22,6,0.0,11.6,4,68,09:39 PM,09:25 AM,06:40 AM,06:17 PM,3,10,11,10,11,3,59,0.0,1018,9,10,80,5,Ethiopia
2013-01-01 03:00:00,22,6,0.0,11.6,4,68,09:39 PM,09:25 AM,06:40 AM,06:17 PM,4,9,9,9,7,4,70,0.0,1017,7,10,72,3,Ethiopia
2013-01-01 06:00:00,22,6,0.0,11.6,4,68,09:39 PM,09:25 AM,06:40 AM,06:17 PM,4,8,8,8,8,5,80,0.0,1018,6,10,80,4,Ethiopia
2013-01-01 09:00:00,22,6,0.0,11.6,4,68,09:39 PM,09:25 AM,06:40 AM,06:17 PM,6,16,16,16,7,6,51,0.0,1019,15,10,118,6,Ethiopia
2013-01-01 12:00:00,22,6,0.0,11.6,4,68,09:39 PM,09:25 AM,06:40 AM,06:17 PM,4,21,21,21,10,4,33,0.0,1016,20,10,132,9,Ethiopia
2013-01-01 15:00:00,22,6,0.0,11.6,4,68,09:39 PM,09:25 AM,06:40 AM,06:17 PM,4,23,24,23,9,2,28,0.0,1012,22,10,125,8,Ethiopia
2013-01-01 18:00:00,22,6,0.0,11.6,4,68,09:39 PM,09:25 AM,06:40 AM,06:17 PM,4,18,18,18,11,2,40,0.0,1014,17,10,119,9,Ethiopia
2013-01-01 21:00:00,22,6,0.0,11.6,4,68,09:39 PM,09:25 AM,06:40 AM,06:17 PM,2,12,13,12,17,1,48,0.0,1016,12,10,79,9,Ethiopia
2013-01-02 00:00:00,22,7,0.0,11.6,4,60,10:27 PM,10:07 AM,06:41 AM,06:17 PM,3,10,10,10,11,4,62,0.0,1018,9,10,76,5,Ethiopia
2013-01-02 03:00:00,22,7,0.0,11.6,4,60,10:27 PM,10:07 AM,06:41 AM,06:17 PM,5,9,9,9,11,6,73,0.0,1018,8,10,62,5,Ethiopia
2013-01-02 06:00:00,22,7,0.0,11.6,4,60,10:27 PM,10:07 AM,06:41 AM,06:17 PM,5,7,8,7,11,9,84,0.0,1019,7,10,68,5,Ethiopia
2013-01-02 09:00:00,22,7,0.0,11.6,4,60,10:27 PM,10:07 AM,06:41 AM,06:17 PM,7,15,15,15,8,7,59,0.0,1019,14,10,90,7,Ethiopia
2013-01-02 12:00:00,22,7,0.0,11.6,4,60,10:27 PM,10:07 AM,06:41 AM,06:17 PM,6,22,24,22,10,6,36,0.0,1016,21,10,116,9,Ethiopia
2013-01-02 15:00:00,22,7,0.0,11.6,4,60,10:27 PM,10:07 AM,06:41 AM,06:17 PM,6,22,24,22,14,5,35,0.0,1013,22,10,111,12,Ethiopia
2013-01-02 18:00:00,22,7,0.0,11.6,4,60,10:27 PM,10:07 AM,06:41 AM,06:17 PM,7,16,16,16,18,8,54,0.0,1015,16,10,121,13,Ethiopia
2013-01-02 21:00:00,22,7,0.0,11.6,4,60,10:27 PM,10:07 AM,06:41 AM,06:17 PM,8,10,11,10,17,18,83,0.0,1018,11,10,98,10,Ethiopia
2013-01-03 00:00:00,21,8,0.0,11.6,3,53,11:16 PM,10:50 AM,06:41 AM,06:18 PM,8,9,9,9,9,50,96,0.0,1019,9,2,82,5,Ethiopia
2013-01-03 03:00:00,21,8,0.0,11.6,3,53,11:16 PM,10:50 AM,06:41 AM,06:18 PM,8,8,9,8,10,100,98,0.0,1018,8,0,88,6,Ethiopia
2013-01-03 06:00:00,21,8,0.0,11.6,3,53,11:16 PM,10:50 AM,06:41 AM,06:18 PM,9,9,9,9,8,78,96,0.1,1020,9,2,105,5,Ethiopia
2013-01-03 09:00:00,21,8,0.0,11.6,3,53,11:16 PM,10:50 AM,06:41 AM,06:18 PM,9,13,14,13,10,30,72,0.0,1020,13,10,114,8,Ethiopia
2013-01-03 12:00:00,21,8,0.0,11.6,3,53,11:16 PM,10:50 AM,06:41 AM,06:18 PM,5,19,19,19,17,6,40,0.0,1017,19,10,111,14,Ethiopia
2013-01-03 15:00:00,21,8,0.0,11.6,3,53,11:16 PM,10:50 AM,06:41 AM,06:18 PM,3,21,21,21,17,2,30,0.0,1013,21,10,114,15,Ethiopia
2013-01-03 18:00:00,21,8,0.0,11.6,3,53,11:16 PM,10:50 AM,06:41 AM,06:18 PM,5,16,16,16,15,2,47,0.0,1016,16,10,123,10,Ethiopia
2013-01-03 21:00:00,21,8,0.0,11.6,3,53,11:16 PM,10:50 AM,06:41 AM,06:18 PM,6,10,11,10,12,9,74,0.0,1019,10,10,93,6,Ethiopia
2013-01-04 00:00:00,22,6,0.0,11.6,4,46,No moonrise,11:34 AM,06:42 AM,06:19 PM,7,8,9,8,12,15,84,0.0,1020,9,10,72,6,Ethiopia
2013-01-04 03:00:00,22,6,0.0,11.6,4,46,No moonrise,11:34 AM,06:42 AM,06:19 PM,6,7,8,7,11,16,89,0.0,1019,7,10,71,5,Ethiopia
2013-01-04 06:00:00,22,6,0.0,11.6,4,46,No moonrise,11:34 AM,06:42 AM,06:19 PM,5,6,7,6,10,15,91,0.0,1020,6,10,73,5,Ethiopia
2013-01-04 09:00:00,22,6,0.0,11.6,4,46,No moonrise,11:34 AM,06:42 AM,06:19 PM,7,16,16,16,5,6,57,0.0,1020,14,10,116,5,Ethiopia
2013-01-04 12:00:00,22,6,0.0,11.6,4,46,No moonrise,11:34 AM,06:42 AM,06:19 PM,5,21,21,21,11,4,35,0.0,1016,20,10,128,10,Ethiopia
2013-01-04 15:00:00,22,6,0.0,11.6,4,46,No moonrise,11:34 AM,06:42 AM,06:19 PM,3,23,23,22,14,1,29,0.0,1012,22,10,129,12,Ethiopia
2013-01-04 18:00:00,22,6,0.0,11.6,4,46,No moonrise,11:34 AM,06:42 AM,06:19 PM,5,18,18,18,14,2,43,0.0,1013,17,10,132,10,Ethiopia
2013-01-04 21:00:00,22,6,0.0,11.6,4,46,No moonrise,11:34 AM,06:42 AM,06:19 PM,6,12,12,12,14,5,65,0.0,1017,12,10,84,7,Ethiopia
2013-01-05 00:00:00,23,6,0.0,11.6,4,38,12:07 AM,12:19 PM,06:42 AM,06:19 PM,6,10,10,10,12,7,76,0.0,1018,10,10,85,6,Ethiopia
2013-01-05 03:00:00,23,6,0.0,11.6,4,38,12:07 AM,12:19 PM,06:42 AM,06:19 PM,6,9,9,9,8,6,81,0.0,1017,8,10,82,4,Ethiopia
2013-01-05 06:00:00,23,6,0.0,11.6,4,38,12:07 AM,12:19 PM,06:42 AM,06:19 PM,6,8,8,8,5,6,89,0.0,1018,6,10,73,2,Ethiopia
2013-01-05 09:00:00,23,6,0.0,11.6,4,38,12:07 AM,12:19 PM,06:42 AM,06:19 PM,7,18,18,18,5,4,48,0.0,1017,16,10,134,4,Ethiopia
2013-01-05 12:00:00,23,6,0.0,11.6,4,38,12:07 AM,12:19 PM,06:42 AM,06:19 PM,5,22,23,22,12,4,33,0.0,1014,21,10,147,10,Ethiopia
2013-01-05 15:00:00,23,6,0.0,11.6,4,38,12:07 AM,12:19 PM,06:42 AM,06:19 PM,4,24,24,24,13,2,29,0.0,1010,23,10,154,12,Ethiopia
2013-01-05 18:00:00,23,6,0.0,11.6,4,38,12:07 AM,12:19 PM,06:42 AM,06:19 PM,5,19,19,19,14,2,40,0.0,1012,18,10,139,9,Ethiopia
2013-01-05 21:00:00,23,6,0.0,11.6,4,38,12:07 AM,12:19 PM,06:42 AM,06:19 PM,4,15,15,15,17,6,49,0.0,1014,14,10,86,8,Ethiopia
2013-01-06 00:00:00,24,7,0.0,11.6,5,31,01:01 AM,01:09 PM,06:42 AM,06:20 PM,5,14,14,14,10,4,54,0.0,1016,13,10,104,6,Ethiopia
2013-01-06 03:00:00,24,7,0.0,11.6,5,31,01:01 AM,01:09 PM,06:42 AM,06:20 PM,5,12,11,12,8,4,67,0.0,1016,9,10,133,4,Ethiopia
2013-01-06 06:00:00,24,7,0.0,11.6,5,31,01:01 AM,01:09 PM,06:42 AM,06:20 PM,5,9,9,9,4,4,73,0.0,1018,7,10,185,2,Ethiopia
2013-01-06 09:00:00,24,7,0.0,11.6,5,31,01:01 AM,01:09 PM,06:42 AM,06:20 PM,4,19,19,19,3,3,38,0.0,1018,17,10,201,3,Ethiopia
2013-01-06 12:00:00,24,7,0.0,11.6,5,31,01:01 AM,01:09 PM,06:42 AM,06:20 PM,4,24,24,25,7,2,26,0.0,1015,23,10,176,6,Ethiopia
2013-01-06 15:00:00,24,7,0.0,11.6,5,31,01:01 AM,01:09 PM,06:42 AM,06:20 PM,4,25,25,27,7,0,24,0.0,1011,24,10,170,6,Ethiopia
2013-01-06 18:00:00,24,7,0.0,11.6,5,31,01:01 AM,01:09 PM,06:42 AM,06:20 PM,6,21,24,21,7,0,37,0.0,1013,19,10,147,6,Ethiopia
2013-01-06 21:00:00,24,7,0.0,11.6,5,31,01:01 AM,01:09 PM,06:42 AM,06:20 PM,3,17,17,17,9,0,39,0.0,1016,15,10,89,5,Ethiopia
2013-01-07 00:00:00,22,9,0.0,11.6,5,24,01:57 AM,02:02 PM,06:43 AM,06:20 PM,4,15,14,15,8,2,49,0.0,1016,12,10,133,4,Ethiopia
2013-01-07 03:00:00,22,9,0.0,11.6,5,24,01:57 AM,02:02 PM,06:43 AM,06:20 PM,5,12,12,12,10,6,59,0.0,1016,11,10,145,5,Ethiopia
2013-01-07 06:00:00,22,9,0.0,11.6,5,24,01:57 AM,02:02 PM,06:43 AM,06:20 PM,5,11,10,11,7,8,68,0.0,1018,9,10,130,3,Ethiopia
2013-01-07 09:00:00,22,9,0.0,11.6,5,24,01:57 AM,02:02 PM,06:43 AM,06:20 PM,6,18,18,18,5,14,46,0.0,1019,17,10,123,4,Ethiopia
2013-01-07 12:00:00,22,9,0.0,11.6,5,24,01:57 AM,02:02 PM,06:43 AM,06:20 PM,8,24,24,23,7,8,38,0.0,1016,22,10,131,6,Ethiopia
2013-01-07 15:00:00,22,9,0.0,11.6,5,24,01:57 AM,02:02 PM,06:43 AM,06:20 PM,9,22,24,22,7,14,41,0.0,1013,22,10,82,6,Ethiopia
2013-01-07 18:00:00,22,9,0.0,11.6,5,24,01:57 AM,02:02 PM,06:43 AM,06:20 PM,9,19,19,19,10,8,52,0.2,1014,19,10,95,7,Ethiopia
2013-01-07 21:00:00,22,9,0.0,11.6,5,24,01:57 AM,02:02 PM,06:43 AM,06:20 PM,7,16,16,16,17,5,56,0.0,1016,15,10,74,9,Ethiopia
2013-01-08 00:00:00,20,11,0.0,10.2,5,17,02:57 AM,02:59 PM,06:43 AM,06:21 PM,8,13,14,13,12,13,70,0.0,1017,13,10,101,7,Ethiopia
2013-01-08 03:00:00,20,11,0.0,10.2,5,17,02:57 AM,02:59 PM,06:43 AM,06:21 PM,9,12,12,12,8,28,79,0.0,1018,12,10,100,5,Ethiopia
2013-01-08 06:00:00,20,11,0.0,10.2,5,17,02:57 AM,02:59 PM,06:43 AM,06:21 PM,9,11,11,11,7,64,88,0.0,1019,11,10,117,4,Ethiopia
2013-01-08 09:00:00,20,11,0.0,10.2,5,17,02:57 AM,02:59 PM,06:43 AM,06:21 PM,11,15,15,15,8,71,73,0.0,1019,15,10,121,7,Ethiopia
2013-01-08 12:00:00,20,11,0.0,10.2,5,17,02:57 AM,02:59 PM,06:43 AM,06:21 PM,10,19,19,19,14,28,54,0.2,1017,19,9,127,12,Ethiopia
2013-01-08 15:00:00,20,11,0.0,10.2,5,17,02:57 AM,02:59 PM,06:43 AM,06:21 PM,10,20,20,20,12,17,50,0.0,1013,20,10,127,10,Ethiopia
2013-01-08 18:00:00,20,11,0.0,10.2,5,17,02:57 AM,02:59 PM,06:43 AM,06:21 PM,10,17,17,17,12,20,61,0.3,1014,17,9,118,9,Ethiopia
2013-01-08 21:00:00,20,11,0.0,10.2,5,17,02:57 AM,02:59 PM,06:43 AM,06:21 PM,10,13,13,13,14,17,82,0.0,1017,13,10,94,8,Ethiopia
2013-01-09 00:00:00,22,8,0.0,11.6,5,9,04:00 AM,04:01 PM,06:43 AM,06:21 PM,10,11,11,11,9,33,92,0.0,1018,11,10,87,5,Ethiopia
2013-01-09 03:00:00,22,8,0.0,11.6,5,9,04:00 AM,04:01 PM,06:43 AM,06:21 PM,9,11,10,11,6,24,93,0.0,1017,10,10,79,3,Ethiopia
2013-01-09 06:00:00,22,8,0.0,11.6,5,9,04:00 AM,04:01 PM,06:43 AM,06:21 PM,8,9,9,9,8,37,95,0.0,1018,8,2,83,4,Ethiopia
2013-01-09 09:00:00,22,8,0.0,11.6,5,9,04:00 AM,04:01 PM,06:43 AM,06:21 PM,10,16,16,16,7,21,66,0.0,1019,16,10,120,6,Ethiopia
2013-01-09 12:00:00,22,8,0.0,11.6,5,9,04:00 AM,04:01 PM,06:43 AM,06:21 PM,8,21,24,21,12,11,43,0.0,1016,21,10,126,10,Ethiopia
2013-01-09 15:00:00,22,8,0.0,11.6,5,9,04:00 AM,04:01 PM,06:43 AM,06:21 PM,8,24,24,23,12,14,38,0.0,1012,22,10,129,11,Ethiopia
2013-01-09 18:00:00,22,8,0.0,11.6,5,9,04:00 AM,04:01 PM,06:43 AM,06:21 PM,9,18,18,18,13,13,56,0.1,1013,18,10,107,9,Ethiopia
2013-01-09 21:00:00,22,8,0.0,11.6,5,9,04:00 AM,04:01 PM,06:43 AM,06:21 PM,9,14,15,14,19,11,70,0.0,1016,14,10,82,11,Ethiopia
2013-01-10 00:00:00,22,9,0.0,11.6,5,2,05:02 AM,05:04 PM,06:44 AM,06:22 PM,10,13,13,13,9,22,81,0.0,1018,13,10,102,6,Ethiopia
2013-01-10 03:00:00,22,9,0.0,11.6,5,2,05:02 AM,05:04 PM,06:44 AM,06:22 PM,10,12,11,12,7,33,91,0.0,1017,11,10,98,4,Ethiopia
2013-01-10 06:00:00,22,9,0.0,11.6,5,2,05:02 AM,05:04 PM,06:44 AM,06:22 PM,9,10,10,10,7,60,95,0.0,1018,9,2,93,3,Ethiopia
2013-01-10 09:00:00,22,9,0.0,11.6,5,2,05:02 AM,05:04 PM,06:44 AM,06:22 PM,10,16,16,16,7,47,69,0.0,1018,16,10,118,6,Ethiopia
2013-01-10 12:00:00,22,9,0.0,11.6,5,2,05:02 AM,05:04 PM,06:44 AM,06:22 PM,10,20,20,20,12,22,51,0.2,1015,20,9,126,10,Ethiopia
2013-01-10 15:00:00,22,9,0.0,11.6,5,2,05:02 AM,05:04 PM,06:44 AM,06:22 PM,8,24,24,22,15,8,41,0.0,1012,22,10,120,13,Ethiopia
2013-01-10 18:00:00,22,9,0.0,11.6,5,2,05:02 AM,05:04 PM,06:44 AM,06:22 PM,9,19,19,19,14,10,55,0.0,1013,18,10,112,10,Ethiopia
2013-01-10 21:00:00,22,9,0.0,11.6,5,2,05:02 AM,05:04 PM,06:44 AM,06:22 PM,10,14,14,14,12,15,79,0.0,1016,13,10,99,7,Ethiopia
2013-01-11 00:00:00,22,10,0.0,11.6,4,0,06:03 AM,06:07 PM,06:44 AM,06:22 PM,10,12,12,12,10,51,92,0.0,1017,11,10,94,5,Ethiopia
2013-01-11 03:00:00,22,10,0.0,11.6,4,0,06:03 AM,06:07 PM,06:44 AM,06:22 PM,10,11,11,11,7,36,96,0.0,1017,10,2,93,4,Ethiopia
2013-01-11 06:00:00,22,10,0.0,11.6,4,0,06:03 AM,06:07 PM,06:44 AM,06:22 PM,10,11,11,11,6,53,96,0.0,1018,10,2,94,3,Ethiopia
2013-01-11 09:00:00,22,10,0.0,11.6,4,0,06:03 AM,06:07 PM,06:44 AM,06:22 PM,11,15,15,15,7,42,77,0.0,1019,15,10,128,6,Ethiopia
2013-01-11 12:00:00,22,10,0.0,11.6,4,0,06:03 AM,06:07 PM,06:44 AM,06:22 PM,9,21,21,21,13,19,49,0.2,1016,21,9,122,11,Ethiopia
2013-01-11 15:00:00,22,10,0.0,11.6,4,0,06:03 AM,06:07 PM,06:44 AM,06:22 PM,8,22,24,22,16,7,42,0.0,1013,22,10,121,14,Ethiopia
2013-01-11 18:00:00,22,10,0.0,11.6,4,0,06:03 AM,06:07 PM,06:44 AM,06:22 PM,9,18,18,18,15,9,56,0.0,1014,18,10,111,11,Ethiopia
2013-01-11 21:00:00,22,10,0.0,11.6,4,0,06:03 AM,06:07 PM,06:44 AM,06:22 PM,10,13,13,13,13,19,83,0.0,1017,13,10,96,8,Ethiopia
2013-01-12 00:00:00,20,11,0.0,11.6,3,0,07:01 AM,07:08 PM,06:44 AM,06:23 PM,11,11,11,11,11,100,97,0.0,1018,11,0,96,6,Ethiopia
2013-01-12 03:00:00,20,11,0.0,11.6,3,0,07:01 AM,07:08 PM,06:44 AM,06:23 PM,11,11,11,11,9,100,98,0.0,1017,11,0,105,6,Ethiopia
2013-01-12 06:00:00,20,11,0.0,11.6,3,0,07:01 AM,07:08 PM,06:44 AM,06:23 PM,11,11,12,11,10,72,93,0.1,1018,11,10,106,7,Ethiopia
2013-01-12 09:00:00,20,11,0.0,11.6,3,0,07:01 AM,07:08 PM,06:44 AM,06:23 PM,10,13,14,13,11,41,80,0.0,1018,13,10,114,9,Ethiopia
2013-01-12 12:00:00,20,11,0.0,11.6,3,0,07:01 AM,07:08 PM,06:44 AM,06:23 PM,10,18,18,18,15,46,60,0.2,1016,18,9,120,13,Ethiopia
2013-01-12 15:00:00,20,11,0.0,11.6,3,0,07:01 AM,07:08 PM,06:44 AM,06:23 PM,8,20,20,20,19,14,47,0.0,1013,20,10,117,17,Ethiopia
2013-01-12 18:00:00,20,11,0.0,11.6,3,0,07:01 AM,07:08 PM,06:44 AM,06:23 PM,8,16,16,16,17,11,58,0.0,1014,16,10,114,13,Ethiopia
2013-01-12 21:00:00,20,11,0.0,11.6,3,0,07:01 AM,07:08 PM,06:44 AM,06:23 PM,9,10,12,10,25,19,84,0.0,1017,12,10,78,13,Ethiopia
2013-01-13 00:00:00,21,8,0.0,10.2,4,5,07:55 AM,08:06 PM,06:44 AM,06:23 PM,9,9,10,9,12,28,93,0.0,1019,9,10,76,6,Ethiopia
2013-01-13 03:00:00,21,8,0.0,10.2,4,5,07:55 AM,08:06 PM,06:44 AM,06:23 PM,8,8,9,8,12,29,94,0.0,1018,8,2,73,6,Ethiopia
2013-01-13 06:00:00,21,8,0.0,10.2,4,5,07:55 AM,08:06 PM,06:44 AM,06:23 PM,8,8,9,8,11,59,95,0.1,1019,9,2,87,6,Ethiopia
2013-01-13 09:00:00,21,8,0.0,10.2,4,5,07:55 AM,08:06 PM,06:44 AM,06:23 PM,9,13,14,13,9,63,75,0.0,1019,13,10,109,8,Ethiopia
2013-01-13 12:00:00,21,8,0.0,10.2,4,5,07:55 AM,08:06 PM,06:44 AM,06:23 PM,8,19,19,19,12,20,50,0.1,1016,18,10,108,10,Ethiopia
2013-01-13 15:00:00,21,8,0.0,10.2,4,5,07:55 AM,08:06 PM,06:44 AM,06:23 PM,6,22,24,22,13,4,36,0.0,1012,21,10,110,12,Ethiopia
2013-01-13 18:00:00,21,8,0.0,10.2,4,5,07:55 AM,08:06 PM,06:44 AM,06:23 PM,6,17,17,17,17,4,48,0.0,1013,17,10,122,12,Ethiopia
2013-01-13 21:00:00,21,8,0.0,10.2,4,5,07:55 AM,08:06 PM,06:44 AM,06:23 PM,6,11,12,11,26,6,67,0.0,1016,12,10,77,13,Ethiopia
2013-01-14 00:00:00,22,7,0.0,11.6,4,12,08:45 AM,09:01 PM,06:45 AM,06:24 PM,7,9,10,9,14,14,82,0.0,1017,10,10,82,7,Ethiopia
2013-01-14 03:00:00,22,7,0.0,11.6,4,12,08:45 AM,09:01 PM,06:45 AM,06:24 PM,6,8,9,8,12,13,84,0.0,1018,8,10,78,6,Ethiopia
2013-01-14 06:00:00,22,7,0.0,11.6,4,12,08:45 AM,09:01 PM,06:45 AM,06:24 PM,5,7,8,7,12,10,81,0.0,1019,7,10,69,6,Ethiopia
2013-01-14 09:00:00,22,7,0.0,11.6,4,12,08:45 AM,09:01 PM,06:45 AM,06:24 PM,5,14,15,14,10,8,54,0.0,1018,14,10,109,8,Ethiopia
2013-01-14 12:00:00,22,7,0.0,11.6,4,12,08:45 AM,09:01 PM,06:45 AM,06:24 PM,5,20,20,20,15,5,36,0.0,1015,20,10,117,13,Ethiopia
2013-01-14 15:00:00,22,7,0.0,11.6,4,12,08:45 AM,09:01 PM,06:45 AM,06:24 PM,3,22,23,22,17,0,28,0.0,1011,22,10,115,15,Ethiopia
2013-01-14 18:00:00,22,7,0.0,11.6,4,12,08:45 AM,09:01 PM,06:45 AM,06:24 PM,4,17,17,17,18,2,40,0.0,1013,17,10,114,12,Ethiopia
2013-01-14 21:00:00,22,7,0.0,11.6,4,12,08:45 AM,09:01 PM,06:45 AM,06:24 PM,3,11,12,11,25,3,54,0.0,1016,12,10,73,12,Ethiopia
2013-01-15 00:00:00,22,8,0.0,11.6,4,20,09:32 AM,09:53 PM,06:45 AM,06:24 PM,4,10,11,10,14,4,62,0.0,1017,10,10,82,7,Ethiopia
2013-01-15 03:00:00,22,8,0.0,11.6,4,20,09:32 AM,09:53 PM,06:45 AM,06:24 PM,3,9,10,9,11,4,64,0.0,1018,8,10,73,6,Ethiopia
2013-01-15 06:00:00,22,8,0.0,11.6,4,20,09:32 AM,09:53 PM,06:45 AM,06:24 PM,2,8,9,8,12,5,63,0.0,1019,8,10,69,6,Ethiopia
2013-01-15 09:00:00,22,8,0.0,11.6,4,20,09:32 AM,09:53 PM,06:45 AM,06:24 PM,4,16,16,16,9,6,47,0.0,1019,15,10,102,8,Ethiopia
2013-01-15 12:00:00,22,8,0.0,11.6,4,20,09:32 AM,09:53 PM,06:45 AM,06:24 PM,5,21,21,21,14,5,35,0.0,1016,21,10,120,12,Ethiopia
2013-01-15 15:00:00,22,8,0.0,11.6,4,20,09:32 AM,09:53 PM,06:45 AM,06:24 PM,4,23,23,22,17,3,31,0.0,1012,22,10,116,15,Ethiopia
2013-01-15 18:00:00,22,8,0.0,11.6,4,20,09:32 AM,09:53 PM,06:45 AM,06:24 PM,5,18,18,18,18,3,44,0.0,1014,18,10,120,13,Ethiopia
2013-01-15 21:00:00,22,8,0.0,11.6,4,20,09:32 AM,09:53 PM,06:45 AM,06:24 PM,7,12,13,12,14,6,67,0.0,1018,12,10,88,8,Ethiopia
2013-01-16 00:00:00,21,9,0.0,11.6,4,27,10:16 AM,10:42 PM,06:45 AM,06:25 PM,7,10,11,10,13,12,78,0.0,1019,11,10,82,7,Ethiopia
2013-01-16 03:00:00,21,9,0.0,11.6,4,27,10:16 AM,10:42 PM,06:45 AM,06:25 PM,8,9,10,9,12,19,86,0.0,1018,9,10,75,6,Ethiopia
2013-01-16 06:00:00,21,9,0.0,11.6,4,27,10:16 AM,10:42 PM,06:45 AM,06:25 PM,8,8,9,8,14,39,91,0.0,1019,9,10,77,7,Ethiopia
2013-01-16 09:00:00,21,9,0.0,11.6,4,27,10:16 AM,10:42 PM,06:45 AM,06:25 PM,9,14,15,14,12,31,70,0.0,1019,15,10,108,10,Ethiopia
2013-01-16 12:00:00,21,9,0.0,11.6,4,27,10:16 AM,10:42 PM,06:45 AM,06:25 PM,9,20,20,20,19,18,48,0.0,1015,20,10,116,16,Ethiopia
2013-01-16 15:00:00,21,9,0.0,11.6,4,27,10:16 AM,10:42 PM,06:45 AM,06:25 PM,8,21,24,21,17,8,43,0.0,1012,21,10,115,15,Ethiopia
2013-01-16 18:00:00,21,9,0.0,11.6,4,27,10:16 AM,10:42 PM,06:45 AM,06:25 PM,8,18,18,18,17,7,52,0.0,1014,18,10,118,12,Ethiopia
2013-01-16 21:00:00,21,9,0.0,11.6,4,27,10:16 AM,10:42 PM,06:45 AM,06:25 PM,9,12,13,12,13,12,75,0.0,1018,12,10,92,8,Ethiopia
