date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,22,14,0.0,11.6,4,68,09:51 PM,09:26 AM,06:30 AM,06:42 PM,15,16,16,16,14,65,96,0.1,1015,16,2,48,8,Kenya
2013-01-01 03:00:00,22,14,0.0,11.6,4,68,09:51 PM,09:26 AM,06:30 AM,06:42 PM,15,15,15,15,12,100,98,0.0,1014,15,0,47,7,Kenya
2013-01-01 06:00:00,22,14,0.0,11.6,4,68,09:51 PM,09:26 AM,06:30 AM,06:42 PM,14,15,15,15,10,47,96,0.0,1014,14,2,5,6,Kenya
2013-01-01 09:00:00,22,14,0.0,11.6,4,68,09:51 PM,09:26 AM,06:30 AM,06:42 PM,16,20,20,20,6,47,76,0.0,1015,19,10,21,5,Kenya
2013-01-01 12:00:00,22,14,0.0,11.6,4,68,09:51 PM,09:26 AM,06:30 AM,06:42 PM,16,23,25,23,6,44,66,0.5,1014,22,9,67,5,Kenya
2013-01-01 15:00:00,22,14,0.0,11.6,4,68,09:51 PM,09:26 AM,06:30 AM,06:42 PM,17,22,25,22,10,46,71,0.0,1010,22,10,94,9,Kenya
2013-01-01 18:00:00,22,14,0.0,11.6,4,68,09:51 PM,09:26 AM,06:30 AM,06:42 PM,17,20,20,20,13,45,84,1.9,1010,19,10,80,9,Kenya
2013-01-01 21:00:00,22,14,0.0,11.6,4,68,09:51 PM,09:26 AM,06:30 AM,06:42 PM,15,16,16,16,15,34,93,0.0,1014,16,10,68,8,Kenya
2013-01-02 00:00:00,23,14,0.0,10.2,4,60,10:36 PM,10:12 AM,06:31 AM,06:43 PM,14,15,15,15,16,41,96,0.4,1015,15,9,35,8,Kenya
2013-01-02 03:00:00,23,14,0.0,10.2,4,60,10:36 PM,10:12 AM,06:31 AM,06:43 PM,14,15,15,15,13,33,95,0.4,1014,14,9,13,7,Kenya
2013-01-02 06:00:00,23,14,0.0,10.2,4,60,10:36 PM,10:12 AM,06:31 AM,06:43 PM,13,15,15,15,14,27,91,0.0,1015,14,10,324,6,Kenya
2013-01-02 09:00:00,23,14,0.0,10.2,4,60,10:36 PM,10:12 AM,06:31 AM,06:43 PM,15,21,21,21,5,46,70,0.0,1015,20,10,356,4,Kenya
2013-01-02 12:00:00,23,14,0.0,10.2,4,60,10:36 PM,10:12 AM,06:31 AM,06:43 PM,16,25,25,24,3,44,63,0.0,1014,23,10,59,3,Kenya
2013-01-02 15:00:00,23,14,0.0,10.2,4,60,10:36 PM,10:12 AM,06:31 AM,06:43 PM,18,25,25,23,7,44,74,0.0,1010,22,10,91,6,Kenya
2013-01-02 18:00:00,23,14,0.0,10.2,4,60,10:36 PM,10:12 AM,06:31 AM,06:43 PM,17,19,19,19,14,66,89,2.8,1011,19,7,71,9,Kenya
2013-01-02 21:00:00,23,14,0.0,10.2,4,60,10:36 PM,10:12 AM,06:31 AM,06:43 PM,16,17,17,17,16,64,96,0.0,1014,16,2,49,10,Kenya
2013-01-03 00:00:00,23,14,0.0,11.6,4,53,11:22 PM,10:58 AM,06:31 AM,06:43 PM,15,16,16,16,14,51,96,0.1,1015,15,2,28,8,Kenya
2013-01-03 03:00:00,23,14,0.0,11.6,4,53,11:22 PM,10:58 AM,06:31 AM,06:43 PM,15,15,15,15,8,39,96,0.0,1015,14,2,18,4,Kenya
2013-01-03 06:00:00,23,14,0.0,11.6,4,53,11:22 PM,10:58 AM,06:31 AM,06:43 PM,14,15,15,15,11,57,92,0.0,1016,14,10,11,6,Kenya
2013-01-03 09:00:00,23,14,0.0,11.6,4,53,11:22 PM,10:58 AM,06:31 AM,06:43 PM,13,19,19,19,14,39,69,0.0,1016,19,10,41,12,Kenya
2013-01-03 12:00:00,23,14,0.0,11.6,4,53,11:22 PM,10:58 AM,06:31 AM,06:43 PM,11,24,24,23,19,44,47,0.0,1015,22,10,65,16,Kenya
2013-01-03 15:00:00,23,14,0.0,11.6,4,53,11:22 PM,10:58 AM,06:31 AM,06:43 PM,11,25,25,23,20,42,47,0.0,1012,23,10,65,18,Kenya
2013-01-03 18:00:00,23,14,0.0,11.6,4,53,11:22 PM,10:58 AM,06:31 AM,06:43 PM,12,20,20,20,23,28,62,0.0,1013,19,10,78,15,Kenya
2013-01-03 21:00:00,23,14,0.0,11.6,4,53,11:22 PM,10:58 AM,06:31 AM,06:43 PM,11,14,15,14,22,21,79,0.0,1016,14,10,54,11,Kenya
2013-01-04 00:00:00,25,12,0.0,11.6,5,46,No moonrise,11:45 AM,06:32 AM,06:43 PM,11,13,14,13,14,16,82,0.0,1017,13,10,18,7,Kenya
2013-01-04 03:00:00,25,12,0.0,11.6,5,46,No moonrise,11:45 AM,06:32 AM,06:43 PM,11,15,14,15,10,7,79,0.0,1016,12,10,13,5,Kenya
2013-01-04 06:00:00,25,12,0.0,11.6,5,46,No moonrise,11:45 AM,06:32 AM,06:43 PM,9,14,14,14,15,6,71,0.0,1016,12,10,342,7,Kenya
2013-01-04 09:00:00,25,12,0.0,11.6,5,46,No moonrise,11:45 AM,06:32 AM,06:43 PM,11,21,21,21,9,6,53,0.0,1017,19,10,29,8,Kenya
2013-01-04 12:00:00,25,12,0.0,11.6,5,46,No moonrise,11:45 AM,06:32 AM,06:43 PM,12,25,25,24,15,10,46,0.0,1015,24,10,57,13,Kenya
2013-01-04 15:00:00,25,12,0.0,11.6,5,46,No moonrise,11:45 AM,06:32 AM,06:43 PM,12,25,25,25,17,23,46,0.0,1011,25,10,77,15,Kenya
2013-01-04 18:00:00,25,12,0.0,11.6,5,46,No moonrise,11:45 AM,06:32 AM,06:43 PM,14,21,21,21,22,27,66,0.0,1012,21,10,72,14,Kenya
2013-01-04 21:00:00,25,12,0.0,11.6,5,46,No moonrise,11:45 AM,06:32 AM,06:43 PM,15,16,16,16,18,30,94,0.0,1015,15,10,61,9,Kenya
2013-01-05 00:00:00,24,13,0.0,11.6,4,38,12:09 AM,12:34 PM,06:32 AM,06:44 PM,14,15,15,15,14,35,94,0.0,1017,14,2,21,8,Kenya
2013-01-05 03:00:00,24,13,0.0,11.6,4,38,12:09 AM,12:34 PM,06:32 AM,06:44 PM,13,14,14,14,12,48,91,0.0,1016,13,10,12,6,Kenya
2013-01-05 06:00:00,24,13,0.0,11.6,4,38,12:09 AM,12:34 PM,06:32 AM,06:44 PM,12,14,14,14,14,21,86,0.0,1016,13,10,349,7,Kenya
2013-01-05 09:00:00,24,13,0.0,11.6,4,38,12:09 AM,12:34 PM,06:32 AM,06:44 PM,13,20,20,20,9,12,63,0.0,1016,19,10,32,8,Kenya
2013-01-05 12:00:00,24,13,0.0,11.6,4,38,12:09 AM,12:34 PM,06:32 AM,06:44 PM,14,26,26,25,13,16,51,0.0,1014,24,10,58,11,Kenya
2013-01-05 15:00:00,24,13,0.0,11.6,4,38,12:09 AM,12:34 PM,06:32 AM,06:44 PM,14,26,26,25,15,25,53,0.0,1010,24,10,72,13,Kenya
2013-01-05 18:00:00,24,13,0.0,11.6,4,38,12:09 AM,12:34 PM,06:32 AM,06:44 PM,16,21,24,21,19,15,70,1.3,1011,21,9,73,13,Kenya
2013-01-05 21:00:00,24,13,0.0,11.6,4,38,12:09 AM,12:34 PM,06:32 AM,06:44 PM,15,16,16,16,17,16,94,0.0,1014,16,10,55,8,Kenya
2013-01-06 00:00:00,25,13,0.0,11.6,4,31,12:59 AM,01:27 PM,06:33 AM,06:44 PM,14,15,15,15,11,29,95,0.2,1015,15,9,40,6,Kenya
2013-01-06 03:00:00,25,13,0.0,11.6,4,31,12:59 AM,01:27 PM,06:33 AM,06:44 PM,14,15,15,15,8,24,95,0.0,1015,14,2,24,4,Kenya
2013-01-06 06:00:00,25,13,0.0,11.6,4,31,12:59 AM,01:27 PM,06:33 AM,06:44 PM,13,14,14,14,11,25,93,0.0,1016,13,10,347,5,Kenya
2013-01-06 09:00:00,25,13,0.0,11.6,4,31,12:59 AM,01:27 PM,06:33 AM,06:44 PM,15,21,21,21,7,13,69,0.0,1016,20,10,356,6,Kenya
2013-01-06 12:00:00,25,13,0.0,11.6,4,31,12:59 AM,01:27 PM,06:33 AM,06:44 PM,14,27,27,26,6,19,48,0.0,1014,25,10,77,5,Kenya
2013-01-06 15:00:00,25,13,0.0,11.6,4,31,12:59 AM,01:27 PM,06:33 AM,06:44 PM,15,26,26,25,11,24,51,0.0,1011,25,10,57,9,Kenya
2013-01-06 18:00:00,25,13,0.0,11.6,4,31,12:59 AM,01:27 PM,06:33 AM,06:44 PM,16,21,24,21,17,22,72,2.0,1012,21,9,91,11,Kenya
2013-01-06 21:00:00,25,13,0.0,11.6,4,31,12:59 AM,01:27 PM,06:33 AM,06:44 PM,15,16,16,16,15,45,95,0.0,1016,16,2,76,8,Kenya
2013-01-07 00:00:00,24,13,0.0,11.6,4,24,01:53 AM,02:23 PM,06:33 AM,06:45 PM,14,15,15,15,11,66,97,0.5,1016,15,10,53,6,Kenya
2013-01-07 03:00:00,24,13,0.0,11.6,4,24,01:53 AM,02:23 PM,06:33 AM,06:45 PM,15,16,16,16,5,26,95,0.0,1015,15,2,349,3,Kenya
2013-01-07 06:00:00,24,13,0.0,11.6,4,24,01:53 AM,02:23 PM,06:33 AM,06:45 PM,13,14,14,14,6,28,95,0.0,1017,13,2,351,3,Kenya
