date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,24,15,0.0,14.0,5,68,09:44 PM,08:45 AM,05:14 AM,07:13 PM,12,17,17,17,12,48,70,0.0,1011,17,10,15,6,Lesotho
2013-01-01 03:00:00,24,15,0.0,14.0,5,68,09:44 PM,08:45 AM,05:14 AM,07:13 PM,12,16,16,16,14,43,79,1.9,1011,15,10,52,7,Lesotho
2013-01-01 06:00:00,24,15,0.0,14.0,5,68,09:44 PM,08:45 AM,05:14 AM,07:13 PM,12,21,21,21,4,15,58,0.0,1012,20,10,37,4,Lesotho
2013-01-01 09:00:00,24,15,0.0,14.0,5,68,09:44 PM,08:45 AM,05:14 AM,07:13 PM,13,25,25,24,10,26,50,0.1,1009,24,9,321,8,Lesotho
2013-01-01 12:00:00,24,15,0.0,14.0,5,68,09:44 PM,08:45 AM,05:14 AM,07:13 PM,14,25,25,24,15,29,53,0.0,1009,24,9,260,13,Lesotho
2013-01-01 15:00:00,24,15,0.0,14.0,5,68,09:44 PM,08:45 AM,05:14 AM,07:13 PM,13,25,25,23,14,28,54,1.0,1008,23,10,215,10,Lesotho
2013-01-01 18:00:00,24,15,0.0,14.0,5,68,09:44 PM,08:45 AM,05:14 AM,07:13 PM,14,19,19,19,8,16,73,0.0,1012,18,10,106,4,Lesotho
2013-01-01 21:00:00,24,15,0.0,14.0,5,68,09:44 PM,08:45 AM,05:14 AM,07:13 PM,12,18,18,18,14,17,71,0.5,1014,17,9,85,7,Lesotho
2013-01-02 00:00:00,24,14,0.0,14.0,4,60,10:18 PM,09:41 AM,05:15 AM,07:14 PM,13,16,16,16,12,22,83,3.8,1014,16,7,44,6,Lesotho
2013-01-02 03:00:00,24,14,0.0,14.0,4,60,10:18 PM,09:41 AM,05:15 AM,07:14 PM,13,15,14,15,8,27,90,0.9,1015,14,9,60,4,Lesotho
