date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,23,15,0.0,12.0,4,68,09:16 PM,08:30 AM,05:16 AM,06:31 PM,14,15,15,15,20,58,96,0.0,1014,15,2,135,12,Madagascar
2013-01-01 03:00:00,23,15,0.0,12.0,4,68,09:16 PM,08:30 AM,05:16 AM,06:31 PM,14,14,15,14,22,61,96,0.0,1013,15,10,123,13,Madagascar
2013-01-01 06:00:00,23,15,0.0,12.0,4,68,09:16 PM,08:30 AM,05:16 AM,06:31 PM,14,15,15,15,17,61,93,0.0,1013,15,10,131,12,Madagascar
2013-01-01 09:00:00,23,15,0.0,12.0,4,68,09:16 PM,08:30 AM,05:16 AM,06:31 PM,16,20,20,20,17,54,79,0.0,1014,20,10,123,15,Madagascar
2013-01-01 12:00:00,23,15,0.0,12.0,4,68,09:16 PM,08:30 AM,05:16 AM,06:31 PM,17,25,25,23,21,24,67,0.0,1011,23,10,111,18,Madagascar
2013-01-01 15:00:00,23,15,0.0,12.0,4,68,09:16 PM,08:30 AM,05:16 AM,06:31 PM,17,25,25,23,18,24,68,0.0,1010,23,10,104,15,Madagascar
2013-01-01 18:00:00,23,15,0.0,12.0,4,68,09:16 PM,08:30 AM,05:16 AM,06:31 PM,16,19,19,19,26,79,88,1.0,1011,19,10,107,18,Madagascar
2013-01-01 21:00:00,23,15,0.0,12.0,4,68,09:16 PM,08:30 AM,05:16 AM,06:31 PM,15,16,16,16,22,50,95,0.0,1013,16,10,113,14,Madagascar
2013-01-02 00:00:00,25,11,0.0,13.1,4,60,09:55 PM,09:22 AM,05:17 AM,06:31 PM,13,13,14,13,17,48,97,0.0,1013,13,2,143,10,Madagascar
2013-01-02 03:00:00,25,11,0.0,13.1,4,60,09:55 PM,09:22 AM,05:17 AM,06:31 PM,10,11,12,11,20,5,89,0.0,1012,11,10,157,10,Madagascar
2013-01-02 06:00:00,25,11,0.0,13.1,4,60,09:55 PM,09:22 AM,05:17 AM,06:31 PM,8,13,13,13,20,0,71,0.0,1012,12,10,156,10,Madagascar
2013-01-02 09:00:00,25,11,0.0,13.1,4,60,09:55 PM,09:22 AM,05:17 AM,06:31 PM,11,24,25,24,5,0,46,0.0,1012,20,10,139,4,Madagascar
2013-01-02 12:00:00,25,11,0.0,13.1,4,60,09:55 PM,09:22 AM,05:17 AM,06:31 PM,11,26,26,27,8,0,37,0.0,1010,24,10,115,7,Madagascar
2013-01-02 15:00:00,25,11,0.0,13.1,4,60,09:55 PM,09:22 AM,05:17 AM,06:31 PM,12,28,28,28,5,0,37,0.0,1008,25,10,134,5,Madagascar
2013-01-02 18:00:00,25,11,0.0,13.1,4,60,09:55 PM,09:22 AM,05:17 AM,06:31 PM,14,21,21,21,18,4,67,0.0,1008,20,10,104,9,Madagascar
2013-01-02 21:00:00,25,11,0.0,13.1,4,60,09:55 PM,09:22 AM,05:17 AM,06:31 PM,15,16,16,16,18,29,93,0.0,1012,16,10,113,9,Madagascar
2013-01-03 00:00:00,26,13,0.0,13.1,4,53,10:34 PM,10:14 AM,05:18 AM,06:31 PM,14,15,15,15,10,37,96,0.0,1012,15,2,181,5,Madagascar
2013-01-03 03:00:00,26,13,0.0,13.1,4,53,10:34 PM,10:14 AM,05:18 AM,06:31 PM,14,16,16,16,14,0,87,0.0,1011,13,10,202,7,Madagascar
2013-01-03 06:00:00,26,13,0.0,13.1,4,53,10:34 PM,10:14 AM,05:18 AM,06:31 PM,10,15,15,15,17,0,72,0.0,1011,13,10,223,8,Madagascar
2013-01-03 09:00:00,26,13,0.0,13.1,4,53,10:34 PM,10:14 AM,05:18 AM,06:31 PM,13,25,26,25,5,0,47,0.0,1012,22,10,243,5,Madagascar
2013-01-03 12:00:00,26,13,0.0,13.1,4,53,10:34 PM,10:14 AM,05:18 AM,06:31 PM,11,27,27,27,8,0,35,0.0,1010,25,10,255,7,Madagascar
2013-01-03 15:00:00,26,13,0.0,13.1,4,53,10:34 PM,10:14 AM,05:18 AM,06:31 PM,11,26,26,27,12,3,39,0.0,1009,26,10,264,11,Madagascar
2013-01-03 18:00:00,26,13,0.0,13.1,4,53,10:34 PM,10:14 AM,05:18 AM,06:31 PM,15,21,24,21,24,6,67,0.0,1009,21,10,284,12,Madagascar
2013-01-03 21:00:00,26,13,0.0,13.1,4,53,10:34 PM,10:14 AM,05:18 AM,06:31 PM,15,17,17,17,5,28,90,0.0,1014,16,10,146,2,Madagascar
2013-01-04 00:00:00,25,15,0.0,13.1,5,46,11:15 PM,11:08 AM,05:18 AM,06:32 PM,14,16,16,16,5,21,93,0.0,1013,15,10,325,3,Madagascar
2013-01-04 03:00:00,25,15,0.0,13.1,5,46,11:15 PM,11:08 AM,05:18 AM,06:32 PM,15,16,16,16,17,49,96,0.0,1013,15,2,282,9,Madagascar
2013-01-04 06:00:00,25,15,0.0,13.1,5,46,11:15 PM,11:08 AM,05:18 AM,06:32 PM,16,17,17,17,17,70,96,0.0,1014,17,2,272,11,Madagascar
2013-01-04 09:00:00,25,15,0.0,13.1,5,46,11:15 PM,11:08 AM,05:18 AM,06:32 PM,17,21,21,21,18,51,77,0.0,1013,21,10,291,15,Madagascar
2013-01-04 12:00:00,25,15,0.0,13.1,5,46,11:15 PM,11:08 AM,05:18 AM,06:32 PM,18,26,26,25,21,24,65,0.0,1011,25,10,286,18,Madagascar
2013-01-04 15:00:00,25,15,0.0,13.1,5,46,11:15 PM,11:08 AM,05:18 AM,06:32 PM,18,27,27,25,21,17,63,0.0,1009,25,10,273,18,Madagascar
2013-01-04 18:00:00,25,15,0.0,13.1,5,46,11:15 PM,11:08 AM,05:18 AM,06:32 PM,19,21,24,21,24,43,84,0.6,1010,21,9,277,15,Madagascar
2013-01-04 21:00:00,25,15,0.0,13.1,5,46,11:15 PM,11:08 AM,05:18 AM,06:32 PM,17,18,18,18,13,42,96,0.0,1014,18,2,254,7,Madagascar
