date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,28,19,0.0,10.7,5,68,09:10 PM,08:30 AM,05:21 AM,06:16 PM,17,19,19,19,8,75,88,0.0,1011,19,10,42,4,Malawi
2013-01-01 03:00:00,28,19,0.0,10.7,5,68,09:10 PM,08:30 AM,05:21 AM,06:16 PM,16,19,19,19,9,47,86,0.0,1011,19,10,42,4,Malawi
2013-01-01 06:00:00,28,19,0.0,10.7,5,68,09:10 PM,08:30 AM,05:21 AM,06:16 PM,18,22,24,22,2,81,79,0.0,1012,22,10,50,1,Malawi
2013-01-01 09:00:00,28,19,0.0,10.7,5,68,09:10 PM,08:30 AM,05:21 AM,06:16 PM,19,25,25,22,2,92,81,0.9,1010,22,9,16,1,Malawi
2013-01-01 12:00:00,28,19,0.0,10.7,5,68,09:10 PM,08:30 AM,05:21 AM,06:16 PM,20,30,30,28,9,91,63,0.0,1006,28,10,274,7,Malawi
2013-01-01 15:00:00,28,19,0.0,10.7,5,68,09:10 PM,08:30 AM,05:21 AM,06:16 PM,20,27,27,25,11,30,74,4.7,1006,25,7,171,6,Malawi
2013-01-01 18:00:00,28,19,0.0,10.7,5,68,09:10 PM,08:30 AM,05:21 AM,06:16 PM,19,21,21,21,11,47,90,0.0,1008,21,10,131,5,Malawi
2013-01-01 21:00:00,28,19,0.0,10.7,5,68,09:10 PM,08:30 AM,05:21 AM,06:16 PM,19,20,20,20,9,29,92,0.9,1009,20,9,145,4,Malawi
2013-01-02 00:00:00,27,18,0.0,13.0,5,60,09:50 PM,09:20 AM,05:21 AM,06:17 PM,18,19,19,19,8,21,94,0.9,1009,19,9,125,4,Malawi
2013-01-02 03:00:00,27,18,0.0,13.0,5,60,09:50 PM,09:20 AM,05:21 AM,06:17 PM,18,19,19,19,11,20,96,0.0,1010,18,2,76,5,Malawi
2013-01-02 06:00:00,27,18,0.0,13.0,5,60,09:50 PM,09:20 AM,05:21 AM,06:17 PM,20,26,26,24,8,55,78,0.0,1011,24,10,84,7,Malawi
2013-01-02 09:00:00,27,18,0.0,13.0,5,60,09:50 PM,09:20 AM,05:21 AM,06:17 PM,21,28,28,26,11,46,72,2.8,1010,26,7,35,7,Malawi
