date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,28,24,0.0,10.8,7,68,09:21 PM,08:26 AM,05:01 AM,06:45 PM,22,28,28,26,19,46,80,0.0,1008,26,10,338,10,Mozambique
2013-01-01 03:00:00,28,24,0.0,10.8,7,68,09:21 PM,08:26 AM,05:01 AM,06:45 PM,23,28,28,25,10,18,87,0.1,1008,24,10,280,5,Mozambique
2013-01-01 06:00:00,28,24,0.0,10.8,7,68,09:21 PM,08:26 AM,05:01 AM,06:45 PM,24,32,32,28,9,47,79,0.0,1010,28,10,142,6,Mozambique
2013-01-01 09:00:00,28,24,0.0,10.8,7,68,09:21 PM,08:26 AM,05:01 AM,06:45 PM,24,31,31,27,32,60,82,6.7,1009,27,7,141,16,Mozambique
2013-01-01 12:00:00,28,24,0.0,10.8,7,68,09:21 PM,08:26 AM,05:01 AM,06:45 PM,24,30,30,27,25,100,84,0.0,1009,27,10,151,19,Mozambique
2013-01-01 15:00:00,28,24,0.0,10.8,7,68,09:21 PM,08:26 AM,05:01 AM,06:45 PM,23,29,29,26,37,74,84,1.9,1009,26,10,162,24,Mozambique
2013-01-01 18:00:00,28,24,0.0,10.8,7,68,09:21 PM,08:26 AM,05:01 AM,06:45 PM,22,26,26,24,37,100,88,0.0,1012,24,10,173,23,Mozambique
2013-01-01 21:00:00,28,24,0.0,10.8,7,68,09:21 PM,08:26 AM,05:01 AM,06:45 PM,21,26,26,24,36,79,85,0.0,1014,24,10,179,23,Mozambique
2013-01-02 00:00:00,27,23,0.0,9.6,5,60,09:57 PM,09:21 AM,05:02 AM,06:45 PM,20,25,25,23,34,78,85,0.0,1014,23,10,181,21,Mozambique
2013-01-02 03:00:00,27,23,0.0,9.6,5,60,09:57 PM,09:21 AM,05:02 AM,06:45 PM,20,25,25,23,31,76,86,0.0,1014,23,10,194,20,Mozambique
