date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,30,19,0.0,11.6,6,68,10:22 PM,09:34 AM,06:10 AM,07:40 PM,13,21,21,21,10,6,63,0.0,1009,20,10,200,6,Namibia
2013-01-01 03:00:00,30,19,0.0,11.6,6,68,10:22 PM,09:34 AM,06:10 AM,07:40 PM,13,20,20,20,5,9,66,0.3,1009,19,10,214,4,Namibia
2013-01-01 06:00:00,30,19,0.0,11.6,6,68,10:22 PM,09:34 AM,06:10 AM,07:40 PM,11,22,24,22,9,8,50,0.0,1009,22,10,152,8,Namibia
2013-01-01 09:00:00,30,19,0.0,11.6,6,68,10:22 PM,09:34 AM,06:10 AM,07:40 PM,9,27,27,28,8,6,31,0.0,1008,27,10,112,7,Namibia
2013-01-01 12:00:00,30,19,0.0,11.6,6,68,10:22 PM,09:34 AM,06:10 AM,07:40 PM,7,29,29,31,5,12,23,0.0,1005,30,10,102,5,Namibia
2013-01-01 15:00:00,30,19,0.0,11.6,6,68,10:22 PM,09:34 AM,06:10 AM,07:40 PM,9,28,28,29,6,44,29,0.0,1004,29,10,306,5,Namibia
2013-01-01 18:00:00,30,19,0.0,11.6,6,68,10:22 PM,09:34 AM,06:10 AM,07:40 PM,11,25,25,24,30,45,43,0.0,1007,24,10,253,22,Namibia
2013-01-01 21:00:00,30,19,0.0,11.6,6,68,10:22 PM,09:34 AM,06:10 AM,07:40 PM,11,24,24,22,12,9,50,0.1,1009,22,10,233,9,Namibia
2013-01-02 00:00:00,29,20,0.0,11.6,6,60,11:00 PM,10:26 AM,06:11 AM,07:41 PM,12,21,21,21,10,15,56,0.1,1009,21,10,229,7,Namibia
2013-01-02 03:00:00,29,20,0.0,11.6,6,60,11:00 PM,10:26 AM,06:11 AM,07:41 PM,12,20,20,20,11,46,60,0.0,1009,20,10,210,8,Namibia
2013-01-02 06:00:00,29,20,0.0,11.6,6,60,11:00 PM,10:26 AM,06:11 AM,07:41 PM,12,22,24,22,6,44,52,0.0,1011,22,10,148,5,Namibia
2013-01-02 09:00:00,29,20,0.0,11.6,6,60,11:00 PM,10:26 AM,06:11 AM,07:41 PM,11,27,27,27,4,47,37,0.1,1011,27,10,82,4,Namibia
2013-01-02 12:00:00,29,20,0.0,11.6,6,60,11:00 PM,10:26 AM,06:11 AM,07:41 PM,12,28,28,28,6,44,38,0.0,1008,28,10,323,5,Namibia
2013-01-02 15:00:00,29,20,0.0,11.6,6,60,11:00 PM,10:26 AM,06:11 AM,07:41 PM,10,28,28,29,11,26,31,0.6,1005,29,9,258,9,Namibia
2013-01-02 18:00:00,29,20,0.0,11.6,6,60,11:00 PM,10:26 AM,06:11 AM,07:41 PM,11,25,25,25,17,17,43,0.0,1007,25,10,226,12,Namibia
2013-01-02 21:00:00,29,20,0.0,11.6,6,60,11:00 PM,10:26 AM,06:11 AM,07:41 PM,12,22,24,22,9,17,52,0.0,1010,22,10,251,6,Namibia
2013-01-03 00:00:00,30,19,0.0,11.6,6,53,11:38 PM,11:21 AM,06:12 AM,07:41 PM,12,20,20,20,7,6,58,0.0,1011,20,10,196,4,Namibia
2013-01-03 03:00:00,30,19,0.0,11.6,6,53,11:38 PM,11:21 AM,06:12 AM,07:41 PM,11,19,19,19,11,9,58,0.0,1011,19,10,171,6,Namibia
2013-01-03 06:00:00,30,19,0.0,11.6,6,53,11:38 PM,11:21 AM,06:12 AM,07:41 PM,11,22,24,22,5,7,48,0.0,1012,22,10,189,5,Namibia
2013-01-03 09:00:00,30,19,0.0,11.6,6,53,11:38 PM,11:21 AM,06:12 AM,07:41 PM,11,27,27,27,7,11,35,0.0,1011,27,10,185,6,Namibia
2013-01-03 12:00:00,30,19,0.0,11.6,6,53,11:38 PM,11:21 AM,06:12 AM,07:41 PM,9,28,28,30,13,5,28,0.0,1009,30,10,220,12,Namibia
2013-01-03 15:00:00,30,19,0.0,11.6,6,53,11:38 PM,11:21 AM,06:12 AM,07:41 PM,9,27,27,28,14,4,29,0.2,1007,28,10,213,11,Namibia
2013-01-03 18:00:00,30,19,0.0,11.6,6,53,11:38 PM,11:21 AM,06:12 AM,07:41 PM,7,25,25,25,16,1,31,0.0,1009,25,10,188,10,Namibia
2013-01-03 21:00:00,30,19,0.0,11.6,6,53,11:38 PM,11:21 AM,06:12 AM,07:41 PM,6,22,24,22,13,0,35,0.0,1011,22,10,189,7,Namibia
2013-01-04 00:00:00,30,19,0.0,11.6,6,46,No moonrise,12:16 PM,06:12 AM,07:41 PM,5,20,20,20,17,1,37,0.0,1012,20,10,170,8,Namibia
2013-01-04 03:00:00,30,19,0.0,11.6,6,46,No moonrise,12:16 PM,06:12 AM,07:41 PM,2,19,19,19,24,5,32,0.0,1013,19,10,144,12,Namibia
2013-01-04 06:00:00,30,19,0.0,11.6,6,46,No moonrise,12:16 PM,06:12 AM,07:41 PM,-7,20,20,20,14,0,16,0.0,1014,20,10,138,12,Namibia
2013-01-04 09:00:00,30,19,0.0,11.6,6,46,No moonrise,12:16 PM,06:12 AM,07:41 PM,3,25,25,26,8,0,22,0.0,1012,26,10,80,7,Namibia
2013-01-04 12:00:00,30,19,0.0,11.6,6,46,No moonrise,12:16 PM,06:12 AM,07:41 PM,4,29,29,32,4,0,18,0.0,1010,30,10,27,3,Namibia
2013-01-04 15:00:00,30,19,0.0,11.6,6,46,No moonrise,12:16 PM,06:12 AM,07:41 PM,4,30,30,32,3,0,18,0.0,1007,30,10,227,3,Namibia
2013-01-04 18:00:00,30,19,0.0,11.6,6,46,No moonrise,12:16 PM,06:12 AM,07:41 PM,3,26,26,27,16,0,20,0.0,1008,27,10,207,11,Namibia
2013-01-04 21:00:00,30,19,0.0,11.6,6,46,No moonrise,12:16 PM,06:12 AM,07:41 PM,4,24,24,24,13,0,27,0.0,1010,24,10,174,8,Namibia
2013-01-05 00:00:00,31,19,0.0,11.6,7,38,12:18 AM,01:13 PM,06:13 AM,07:41 PM,4,22,23,22,12,0,32,0.0,1011,21,10,133,6,Namibia
2013-01-05 03:00:00,31,19,0.0,11.6,7,38,12:18 AM,01:13 PM,06:13 AM,07:41 PM,4,20,20,20,12,0,34,0.0,1010,19,10,98,6,Namibia
2013-01-05 06:00:00,31,19,0.0,11.6,7,38,12:18 AM,01:13 PM,06:13 AM,07:41 PM,2,23,23,23,8,0,25,0.0,1011,22,10,78,7,Namibia
2013-01-05 09:00:00,31,19,0.0,11.6,7,38,12:18 AM,01:13 PM,06:13 AM,07:41 PM,1,26,26,28,12,0,18,0.0,1010,28,10,36,10,Namibia
2013-01-05 12:00:00,31,19,0.0,11.6,7,38,12:18 AM,01:13 PM,06:13 AM,07:41 PM,3,30,30,33,4,0,16,0.0,1008,31,10,308,4,Namibia
2013-01-05 15:00:00,31,19,0.0,11.6,7,38,12:18 AM,01:13 PM,06:13 AM,07:41 PM,3,31,31,33,2,0,15,0.0,1005,31,10,284,2,Namibia
2013-01-05 18:00:00,31,19,0.0,11.6,7,38,12:18 AM,01:13 PM,06:13 AM,07:41 PM,5,26,26,27,15,0,24,0.0,1008,27,10,240,11,Namibia
2013-01-05 21:00:00,31,19,0.0,11.6,7,38,12:18 AM,01:13 PM,06:13 AM,07:41 PM,7,25,25,26,4,0,30,0.0,1010,24,10,191,3,Namibia
2013-01-06 00:00:00,31,20,0.0,11.6,7,31,01:01 AM,02:13 PM,06:14 AM,07:41 PM,7,22,24,22,8,0,37,0.0,1011,21,10,153,5,Namibia
2013-01-06 03:00:00,31,20,0.0,11.6,7,31,01:01 AM,02:13 PM,06:14 AM,07:41 PM,6,20,20,20,12,5,40,0.0,1011,20,10,97,6,Namibia
2013-01-06 06:00:00,31,20,0.0,11.6,7,31,01:01 AM,02:13 PM,06:14 AM,07:41 PM,9,24,24,22,10,3,43,0.0,1013,22,10,43,9,Namibia
2013-01-06 09:00:00,31,20,0.0,11.6,7,31,01:01 AM,02:13 PM,06:14 AM,07:41 PM,9,26,26,27,10,6,32,0.0,1011,27,10,63,8,Namibia
2013-01-06 12:00:00,31,20,0.0,11.6,7,31,01:01 AM,02:13 PM,06:14 AM,07:41 PM,5,29,29,31,10,0,19,0.0,1009,31,10,79,9,Namibia
2013-01-06 15:00:00,31,20,0.0,11.6,7,31,01:01 AM,02:13 PM,06:14 AM,07:41 PM,4,29,29,31,15,0,18,0.0,1007,31,10,114,13,Namibia
2013-01-06 18:00:00,31,20,0.0,11.6,7,31,01:01 AM,02:13 PM,06:14 AM,07:41 PM,6,27,27,28,8,0,24,0.0,1009,28,10,166,6,Namibia
2013-01-06 21:00:00,31,20,0.0,11.6,7,31,01:01 AM,02:13 PM,06:14 AM,07:41 PM,7,25,25,25,10,3,32,0.0,1012,25,10,116,7,Namibia
2013-01-07 00:00:00,31,20,0.0,11.6,7,24,01:48 AM,03:16 PM,06:14 AM,07:42 PM,10,24,24,22,13,5,45,0.0,1012,22,10,54,7,Namibia
2013-01-07 03:00:00,31,20,0.0,11.6,7,24,01:48 AM,03:16 PM,06:14 AM,07:42 PM,11,21,21,21,9,9,55,0.0,1013,20,10,26,5,Namibia
2013-01-07 06:00:00,31,20,0.0,11.6,7,24,01:48 AM,03:16 PM,06:14 AM,07:42 PM,13,25,25,23,10,9,54,0.0,1014,23,10,65,9,Namibia
2013-01-07 09:00:00,31,20,0.0,11.6,7,24,01:48 AM,03:16 PM,06:14 AM,07:42 PM,11,27,27,28,26,11,34,0.1,1013,28,10,84,22,Namibia
2013-01-07 12:00:00,31,20,0.0,11.6,7,24,01:48 AM,03:16 PM,06:14 AM,07:42 PM,10,29,29,31,24,6,27,0.0,1010,31,10,98,21,Namibia
2013-01-07 15:00:00,31,20,0.0,11.6,7,24,01:48 AM,03:16 PM,06:14 AM,07:42 PM,8,29,29,31,22,3,25,0.0,1008,30,10,109,19,Namibia
