date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,23,16,0.0,12.5,4,68,09:20 PM,08:53 AM,05:56 AM,06:10 PM,16,17,17,17,5,63,96,0.0,1013,17,2,281,3,Rwanda
2013-01-01 03:00:00,23,16,0.0,12.5,4,68,09:20 PM,08:53 AM,05:56 AM,06:10 PM,16,17,17,17,4,59,93,3.4,1014,17,7,276,3,Rwanda
2013-01-01 06:00:00,23,16,0.0,12.5,4,68,09:20 PM,08:53 AM,05:56 AM,06:10 PM,17,19,19,19,2,72,88,0.0,1015,18,10,157,2,Rwanda
2013-01-01 09:00:00,23,16,0.0,12.5,4,68,09:20 PM,08:53 AM,05:56 AM,06:10 PM,17,22,24,22,2,44,75,0.5,1015,21,9,341,2,Rwanda
2013-01-01 12:00:00,23,16,0.0,12.5,4,68,09:20 PM,08:53 AM,05:56 AM,06:10 PM,17,25,25,24,2,27,66,0.0,1011,23,10,349,2,Rwanda
2013-01-01 15:00:00,23,16,0.0,12.5,4,68,09:20 PM,08:53 AM,05:56 AM,06:10 PM,18,22,25,22,8,23,77,3.3,1010,21,7,206,5,Rwanda
2013-01-01 18:00:00,23,16,0.0,12.5,4,68,09:20 PM,08:53 AM,05:56 AM,06:10 PM,16,17,17,17,13,46,91,0.0,1012,17,10,337,6,Rwanda
2013-01-01 21:00:00,23,16,0.0,12.5,4,68,09:20 PM,08:53 AM,05:56 AM,06:10 PM,15,16,16,16,8,28,92,1.0,1014,16,9,350,4,Rwanda
2013-01-02 00:00:00,23,16,0.0,12.5,4,60,10:04 PM,09:40 AM,05:57 AM,06:11 PM,15,16,16,16,9,32,92,0.8,1013,16,9,327,4,Rwanda
2013-01-02 03:00:00,23,16,0.0,12.5,4,60,10:04 PM,09:40 AM,05:57 AM,06:11 PM,16,17,17,17,5,58,93,1.5,1014,16,10,290,3,Rwanda
2013-01-02 06:00:00,23,16,0.0,12.5,4,60,10:04 PM,09:40 AM,05:57 AM,06:11 PM,17,21,21,21,4,47,80,0.0,1015,20,10,347,3,Rwanda
2013-01-02 09:00:00,23,16,0.0,12.5,4,60,10:04 PM,09:40 AM,05:57 AM,06:11 PM,17,25,25,24,9,44,68,1.7,1015,23,10,61,6,Rwanda
2013-01-02 12:00:00,23,16,0.0,12.5,4,60,10:04 PM,09:40 AM,05:57 AM,06:11 PM,18,26,26,24,6,47,69,0.0,1012,23,10,106,5,Rwanda
2013-01-02 15:00:00,23,16,0.0,12.5,4,60,10:04 PM,09:40 AM,05:57 AM,06:11 PM,18,22,25,22,8,45,79,4.9,1011,22,7,141,4,Rwanda
2013-01-02 18:00:00,23,16,0.0,12.5,4,60,10:04 PM,09:40 AM,05:57 AM,06:11 PM,17,19,19,19,5,44,90,0.0,1013,18,10,327,3,Rwanda
2013-01-02 21:00:00,23,16,0.0,12.5,4,60,10:04 PM,09:40 AM,05:57 AM,06:11 PM,16,17,17,17,5,24,93,0.8,1014,16,9,257,3,Rwanda
2013-01-03 00:00:00,25,15,0.0,12.5,5,53,10:49 PM,10:25 AM,05:57 AM,06:11 PM,16,17,17,17,5,16,93,0.0,1013,16,10,311,3,Rwanda
2013-01-03 03:00:00,25,15,0.0,12.5,5,53,10:49 PM,10:25 AM,05:57 AM,06:11 PM,15,16,16,16,7,15,93,0.0,1013,15,10,309,3,Rwanda
2013-01-03 06:00:00,25,15,0.0,12.5,5,53,10:49 PM,10:25 AM,05:57 AM,06:11 PM,17,21,21,21,4,21,78,0.0,1015,20,10,268,3,Rwanda
2013-01-03 09:00:00,25,15,0.0,12.5,5,53,10:49 PM,10:25 AM,05:57 AM,06:11 PM,17,26,26,24,3,24,63,0.3,1014,23,9,222,3,Rwanda
2013-01-03 12:00:00,25,15,0.0,12.5,5,53,10:49 PM,10:25 AM,05:57 AM,06:11 PM,16,26,26,25,2,65,57,0.0,1011,25,10,213,1,Rwanda
2013-01-03 15:00:00,25,15,0.0,12.5,5,53,10:49 PM,10:25 AM,05:57 AM,06:11 PM,18,25,25,22,9,45,76,2.4,1012,22,10,162,6,Rwanda
2013-01-03 18:00:00,25,15,0.0,12.5,5,53,10:49 PM,10:25 AM,05:57 AM,06:11 PM,17,18,18,18,9,50,90,0.0,1014,18,10,170,4,Rwanda
