date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,28,28,0.0,11.6,7,68,09:36 PM,09:07 AM,06:10 AM,06:33 PM,23,32,32,28,57,13,73,0.0,1008,28,10,301,41,Seychelles
2013-01-01 03:00:00,28,28,0.0,11.6,7,68,09:36 PM,09:07 AM,06:10 AM,06:33 PM,23,32,32,28,56,19,75,0.0,1007,28,10,306,41,Seychelles
2013-01-01 06:00:00,28,28,0.0,11.6,7,68,09:36 PM,09:07 AM,06:10 AM,06:33 PM,23,32,32,28,55,55,76,0.0,1008,28,10,308,39,Seychelles
2013-01-01 09:00:00,28,28,0.0,11.6,7,68,09:36 PM,09:07 AM,06:10 AM,06:33 PM,24,32,32,28,55,55,76,0.0,1010,28,10,310,39,Seychelles
2013-01-01 12:00:00,28,28,0.0,11.6,7,68,09:36 PM,09:07 AM,06:10 AM,06:33 PM,24,33,33,29,54,30,76,0.1,1009,28,10,317,38,Seychelles
2013-01-01 15:00:00,28,28,0.0,11.6,7,68,09:36 PM,09:07 AM,06:10 AM,06:33 PM,24,33,33,28,52,39,77,0.0,1007,28,10,321,37,Seychelles
2013-01-01 18:00:00,28,28,0.0,11.6,7,68,09:36 PM,09:07 AM,06:10 AM,06:33 PM,24,33,33,29,48,38,77,0.2,1008,28,9,324,35,Seychelles
2013-01-01 21:00:00,28,28,0.0,11.6,7,68,09:36 PM,09:07 AM,06:10 AM,06:33 PM,24,33,33,28,44,33,78,0.0,1010,28,10,339,31,Seychelles
2013-01-02 00:00:00,28,28,0.0,11.6,6,60,10:19 PM,09:54 AM,06:11 AM,06:34 PM,24,32,32,28,42,30,78,0.3,1009,28,9,342,30,Seychelles
2013-01-02 03:00:00,28,28,0.0,11.6,6,60,10:19 PM,09:54 AM,06:11 AM,06:34 PM,24,32,32,28,38,35,78,0.4,1009,28,9,346,27,Seychelles
2013-01-02 06:00:00,28,28,0.0,11.6,6,60,10:19 PM,09:54 AM,06:11 AM,06:34 PM,24,32,32,28,35,41,77,0.0,1010,28,10,347,25,Seychelles
2013-01-02 09:00:00,28,28,0.0,11.6,6,60,10:19 PM,09:54 AM,06:11 AM,06:34 PM,24,32,32,28,33,37,78,0.0,1011,28,10,355,24,Seychelles
2013-01-02 12:00:00,28,28,0.0,11.6,6,60,10:19 PM,09:54 AM,06:11 AM,06:34 PM,24,32,32,28,31,33,78,0.1,1010,28,10,359,22,Seychelles
2013-01-02 15:00:00,28,28,0.0,11.6,6,60,10:19 PM,09:54 AM,06:11 AM,06:34 PM,24,32,32,28,27,26,78,0.0,1009,28,10,1,19,Seychelles
2013-01-02 18:00:00,28,28,0.0,11.6,6,60,10:19 PM,09:54 AM,06:11 AM,06:34 PM,24,33,33,28,23,36,78,0.0,1011,28,10,1,17,Seychelles
2013-01-02 21:00:00,28,28,0.0,11.6,6,60,10:19 PM,09:54 AM,06:11 AM,06:34 PM,24,32,32,28,21,29,78,0.0,1011,28,10,13,15,Seychelles
2013-01-03 00:00:00,28,27,0.0,11.6,7,53,11:04 PM,10:41 AM,06:11 AM,06:34 PM,24,32,32,28,23,41,80,0.1,1011,28,10,32,17,Seychelles
2013-01-03 03:00:00,28,27,0.0,11.6,7,53,11:04 PM,10:41 AM,06:11 AM,06:34 PM,24,31,31,28,23,37,80,0.0,1010,28,10,43,16,Seychelles
2013-01-03 06:00:00,28,27,0.0,11.6,7,53,11:04 PM,10:41 AM,06:11 AM,06:34 PM,24,31,31,28,22,37,80,0.0,1012,28,10,56,16,Seychelles
2013-01-03 09:00:00,28,27,0.0,11.6,7,53,11:04 PM,10:41 AM,06:11 AM,06:34 PM,24,31,31,28,22,31,80,0.0,1013,28,10,69,15,Seychelles
2013-01-03 12:00:00,28,27,0.0,11.6,7,53,11:04 PM,10:41 AM,06:11 AM,06:34 PM,24,31,31,28,22,22,80,0.0,1011,28,10,78,16,Seychelles
2013-01-03 15:00:00,28,27,0.0,11.6,7,53,11:04 PM,10:41 AM,06:11 AM,06:34 PM,23,31,31,28,18,7,78,0.0,1010,28,10,82,13,Seychelles
