date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,31,25,0.0,11.6,7,68,09:14 PM,08:53 AM,06:02 AM,06:02 PM,23,29,29,26,43,17,80,0.0,1010,26,10,82,30,Somalia
2013-01-01 03:00:00,31,25,0.0,11.6,7,68,09:14 PM,08:53 AM,06:02 AM,06:02 PM,22,28,28,26,37,9,81,0.0,1009,26,10,71,26,Somalia
2013-01-01 06:00:00,31,25,0.0,11.6,7,68,09:14 PM,08:53 AM,06:02 AM,06:02 PM,22,28,28,25,36,5,80,0.0,1011,25,10,52,24,Somalia
2013-01-01 09:00:00,31,25,0.0,11.6,7,68,09:14 PM,08:53 AM,06:02 AM,06:02 PM,20,29,29,28,39,0,62,0.0,1012,28,10,37,32,Somalia
2013-01-01 12:00:00,31,25,0.0,11.6,7,68,09:14 PM,08:53 AM,06:02 AM,06:02 PM,18,32,32,31,34,0,47,0.0,1011,31,10,48,29,Somalia
2013-01-01 15:00:00,31,25,0.0,11.6,7,68,09:14 PM,08:53 AM,06:02 AM,06:02 PM,19,33,33,31,36,6,48,0.0,1007,31,10,71,28,Somalia
2013-01-01 18:00:00,31,25,0.0,11.6,7,68,09:14 PM,08:53 AM,06:02 AM,06:02 PM,21,31,31,28,49,5,64,0.0,1008,28,10,85,33,Somalia
2013-01-01 21:00:00,31,25,0.0,11.6,7,68,09:14 PM,08:53 AM,06:02 AM,06:02 PM,21,29,29,27,52,2,73,0.0,1010,27,10,68,36,Somalia
2013-01-02 00:00:00,31,25,0.0,11.6,7,60,10:00 PM,09:38 AM,06:02 AM,06:03 PM,21,28,28,26,52,0,71,0.0,1010,26,10,61,35,Somalia
2013-01-02 03:00:00,31,25,0.0,11.6,7,60,10:00 PM,09:38 AM,06:02 AM,06:03 PM,19,27,27,26,51,0,68,0.0,1009,26,10,51,34,Somalia
2013-01-02 06:00:00,31,25,0.0,11.6,7,60,10:00 PM,09:38 AM,06:02 AM,06:03 PM,18,26,26,25,53,0,66,0.0,1010,25,10,44,35,Somalia
2013-01-02 09:00:00,31,25,0.0,11.6,7,60,10:00 PM,09:38 AM,06:02 AM,06:03 PM,19,30,30,28,48,0,59,0.0,1012,28,10,41,40,Somalia
2013-01-02 12:00:00,31,25,0.0,11.6,7,60,10:00 PM,09:38 AM,06:02 AM,06:03 PM,19,33,33,31,41,0,51,0.0,1011,31,10,55,34,Somalia
2013-01-02 15:00:00,31,25,0.0,11.6,7,60,10:00 PM,09:38 AM,06:02 AM,06:03 PM,20,34,34,31,44,11,53,0.0,1008,31,10,72,34,Somalia
2013-01-02 18:00:00,31,25,0.0,11.6,7,60,10:00 PM,09:38 AM,06:02 AM,06:03 PM,22,32,32,29,53,10,66,0.0,1009,29,10,77,35,Somalia
2013-01-02 21:00:00,31,25,0.0,11.6,7,60,10:00 PM,09:38 AM,06:02 AM,06:03 PM,22,30,30,27,55,8,75,0.0,1010,27,10,69,37,Somalia
2013-01-03 00:00:00,31,26,0.0,11.6,7,53,10:47 PM,10:22 AM,06:03 AM,06:03 PM,22,30,30,27,53,8,75,0.0,1011,27,10,61,36,Somalia
2013-01-03 03:00:00,31,26,0.0,11.6,7,53,10:47 PM,10:22 AM,06:03 AM,06:03 PM,22,29,29,27,51,21,77,0.0,1009,27,10,55,34,Somalia
2013-01-03 06:00:00,31,26,0.0,11.6,7,53,10:47 PM,10:22 AM,06:03 AM,06:03 PM,22,29,29,26,46,20,79,0.0,1011,26,10,52,31,Somalia
2013-01-03 09:00:00,31,26,0.0,11.6,7,53,10:47 PM,10:22 AM,06:03 AM,06:03 PM,22,32,32,29,42,45,69,0.0,1013,29,10,50,34,Somalia
2013-01-03 12:00:00,31,26,0.0,11.6,7,53,10:47 PM,10:22 AM,06:03 AM,06:03 PM,22,35,35,31,36,28,59,0.0,1011,31,10,60,31,Somalia
2013-01-03 15:00:00,31,26,0.0,11.6,7,53,10:47 PM,10:22 AM,06:03 AM,06:03 PM,22,35,35,31,45,19,61,0.0,1009,31,10,80,35,Somalia
2013-01-03 18:00:00,31,26,0.0,11.6,7,53,10:47 PM,10:22 AM,06:03 AM,06:03 PM,23,32,32,28,54,19,73,0.0,1010,28,10,80,37,Somalia
2013-01-03 21:00:00,31,26,0.0,11.6,7,53,10:47 PM,10:22 AM,06:03 AM,06:03 PM,23,31,31,27,50,20,79,0.0,1011,27,10,72,35,Somalia
2013-01-04 00:00:00,31,26,0.0,11.6,7,46,11:36 PM,11:09 AM,06:03 AM,06:04 PM,23,30,30,27,46,16,81,0.0,1012,27,10,68,31,Somalia
2013-01-04 03:00:00,31,26,0.0,11.6,7,46,11:36 PM,11:09 AM,06:03 AM,06:04 PM,23,29,29,26,42,28,82,0.0,1011,26,10,64,28,Somalia
2013-01-04 06:00:00,31,26,0.0,11.6,7,46,11:36 PM,11:09 AM,06:03 AM,06:04 PM,23,29,29,26,37,28,82,0.0,1012,26,10,58,25,Somalia
2013-01-04 09:00:00,31,26,0.0,11.6,7,46,11:36 PM,11:09 AM,06:03 AM,06:04 PM,23,32,32,29,32,19,70,0.0,1013,29,10,58,26,Somalia
2013-01-04 12:00:00,31,26,0.0,11.6,7,46,11:36 PM,11:09 AM,06:03 AM,06:04 PM,23,35,35,31,30,17,62,0.0,1012,31,10,79,26,Somalia
2013-01-04 15:00:00,31,26,0.0,11.6,7,46,11:36 PM,11:09 AM,06:03 AM,06:04 PM,23,34,34,30,38,11,65,0.0,1009,30,10,90,30,Somalia
2013-01-04 18:00:00,31,26,0.0,11.6,7,46,11:36 PM,11:09 AM,06:03 AM,06:04 PM,23,32,32,28,45,9,74,0.0,1009,28,10,84,31,Somalia
2013-01-04 21:00:00,31,26,0.0,11.6,7,46,11:36 PM,11:09 AM,06:03 AM,06:04 PM,23,30,30,27,45,10,80,0.0,1010,27,10,76,31,Somalia
2013-01-05 00:00:00,30,26,0.0,11.6,7,38,No moonrise,11:57 AM,06:04 AM,06:04 PM,23,30,30,27,42,10,82,0.0,1011,27,10,70,29,Somalia
2013-01-05 03:00:00,30,26,0.0,11.6,7,38,No moonrise,11:57 AM,06:04 AM,06:04 PM,23,29,29,26,39,24,84,0.0,1010,26,10,66,27,Somalia
2013-01-05 06:00:00,30,26,0.0,11.6,7,38,No moonrise,11:57 AM,06:04 AM,06:04 PM,23,29,29,26,39,11,84,1.1,1011,26,9,64,26,Somalia
