date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,28,17,0.0,13.8,6,68,09:39 PM,08:45 AM,05:20 AM,07:02 PM,17,19,19,19,6,22,87,0.0,1011,18,10,71,3,South_Africa
2013-01-01 03:00:00,28,17,0.0,13.8,6,68,09:39 PM,08:45 AM,05:20 AM,07:02 PM,16,18,18,18,6,24,89,0.0,1011,17,10,70,3,South_Africa
2013-01-01 06:00:00,28,17,0.0,13.8,6,68,09:39 PM,08:45 AM,05:20 AM,07:02 PM,17,25,25,24,6,37,67,0.0,1012,23,10,300,5,South_Africa
2013-01-01 09:00:00,28,17,0.0,13.8,6,68,09:39 PM,08:45 AM,05:20 AM,07:02 PM,17,28,28,28,10,19,52,0.6,1009,27,9,269,8,South_Africa
2013-01-01 12:00:00,28,17,0.0,13.8,6,68,09:39 PM,08:45 AM,05:20 AM,07:02 PM,17,30,30,29,10,27,49,0.0,1007,28,10,235,8,South_Africa
2013-01-01 15:00:00,28,17,0.0,13.8,6,68,09:39 PM,08:45 AM,05:20 AM,07:02 PM,17,29,29,28,8,23,50,0.8,1006,28,9,184,6,South_Africa
2013-01-01 18:00:00,28,17,0.0,13.8,6,68,09:39 PM,08:45 AM,05:20 AM,07:02 PM,18,22,24,22,19,19,79,0.0,1010,21,10,135,10,South_Africa
2013-01-01 21:00:00,28,17,0.0,13.8,6,68,09:39 PM,08:45 AM,05:20 AM,07:02 PM,18,20,20,20,28,31,85,3.0,1012,20,7,109,15,South_Africa
2013-01-02 00:00:00,27,17,0.0,13.8,5,60,10:15 PM,09:40 AM,05:20 AM,07:03 PM,17,18,18,18,28,32,92,7.0,1013,18,7,97,14,South_Africa
2013-01-02 03:00:00,27,17,0.0,13.8,5,60,10:15 PM,09:40 AM,05:20 AM,07:03 PM,16,17,17,17,19,48,94,0.5,1014,17,9,112,12,South_Africa
2013-01-02 06:00:00,27,17,0.0,13.8,5,60,10:15 PM,09:40 AM,05:20 AM,07:03 PM,16,20,20,20,10,45,77,0.0,1015,19,10,109,9,South_Africa
2013-01-02 09:00:00,27,17,0.0,13.8,5,60,10:15 PM,09:40 AM,05:20 AM,07:03 PM,16,25,25,23,8,44,63,0.0,1013,23,10,53,7,South_Africa
2013-01-02 12:00:00,27,17,0.0,13.8,5,60,10:15 PM,09:40 AM,05:20 AM,07:03 PM,17,28,28,28,11,13,52,0.0,1011,27,10,21,10,South_Africa
2013-01-02 15:00:00,27,17,0.0,13.8,5,60,10:15 PM,09:40 AM,05:20 AM,07:03 PM,18,26,26,25,17,19,66,2.8,1008,24,7,15,10,South_Africa
2013-01-02 18:00:00,27,17,0.0,13.8,5,60,10:15 PM,09:40 AM,05:20 AM,07:03 PM,18,21,21,21,14,23,85,0.0,1011,20,10,18,8,South_Africa
2013-01-02 21:00:00,27,17,0.0,13.8,5,60,10:15 PM,09:40 AM,05:20 AM,07:03 PM,18,20,20,20,15,29,88,0.1,1012,19,10,27,8,South_Africa
2013-01-03 00:00:00,26,18,0.0,13.8,6,53,10:52 PM,10:34 AM,05:21 AM,07:03 PM,18,19,19,19,5,52,93,0.0,1013,18,10,48,3,South_Africa
2013-01-03 03:00:00,26,18,0.0,13.8,6,53,10:52 PM,10:34 AM,05:21 AM,07:03 PM,17,18,18,18,5,75,94,0.0,1013,18,10,322,3,South_Africa
2013-01-03 06:00:00,26,18,0.0,13.8,6,53,10:52 PM,10:34 AM,05:21 AM,07:03 PM,16,21,21,21,9,35,76,0.0,1013,20,10,328,8,South_Africa
2013-01-03 09:00:00,26,18,0.0,13.8,6,53,10:52 PM,10:34 AM,05:21 AM,07:03 PM,17,26,26,25,16,24,61,0.0,1010,25,10,311,14,South_Africa
2013-01-03 12:00:00,26,18,0.0,13.8,6,53,10:52 PM,10:34 AM,05:21 AM,07:03 PM,17,27,27,26,18,17,56,0.0,1009,26,10,279,16,South_Africa
