date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,0,0,0.8,7.0,1,68,09:16 PM,09:45 AM,07:45 AM,05:29 PM,-7,-9,-6,-9,13,62,91,0.0,1021,-6,10,105,6,South_Sudan
2013-01-01 03:00:00,0,0,0.8,7.0,1,68,09:16 PM,09:45 AM,07:45 AM,05:29 PM,-7,-11,-6,-11,21,49,89,0.0,1021,-6,10,130,10,South_Sudan
2013-01-01 06:00:00,0,0,0.8,7.0,1,68,09:16 PM,09:45 AM,07:45 AM,05:29 PM,-5,-9,-4,-9,21,87,91,0.5,1019,-4,2,142,13,South_Sudan
2013-01-01 09:00:00,0,0,0.8,7.0,1,68,09:16 PM,09:45 AM,07:45 AM,05:29 PM,-2,-5,-1,-5,20,100,88,0.0,1018,-1,10,216,13,South_Sudan
2013-01-01 12:00:00,0,0,0.8,7.0,1,68,09:16 PM,09:45 AM,07:45 AM,05:29 PM,-1,-2,3,-2,39,32,74,0.3,1018,3,7,269,25,South_Sudan
2013-01-01 15:00:00,0,0,0.8,7.0,1,68,09:16 PM,09:45 AM,07:45 AM,05:29 PM,-3,-3,2,-3,31,46,71,0.0,1019,2,10,281,21,South_Sudan
2013-01-01 18:00:00,0,0,0.8,7.0,1,68,09:16 PM,09:45 AM,07:45 AM,05:29 PM,-4,-5,0,-5,34,52,71,0.2,1020,0,7,268,18,South_Sudan
2013-01-01 21:00:00,0,0,0.8,7.0,1,68,09:16 PM,09:45 AM,07:45 AM,05:29 PM,-4,-4,1,-4,32,63,70,0.0,1020,1,10,237,17,South_Sudan
2013-01-02 00:00:00,0,0,2.8,3.7,1,60,10:15 PM,10:17 AM,07:45 AM,05:30 PM,-2,-4,1,-4,38,97,81,0.7,1021,1,7,281,22,South_Sudan
2013-01-02 03:00:00,0,0,2.8,3.7,1,60,10:15 PM,10:17 AM,07:45 AM,05:30 PM,-6,-10,-3,-10,30,100,85,0.0,1024,-3,10,342,21,South_Sudan
2013-01-02 06:00:00,0,0,2.8,3.7,1,60,10:15 PM,10:17 AM,07:45 AM,05:30 PM,-6,-10,-4,-10,25,100,85,0.5,1028,-4,2,329,17,South_Sudan
