date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,29,19,0.0,13.0,6,68,09:33 PM,08:52 AM,05:40 AM,06:41 PM,18,19,19,19,11,47,94,0.0,1010,19,10,307,5,Zambia
2013-01-01 03:00:00,29,19,0.0,13.0,6,68,09:33 PM,08:52 AM,05:40 AM,06:41 PM,18,19,19,19,14,50,94,0.0,1011,19,10,295,6,Zambia
2013-01-01 06:00:00,29,19,0.0,13.0,6,68,09:33 PM,08:52 AM,05:40 AM,06:41 PM,19,25,25,23,6,56,82,0.0,1012,22,10,287,5,Zambia
2013-01-01 09:00:00,29,19,0.0,13.0,6,68,09:33 PM,08:52 AM,05:40 AM,06:41 PM,19,28,28,27,9,23,61,0.0,1010,27,10,263,8,Zambia
2013-01-01 12:00:00,29,19,0.0,13.0,6,68,09:33 PM,08:52 AM,05:40 AM,06:41 PM,18,30,30,29,8,18,53,0.0,1007,29,10,297,7,Zambia
2013-01-01 15:00:00,29,19,0.0,13.0,6,68,09:33 PM,08:52 AM,05:40 AM,06:41 PM,19,30,30,29,5,12,57,0.0,1005,28,10,262,4,Zambia
2013-01-01 18:00:00,29,19,0.0,13.0,6,68,09:33 PM,08:52 AM,05:40 AM,06:41 PM,18,22,24,22,7,15,78,0.0,1007,22,10,189,3,Zambia
2013-01-01 21:00:00,29,19,0.0,13.0,6,68,09:33 PM,08:52 AM,05:40 AM,06:41 PM,18,21,21,21,7,13,83,0.0,1009,20,10,163,3,Zambia
2013-01-02 00:00:00,28,20,0.0,13.0,5,60,10:13 PM,09:43 AM,05:41 AM,06:41 PM,19,20,20,20,5,16,90,1.5,1009,20,9,203,2,Zambia
2013-01-02 03:00:00,28,20,0.0,13.0,5,60,10:13 PM,09:43 AM,05:41 AM,06:41 PM,18,20,20,20,12,22,88,1.5,1009,20,9,272,6,Zambia
2013-01-02 06:00:00,28,20,0.0,13.0,5,60,10:13 PM,09:43 AM,05:41 AM,06:41 PM,21,25,25,23,1,31,84,0.0,1011,23,10,345,1,Zambia
2013-01-02 09:00:00,28,20,0.0,13.0,5,60,10:13 PM,09:43 AM,05:41 AM,06:41 PM,21,30,30,28,3,26,67,1.2,1010,27,9,112,2,Zambia
2013-01-02 12:00:00,28,20,0.0,13.0,5,60,10:13 PM,09:43 AM,05:41 AM,06:41 PM,21,31,31,29,4,28,63,0.0,1007,28,10,166,3,Zambia
2013-01-02 15:00:00,28,20,0.0,13.0,5,60,10:13 PM,09:43 AM,05:41 AM,06:41 PM,21,29,29,26,3,21,73,0.0,1005,26,10,117,3,Zambia
2013-01-02 18:00:00,28,20,0.0,13.0,5,60,10:13 PM,09:43 AM,05:41 AM,06:41 PM,20,22,25,22,9,17,86,0.0,1009,22,10,55,4,Zambia
2013-01-02 21:00:00,28,20,0.0,13.0,5,60,10:13 PM,09:43 AM,05:41 AM,06:41 PM,19,21,24,21,4,22,90,0.0,1010,21,10,77,2,Zambia
2013-01-03 00:00:00,27,20,0.0,10.7,5,53,10:54 PM,10:33 AM,05:41 AM,06:42 PM,20,21,21,21,4,93,95,0.0,1010,20,2,126,2,Zambia
2013-01-03 03:00:00,27,20,0.0,10.7,5,53,10:54 PM,10:33 AM,05:41 AM,06:42 PM,19,20,20,20,8,69,93,0.1,1010,20,10,78,4,Zambia
2013-01-03 06:00:00,27,20,0.0,10.7,5,53,10:54 PM,10:33 AM,05:41 AM,06:42 PM,20,22,25,22,4,53,89,0.0,1012,22,10,43,4,Zambia
2013-01-03 09:00:00,27,20,0.0,10.7,5,53,10:54 PM,10:33 AM,05:41 AM,06:42 PM,21,26,26,24,7,46,82,0.0,1010,24,10,1,6,Zambia
2013-01-03 12:00:00,27,20,0.0,10.7,5,53,10:54 PM,10:33 AM,05:41 AM,06:42 PM,20,29,29,27,7,96,65,0.0,1007,27,10,308,6,Zambia
2013-01-03 15:00:00,27,20,0.0,10.7,5,53,10:54 PM,10:33 AM,05:41 AM,06:42 PM,21,28,28,26,2,75,72,0.7,1005,26,10,217,1,Zambia
2013-01-03 18:00:00,27,20,0.0,10.7,5,53,10:54 PM,10:33 AM,05:41 AM,06:42 PM,20,25,25,22,8,68,88,0.0,1009,22,10,291,4,Zambia
2013-01-03 21:00:00,27,20,0.0,10.7,5,53,10:54 PM,10:33 AM,05:41 AM,06:42 PM,20,21,21,21,19,100,94,11.0,1009,21,3,258,9,Zambia
2013-01-04 00:00:00,23,19,0.0,9.4,5,46,11:37 PM,11:26 AM,05:42 AM,06:42 PM,20,21,21,21,13,100,97,0.0,1008,21,0,244,8,Zambia
2013-01-04 03:00:00,23,19,0.0,9.4,5,46,11:37 PM,11:26 AM,05:42 AM,06:42 PM,20,20,20,20,12,71,98,4.1,1009,20,7,243,6,Zambia
2013-01-04 06:00:00,23,19,0.0,9.4,5,46,11:37 PM,11:26 AM,05:42 AM,06:42 PM,21,25,25,23,6,76,91,0.0,1010,22,10,256,5,Zambia
2013-01-04 09:00:00,23,19,0.0,9.4,5,46,11:37 PM,11:26 AM,05:42 AM,06:42 PM,21,25,25,23,6,75,88,0.1,1009,23,10,260,5,Zambia
2013-01-04 12:00:00,23,19,0.0,9.4,5,46,11:37 PM,11:26 AM,05:42 AM,06:42 PM,21,25,25,23,17,34,87,0.0,1008,23,10,291,14,Zambia
2013-01-04 15:00:00,23,19,0.0,9.4,5,46,11:37 PM,11:26 AM,05:42 AM,06:42 PM,19,21,21,21,18,74,90,0.0,1007,21,10,319,12,Zambia
2013-01-04 18:00:00,23,19,0.0,9.4,5,46,11:37 PM,11:26 AM,05:42 AM,06:42 PM,20,20,20,20,10,100,97,0.0,1010,20,0,313,5,Zambia
2013-01-04 21:00:00,23,19,0.0,9.4,5,46,11:37 PM,11:26 AM,05:42 AM,06:42 PM,19,19,19,19,13,100,97,0.0,1011,19,0,348,7,Zambia
2013-01-05 00:00:00,25,18,0.0,13.0,5,38,No moonrise,12:20 PM,05:42 AM,06:42 PM,19,19,19,19,11,100,97,0.0,1010,19,0,344,6,Zambia
2013-01-05 03:00:00,25,18,0.0,13.0,5,38,No moonrise,12:20 PM,05:42 AM,06:42 PM,18,18,18,18,12,100,99,0.0,1010,18,0,354,7,Zambia
2013-01-05 06:00:00,25,18,0.0,13.0,5,38,No moonrise,12:20 PM,05:42 AM,06:42 PM,18,19,19,19,16,100,94,0.0,1012,19,2,319,12,Zambia
2013-01-05 09:00:00,25,18,0.0,13.0,5,38,No moonrise,12:20 PM,05:42 AM,06:42 PM,19,21,24,21,15,60,85,0.0,1011,21,10,306,12,Zambia
2013-01-05 12:00:00,25,18,0.0,13.0,5,38,No moonrise,12:20 PM,05:42 AM,06:42 PM,19,26,26,25,14,46,71,0.0,1009,25,10,318,12,Zambia
2013-01-05 15:00:00,25,18,0.0,13.0,5,38,No moonrise,12:20 PM,05:42 AM,06:42 PM,20,26,26,24,13,47,78,0.0,1008,24,10,319,10,Zambia
2013-01-05 18:00:00,25,18,0.0,13.0,5,38,No moonrise,12:20 PM,05:42 AM,06:42 PM,19,20,20,20,11,57,91,0.0,1010,20,10,338,6,Zambia
2013-01-05 21:00:00,25,18,0.0,13.0,5,38,No moonrise,12:20 PM,05:42 AM,06:42 PM,18,19,19,19,13,35,94,0.0,1011,19,2,346,7,Zambia
2013-01-06 00:00:00,23,17,0.0,12.0,5,31,12:21 AM,01:18 PM,05:43 AM,06:43 PM,17,18,18,18,13,46,95,0.0,1011,18,2,337,7,Zambia
2013-01-06 03:00:00,23,17,0.0,12.0,5,31,12:21 AM,01:18 PM,05:43 AM,06:43 PM,17,17,17,17,14,45,94,0.0,1012,17,2,339,7,Zambia
2013-01-06 06:00:00,23,17,0.0,12.0,5,31,12:21 AM,01:18 PM,05:43 AM,06:43 PM,18,20,20,20,10,100,85,0.0,1013,20,10,353,8,Zambia
2013-01-06 09:00:00,23,17,0.0,12.0,5,31,12:21 AM,01:18 PM,05:43 AM,06:43 PM,18,21,24,21,9,98,82,0.0,1012,21,10,327,8,Zambia
2013-01-06 12:00:00,23,17,0.0,12.0,5,31,12:21 AM,01:18 PM,05:43 AM,06:43 PM,19,25,25,23,7,33,76,0.0,1010,23,10,295,6,Zambia
2013-01-06 15:00:00,23,17,0.0,12.0,5,31,12:21 AM,01:18 PM,05:43 AM,06:43 PM,20,26,26,24,5,27,78,0.0,1010,23,10,114,4,Zambia
2013-01-06 18:00:00,23,17,0.0,12.0,5,31,12:21 AM,01:18 PM,05:43 AM,06:43 PM,19,20,20,20,12,40,94,0.0,1011,20,10,99,6,Zambia
2013-01-06 21:00:00,23,17,0.0,12.0,5,31,12:21 AM,01:18 PM,05:43 AM,06:43 PM,18,19,19,19,12,83,99,2.1,1013,18,10,104,7,Zambia
2013-01-07 00:00:00,25,18,0.0,9.4,5,24,01:11 AM,02:18 PM,05:44 AM,06:43 PM,18,18,18,18,8,100,98,0.0,1012,18,0,88,5,Zambia
2013-01-07 03:00:00,25,18,0.0,9.4,5,24,01:11 AM,02:18 PM,05:44 AM,06:43 PM,18,18,18,18,8,100,97,0.0,1012,18,0,43,4,Zambia
2013-01-07 06:00:00,25,18,0.0,9.4,5,24,01:11 AM,02:18 PM,05:44 AM,06:43 PM,19,21,21,21,3,53,89,0.0,1014,21,10,341,3,Zambia
2013-01-07 09:00:00,25,18,0.0,9.4,5,24,01:11 AM,02:18 PM,05:44 AM,06:43 PM,21,27,27,25,3,78,75,0.5,1013,25,10,264,3,Zambia
2013-01-07 12:00:00,25,18,0.0,9.4,5,24,01:11 AM,02:18 PM,05:44 AM,06:43 PM,20,27,27,25,11,73,75,0.0,1011,25,10,260,9,Zambia
2013-01-07 15:00:00,25,18,0.0,9.4,5,24,01:11 AM,02:18 PM,05:44 AM,06:43 PM,21,25,25,23,10,87,85,0.0,1010,23,9,179,7,Zambia
