date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01 00:00:00,26,17,0.0,13.1,5,68,09:23 PM,08:39 AM,05:24 AM,06:35 PM,17,18,18,18,15,48,96,0.0,1012,17,2,33,8,Zimbabwe
2013-01-01 03:00:00,26,17,0.0,13.1,5,68,09:23 PM,08:39 AM,05:24 AM,06:35 PM,17,18,18,18,7,50,96,0.5,1011,18,10,20,4,Zimbabwe
2013-01-01 06:00:00,26,17,0.0,13.1,5,68,09:23 PM,08:39 AM,05:24 AM,06:35 PM,19,22,25,22,4,41,81,0.0,1012,22,10,318,4,Zimbabwe
2013-01-01 09:00:00,26,17,0.0,13.1,5,68,09:23 PM,08:39 AM,05:24 AM,06:35 PM,18,21,24,21,10,51,84,0.9,1011,21,9,306,8,Zimbabwe
2013-01-01 12:00:00,26,17,0.0,13.1,5,68,09:23 PM,08:39 AM,05:24 AM,06:35 PM,19,28,28,27,7,12,63,0.0,1007,26,10,264,6,Zimbabwe
2013-01-01 15:00:00,26,17,0.0,13.1,5,68,09:23 PM,08:39 AM,05:24 AM,06:35 PM,19,27,27,26,10,13,63,0.2,1006,26,9,226,8,Zimbabwe
2013-01-01 18:00:00,26,17,0.0,13.1,5,68,09:23 PM,08:39 AM,05:24 AM,06:35 PM,18,20,20,20,9,26,88,0.0,1010,19,10,160,4,Zimbabwe
2013-01-01 21:00:00,26,17,0.0,13.1,5,68,09:23 PM,08:39 AM,05:24 AM,06:35 PM,17,19,19,19,16,34,90,1.6,1011,19,9,145,8,Zimbabwe
2013-01-02 00:00:00,26,18,0.0,13.1,5,60,10:02 PM,09:31 AM,05:25 AM,06:35 PM,18,19,19,19,10,38,92,1.1,1011,18,10,124,5,Zimbabwe
2013-01-02 03:00:00,26,18,0.0,13.1,5,60,10:02 PM,09:31 AM,05:25 AM,06:35 PM,18,18,18,18,15,62,97,5.2,1011,18,7,66,8,Zimbabwe
2013-01-02 06:00:00,26,18,0.0,13.1,5,60,10:02 PM,09:31 AM,05:25 AM,06:35 PM,19,22,24,22,10,50,83,0.0,1012,22,10,43,9,Zimbabwe
2013-01-02 09:00:00,26,18,0.0,13.1,5,60,10:02 PM,09:31 AM,05:25 AM,06:35 PM,20,28,28,26,10,26,67,0.6,1010,26,10,34,8,Zimbabwe
2013-01-02 12:00:00,26,18,0.0,13.1,5,60,10:02 PM,09:31 AM,05:25 AM,06:35 PM,20,26,26,24,9,59,79,0.0,1009,24,10,40,8,Zimbabwe
2013-01-02 15:00:00,26,18,0.0,13.1,5,60,10:02 PM,09:31 AM,05:25 AM,06:35 PM,20,22,24,22,15,49,89,1.6,1008,21,10,62,11,Zimbabwe
2013-01-02 18:00:00,26,18,0.0,13.1,5,60,10:02 PM,09:31 AM,05:25 AM,06:35 PM,19,20,20,20,13,82,94,0.0,1011,20,2,74,9,Zimbabwe
2013-01-02 21:00:00,26,18,0.0,13.1,5,60,10:02 PM,09:31 AM,05:25 AM,06:35 PM,18,19,19,19,10,79,96,1.2,1012,19,9,88,8,Zimbabwe
2013-01-03 00:00:00,26,17,0.0,12.0,4,53,10:42 PM,10:22 AM,05:26 AM,06:35 PM,18,19,19,19,9,100,97,0.0,1011,18,0,61,7,Zimbabwe
2013-01-03 03:00:00,26,17,0.0,12.0,4,53,10:42 PM,10:22 AM,05:26 AM,06:35 PM,17,18,18,18,11,86,97,0.0,1011,18,2,44,8,Zimbabwe
2013-01-03 06:00:00,26,17,0.0,12.0,4,53,10:42 PM,10:22 AM,05:26 AM,06:35 PM,16,18,18,18,14,60,92,0.0,1013,18,10,37,10,Zimbabwe
2013-01-03 09:00:00,26,17,0.0,12.0,4,53,10:42 PM,10:22 AM,05:26 AM,06:35 PM,16,18,18,18,12,66,92,2.1,1012,17,9,14,9,Zimbabwe
2013-01-03 12:00:00,26,17,0.0,12.0,4,53,10:42 PM,10:22 AM,05:26 AM,06:35 PM,21,28,28,26,2,98,74,0.0,1008,26,10,340,1,Zimbabwe
2013-01-03 15:00:00,26,17,0.0,12.0,4,53,10:42 PM,10:22 AM,05:26 AM,06:35 PM,20,26,26,24,7,45,76,0.0,1006,24,10,342,5,Zimbabwe
2013-01-03 18:00:00,26,17,0.0,12.0,4,53,10:42 PM,10:22 AM,05:26 AM,06:35 PM,19,20,20,20,12,37,93,0.0,1010,19,10,333,6,Zimbabwe
2013-01-03 21:00:00,26,17,0.0,12.0,4,53,10:42 PM,10:22 AM,05:26 AM,06:35 PM,18,19,19,19,6,38,97,3.0,1010,18,7,314,3,Zimbabwe
2013-01-04 00:00:00,26,18,0.0,13.1,5,46,11:24 PM,11:16 AM,05:26 AM,06:35 PM,18,18,18,18,4,100,100,0.0,1009,18,0,280,2,Zimbabwe
2013-01-04 03:00:00,26,18,0.0,13.1,5,46,11:24 PM,11:16 AM,05:26 AM,06:35 PM,18,18,18,18,7,100,97,0.0,1010,18,0,17,4,Zimbabwe
2013-01-04 06:00:00,26,18,0.0,13.1,5,46,11:24 PM,11:16 AM,05:26 AM,06:35 PM,20,25,25,23,6,83,82,0.0,1010,23,10,32,5,Zimbabwe
2013-01-04 09:00:00,26,18,0.0,13.1,5,46,11:24 PM,11:16 AM,05:26 AM,06:35 PM,20,28,28,27,8,22,67,1.0,1008,26,9,17,6,Zimbabwe
2013-01-04 12:00:00,26,18,0.0,13.1,5,46,11:24 PM,11:16 AM,05:26 AM,06:35 PM,21,28,28,26,5,29,75,0.0,1008,25,10,272,5,Zimbabwe
2013-01-04 15:00:00,26,18,0.0,13.1,5,46,11:24 PM,11:16 AM,05:26 AM,06:35 PM,20,26,26,24,5,40,81,7.2,1006,23,7,3,3,Zimbabwe
2013-01-04 18:00:00,26,18,0.0,13.1,5,46,11:24 PM,11:16 AM,05:26 AM,06:35 PM,19,20,20,20,2,47,93,0.0,1010,20,10,39,1,Zimbabwe
2013-01-04 21:00:00,26,18,0.0,13.1,5,46,11:24 PM,11:16 AM,05:26 AM,06:35 PM,18,19,19,19,10,79,95,0.9,1011,19,10,306,5,Zimbabwe
2013-01-05 00:00:00,22,18,0.0,9.4,4,38,No moonrise,12:11 PM,05:27 AM,06:36 PM,18,19,19,19,4,100,99,0.0,1010,18,0,235,2,Zimbabwe
2013-01-05 03:00:00,22,18,0.0,9.4,4,38,No moonrise,12:11 PM,05:27 AM,06:36 PM,19,19,19,19,5,55,96,0.2,1010,19,5,132,3,Zimbabwe
2013-01-05 06:00:00,22,18,0.0,9.4,4,38,No moonrise,12:11 PM,05:27 AM,06:36 PM,19,21,21,21,12,60,88,0.0,1012,21,10,116,9,Zimbabwe
2013-01-05 09:00:00,22,18,0.0,9.4,4,38,No moonrise,12:11 PM,05:27 AM,06:36 PM,20,22,24,22,7,59,88,1.5,1010,21,9,48,6,Zimbabwe
2013-01-05 12:00:00,22,18,0.0,9.4,4,38,No moonrise,12:11 PM,05:27 AM,06:36 PM,19,22,25,22,10,64,85,0.0,1010,22,10,95,8,Zimbabwe
